type_city,AUC,Accuracy,Precision,Recall
big,0.6893361564940206,0.8198019637499516,0.6625621604959558,0.6893361564940206
small,0.7221800210050396,0.8877070414771945,0.6544798760804469,0.7221800210050396
all,0.7319191616952846,0.8606431280134241,0.6564963345619949,0.7319191616952846
