element_type,osmid,man_made,surveillance:type,surveillance:zone,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,source,email,opening_hours,access,amenity,name,contact:email,contact:fax,contact:phone,contact:website,fee,operator,parking,capacity,addr:housename,ref,level,alt_name,phone,short_name,wikidata,wikipedia,layer,disused:shop,building,name:de,name:en,addr:suburb,check_date,surveillance,tourism,note,drive_through,nodes,building:levels,building:material,roof:shape,old_name,roof:colour,roof:levels,branch,brand,brand:wikidata,brand:wikipedia,leisure,building:colour,office,capacity:disabled,wheelchair:description,height,shop,website,cuisine,takeaway,smoking,check_date:opening_hours,gambling,description,historic,start_date,recycling_type,fixme,roof:type,noaddress,club,sport,sport:league,official_name,roof:angle,building:part,fax,craft,lastcheck,opening_hours:office,architect,architect:wikidata,building:architecture,heritage,heritage:operator,heritage:ref,image,brothel:eros_center,drink:club-mate,wheelchair:entrance_width,wheelchair:step_height,roof:height,railway,roof:material,source:height,wikimedia_commons,breakfast,internet_access,internet_access:fee,service_times,stars,opening_hours:url,healthcare,healthcare:speciality,nohousenumber,asb,note:de,onkz,operator:wikidata,operator:wikipedia,telecom,biergarten,brewery,diet:vegetarian,outdoor_seating,reservation,toilets:wheelchair,self_checkout,diet:halal,diet:kosher,diet:vegan,compressed_air,repair,sale,coffee,opening_hours:signed,indoor_seating,operator:type,note:building_type,subject:wikidata,subject:wikipedia,roof,building:architect,construction_date,roof:orientation,automated,self_service,min_height,min_level,air_conditioning,description:de,service,payment:cash,material,shooting,power,frequency,location,building:min_level,corridor,organic,delivery,name:es,name:ru,name:zh,rooms,beer_garden,building:use,note2,opening_hours:phone,contact:facebook,building:levels:underground,roof:direction,contact:instagram,contact:linkedin,contact:twitter,contact:youtube,second_hand,ways,type,int_name
way,516614946,,,,"POLYGON ((11.5372869 48.1452151, 11.5371976 48.1445267, 11.5372613 48.1445218, 11.5379542 48.144469, 11.5382474 48.1444467, 11.5382696 48.1445943, 11.538332 48.1450084, 11.5380179 48.1450705, 11.53753 48.145167, 11.5372869 48.1452151))",München,,14,80636,Luise-Ullrich-Straße,,,,,,,NOVE,,,,,,,,,,,,,+49 89 124721800,,,,,,commercial,,,,,,,,,"[10092298489, 10092298487, 10095737858, 10095737861, 10092298486, 10095737860, 10092298488, 10095737859, 10095792521, 10092298489]",6,,,,,,,,,,,,,,,,,https://www.nove.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,522899632,,,,"POLYGON ((11.5803383 48.192168, 11.5807293 48.1921735, 11.58072 48.192468, 11.5799362 48.192457, 11.5799456 48.1921625, 11.5802803 48.1921672, 11.5803383 48.192168))",,,,,,,,,,,,TH 10,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[1317163855, 1317163861, 1317163907, 1317163875, 1317163842, 1317163891, 1317163855]",3,,flat,,#999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,529184839,,,,"POLYGON ((11.5321818 48.1003195, 11.5322542 48.100324, 11.532262 48.1002679, 11.5321896 48.1002635, 11.5321818 48.1003195))",,,46,,Boschetsrieder Straße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5141121380, 5141121379, 5141121378, 5141121377, 5141121380]",1,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,537477813,,,,"POLYGON ((11.5910827 48.1231017, 11.5912467 48.1231045, 11.5912427 48.1230924, 11.5913196 48.1228595, 11.5911579 48.1228374, 11.5911224 48.1229586, 11.5910827 48.1231017))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[2120574314, 5204648641, 6233016973, 5204648644, 5204648645, 6307947805, 2120574314]",1,,skillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
way,541710608,,,,"POLYGON ((11.5826926 48.1931047, 11.5827644 48.193105, 11.5827632 48.1932104, 11.5827446 48.1932104, 11.5826914 48.1932101, 11.5826926 48.1931047))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[1185647313, 1185647314, 5237950335, 2904999190, 5237950334, 1185647313]",1,,flat,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,541710609,,,,"POLYGON ((11.5827644 48.193105, 11.5827647 48.1930802, 11.5829313 48.193081, 11.5829299 48.1932113, 11.5827632 48.1932104, 11.5827644 48.193105))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[1185647314, 1185647349, 1185647327, 1185647325, 5237950335, 1185647314]",2,,flat,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542664658,,,,"POLYGON ((11.5623794 48.2038955, 11.5623731 48.2039348, 11.5623694 48.2039573, 11.56258 48.2039725, 11.56259 48.2039107, 11.5623794 48.2038955))",,,24,,Steindlstraße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5246367404, 1348767171, 5246367401, 5246367402, 5246367403, 5246367404]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,545690886,,,,"POLYGON ((11.581942 48.1932064, 11.5819415 48.1932481, 11.5818377 48.1932476, 11.5818413 48.1929257, 11.5818338 48.1929257, 11.5818348 48.192834, 11.5819461 48.1928346, 11.5819449 48.1929484, 11.5819445 48.1929793, 11.581942 48.1932064))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[1185647304, 1185647331, 1185647317, 5273797471, 5273797472, 1185647360, 1185647336, 2904999261, 1185647368, 1185647304]",1,,gabled,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,553715017,,,,"POLYGON ((11.4455932 48.1511626, 11.445571 48.151089, 11.4458066 48.1510573, 11.4458289 48.1511309, 11.4455932 48.1511626))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5344578425, 5344578426, 5344578427, 5344578428, 5344578425]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,558478860,,,,"POLYGON ((11.5135424 48.0961978, 11.5136927 48.0962037, 11.5137169 48.0959288, 11.5135666 48.0959229, 11.5135539 48.096067, 11.5135424 48.0961978))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5385712338, 692770433, 692770434, 5385712337, 2423761063, 5385712338]",3,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
