element_type,osmid,addr:city,addr:country,addr:postcode,addr:street,geometry,addr:housenumber,entrance,source,fixme,addr:suburb,level,wheelchair,name,wikidata,amenity,wikimedia_commons,architect,heritage,heritage:operator,heritage:ref,image,note,description,wikipedia,roof:colour,opening_hours,building,nodes,building:levels,roof:levels,roof:shape,building:min_level,capacity,layer,operator,building:colour,addr:housename,start_date,height,roof:angle,disused:military,historic,location,old_start_date,roof:height,protect_class,website,area,BLfD:criteria,est_height,ref:BLfD,roof:material,architect:wikidata,building:architecture,roof:orientation,indoor_seating,outdoor_seating,phone,3dr:alpha1,3dr:type,building:levels:underground,noname,building:material,building:flats,smoking,nohousenumber,building:use,denomination,religion,roof:direction,contact:website,building:roof,building:part,source_ref,source:geometry,type,ways
way,96233862,,,,,"POLYGON ((11.5858484 48.153387, 11.5857055 48.1531285, 11.5855887 48.1531572, 11.5854905 48.1531813, 11.5855464 48.1532825, 11.585585 48.153273, 11.5856719 48.1534304, 11.5858484 48.153387))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115464061, 1115464203, 2524217177, 1115463821, 1115463627, 1115463501, 1115463891, 1115464061]",4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96233864,,,,,"POLYGON ((11.5814436 48.15994, 11.5812826 48.1599517, 11.5812513 48.1599539, 11.5812728 48.1600855, 11.5812776 48.1601151, 11.5814698 48.1601012, 11.5814622 48.1600545, 11.5814436 48.15994))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115464436, 2510224241, 1115464100, 1115463500, 1115463888, 1115464270, 1115463816, 1115464436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96233865,,,,,"POLYGON ((11.5852424 48.1538143, 11.5853704 48.1537808, 11.5855848 48.1537248, 11.5857066 48.153693, 11.5856428 48.1535844, 11.5851787 48.1537058, 11.5852424 48.1538143))",,,,,,,,,,,,,,,,,,,,darkgrey,,residential,"[1115464346, 2524143331, 2524143332, 1115463507, 1115464107, 1115464177, 1115464346]",6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96233867,,,,,"POLYGON ((11.5848031 48.1519588, 11.5846568 48.1519787, 11.5846877 48.1520797, 11.5847049 48.1521362, 11.5848512 48.1521163, 11.5848031 48.1519588))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115463771, 1115463599, 2524143309, 1115464479, 1115464079, 1115463771]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96233870,,,,,"POLYGON ((11.5850456 48.155408, 11.5848729 48.1554412, 11.5849131 48.1555296, 11.5849707 48.1556534, 11.5850975 48.1556271, 11.5850659 48.1555592, 11.5851122 48.1555496, 11.5850456 48.155408))",,,,,,,,,,,,,,,,,,,,#666666,,residential,"[1115464226, 1115464075, 2516305178, 1115464019, 1115464463, 1115463516, 1115464396, 1115464226]",4,1,quadruple_saltbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96233873,,,,,"POLYGON ((11.5853966 48.1530333, 11.585438 48.1531034, 11.5856046 48.1530595, 11.5856324 48.1530522, 11.585661 48.1531005, 11.5858382 48.1530539, 11.5858105 48.1530069, 11.5859206 48.152978, 11.5860307 48.152949, 11.5859456 48.1528051, 11.5858265 48.1528364, 11.5858695 48.152909, 11.5853966 48.1530333))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115463602, 1115464086, 2836527670, 1115464135, 1115463736, 1115463931, 1115463527, 2414546912, 1115463581, 1115464205, 1115464311, 1115464482, 1115463602]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239641,,,,,"POLYGON ((11.44677 48.164035, 11.446785 48.1639873, 11.4469022 48.1640037, 11.4469132 48.1639687, 11.4470084 48.163982, 11.4469785 48.1640769, 11.4468827 48.1640635, 11.4468865 48.1640513, 11.44677 48.164035))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543298, 1115543628, 1115543808, 1115543499, 1115543194, 1115543696, 1115543879, 1115543587, 1115543298]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239646,,,,,"POLYGON ((11.4458115 48.163635, 11.4459346 48.1636486, 11.4459086 48.1637535, 11.4457855 48.16374, 11.4458115 48.163635))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543922, 1115543266, 1115543763, 1115543473, 1115543922]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239647,,,,,"POLYGON ((11.4467221 48.1636801, 11.4467516 48.1635647, 11.4469403 48.1635862, 11.4469108 48.1637016, 11.4467221 48.1636801))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543424, 1115543745, 1115543957, 1115543634, 1115543424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239650,,,,,"POLYGON ((11.4488778 48.16437, 11.4489334 48.1641571, 11.4489052 48.1641538, 11.4489217 48.1640907, 11.4488793 48.1640857, 11.4489001 48.1640061, 11.449062 48.164025, 11.449045 48.16409, 11.4490852 48.1640947, 11.4490694 48.1641551, 11.4490957 48.1641582, 11.4490355 48.1643883, 11.4488778 48.16437))",,,,,,,,,,,,,,,,,,,,grey,,residential,"[1115543835, 1115543201, 1115543713, 1115543891, 1115543604, 1115543475, 1115543930, 1115543340, 1115543806, 1115543562, 1115543191, 1115543394, 1115543835]",,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239655,,,,,"POLYGON ((11.446469 48.1635354, 11.4466357 48.1635545, 11.4466073 48.163665, 11.4464406 48.163646, 11.446469 48.1635354))",,,,,,,,,,,,,,,,,,,,red,,residential,"[1115543391, 1115543452, 1115543923, 1115543672, 1115543391]",,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239659,,,,,"POLYGON ((11.4474684 48.163607, 11.4475807 48.1636186, 11.4475531 48.1637371, 11.4475149 48.1637332, 11.4474408 48.1637255, 11.4474684 48.163607))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543561, 1115543733, 1115543350, 1115543877, 1115543590, 1115543561]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239665,,,,,"POLYGON ((11.4462541 48.1639585, 11.4463625 48.1639709, 11.4463377 48.1640672, 11.4462293 48.1640548, 11.4462541 48.1639585))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543659, 1115543804, 1115543459, 1115543703, 1115543659]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239671,,,,,"POLYGON ((11.4476755 48.1641659, 11.4477074 48.1640565, 11.448162 48.1641154, 11.4481301 48.1642248, 11.4476755 48.1641659))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543258, 1115543427, 1115543156, 1115543657, 1115543258]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239673,,,,,"POLYGON ((11.4464425 48.1640945, 11.4464647 48.1640089, 11.4466655 48.1640321, 11.4466433 48.1641177, 11.4464425 48.1640945))",,,,,,,,,,,,,,,,,,,,red,,residential,"[1115543722, 1115543855, 1115543555, 1115543759, 1115543722]",,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239675,,,,,"POLYGON ((11.4456443 48.163973, 11.4456662 48.1638991, 11.4457804 48.1639141, 11.4457586 48.163988, 11.4456443 48.163973))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543609, 1115543756, 1115543676, 1115543282, 1115543609]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239677,,,,,"POLYGON ((11.4478508 48.1638221, 11.4478679 48.163749, 11.4479721 48.1637579, 11.447955 48.163831, 11.4478508 48.1638221))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543670, 1115543929, 1115543838, 1115543520, 1115543670]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239680,,,,,"POLYGON ((11.4457858 48.1635469, 11.4458124 48.1634529, 11.4459789 48.1634739, 11.4459522 48.1635679, 11.4457858 48.1635469))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543648, 1115543700, 1115543312, 1115543218, 1115543648]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239683,,,,,"POLYGON ((11.44806 48.1638504, 11.4480771 48.163781, 11.4480822 48.1637605, 11.4480965 48.1637621, 11.4482899 48.1637833, 11.4482678 48.1638732, 11.44806 48.1638504))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543741, 5653520998, 1115543557, 1115543270, 1115543766, 1115543149, 1115543741]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239689,,,,,"POLYGON ((11.4474088 48.1640173, 11.447612 48.1640444, 11.4475771 48.1641606, 11.4473739 48.1641334, 11.4474088 48.1640173))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543768, 1115543225, 1115543771, 1115543421, 1115543768]",,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239694,,,,,"POLYGON ((11.4484955 48.1638788, 11.4485281 48.16376, 11.4486957 48.1637805, 11.448663 48.1638993, 11.4484955 48.1638788))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543319, 1115543660, 1115543345, 1115543812, 1115543319]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239697,,,,,"POLYGON ((11.4472037 48.1640084, 11.4473123 48.1640238, 11.447282 48.1641187, 11.4471734 48.1641033, 11.4472037 48.1640084))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543831, 1115543302, 1115543196, 1115543710, 1115543831]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239698,,,,,"POLYGON ((11.4470766 48.1635596, 11.4471798 48.1635717, 11.4471539 48.1636706, 11.4470506 48.1636585, 11.4470644 48.163606, 11.4470766 48.1635596))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543833, 1115543508, 1115543730, 1115543347, 1115543664, 1115543833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239702,,,,,"POLYGON ((11.4488134 48.1637482, 11.4489502 48.1637638, 11.4489237 48.1638584, 11.4489717 48.1638639, 11.4489543 48.1639317, 11.4489241 48.1639282, 11.4487695 48.1639105, 11.4488134 48.1637482))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543222, 1115543792, 1115543434, 1115543691, 1115543305, 1115543462, 1115543848, 1115543222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239709,,,,,"POLYGON ((11.4476787 48.1636704, 11.4477941 48.1636824, 11.4477655 48.163805, 11.4476501 48.1637931, 11.4476692 48.1637108, 11.4476787 48.1636704))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543886, 1115543356, 1115543889, 1115543597, 1115543178, 1115543886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96239711,,,,,"POLYGON ((11.4459575 48.1639, 11.4461168 48.1639189, 11.4460882 48.1640264, 11.4459289 48.1640075, 11.4459575 48.1639))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115543182, 1115543379, 1115543846, 1115543236, 1115543182]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96246030,,,,,"POLYGON ((11.5759991 48.1653767, 11.5759452 48.1656975, 11.5761326 48.1656954, 11.5761347 48.1657837, 11.5763353 48.1657809, 11.5766079 48.1657772, 11.5767713 48.1657749, 11.5767699 48.1657492, 11.5768136 48.1657484, 11.5769534 48.1657458, 11.5769379 48.1656013, 11.5769228 48.1654607, 11.5767823 48.1654746, 11.5767917 48.1656738, 11.5761558 48.1656809, 11.5760994 48.1656816, 11.5761021 48.1656413, 11.5761047 48.1656032, 11.5761242 48.1654842, 11.5761336 48.1654266, 11.5761392 48.1653925, 11.5759991 48.1653767))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115606363, 1115606418, 1115606485, 1115606325, 2399347415, 2399347414, 1115606452, 1115606472, 2399347412, 1115606364, 2603059424, 1115606433, 1115606488, 1115606353, 3125597830, 1115606446, 3125597829, 2603059406, 2603059405, 3125597730, 1115606467, 1115606363]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96246031,,,,,"POLYGON ((11.5753423 48.1660743, 11.5753423 48.1659511, 11.5751839 48.1659543, 11.5749342 48.1659582, 11.5747134 48.1659597, 11.57447 48.1659613, 11.5743322 48.1659622, 11.5743135 48.1661512, 11.5743026 48.166261, 11.5745003 48.1662662, 11.5745237 48.1660856, 11.5753423 48.1660743))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115606336, 1115606422, 2603059410, 2603059411, 2603059412, 2610169674, 1115606369, 2604478013, 1115606403, 1115606365, 1115606355, 1115606336]",5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96246033,,,,,"POLYGON ((11.5752439 48.1655492, 11.5752127 48.1656965, 11.5745155 48.165699, 11.5745224 48.1656298, 11.5745323 48.1655421, 11.5745161 48.1655411, 11.5743692 48.1655322, 11.5743504 48.1657769, 11.5745279 48.1657801, 11.5745525 48.1657806, 11.5745525 48.1658053, 11.5749005 48.1658018, 11.5750974 48.1657997, 11.5751743 48.1657989, 11.5751747 48.1657703, 11.5753495 48.1657829, 11.5753776 48.1656341, 11.5753924 48.1655556, 11.5752439 48.1655492))",,,,,,,,,,,,,,,,,,,,,,residential,"[1549434893, 1115606406, 1115606415, 2603059415, 1549434894, 2603359461, 1115606362, 1115606388, 2610169673, 1115606340, 1115606350, 2603059414, 2603059413, 1115606430, 1549434914, 1115606459, 2607684566, 1549434901, 1549434893]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96246035,,,,,"POLYGON ((11.5762515 48.1649625, 11.5762098 48.1651855, 11.5760443 48.1651677, 11.5760552 48.1651078, 11.5760542 48.1650842, 11.5760629 48.1650443, 11.5760861 48.1649393, 11.5762515 48.1649625))",,,,,,,,,,,,,,,,,,,,,,residential,"[1549434791, 1549434834, 1549434830, 3125613232, 2603059400, 3125613233, 1549434777, 1549434791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263164,,,,,"POLYGON ((11.4491912 48.1614257, 11.4491981 48.1614155, 11.4492402 48.1613523, 11.4493384 48.1613815, 11.4492894 48.1614549, 11.4491912 48.1614257))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115859154, 1115858835, 1115859335, 1115859288, 1115858997, 1115859154]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263172,,,,,"POLYGON ((11.4497731 48.1610639, 11.4498071 48.1609941, 11.4499623 48.1610278, 11.4499283 48.1610975, 11.4497731 48.1610639))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115859315, 1115858818, 1115859096, 1115859404, 1115859315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263174,,,,,"POLYGON ((11.4496881 48.1615782, 11.4497762 48.16139, 11.4496948 48.161373, 11.4496066 48.1615613, 11.4496881 48.1615782))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115859332, 1115859365, 1115859142, 1115859017, 1115859332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263180,,,,,"POLYGON ((11.4483056 48.1609629, 11.4480433 48.1608568, 11.4479582 48.1609503, 11.4482205 48.1610565, 11.4483056 48.1609629))",,,,,,,,,,,,,,,,,,,,,,residential,"[2838799268, 1115859359, 1115859244, 2838799270, 2838799268]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263181,,,,,"POLYGON ((11.4486881 48.160849, 11.4485133 48.1607795, 11.4485986 48.160684, 11.4487734 48.1607535, 11.4486881 48.160849))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115859234, 1115859275, 1115858921, 1115859477, 1115859234]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263184,,,,,"POLYGON ((11.4493657 48.1614964, 11.4494323 48.1613942, 11.4495791 48.1614368, 11.4495124 48.161539, 11.4493657 48.1614964))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115858849, 1115859082, 1115859400, 1115859241, 1115858849]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263185,,,,,"POLYGON ((11.4488497 48.1613041, 11.4489165 48.1612163, 11.4491288 48.1612882, 11.4491147 48.1613067, 11.4490808 48.1613513, 11.4490621 48.161376, 11.4488497 48.1613041))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115858898, 1115859220, 1115859355, 1115858842, 1115858751, 1115859004, 1115858898]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263186,,,,,"POLYGON ((11.4485459 48.1611898, 11.4486202 48.1611038, 11.4487897 48.161169, 11.4487368 48.1612303, 11.4487154 48.161255, 11.4485459 48.1611898))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115859472, 1115858839, 1115859291, 1115858915, 1115859070, 1115859472]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263187,,,,,"POLYGON ((11.4493109 48.161038, 11.4491294 48.1609843, 11.4491896 48.1608938, 11.449371 48.1609475, 11.4493412 48.1609923, 11.4493109 48.161038))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115858900, 1115859130, 1115859455, 1115859267, 1115859285, 1115858900]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263189,,,,,"POLYGON ((11.4488114 48.1608846, 11.4488963 48.1607756, 11.449089 48.1608424, 11.4490042 48.1609514, 11.4489022 48.160916, 11.4488114 48.1608846))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115858927, 1115859146, 1115859448, 1115859280, 1115859398, 1115858927]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263190,,,,,"POLYGON ((11.4495949 48.1612266, 11.4496322 48.1611506, 11.4498753 48.1612038, 11.449838 48.1612798, 11.4495949 48.1612266))",,,,,,,,,,,,,,,,,,,,,,residential,"[1115859195, 1115859294, 1115859415, 1115859229, 1115859195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96294802,München,DE,80995,Schneeglöckchenstraße,"POLYGON ((11.512042 48.1995961, 11.5120729 48.1995897, 11.5120622 48.1995668, 11.5121535 48.1995478, 11.5122021 48.1996522, 11.5121465 48.1996638, 11.5121128 48.1996708, 11.5121036 48.1996511, 11.5120708 48.1996579, 11.512042 48.1995961))",92c,,,,,,,,,,,,,,,,,,,,,residential,"[2476861386, 1116178264, 1116178162, 1116178083, 1116178193, 2476861389, 1116178239, 1116178198, 2476861387, 2476861386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96294836,München,DE,80995,Schneeglöckchenstraße,"POLYGON ((11.511126 48.1991926, 11.5110056 48.1992147, 11.5109664 48.1991194, 11.5110867 48.1990973, 11.511126 48.1991926))",91,,,,,,,,,,,,,,,,,,,,,residential,"[1116178290, 1116178040, 1116178240, 1116178180, 1116178290]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96294846,München,DE,80995,Schneeglöckchenstraße,"POLYGON ((11.5110482 48.1990053, 11.5109193 48.1990304, 11.5108739 48.1989273, 11.5110029 48.1989022, 11.5110482 48.1990053))",91a,,,,,,,,,,,,,,,,,,,,,residential,"[1116178140, 1116178060, 1116178126, 1116178171, 1116178140]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96558379,München,DE,,,"POLYGON ((11.5842312 48.1360579, 11.5841443 48.1358943, 11.5842768 48.1358165, 11.5843601 48.1357677, 11.5845008 48.1358713, 11.5844071 48.13592, 11.5844119 48.1359319, 11.5844054 48.1359442, 11.5843911 48.1359496, 11.584424 48.1360056, 11.5842312 48.1360579))",,,,,,,,,,,,,,,,,,,,,,residential,"[2292390320, 1118479812, 2515025270, 1118479781, 1118479778, 1118479787, 1118479784, 1118479807, 2021389815, 2292390318, 2292390320]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591313,,,,,"POLYGON ((11.5384599 48.0846586, 11.5384601 48.0845374, 11.53878 48.0845377, 11.53878 48.0845169, 11.5389513 48.084517, 11.5389514 48.084498, 11.5391308 48.0844982, 11.5391309 48.0843977, 11.5392927 48.0843978, 11.5392923 48.0846083, 11.5391405 48.0846082, 11.5390913 48.0846081, 11.5390912 48.0846337, 11.5389308 48.0846335, 11.5389307 48.084651, 11.5388978 48.084651, 11.5388667 48.084651, 11.5388668 48.0846369, 11.5387637 48.0846368, 11.5387637 48.0846608, 11.538601 48.0846607, 11.538601 48.0846727, 11.5385746 48.0846727, 11.5385408 48.0846727, 11.5385408 48.0846586, 11.5384599 48.0846586))",,,,,,,,,,,,,,,,,,,,lightgrey,,residential,"[1118832622, 1118832811, 1118832745, 1118832599, 1118832843, 1118832778, 1118832721, 1118832818, 1118832748, 1118832689, 1118832613, 1118832602, 1118832789, 1118832728, 1118832653, 2481674930, 1118832566, 1118832756, 1118832695, 1118832625, 1118832860, 1118832739, 2481674938, 1118832660, 1118832575, 1118832622]",,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591317,,,,,"POLYGON ((11.5376905 48.0834286, 11.5376583 48.0832924, 11.5376309 48.0831764, 11.5376623 48.0831576, 11.53771 48.0831685, 11.5378044 48.0831286, 11.5379053 48.0832003, 11.5378369 48.0832619, 11.5378814 48.0832916, 11.5379595 48.0832742, 11.537991 48.0833467, 11.5378402 48.0834134, 11.5378369 48.0833981, 11.5377458 48.0834105, 11.5377469 48.0834235, 11.5376905 48.0834286))",,,,,,,,,,,,,,,,,,,,lightgrey,,residential,"[1118832584, 2481674957, 1118832784, 1118832725, 1118832825, 1118832759, 1118832698, 1118832628, 1118832795, 1118832740, 1118832661, 1118832576, 1118832768, 1118832716, 1118832637, 1118832584]",4,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591318,,,,,"POLYGON ((11.5376062 48.0831297, 11.5375878 48.0830346, 11.5376088 48.0830328, 11.5376052 48.0830143, 11.5376014 48.0829949, 11.5377056 48.0829858, 11.5377126 48.083022, 11.5377351 48.0830201, 11.5377539 48.0831169, 11.5376062 48.0831297))",,,,,,,,,,,,,,,,,,,,red,,residential,"[1118832785, 1118832675, 1118832594, 2481674885, 1118832834, 1118832644, 1118832562, 1118832814, 1118832746, 1118832785]",1,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591322,,,,,"POLYGON ((11.5383218 48.0844619, 11.5382927 48.0843312, 11.5382776 48.0842633, 11.5381832 48.0842726, 11.5381555 48.0841482, 11.5383637 48.0841275, 11.5383825 48.084212, 11.5385264 48.0841977, 11.5385538 48.0843208, 11.5384793 48.0843282, 11.538505 48.0844437, 11.5383218 48.0844619))",,,,,,,,,,,,,,,,,,,,lightgrey,,residential,"[1118832841, 2481674939, 1118832731, 1118832656, 1118832572, 1118832715, 1118832634, 1118832868, 1118832794, 1118832672, 1118832592, 1118832841]",,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591324,,,,,"POLYGON ((11.5375776 48.0829969, 11.5375598 48.082905, 11.5377324 48.0828901, 11.5377503 48.082982, 11.5377056 48.0829858, 11.5376014 48.0829949, 11.5375776 48.0829969))",15,,,,,,,,,,,,,,,,,,,red,,residential,"[1118832846, 1118832579, 1118832826, 1118832717, 1118832644, 1118832834, 1118832846]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591327,,,,,"POLYGON ((11.5387019 48.0849519, 11.5391908 48.0849203, 11.5391836 48.0848704, 11.5393658 48.0848586, 11.539405 48.08513, 11.5392269 48.0851415, 11.5392245 48.0851245, 11.5392206 48.0850973, 11.5391366 48.0851027, 11.5388909 48.0851186, 11.5387276 48.0851291, 11.5387019 48.0849519))",,,,,,,,,,,,,,,,,,,,,,residential,"[1118832775, 1118832820, 1118832706, 1118832629, 1118832863, 1118832790, 1749440548, 1118832669, 2481674946, 2481674877, 1118832577, 1118832775]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591328,,,,,"POLYGON ((11.5374764 48.0826935, 11.5374072 48.0825872, 11.537605 48.0825298, 11.5376741 48.082636, 11.5375808 48.0826631, 11.5374764 48.0826935))",,,,,,,,,,,,,,,,,,,,red,,residential,"[1118832651, 1118832640, 1118832558, 1118832808, 2481674922, 1118832651]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96591330,,,,,"POLYGON ((11.5379684 48.0839307, 11.5379523 48.0837911, 11.5380224 48.0837875, 11.5380185 48.0837536, 11.5380161 48.0837329, 11.5378437 48.0837418, 11.5378327 48.0836465, 11.5380818 48.0836337, 11.5380688 48.0835216, 11.538166 48.0835166, 11.5381626 48.0834866, 11.5386642 48.0834607, 11.5386685 48.0834984, 11.5387759 48.0834929, 11.5387999 48.0837011, 11.5386903 48.0837068, 11.5386925 48.0837259, 11.5385901 48.0837312, 11.538572 48.0835744, 11.5385102 48.0835776, 11.538516 48.0836278, 11.5382789 48.08364, 11.5382878 48.0837166, 11.5381884 48.0837218, 11.5381902 48.0837376, 11.5381961 48.0837879, 11.5382218 48.0837865, 11.5382341 48.0838923, 11.5381619 48.0838961, 11.5381648 48.0839206, 11.5379684 48.0839307))",,,,,,,,,,,,,,,,,,,,,,residential,"[1118832845, 1118832816, 1118832691, 1749435111, 1118832616, 1118832848, 1118832779, 1118832573, 1118832823, 1118832754, 1118832693, 1118832866, 1118832792, 1118832733, 1118832658, 1118832831, 1118832760, 1118832709, 1118832630, 1118832805, 1118832743, 1118832671, 1118832582, 1118832722, 10271003666, 1118832642, 1118832560, 1118832812, 1118832688, 1118832600, 1118832845]",4,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
