element_type,osmid,addr:city,addr:country,addr:postcode,addr:street,geometry,addr:housenumber,entrance,source,fixme,addr:suburb,level,wheelchair,name,wikidata,amenity,wikimedia_commons,architect,heritage,heritage:operator,heritage:ref,image,note,description,wikipedia,roof:colour,opening_hours,building,nodes,building:levels,roof:levels,roof:shape,building:min_level,capacity,layer,operator,building:colour,addr:housename,start_date,height,roof:angle,disused:military,historic,location,old_start_date,roof:height,protect_class,website,area,BLfD:criteria,est_height,ref:BLfD,roof:material,architect:wikidata,building:architecture,roof:orientation,indoor_seating,outdoor_seating,phone,3dr:alpha1,3dr:type,building:levels:underground,noname,building:material,building:flats,smoking,nohousenumber,building:use,denomination,religion,roof:direction,contact:website,building:roof,building:part,source_ref,source:geometry,type,ways
way,26631071,,,,,"POLYGON ((11.6342803 48.1653271, 11.6343596 48.1653079, 11.6345058 48.1653091, 11.6345576 48.1653261, 11.6346365 48.1653519, 11.634688 48.1653698, 11.6346984 48.1653557, 11.634718 48.1653639, 11.6347495 48.1653771, 11.634744 48.1653915, 11.6348389 48.1654712, 11.6348643 48.1655258, 11.6349129 48.1655149, 11.6349274 48.1655512, 11.6350778 48.1655205, 11.6350658 48.1654827, 11.6351682 48.1654614, 11.6354088 48.1654115, 11.6355946 48.1653729, 11.6357199 48.1653469, 11.635738 48.1653793, 11.6358073 48.1653653, 11.6358993 48.1653467, 11.6358812 48.1653096, 11.6359499 48.1652933, 11.6359028 48.1651965, 11.6358571 48.1652056, 11.6358018 48.1650843, 11.635749 48.1649685, 11.6357275 48.1649213, 11.6358443 48.1648966, 11.6360417 48.1648549, 11.6360646 48.1648501, 11.6362501 48.1648109, 11.6363928 48.1647807, 11.6363972 48.1647896, 11.6364899 48.1649785, 11.6364654 48.1649839, 11.6365153 48.1650927, 11.6366903 48.1650529, 11.6366432 48.1649523, 11.6364948 48.1646355, 11.6359939 48.1647454, 11.6354794 48.1648582, 11.6355313 48.1649626, 11.6355429 48.1649604, 11.6356709 48.1652185, 11.6356622 48.165242, 11.6350171 48.1653788, 11.6349842 48.1653078, 11.6348299 48.1652493, 11.6348086 48.1652823, 11.6347038 48.1652489, 11.6346234 48.165218, 11.6346391 48.1651931, 11.6345436 48.1651307, 11.6343913 48.1651611, 11.6343785 48.1651341, 11.6342224 48.1651697, 11.6342252 48.1651846, 11.6337012 48.1652997, 11.6335775 48.1653269, 11.6335465 48.1652811, 11.6333998 48.1653141, 11.6334163 48.1653523, 11.6330664 48.1654333, 11.6331155 48.1655363, 11.6332639 48.1655041, 11.6334801 48.1654631, 11.6335885 48.165696, 11.6335942 48.1657083, 11.6336975 48.1659302, 11.6336889 48.1659463, 11.6334149 48.1660054, 11.6329921 48.1660965, 11.6329392 48.1659871, 11.6328736 48.1658517, 11.6328455 48.1657938, 11.6327634 48.1656181, 11.6328433 48.1655994, 11.6328163 48.165545, 11.6327943 48.1655007, 11.632721 48.1655131, 11.6327068 48.1654715, 11.63256 48.1655045, 11.6325742 48.1655399, 11.6322038 48.1656189, 11.6322519 48.1657247, 11.6323998 48.1656903, 11.632625 48.1656438, 11.6327378 48.1658818, 11.6327555 48.1659191, 11.6328546 48.1661236, 11.6324744 48.1662054, 11.6321167 48.1662823, 11.6320768 48.1661906, 11.6320001 48.1660345, 11.6319577 48.1659483, 11.6318843 48.1658001, 11.6319608 48.1657813, 11.6319413 48.1657439, 11.6319124 48.1656884, 11.6318457 48.1656975, 11.6318273 48.1656538, 11.6316738 48.1656886, 11.6316893 48.1657281, 11.6313318 48.1658056, 11.6313766 48.1659088, 11.6315085 48.1658765, 11.6317474 48.1658297, 11.6318613 48.1660616, 11.6318721 48.1660836, 11.6319836 48.1663133, 11.6316379 48.1663883, 11.6312669 48.1664687, 11.6312414 48.1664631, 11.6312098 48.1663945, 11.631131 48.1662234, 11.6310694 48.1660896, 11.6310213 48.1659852, 11.631076 48.1659725, 11.6310522 48.1659191, 11.6310306 48.1658674, 11.6309616 48.1658781, 11.6309446 48.1658421, 11.6308062 48.1658751, 11.6308226 48.1659106, 11.6304547 48.1659878, 11.6305053 48.1660893, 11.6306851 48.1660537, 11.6308729 48.1660144, 11.6309811 48.1662597, 11.6310954 48.1665007, 11.6310465 48.16651, 11.6311114 48.1666497, 11.6312196 48.1666291, 11.6313201 48.1666099, 11.6313055 48.1665754, 11.6315287 48.1665273, 11.631687 48.1664931, 11.6317518 48.1664791, 11.6320361 48.1664175, 11.6320559 48.1664545, 11.6321277 48.1664379, 11.6321949 48.1664224, 11.6321759 48.1663867, 11.6323843 48.1663413, 11.632527 48.1663104, 11.6327045 48.166272, 11.6329057 48.1662345, 11.6329203 48.16627, 11.6329903 48.1662543, 11.6330607 48.1662385, 11.6330425 48.1661989, 11.6332206 48.1661574, 11.6335312 48.1660875, 11.6337562 48.1660427, 11.6337764 48.1660844, 11.6338384 48.1660706, 11.6339145 48.1660536, 11.6339034 48.1660194, 11.6339591 48.166009, 11.6339038 48.1659103, 11.6338555 48.165923, 11.6337985 48.1658089, 11.6337406 48.1656813, 11.633728 48.1656535, 11.6336768 48.1655342, 11.6336386 48.165445, 11.633631 48.1654272, 11.6337541 48.1653989, 11.633795 48.1653895, 11.6340789 48.1653288, 11.6342665 48.1652933, 11.6342803 48.1653271))",,,,,,,,,,,,,,,,,,,,,,residential,"[292104359, 1533281537, 292104391, 1533205871, 5210145025, 292104356, 1533281547, 1533185792, 1533281663, 1533281637, 1533281599, 292104392, 1533281523, 1533281533, 1533281611, 1533281594, 1533205862, 1533205783, 1533205747, 1533281541, 292104387, 1533205708, 1533281549, 1533281606, 1533281617, 1533281575, 1533281531, 1533205776, 1533205896, 292104396, 1533205834, 1827010021, 1533205709, 1533205668, 292104385, 1533205733, 1533281612, 1533281643, 292104360, 292104366, 1533205828, 292104361, 1827010010, 292104382, 1533281616, 1533281565, 292104384, 1533281633, 292104395, 1533281628, 1533281520, 292104379, 5210145026, 1533281588, 1533281551, 292104380, 1533281581, 1533281577, 1533281667, 1533281630, 8148546678, 1533281601, 1533281585, 1533281539, 1533281576, 292104369, 292104390, 332591488, 292104364, 332591483, 9733394631, 1533281579, 292104376, 8139977773, 292104397, 332591491, 9733388264, 332591495, 1533281626, 1533281535, 1533378169, 1533281596, 1533281578, 292104393, 1533281516, 1533281564, 292104388, 292104367, 332591498, 292104381, 9733388265, 332591493, 292104358, 9733388312, 292104357, 332591500, 9733388266, 332591504, 1533281665, 1533281555, 1533372112, 1533281661, 1533281603, 292104362, 1533281522, 1533281595, 292104389, 292104394, 332591507, 292104371, 9733388267, 332591502, 292104355, 9733388286, 1533281620, 292104373, 7442846719, 9733394634, 1533292243, 1533281527, 1533281543, 332591455, 1533281559, 1533281557, 292104363, 1533281605, 1533281656, 292104372, 292104386, 1144060281, 292104365, 332591457, 1533281614, 1533281597, 292104368, 1533372110, 1533281553, 332591463, 332591465, 9733388287, 332591467, 1533281632, 1533281545, 1533372107, 1533281653, 1533281657, 332591470, 9733388313, 332591472, 1533281647, 1533281641, 1533372117, 1533281583, 1533281639, 332591476, 332591477, 1533281622, 1533281574, 1533378170, 292104383, 1533281563, 1533281659, 1533281635, 1533281651, 332591481, 9733394632, 7419714125, 1533380186, 1533380185, 292104370, 8148546677, 332591509, 332591511, 1533281525, 292104359]",5,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26820573,München,,81829,Isarlandstraße,"POLYGON ((11.6756064 48.1413214, 11.675776 48.1411554, 11.6759781 48.1412473, 11.6758086 48.1414134, 11.6756064 48.1413214))",1,,,,,,,,,,,,,,,,,,,,,residential,"[294205994, 294205926, 294206016, 294205928, 294205994]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27002658,,,,,"POLYGON ((11.5280621 48.1665001, 11.5281176 48.1663969, 11.5281926 48.1664149, 11.5282248 48.166355, 11.5281502 48.1663371, 11.5283668 48.1659349, 11.5284506 48.1659549, 11.5284726 48.1659141, 11.5283902 48.1658944, 11.5284596 48.1657655, 11.5283085 48.1657293, 11.5279128 48.1664643, 11.5280621 48.1665001))",,,,,,,,,,,,,,,,,,Neubau eines Wohnheims für Mitarbeiter; Ausbauoffensive Werkswohnungen+,,,,residential,"[6135856220, 9943375752, 9943375750, 9943375749, 9943375751, 9943375755, 9943375754, 9943375753, 1675929577, 295981787, 6135856217, 6135856219, 6135856220]",,,,1,150,1,Stadtwerke München GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27228007,München,DE,80995,Josef-Frankl-Straße,"POLYGON ((11.5364516 48.2141572, 11.5366006 48.2141353, 11.5365963 48.2141222, 11.5365858 48.2140904, 11.5366287 48.2140841, 11.5366628 48.2140791, 11.536687 48.2140755, 11.5366519 48.2139684, 11.536599 48.2139762, 11.5365423 48.2139845, 11.5364016 48.2140052, 11.5364516 48.2141572))",19,,,,,,,,,,,,,,,,,,,,,residential,"[2566870550, 298821503, 2566870549, 298821504, 2566870547, 2566870545, 2566870543, 298821520, 2229349993, 2229350001, 2566870534, 2566870550]",5,,,,,,,mocassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27662091,,,80636,Erika-Mann-Straße,"POLYGON ((11.5396532 48.1431388, 11.5396349 48.1430169, 11.5391599 48.1430487, 11.5391782 48.1431705, 11.5394127 48.1431548, 11.5396532 48.1431388))",47,,,,,,,Panorama Towers,,,,,,,,,,,,,,residential,"[303804472, 303804694, 303381720, 303381714, 2475837601, 303804472]",13,,flat,,,,,,Panorama Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27820203,,,,,"POLYGON ((11.3850636 48.1505272, 11.3853877 48.1502646, 11.3855337 48.1503447, 11.3852095 48.1506074, 11.3850636 48.1505272))",,,,,,,,,,,,,,,,,,,,,,residential,"[305465968, 305465969, 305465971, 305465972, 305465968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28039163,München,DE,80538,Widenmayerstraße,"POLYGON ((11.5954091 48.147393, 11.595475 48.1474854, 11.5958048 48.1474389, 11.5957534 48.1472082, 11.5955778 48.1472307, 11.5955995 48.1473144, 11.595561 48.147317, 11.5954091 48.147393))",45,,,,Lehel,,,,Q98643003,,,,4,BLfD,D-1-62-000-7521,https://de.wikipedia.org/wiki/Datei:Widenmayerstr._45_Muenchen-1.jpg,,,,,,residential,"[307875499, 1983393441, 307875520, 307875521, 307875515, 307875523, 307875502, 307875499]",5,,hipped,,,,,,,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29355733,München,DE,,Schleißheimer Straße,"POLYGON ((11.5692581 48.1760572, 11.5692839 48.1762814, 11.5695289 48.1762688, 11.5695184 48.1761775, 11.5695031 48.1760446, 11.5694363 48.176048, 11.5692581 48.1760572))",280a,,,,,,,,,,,,,,,,,,,,,residential,"[322901643, 322901621, 322901622, 2520215737, 322901626, 322901629, 322901643]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076505,,,,,"POLYGON ((11.5150714 48.1294186, 11.5151237 48.1294101, 11.5151765 48.1294015, 11.5152232 48.1293939, 11.5151885 48.1292989, 11.5150367 48.1293236, 11.5150714 48.1294186))",,,,,,,,,,,,,,,,,,,,,,residential,"[331277224, 2431932473, 344723214, 331277229, 331277234, 331277239, 331277224]",,,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076510,,,,,"POLYGON ((11.5162297 48.1302119, 11.5163278 48.1301458, 11.5161961 48.1300586, 11.516163 48.1300809, 11.5160979 48.1301246, 11.5162297 48.1302119))",,,,,,,,,,,,,,,,,,,,,,residential,"[2441018631, 331277320, 331277330, 347603814, 2441018629, 2441018631]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
