element_type,osmid,amenity,capacity,fee,network,opening_hours,operator,payment:coins,payment:debit_cards,ref,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amperage,socket:type2,source,source:delivery_date,voltage,authentication:membership_card,description,manufacturer,motorcar,name,socket:schuko,operator:short,operator:wikidata,operator:wikipedia,website,fixme,authentication:nfc,authentication:none,access,capacity:car,socket:type2_combo,scooter,layer,level,note,covered,bicycle,service:bicycle:charging,service:bicycle:pump,socket:schuko:current,socket:type2:output,contact:phone,contact:website,socket:chademo,socket:chademo:output,socket:type2_combo:output,capacity:charging,description:en,truck,wheelchair,cars,trucks,authentication:app,parking:fee,check_date,status,maxstay,power,traffic_sign,brand,authentication:phone_call,authentication:short_message,surveillance:type,charging_station:output,name:de,name:en,object:city,object:country,object:housenumber,object:postcode,object:street,socket:type2:current,socket:type2:voltage,brand:wikidata,brand:wikipedia,short_name,maxstay:conditional,authentication:membership_card:types,payment:membership_card,ref:EU:EVSE,socket:type:output,cargo,payment:account_cards,payment:credit_cards,payment:electronic_purses,payment:notes,phone,vending,contact:email,note:en,motor_vehicle,charge,image,amenity:wikipedia,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,payment:maestro,ref:ocm
node,4637746596,charging_station,,,,,,,,,POINT (11.5289269 48.1016043),München,DE,10,,Hofmannstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4729234991,charging_station,6,,,,Share Now,,,,POINT (11.5568667 48.1778601),,,,,,,,,,,,,,,Share Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4775254568,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME003001,POINT (11.5808513 48.1154995),,,,,,,2,survey,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,Apr17 neu errichtet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4890326221,charging_station,2,,,,Stadtwerke München,,,DESWME002701;DESWME002702,POINT (11.5335293 48.1540292),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4929109732,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,ladenetz.de,DESWME003402;DESWME003401,POINT (11.5557036 48.1552022),,,,,,,2,survey,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4939033442,charging_station,2,,ladenetz.de,24/7,Stadtwerke München,,,,POINT (11.6020704 48.1339645),,,,,,32,2,,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4939033539,charging_station,2,,ladenetz.de,24/7,Stadtwerke München,,,,POINT (11.6020511 48.1338769),,,,,,32,2,,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4955396902,charging_station,2,,ladenetz.de,24/7,Stadtwerke München,,,DESWMS0035,POINT (11.6046102 48.1393963),,,,,,32,2,,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5015892220,charging_station,2,,,,E.ON,,,,POINT (11.5549698 48.138922),,,,,,,,survey,,,,,,,,,,Q270223,de:E.ON,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5081516594,charging_station,2,,,,Stadtwerke München,,,,POINT (11.565228 48.1533715),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5098536839,charging_station,2,,,,Bw Fuhrpark GmbH,,,,POINT (11.5937484 48.2110245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5113266379,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME011701;DESWME011702,POINT (11.5777823 48.1103419),,,,,,,2,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
