element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
way,372173257,,parking_space,"POLYGON ((11.5853963 48.1446465, 11.5855217 48.1446224, 11.5855044 48.1445823, 11.585379 48.1446065, 11.5853963 48.1446465))",,4,"[3757065549, 3757065547, 3757065545, 3757065546, 3757065549]",,,,,,,,,,,,,,,,,,,,,
way,372173258,,parking_space,"POLYGON ((11.5869162 48.144407, 11.5869362 48.1444493, 11.5871288 48.1444087, 11.5872441 48.1443615, 11.587214 48.1443245, 11.5871088 48.1443664, 11.5869162 48.144407))",,10,"[3757065534, 3757065538, 3757065535, 4318712318, 4318712316, 3757065530, 3757065534]",,,,,,,,,,,,,,,,,,,,,
way,372173259,,parking_space,"POLYGON ((11.5867026 48.1444404, 11.5866836 48.1443981, 11.5862067 48.1444931, 11.5862257 48.1445354, 11.5867026 48.1444404))",,15,"[3757065537, 3757065533, 3757065540, 3757065543, 3757065537]",,,,,,,,,,,,,,,,,,,,,
way,447306908,customers,parking_space,"POLYGON ((11.5326347 48.1165858, 11.5326349 48.1166254, 11.5327753 48.1166251, 11.5327751 48.1165855, 11.5326347 48.1165858))",,4,"[4444707771, 4444707779, 4444707778, 4444707770, 4444707771]",,,,,,,,,,,,,,,,,,,,,
way,447306909,customers,parking_space,"POLYGON ((11.5322033 48.1166089, 11.532418 48.1166086, 11.5324179 48.1165624, 11.5322031 48.1165627, 11.5322033 48.1166089))",,6,"[4444707774, 4444707773, 4444707767, 4444707768, 4444707774]",,,,,,,,,,,,,,,,,,,,,
way,447306910,customers,parking_space,"POLYGON ((11.5325664 48.1162078, 11.5329168 48.1162055, 11.5329163 48.1161653, 11.5325659 48.1161676, 11.5325664 48.1162078))",,9,"[4444706376, 4444706375, 4444706368, 4444706369, 4444706376]",,,,,,,,,,,,,,,,,,,,,
way,447306911,private,parking_space,"POLYGON ((11.5330301 48.1174285, 11.5330333 48.1174744, 11.5333387 48.117465, 11.5333355 48.117419, 11.5330301 48.1174285))",,10,"[4444707945, 4444707963, 4444707958, 4444707943, 4444707945]",,,,,,,,,,,,,,,,,,,,,
way,447306912,customers,parking_space,"POLYGON ((11.5327757 48.1164822, 11.5325413 48.1164826, 11.5325415 48.1165223, 11.5327759 48.1165219, 11.5327757 48.1164822))",,7,"[4444706387, 4444706388, 4444707795, 4444707794, 4444706387]",surface,,,,no,yes,60,no,,,,,,,,,,,,,
way,447306913,customers,parking_space,"POLYGON ((11.5328678 48.116612, 11.5329314 48.1166121, 11.5329317 48.1164383, 11.5328681 48.1164382, 11.5328678 48.116612))",,7,"[4444707775, 4444707776, 4444707790, 4444707789, 4444707775]",,,,,,,,,,,,,,,,,,,,,
way,447306914,customers,parking_space,"POLYGON ((11.5325376 48.1163231, 11.5325371 48.1163639, 11.5328432 48.1163654, 11.5328437 48.1163247, 11.5325376 48.1163231))",,9,"[4444706378, 4444706382, 4444706383, 4444706379, 4444706378]",surface,,,,no,yes,60,no,,,,,,,,,,,,,
way,447306915,private,parking_space,"POLYGON ((11.5331545 48.1175729, 11.5333295 48.1175693, 11.5333273 48.1175213, 11.5331523 48.1175248, 11.5331545 48.1175729))",,6,"[4444707827, 4444707825, 4444707812, 4444707813, 4444707827]",,,,,,,,,,,,,,,,,,,,,
way,454700632,permissive,parking_space,"POLYGON ((11.6501865 48.0891482, 11.6502387 48.0891791, 11.6502178 48.0891948, 11.6501657 48.0891639, 11.6501865 48.0891482))",,,"[4512362325, 4512362326, 4512362327, 4512362328, 4512362325]",street_side,,,,,,,,,,,,,,,,,,,,
way,486665959,,parking_space,"POLYGON ((11.5294173 48.1366752, 11.5294085 48.1366324, 11.5294387 48.1366296, 11.5294476 48.1366724, 11.5294173 48.1366752))",,1,"[4792437879, 4792437878, 4792437880, 4792437881, 4792437879]",,,,,,,,,,,,,,,,,,,,,
way,486665960,,parking_space,"POLYGON ((11.5294811 48.1366693, 11.5294476 48.1366724, 11.5294387 48.1366296, 11.5294723 48.1366266, 11.5294811 48.1366693))",,1,"[4792437883, 4792437881, 4792437880, 4792437882, 4792437883]",,,,,,,,,,,,,,,,,,,,,
way,486665962,,parking_space,"POLYGON ((11.5295198 48.1366658, 11.529511 48.136623, 11.5295485 48.1366196, 11.5295573 48.1366623, 11.5295198 48.1366658))",,1,"[4792437885, 4792437884, 4792437886, 4792437887, 4792437885]",,,,,,,,,,,,,,,,,,,,,
way,486665963,,parking_space,"POLYGON ((11.5295573 48.1366623, 11.5295485 48.1366196, 11.5295834 48.1366164, 11.5295923 48.1366591, 11.5295573 48.1366623))",,1,"[4792437887, 4792437886, 4792437888, 4792437889, 4792437887]",,,,,,,,,,,,,,,,,,,,,
