element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
way,795803615,,parking_space,"POLYGON ((11.5858233 48.1918209, 11.5859627 48.1918226, 11.5859615 48.1918675, 11.5859603 48.1919124, 11.5856811 48.1919091, 11.5856823 48.1918642, 11.5856123 48.1918633, 11.5856111 48.1919082, 11.5853998 48.1919057, 11.585401 48.1918608, 11.5854022 48.1918159, 11.5857532 48.1918201, 11.585752 48.191865, 11.5858221 48.1918658, 11.5858233 48.1918209))",,28,"[7443393080, 7443407386, 7443407387, 7443407388, 7443393083, 7443393082, 7443393081, 7443393084, 7443407390, 7443407389, 7443407385, 7443393079, 7443393078, 7443393077, 7443393080]",,,,,,,,,,,,,,,,,,,,,
way,795803616,,parking_space,"POLYGON ((11.5857583 48.191622, 11.5854076 48.1916178, 11.5854088 48.1915729, 11.58541 48.191528, 11.5859704 48.1915347, 11.5859692 48.1915796, 11.585968 48.1916245, 11.5858283 48.1916228, 11.5858295 48.1915779, 11.5857595 48.1915771, 11.5857583 48.191622))",,30,"[7443407394, 7443407400, 7443407397, 7443407395, 7443407396, 7443407398, 7443407399, 7443407393, 7443407392, 7443407391, 7443407394]",,,,,,,,,,,,,,,,,,,,,
way,795803617,,parking_space,"POLYGON ((11.5856862 48.1916756, 11.5856851 48.1917205, 11.5856151 48.1917198, 11.5856161 48.1916749, 11.5854053 48.1916728, 11.5854043 48.1917177, 11.5854032 48.1917626, 11.5859637 48.1917683, 11.5859648 48.1917234, 11.5859658 48.1916785, 11.5856862 48.1916756))",,30,"[7443407410, 7443407409, 7443407408, 7443407407, 7443407406, 7443407405, 7443407404, 7443407403, 7443407402, 7443407401, 7443407410]",,,,,,,,,,,,,,,,,,,,,
way,795803618,,parking_space,"POLYGON ((11.5856942 48.1913877, 11.585693 48.1914326, 11.585623 48.1914318, 11.5856242 48.1913868, 11.5854134 48.1913843, 11.5854122 48.1914292, 11.585411 48.1914742, 11.5859715 48.1914808, 11.5859727 48.1914359, 11.5859739 48.191391, 11.5856942 48.1913877))",,30,"[7443407414, 7443407411, 7443407412, 7443407413, 7443407415, 7443407417, 7443407420, 7443407419, 7443407418, 7443407416, 7443407414]",,,,,,,,,,,,,,,,,,,,,
way,795803619,,parking_space,"POLYGON ((11.5850861 48.1919024, 11.5853313 48.191905, 11.5853334 48.1918151, 11.5850882 48.1918126, 11.5850861 48.1919024))",,14,"[7443407424, 7443407423, 7443407422, 7443407421, 7443407424]",,,,,,,,,,,,,,,,,,,,,
way,795803620,,parking_space,"POLYGON ((11.5850904 48.1917585, 11.5853357 48.191761, 11.5853378 48.1916712, 11.5850925 48.1916687, 11.5850904 48.1917585))",,14,"[7443407428, 7443407427, 7443407426, 7443407425, 7443407428]",,,,,,,,,,,,,,,,,,,,,
way,795803621,,parking_space,"POLYGON ((11.5850941 48.1916141, 11.5853394 48.1916166, 11.5853414 48.1915268, 11.5850962 48.1915243, 11.5850941 48.1916141))",,14,"[7443407432, 7443407431, 7443407430, 7443407429, 7443407432]",,,,,,,,,,,,,,,,,,,,,
way,795803622,,parking_space,"POLYGON ((11.5851008 48.191326, 11.5853461 48.1913285, 11.5853481 48.1912387, 11.5851029 48.1912362, 11.5851008 48.191326))",,14,"[7443407436, 7443407435, 7443407434, 7443407433, 7443407436]",,,,,,,,,,,,,,,,,,,,,
way,795803623,,parking_space,"POLYGON ((11.5850971 48.1914708, 11.5853423 48.1914733, 11.5853444 48.1913835, 11.5850992 48.191381, 11.5850971 48.1914708))",,14,"[7443407440, 7443407439, 7443407438, 7443407437, 7443407440]",,,,,,,,,,,,,,,,,,,,,
way,808776788,,parking_space,"POLYGON ((11.5833969 48.1988774, 11.5833939 48.1989285, 11.5833245 48.1989267, 11.5833275 48.1988756, 11.5833969 48.1988774))",,2,"[7562815202, 7562815203, 2127135358, 2127135409, 7562815202]",,,,,,,,,,,,,,,,,,,,,
way,808776789,private,parking_space,"POLYGON ((11.5824864 48.1987275, 11.5825571 48.1987295, 11.5825599 48.1986855, 11.5824892 48.1986834, 11.5824864 48.1987275))",,2,"[2127135374, 2127135414, 2127135387, 2127135404, 2127135374]",,,,,,,,,,,,,,,,,,,,,
way,808776790,,parking_space,"POLYGON ((11.5824795 48.1987782, 11.5824467 48.1987775, 11.5824499 48.1987266, 11.5824827 48.1987274, 11.5824795 48.1987782))",,1,"[7562815205, 2127135412, 2127135370, 7562815204, 7562815205]",,,,,,,,,,,,,,,,,,,,,
way,808776791,,parking_space,"POLYGON ((11.5824741 48.1989044, 11.5824412 48.1989036, 11.5824442 48.1988525, 11.5824771 48.1988534, 11.5824741 48.1989044))",,1,"[2127135407, 7562815207, 7562815206, 2127135361, 2127135407]",,,,,,,,,,,,,,,,,,,,,
way,823188537,yes,parking_space,"POLYGON ((11.5527644 48.1015993, 11.5528378 48.1015788, 11.5528083 48.1015318, 11.5527349 48.1015523, 11.5527644 48.1015993))",,1,"[7685434979, 7685434976, 7685434977, 7685434978, 7685434979]",surface,,,,no,,30 minutes,,,,1,,,,,,,,,,
way,843982170,,parking_space,"POLYGON ((11.6605637 48.1189638, 11.6606091 48.1189504, 11.6605949 48.1189289, 11.6605495 48.1189423, 11.6605637 48.1189638))",disabled,,"[7872921036, 7872921033, 7872921034, 7872921035, 7872921036]",,,,,,,,,,,,,,,,,,,,,
way,846941109,,parking_space,"POLYGON ((11.6011899 48.1358563, 11.6011494 48.1358518, 11.6011075 48.1358124, 11.6011553 48.1358028, 11.6011899 48.1358563))",disabled,1,"[1337649748, 7903064745, 7903064744, 1337649737, 1337649748]",surface,,,,,,,,,,,,,,,,,,,,
way,859327135,,parking_space,"POLYGON ((11.5327753 48.1164233, 11.5326398 48.1164243, 11.5326405 48.1164686, 11.532776 48.1164677, 11.5327753 48.1164233))",,4,"[8010172592, 8010172589, 8010172590, 8010172591, 8010172592]",,,,,,,,,,,,,,,,,,,,,
way,859327136,,parking_space,"POLYGON ((11.5325376 48.1162648, 11.5328444 48.1162641, 11.5328446 48.1163068, 11.5325378 48.1163076, 11.5325376 48.1162648))",,9,"[8010172595, 8010172594, 8010172596, 8010172593, 8010172595]",,,,,,,,,,,,,,,,,,,,,
way,859327137,customers,parking_space,"POLYGON ((11.5322043 48.1167162, 11.5324192 48.1167245, 11.5324197 48.116669, 11.5322039 48.1166691, 11.5322043 48.1167162))",,6,"[8010172597, 8010172598, 8010172599, 8010172600, 8010172597]",,,,,,,,,,,,,,,,,,,,,
way,922600951,yes,parking_space,"POLYGON ((11.6247371 48.1029142, 11.6247705 48.1029162, 11.6247769 48.1028678, 11.6247435 48.1028658, 11.6247371 48.1029142))",,,"[8564924063, 8564924070, 8564924069, 8564924062, 8564924063]",,,,,no,,,,,,,,,,,,,,,,
way,922600952,yes,parking_space,"POLYGON ((11.6247037 48.1029123, 11.6247371 48.1029142, 11.6247435 48.1028658, 11.6247101 48.1028639, 11.6247037 48.1029123))",,,"[8564924065, 8564924063, 8564924062, 8564924064, 8564924065]",,,,,no,,,,,,,,,,,,,,,,
way,922600953,yes,parking_space,"POLYGON ((11.6246703 48.1029103, 11.6247037 48.1029123, 11.6247101 48.1028639, 11.6246767 48.1028619, 11.6246703 48.1029103))",,,"[8564924067, 8564924065, 8564924064, 8564924066, 8564924067]",,,,,no,,,,,,,,,,,,,,,,
way,922600954,yes,parking_space,"POLYGON ((11.624637 48.1029083, 11.6246703 48.1029103, 11.6246767 48.1028619, 11.6246434 48.1028599, 11.624637 48.1029083))",,,"[8564924071, 8564924067, 8564924066, 8564924068, 8564924071]",,,,,no,,,,,,,,,,,,,,,,
way,922600957,yes,parking_space,"POLYGON ((11.6251898 48.1029461, 11.625224 48.1029486, 11.6252316 48.1029025, 11.6251974 48.1029, 11.6251898 48.1029461))",,,"[8564924081, 8564924092, 8564924091, 8564924080, 8564924081]",,,,,no,,,,,,,,,,,,,,,,
way,922600958,yes,parking_space,"POLYGON ((11.6251556 48.1029436, 11.6251898 48.1029461, 11.6251974 48.1029, 11.6251632 48.1028975, 11.6251556 48.1029436))",,,"[8564924083, 8564924081, 8564924080, 8564924082, 8564924083]",,,,,no,,,,,,,,,,,,,,,,
way,922600959,customers,parking_space,"POLYGON ((11.6251215 48.1029411, 11.6251556 48.1029436, 11.6251632 48.1028975, 11.625129 48.102895, 11.6251215 48.1029411))",,,"[8564924085, 8564924083, 8564924082, 8564924084, 8564924085]",,,,,no,,,,,,,,,,,,,,,,
way,922600960,customers,parking_space,"POLYGON ((11.6250873 48.1029386, 11.6251215 48.1029411, 11.625129 48.102895, 11.6250948 48.1028925, 11.6250873 48.1029386))",,,"[8564924087, 8564924085, 8564924084, 8564924086, 8564924087]",,,,,no,,,,,,,,,,,,,,,,
way,922600961,yes,parking_space,"POLYGON ((11.6250531 48.1029361, 11.6250873 48.1029386, 11.6250948 48.1028925, 11.6250607 48.10289, 11.6250531 48.1029361))",,,"[8564924089, 8564924087, 8564924086, 8564924088, 8564924089]",,,,,no,,,,,,,,,,,,,,,,
way,922600962,yes,parking_space,"POLYGON ((11.6250189 48.1029336, 11.6250531 48.1029361, 11.6250607 48.10289, 11.6250265 48.1028875, 11.6250189 48.1029336))",,,"[8564924093, 8564924089, 8564924088, 8564924090, 8564924093]",,,,,no,,,,,,,,,,,,,,,,
way,936784862,yes,parking_space,"POLYGON ((11.6176395 48.1206253, 11.6177186 48.1206205, 11.6177535 48.1205693, 11.6176646 48.1205748, 11.6176395 48.1206253))",disabled,2,"[8680155498, 2386667465, 2386667468, 8680155499, 8680155498]",surface,,,,no,,,no,,,,no,,,,,,,,,
way,943536754,customers,parking_space,"POLYGON ((11.6084299 48.1265615, 11.6084751 48.1265308, 11.6084521 48.1265157, 11.6084069 48.1265464, 11.6084299 48.1265615))",,1,"[8736232361, 8736232360, 8736232359, 8736232358, 8736232361]",surface,,,,,,,,,asphalt,,,Parkflächen für die Ladestation,,,,,,,,
way,943536755,customers,parking_space,"POLYGON ((11.6083525 48.1266168, 11.6083976 48.1265861, 11.6083746 48.126571, 11.6083295 48.1266017, 11.6083525 48.1266168))",,1,"[8736232365, 8736232362, 8736232363, 8736232364, 8736232365]",surface,,,,,,,,,asphalt,,,Parkflächen für die Ladestation,,,,,,,,
way,977048734,,parking_space,"POLYGON ((11.4099066 48.1757847, 11.4100414 48.1757767, 11.4100353 48.1757311, 11.4099005 48.1757391, 11.4099066 48.1757847))",normal,4,"[9041560436, 9041560437, 9041560435, 9041560527, 9041560436]",,,,,,,,,,,,,,Normalparkplätze,,,,,,,
way,977048735,,parking_space,"POLYGON ((11.4100628 48.1757979, 11.4109095 48.1757288, 11.4109054 48.1757065, 11.4100587 48.1757756, 11.4100628 48.1757979))",,11,"[9041560439, 9041560438, 9041560320, 9041560222, 9041560439]",,,,,,,,,,,,,,Normalparkplätze,,,,,,,
way,977048768,,parking_space,"POLYGON ((11.4087464 48.1764253, 11.4098755 48.1757946, 11.4098322 48.1757601, 11.4087031 48.1763909, 11.4087464 48.1764253))",normal,41,"[9041560452, 9041560443, 9041560444, 9041560224, 9041560452]",,,,,,,,,,,,,,Normalparkplätze,,,,,,,
way,977048769,,parking_space,"POLYGON ((11.4087201 48.17644, 11.4087464 48.1764253, 11.4087031 48.1763909, 11.4086768 48.1764055, 11.4087201 48.17644))",,1,"[9041560451, 9041560452, 9041560224, 9041560225, 9041560451]",,,,1,,,,,,,,,,Reservierbarer Parkplatz 1,recommended,,,,,,
way,977048784,,parking_space,"POLYGON ((11.4085888 48.1765134, 11.4086151 48.1764987, 11.4085718 48.1764642, 11.4085455 48.1764789, 11.4085888 48.1765134))",,1,"[9041560532, 9041560450, 9041560446, 9041560227, 9041560532]",,,,6,,,,,,,,,,Reservierbarer Parkplatz 6,recommended,,,,,,
way,977057164,,parking_space,"POLYGON ((11.4099275 48.175836, 11.4084044 48.1766867, 11.4084477 48.1767212, 11.4099708 48.1758704, 11.4099275 48.175836))",normal,57,"[9041631324, 9041631418, 9041631323, 9041631325, 9041631324]",,,,,,,,,,,,,,Normalparkplätze,,,,,,,
way,977057168,,parking_space,"POLYGON ((11.4086938 48.1764547, 11.4087201 48.17644, 11.4086768 48.1764055, 11.4086505 48.1764202, 11.4086938 48.1764547))",,1,"[9041630844, 9041560451, 9041560225, 9041630829, 9041630844]",,,,,,,,,,,,,,Reservierbarer Parkplatz 2,recommended,,,,,,
way,977057169,,parking_space,"POLYGON ((11.4086676 48.1764694, 11.4086938 48.1764547, 11.4086505 48.1764202, 11.4086243 48.1764349, 11.4086676 48.1764694))",,1,"[9041631330, 9041630844, 9041630829, 9041630830, 9041631330]",,,,3,,,,,,,,,,Reservierbarer Parkplatz 3,recommended,,,,,,
way,977057170,,parking_space,"POLYGON ((11.4086413 48.176484, 11.4086676 48.1764694, 11.4086243 48.1764349, 11.408598 48.1764496, 11.4086413 48.176484))",,1,"[9041630843, 9041631330, 9041630830, 9041630831, 9041630843]",,,,4,,,,,,,,,,Reservierbarer Parkplatz 4,recommended,,,,,,
way,977057171,,parking_space,"POLYGON ((11.4086151 48.1764987, 11.4086413 48.176484, 11.408598 48.1764496, 11.4085718 48.1764642, 11.4086151 48.1764987))",,1,"[9041560450, 9041630843, 9041630831, 9041560446, 9041560450]",,,,5,,,,,,,,,,Reservierbarer Parkplatz 5,recommended,,,,,,
way,977057173,,parking_space,"POLYGON ((11.4085626 48.176528, 11.4085888 48.1765134, 11.4085455 48.1764789, 11.4085193 48.1764936, 11.4085626 48.176528))",,1,"[9041630840, 9041560532, 9041560227, 9041630833, 9041630840]",,,,,,,,,,,,,,Reservierbarer Parkplatz 7,recommended,,,,,,
way,977057174,,parking_space,"POLYGON ((11.4085363 48.1765427, 11.4085626 48.176528, 11.4085193 48.1764936, 11.408493 48.1765082, 11.4085363 48.1765427))",,1,"[9041630839, 9041630840, 9041630833, 9041631329, 9041630839]",,,,,,,,,,,,,,Reservierbarer Parkplatz 8,recommended,,,,,,
way,977057175,,parking_space,"POLYGON ((11.40851 48.1765574, 11.4085363 48.1765427, 11.408493 48.1765082, 11.4084667 48.1765229, 11.40851 48.1765574))",,1,"[9041630838, 9041630839, 9041631329, 9041630834, 9041630838]",,,,9,,,,,,,,,,Reservierbarer Parkplatz 9,recommended,,,,,,
way,977057197,,parking_space,"POLYGON ((11.4084838 48.176572, 11.40851 48.1765574, 11.4084667 48.1765229, 11.4084405 48.1765376, 11.4084838 48.176572))",,1,"[9041631422, 9041630838, 9041630834, 9041630835, 9041631422]",,,,10,,,,,,,,,,Reservierbarer Parkplatz 10,recommended,,,,,,
way,977057198,,parking_space,"POLYGON ((11.4084575 48.1765867, 11.4084838 48.176572, 11.4084405 48.1765376, 11.4084142 48.1765522, 11.4084575 48.1765867))",normal,1,"[9041558918, 9041631422, 9041630835, 9041560448, 9041558918]",,,,,,,,,,,,,,Normalparkplatz,,,,,,,
way,980041548,,parking_space,"POLYGON ((11.4084044 48.1766867, 11.4083782 48.1767014, 11.4084215 48.1767359, 11.4084477 48.1767212, 11.4084044 48.1766867))",,,"[9041631418, 9066101417, 9066101617, 9041631323, 9041631418]",,,,,,,,,,,,,,E-Fahrzeug-Parkplätze,,1,,,,,
way,980041549,,parking_space,"POLYGON ((11.4083782 48.1767014, 11.4083519 48.1767161, 11.4083952 48.1767505, 11.4084215 48.1767359, 11.4083782 48.1767014))",,,"[9066101417, 9066101517, 9066101717, 9066101617, 9066101417]",,,,,,,,,,,,,,E-Fahrzeug-Parkplätze,,1,,,,,
way,980041550,,parking_space,"POLYGON ((11.4083519 48.1767161, 11.4083257 48.1767307, 11.408369 48.1767652, 11.4083952 48.1767505, 11.4083519 48.1767161))",,,"[9066101517, 9041631419, 9041560223, 9066101717, 9066101517]",,,,,,,,,,,,,,E-Fahrzeug-Parkplätze,,1,,,,,
way,980041552,,parking_space,"POLYGON ((11.4084313 48.1766014, 11.4084575 48.1765867, 11.4084142 48.1765522, 11.408388 48.1765669, 11.4084313 48.1766014))",,,"[9066101920, 9041558918, 9041560448, 9066101817, 9066101920]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041553,,parking_space,"POLYGON ((11.408405 48.176616, 11.4084313 48.1766014, 11.408388 48.1765669, 11.4083617 48.1765816, 11.408405 48.176616))",,,"[9066101721, 9066101920, 9066101817, 9066101917, 9066101721]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041554,,parking_space,"POLYGON ((11.4083787 48.1766307, 11.408405 48.176616, 11.4083617 48.1765816, 11.4083354 48.1765962, 11.4083787 48.1766307))",,,"[9066102117, 9066101721, 9066101917, 9066102017, 9066102117]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041555,,parking_space,"POLYGON ((11.4083525 48.1766454, 11.4083787 48.1766307, 11.4083354 48.1765962, 11.4083092 48.1766109, 11.4083525 48.1766454))",,,"[9066102118, 9066102117, 9066102017, 9066101918, 9066102118]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041556,,parking_space,"POLYGON ((11.4083262 48.17666, 11.4083525 48.1766454, 11.4083092 48.1766109, 11.4082829 48.1766256, 11.4083262 48.17666))",,,"[9066102019, 9066102118, 9066101918, 9066101718, 9066102019]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041557,,parking_space,"POLYGON ((11.4083 48.1766747, 11.4083262 48.17666, 11.4082829 48.1766256, 11.4082567 48.1766402, 11.4083 48.1766747))",,,"[9066101722, 9066102019, 9066101718, 9066101719, 9066101722]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041558,,parking_space,"POLYGON ((11.4082737 48.1766894, 11.4083 48.1766747, 11.4082567 48.1766402, 11.4082304 48.1766549, 11.4082737 48.1766894))",,,"[9066101921, 9066101722, 9066101719, 9066102018, 9066101921]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041559,,parking_space,"POLYGON ((11.4082475 48.1767041, 11.4082737 48.1766894, 11.4082304 48.1766549, 11.4082041 48.1766696, 11.4082475 48.1767041))",,,"[9041630836, 9066101921, 9066102018, 9041560453, 9041630836]",,,,,,,,,,,,,,Frauenparkplatz,,,1,,,,
way,980041560,,parking_space,"POLYGON ((11.4082117 48.176724, 11.4082475 48.1767041, 11.4082041 48.1766696, 11.4081684 48.1766896, 11.4082117 48.176724))",parent,,"[9066101723, 9041630836, 9041560453, 9066101919, 9066101723]",,,,,,,,,,,,,,Familienparkplatz,,,,1,,,
way,980041561,,parking_space,"POLYGON ((11.4081759 48.176744, 11.4082117 48.176724, 11.4081684 48.1766896, 11.4081326 48.1767096, 11.4081759 48.176744))",parent,1,"[9041560234, 9066101723, 9066101919, 9041560454, 9041560234]",,,,,,,,,,,,,,Familienparkplatz,,,,1,,,
way,980041562,,parking_space,"POLYGON ((11.4081401 48.176764, 11.4081759 48.176744, 11.4081326 48.1767096, 11.4080968 48.1767295, 11.4081401 48.176764))",disabled,1,"[9066101818, 9041560234, 9041560454, 9066101720, 9066101818]",,,,,,,,,,,,,,Behindertenparkplatz,,,,,,,
way,980041564,,parking_space,"POLYGON ((11.4081043 48.176784, 11.4081401 48.176764, 11.4080968 48.1767295, 11.408061 48.1767495, 11.4081043 48.176784))",disabled,1,"[9041631332, 9066101818, 9066101720, 9041631333, 9041631332]",,,,,,,,,,,,,,Behindertenparkplatz,,,,,,,
way,986233235,,parking_space,"POLYGON ((11.5512706 48.1501478, 11.5514007 48.1501831, 11.5514399 48.1502256, 11.5513691 48.1502546, 11.5512706 48.1501478))",staff,2,"[9116892480, 9116892481, 9116892482, 9116892483, 9116892480]",,,,,,,,,,,,,,,,,,,,,
way,997524616,,parking_space,"POLYGON ((11.5908412 48.0978424, 11.590806 48.0978321, 11.5908278 48.0977989, 11.590863 48.0978092, 11.5908412 48.0978424))",,1,"[9210633656, 9210633655, 9210633654, 9210633653, 9210633656]",surface,,,,,,,,,paving_stones,,,,,,,,,designated,good,
way,1036804284,yes,parking_space,"POLYGON ((11.3890273 48.1337997, 11.3890595 48.1337592, 11.3891084 48.133784, 11.3891657 48.1337975, 11.389144 48.1338411, 11.3890859 48.133827, 11.3890273 48.1337997))",,,"[9551729874, 9551729873, 9551729872, 9551729871, 9551729870, 9551729869, 9551729874]",disabled,,,,,,,yes,,,2,,,,,,,,,,
way,1054777248,,parking_space,"POLYGON ((11.5644122 48.1468505, 11.5644378 48.1468434, 11.5643784 48.146748, 11.5643528 48.1467551, 11.5644122 48.1468505))",disabled,2,"[9692593403, 9692593402, 9692593401, 9692593400, 9692593403]",,,,,,,,,,,,,,,,,,,,,
way,1086239623,permissive,parking_space,"POLYGON ((11.6201273 48.1008129, 11.6200392 48.100812, 11.6200399 48.1007817, 11.6201279 48.1007826, 11.6201273 48.1008129))",disabled,,"[9953037161, 9953037160, 300579307, 9953037159, 9953037161]",,,,,,,,,,asphalt,,,,,,,,,,,4 h @ (08:00-19:00)
way,1086274247,,parking_space,"POLYGON ((11.5804359 48.170534, 11.5804465 48.1705037, 11.5803697 48.1704917, 11.5803591 48.170522, 11.5804359 48.170534))",disabled,,"[9953378118, 9953378117, 9953378110, 9953378111, 9953378118]",street_side,,,,,,,,,,,,,,,,,,,,
way,1086274248,,parking_space,"POLYGON ((11.5803591 48.170522, 11.5803697 48.1704917, 11.5802997 48.1704808, 11.5802891 48.1705111, 11.5803591 48.170522))",disabled,,"[9953378111, 9953378110, 9953378112, 9953378113, 9953378111]",street_side,,,,,,,,,,,,,,,,,,,,
way,1086274249,,parking_space,"POLYGON ((11.5802891 48.1705111, 11.5802997 48.1704808, 11.5802263 48.1704694, 11.5802157 48.1704997, 11.5802891 48.1705111))",disabled,,"[9953378113, 9953378112, 9953378114, 9953378115, 9953378113]",street_side,,,,,,,,,,,,,,,,,,,,
way,1086274250,,parking_space,"POLYGON ((11.5802157 48.1704997, 11.5802263 48.1704694, 11.5801523 48.1704579, 11.5801417 48.1704882, 11.5802157 48.1704997))",disabled,,"[9953378115, 9953378114, 9953378116, 9953378119, 9953378115]",street_side,,,,,,,,,,,,,,,,,,,,
way,1165980265,,parking_space,"POLYGON ((11.4150402 48.1559478, 11.4150361 48.1559255, 11.414972 48.1559304, 11.4149763 48.1559529, 11.4150402 48.1559478))",,1,"[10844613356, 10844613361, 10844613360, 10844613352, 10844613356]",,,,,,,,,,,,,,,,,,,,,
way,1165980266,,parking_space,"POLYGON ((11.4150443 48.1559701, 11.4150402 48.1559478, 11.4149763 48.1559529, 11.4149807 48.1559755, 11.4150443 48.1559701))",,1,"[10844613357, 10844613356, 10844613352, 10844613353, 10844613357]",,,,,,,,,,,,,,,,,,,,,
way,1165980267,,parking_space,"POLYGON ((11.4150485 48.1559924, 11.4150443 48.1559701, 11.4149807 48.1559755, 11.414985 48.155998, 11.4150485 48.1559924))",,1,"[10844613358, 10844613357, 10844613353, 10844613354, 10844613358]",,,,,,,,,,,,,,,,,,,,,
way,1165980268,,parking_space,"POLYGON ((11.4150526 48.1560146, 11.4150485 48.1559924, 11.414985 48.155998, 11.4149894 48.1560206, 11.4150526 48.1560146))",,1,"[10844613359, 10844613358, 10844613354, 10844613355, 10844613359]",,,,,,,,,,,,,,,,,,,,,
way,1165980269,,parking_space,"POLYGON ((11.4150567 48.1560369, 11.4150526 48.1560146, 11.4149894 48.1560206, 11.4149937 48.1560431, 11.4150567 48.1560369))",,1,"[10844613362, 10844613359, 10844613355, 10762958643, 10844613362]",,,,,,,,,,,,,,,,,,,,,
way,1178150665,,parking_space,"POLYGON ((11.4881294 48.1027122, 11.48813 48.1027506, 11.4881735 48.1027504, 11.4881741 48.102712, 11.4881294 48.1027122))",disabled,1,"[10944481700, 10944481704, 10944489205, 10944489206, 10944481700]",,,,,,,,,,,,,,,,,,,,,
way,1178150666,,parking_space,"POLYGON ((11.4881741 48.102712, 11.4881735 48.1027504, 11.488217 48.1027503, 11.4882179 48.1027126, 11.4881741 48.102712))",disabled,1,"[10944489206, 10944489205, 10944489207, 10944489208, 10944489206]",,,,,,,,,,,,,,,,,,,,,
