element_type,osmid,amenity,amperage,authentication:short_message,capacity,operator,ref,socket:type2,source,source:delivery_date,voltage,geometry,brand,brand:wikidata,brand:wikipedia,name,opening_hours,operator:wikidata,operator:wikipedia,note:de,authentication:membership_card,payment:account_cards,description,access,authentication:app,authentication:nfc,contact:phone,contact:website,fee,motorcar,parking:fee,socket:type2:output,addr:suburb,wheelchair,socket:type2:current,socket:type2:voltage,survey:date,payment:mastercard,payment:paypal,payment:visa,location,authentication:phone_call,layer,level,socket:schuko,short_name,website,charge,payment:american_express,payment:sepa,payment:vpay,comment,addr:city,addr:housenumber,addr:postcode,addr:street,phone,bicycle,authentication:none,socket:chademo,socket:type2_combo,scooter,socket:chademo:output,socket:type2_combo:output,truck,camera:direction,camera:mount,camera:type,highway,man_made,surveillance,surveillance:type,surveillance:zone,socket:type1_combo,note,covered,ref:EU:EVSE,payment:credit_cards,addr:country,hgv,maxstay,noname,output,charging_station:output,network,description:de,socket:usb,socket:tesla_supercharger_ccs,start_date,socket:type2_cable,fixme,lit,support,payment:maestro,payment:mea,object:city,object:country,object:housenumber,object:postcode,object:street,mapillary,bus,payment:bank_transfer,amenity:wikipedia,socket:tesla_supercharger_ccs:output,socket:type2_cable:output,payment:Giro-e,payment:Ladekarte,payment:app,payment:qr_code,lamp_mount,lamp_type,payment:cards,payment:contactless,check_date,small_electric_vehicle,motor_vehicle,manufacturer,payment:nfc,authentication:contactless,contact:email,maxstay:conditional,name:en,payment:cash,payment:membership_card,socket:type2_combo:current,socket:type2_combo:voltage,socket:device:USB-A,socket:device:USB-C,parking:lane:charge:conditional,socket:type1:output,email,image,image:0,image:1,nodes,parking,parking:orientation,surface,capacity:disabled,parking_space,orientation
node,769334936,charging_station,,,2,Innogy,BD-1540-1;BD-1551-6,2,,,,POINT (13.408923 52.5104425),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,,,,,no,yes,yes,+49 8002255793,https://www.epowerdirect.com/,yes,yes,no,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,801680691,charging_station,32,,2,Vattenfall,1264,2,,,,POINT (13.3656215 52.5721772),,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,822840995,charging_station,32,yes,2,RWE-Effizienz,BA-0693-4 / BA-0593-5,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3062754 52.5068111),,,,,,,,Kantstraße / Ecke Wilmersdorfer Straße gegenüber Kantstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,829828377,charging_station,32,yes,2,RWE-Effizienz,BA-0521-5 / BA-0522-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.335278 52.5015415),,,,,,,,Augsburger Straße / Los-Angeles-Platz vor Augsburger Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,829829425,charging_station,32,yes,2,RWE-Effizienz,BA-0652-5 / BA-0653-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.2965147 52.4837521),,,,,,,,Fritz-Wildung-Straße / Ecke Cunostraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,848161504,charging_station,32,yes,2,RWE-Effizienz,BA-0512-3 / BA-0594-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3000145 52.5050016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,948984236,charging_station,32,yes,2,Innogy,BA-0875-9 / BA-0876-5,2,,,400,POINT (13.3765389 52.5082061),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Linkstraße /Ecke Gabriele-Terger Promenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,951715914,charging_station,32,yes,2,RWE-Effizienz,BA-0601-8 / BA-0600-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3223635 52.5065623),,,,,,,,Savignyplatz (Nord) vor Knesebeckstraße,,,,,,,,,,,,,Charlottenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,951715921,charging_station,32,yes,2,Innogy,BA-0658-3 / BA-0604-7,2,,,400,POINT (13.3229893 52.5055598),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Savignyplatz (Süd) gegenüber Savignyplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,972435022,charging_station,,,,,,,,,,POINT (13.5466399 52.426589),,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
