element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,surveillance,wheelchair,source,name,source:addr,wikimedia_commons,amenity,nodes,building,building:colour,height,operator,roof:shape,start_date,blind:description:de,building:levels,government,heritage,heritage:operator,lda:criteria,name:da,name:de,name:en,name:es,name:fr,name:nl,name:no,office,old_name,old_name:de,old_name:en,phone,ref:lda,website,wikidata,wikipedia,year_of_construction,addr:housename,building:material,description,heritage:website,operator:short,operator:wikidata,roof:colour,roof:levels,roof:material,image,country,diplomatic,embassy,name:be,name:ru,opening_hours,contact:website,alt_name,building:use,check_date:opening_hours,opening_hours:signed,contact:phone,short_name,layer,wheelchair:description,ref:bufa,toilets:wheelchair,building:name,member_of,research_institution,name_1,name:fa,target,brand:wikidata,note,name:uk,liaison,url,name:lo,official_name,name:ar,building:min_level,addr:inclusion,fee,tourism,architect,building:architecture,name:it,name:ja,name:pl,name:sv,description:de,smoking,police,architect:wikidata,architect:wikipedia,name:etymology:wikidata,ways,type,building:part,contact:email,contact:fax,contact:website:de,contact:website:en,name:cy,name:ga,name:gd,short_name:en,short_name:ru,fixme,loc_name,museum,email,historic_name:de,historic_name:en,building:parts,air_conditioning,contact:tripadvisor,internet_access,name:cs,name:el,name:fi,name:he,name:is,name:ko,name:lt,name:pt,name:ro,name:sk,name:zh,ref:vatin,reservation,toilets
way,32699337,"POLYGON ((13.3868552 52.5136172, 13.386879 52.5134807, 13.3868799 52.5134755, 13.3867376 52.5134677, 13.3867588 52.5133338, 13.3869019 52.513343, 13.3869026 52.5133381, 13.3869111 52.5132769, 13.3871931 52.5132971, 13.3871823 52.5133566, 13.3874074 52.5133699, 13.3874122 52.5133452, 13.3872807 52.5133366, 13.387292 52.513254, 13.3870585 52.5132397, 13.3870854 52.5130784, 13.387055 52.5130766, 13.3870288 52.5132379, 13.3867756 52.5132224, 13.3867759 52.5132151, 13.3868237 52.5132163, 13.3868479 52.5130667, 13.386802 52.5130638, 13.3868028 52.5130555, 13.386789 52.5130545, 13.3867982 52.5129976, 13.3867767 52.5129965, 13.3867876 52.5129272, 13.3866174 52.5129161, 13.3865604 52.5132634, 13.3865062 52.5135938, 13.3868552 52.5136172))",,,,,,,,,,,,,,"[367942408, 4185833554, 4185833553, 367942409, 367942410, 367942411, 367942413, 4185833528, 4185833530, 4185833538, 4185833541, 4185833536, 4185833533, 367942422, 4185833526, 4185833494, 4185833493, 4185833525, 4185833520, 4185833518, 4185833519, 4185833492, 4185833491, 4185833489, 4185833088, 4185833087, 4185833086, 4185833081, 367942405, 542892013, 367942404, 367942408]",government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32699339,"POLYGON ((13.3873199 52.5130925, 13.3873179 52.5131088, 13.3873659 52.5131114, 13.3873662 52.5131182, 13.3874112 52.5131198, 13.3874012 52.5131719, 13.3874145 52.5131725, 13.3874028 52.5132263, 13.3873714 52.513232, 13.3872976 52.5132288, 13.387292 52.513254, 13.3872807 52.5133366, 13.3874122 52.5133452, 13.3874662 52.5133487, 13.3874718 52.513314, 13.3875283 52.5129741, 13.3874972 52.5129723, 13.3873423 52.5129631, 13.3873199 52.5130925))",,,,,,,,,,,,,,"[367942421, 3792738019, 4185833505, 4185833506, 3792738030, 4185833516, 4185833517, 4185833522, 3792738029, 3792738014, 367942422, 4185833533, 4185833536, 4185833537, 4185833531, 4185833084, 542892039, 4185833083, 367942421]",government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32699537,"POLYGON ((13.3854189 52.5135259, 13.385544 52.5135341, 13.3856841 52.5135424, 13.3856944 52.5134719, 13.385603 52.5134659, 13.385613 52.5134115, 13.3857023 52.5134173, 13.3857334 52.5132043, 13.3857143 52.5132031, 13.3855679 52.513194, 13.3855333 52.5131919, 13.38536 52.5131822, 13.38533 52.5132461, 13.3854091 52.5132523, 13.3854086 52.513256, 13.3854313 52.5132568, 13.3854313 52.513254, 13.3854622 52.5132564, 13.3854499 52.5133665, 13.3854189 52.5135259))",,,,,,,,,,,,,,"[4185632990, 2842305984, 1893668122, 4185632989, 4185631788, 4185631783, 4185631784, 367944608, 4185631769, 4185631767, 367944609, 4185631765, 367944617, 4185631773, 4185631775, 4185631776, 4185631774, 367944619, 367944618, 4185632990]",government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32699544,"POLYGON ((13.3860532 52.5122988, 13.3858578 52.512288, 13.3860609 52.5119968, 13.3861407 52.5120017, 13.3861418 52.5119905, 13.3864144 52.5120073, 13.3864116 52.5120184, 13.3864909 52.5120233, 13.3864695 52.5121571, 13.3864654 52.5121826, 13.3864563 52.5121829, 13.3864347 52.5123303, 13.3862802 52.5123234, 13.3862919 52.5122302, 13.3862959 52.512198, 13.3863028 52.512143, 13.3861648 52.5121377, 13.3861477 52.5121624, 13.3860532 52.5122988))",,,,,,,,,,,,,,"[4185542290, 4185542289, 367944662, 4185541278, 4185541277, 4185541279, 4185541280, 367944665, 6565894988, 4185541283, 4185541284, 4185542299, 4185542298, 4185541288, 4185541286, 367944676, 367944675, 4185541281, 4185542290]",government,,,,,,,,,,,,,,,,,,,,,,,,,,Q105045202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33840382,"POLYGON ((13.2995044 52.4608359, 13.3002608 52.4611921, 13.3004197 52.4610668, 13.2996629 52.4607104, 13.2996064 52.460755, 13.2996302 52.4607661, 13.2995835 52.460803, 13.2995601 52.460792, 13.2995044 52.4608359))",Berlin,DE,67,14195,Podbielskiallee,Dahlem,,,,Botschaft der Islamischen Republik Iran,,,,"[387687423, 387687424, 387687425, 387687426, 1204024382, 1204024283, 1204024344, 1204023776, 387687423]",government,,,,,,,,,,,,,Botschaft der Islamischen Republik Iran,Embassy of the Islamic Republic of Iran,,Ambassade d'Iran,,,diplomatic,,,,,,,Q1672381,de:Iranische Botschaft in Berlin,,,,,,,,,,,,IR,embassy,yes,,,Mo-Fr 08:30-12:00,http://de.berlin.mfa.ir/,,,,,,,,,,,,,,,سفارت جمهوری اسلامی ایران,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35156336,"POLYGON ((13.3311833 52.5093374, 13.3311774 52.5093306, 13.3309192 52.5094125, 13.3309351 52.5094343, 13.3307112 52.5095071, 13.3306979 52.5094894, 13.3306067 52.5095187, 13.3305507 52.5094547, 13.3306452 52.5094258, 13.3306259 52.5094058, 13.3310683 52.5092609, 13.3310325 52.5092192, 13.3310718 52.5092063, 13.3310551 52.5091874, 13.3312948 52.5091135, 13.3313101 52.5091317, 13.3313539 52.5091173, 13.3313902 52.5091585, 13.331907 52.5089948, 13.3319882 52.5090921, 13.3318336 52.5091428, 13.3318357 52.5091449, 13.3316947 52.5091897, 13.3316799 52.5091712, 13.3314178 52.5092544, 13.3314242 52.5092606, 13.3311833 52.5093374))",,,,,,,,,,,,,,"[3228997333, 3228997332, 3228997339, 3228997341, 3228997345, 3228997343, 3228997348, 3228997342, 3228997340, 3228997338, 3228997327, 3228997321, 3228997317, 3228997311, 3228997297, 3228997301, 3228997298, 3228997306, 3228997285, 3228997293, 3228997302, 3228997303, 3228997312, 3228997309, 3228997325, 3228997326, 3228997333]",government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37036583,"POLYGON ((13.2843051 52.4404262, 13.2841634 52.4405739, 13.2839606 52.4405027, 13.2842121 52.440234, 13.2852308 52.440588, 13.2849738 52.4408581, 13.2847728 52.4407879, 13.2849117 52.440639, 13.2843051 52.4404262))",,,,,,,,,Yahoo WMS,Haus 41/42 - Wilhelm-Jost-Haus,,,,"[3907068719, 3907068926, 3907068832, 3907068412, 3907068957, 3907069489, 3907069311, 3907069019, 3907068719]",government,,,,flat,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37036584,"POLYGON ((13.2838351 52.4408059, 13.2839517 52.4406783, 13.2847341 52.4409504, 13.284621 52.4410744, 13.2838351 52.4408059))",,,,,,,,,,Haus 40 - Rimarski-Haus,,,,"[3907069335, 3907069061, 3907069572, 3907069701, 3907069335]",government,,,,flat,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37036585,"POLYGON ((13.2831607 52.4400712, 13.2831374 52.4400961, 13.2830543 52.440067, 13.283147 52.4399681, 13.2836991 52.4401647, 13.2837134 52.4401487, 13.2837228 52.4401515, 13.283757 52.4401139, 13.2839226 52.4401733, 13.2837308 52.440379, 13.2835634 52.4403193, 13.283639 52.4402395, 13.2831607 52.4400712))",,,,,,,,,Yahoo WMS,Haus 43 - Laboratoriumsgebäude,,,,"[3907068159, 3907068175, 3907068158, 3907068056, 3907068253, 3907068240, 3907068242, 3907068189, 3907068360, 3907068668, 3907068585, 3907068418, 3907068159]",government,,,,flat,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37036586,"POLYGON ((13.2829162 52.440488, 13.2829098 52.4404948, 13.2827058 52.4404259, 13.2829172 52.4401936, 13.2831212 52.4402623, 13.2830388 52.4403526, 13.2834324 52.4404878, 13.2835152 52.4403991, 13.2836543 52.4404469, 13.2834558 52.4406639, 13.2833163 52.440617, 13.2833114 52.4406224, 13.2829162 52.440488))",,,,,,,,,Yahoo WMS,Haus 44 - Laboratoriumsgebäude,,,,"[3907068799, 3907068813, 3907068718, 3907068373, 3907068439, 3907068623, 3907068798, 3907068690, 3907068739, 3907069042, 3907068996, 3907069000, 3907068799]",government,,,,flat,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
