element_type,osmid,amenity,capacity,capacity:disabled,parking_space,wheelchair,geometry,capacity:parent,capacity:women,description,maxstay,parking,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,wheelchair:description,access,access:disabled,disabled,fee,nodes,building,building:levels,covered,opening_hours,supervised,surface,lit,check_date:fee,operator,park_ride,parking:orientation,name,psv,parking:disabled,fixme,parking:street_side:of,parking:street_side:of:name,traffic_sign,markings,orientation,note,survey:date,access:conditional,check_date,maxstay:conditional,parking:condition
node,976088652,parking_space,1,1,disabled,yes,POINT (13.2587502 52.4268753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1097567329,parking_space,2,2,,yes,POINT (13.3327385 52.5068879),no,no,2 Behindertenparkplätze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1233571732,parking_space,1,,disabled,,POINT (13.3777617 52.5179286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1338462683,parking_space,,,,yes,POINT (13.1972871 52.5332595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1387268146,parking_space,9,3,,yes,POINT (13.4977286 52.509312),,,,30 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1402386175,parking_space,4,4,,limited,POINT (13.3344901 52.5079398),no,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1404031352,parking_space,2,2,disabled,yes,POINT (13.2595981 52.4298676),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1653339127,parking_space,1,2,,limited,POINT (13.4219499 52.5107172),,,,,,Berlin,DE,15-16,10179,Michaelkirchstraße,Mitte,Montag - Freitag von 8 Uhr bis 18 Uhr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1905671723,parking_space,1,1,disabled,yes,POINT (13.3432905 52.5009197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2136530615,parking_space,3,,disabled,,POINT (13.4969909 52.5113138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3404923867,parking_space,,,,,POINT (13.4024639 52.4551949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3876236857,parking_space,4,4,,yes,POINT (13.52557 52.4929719),,,,,,,,,,,,4 Behinderten-Parkplätze,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4073304589,parking_space,1,,disabled,yes,POINT (13.3869263 52.5120062),,,Behindertenparkplatz,,surface,Berlin,DE,6,10117,Mohrenstraße,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4530147414,parking_space,1,1,,,POINT (13.3923212 52.5047755),,,,,surface,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7850084085,parking_space,,,disabled,,POINT (13.5343924 52.4333614),,,,,,,,,,,,,no,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7850084133,parking_space,,,disabled,,POINT (13.5335824 52.4338799),,,,,,,,,,,,,no,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8413638657,parking_space,1,,disabled,,POINT (13.5610594 52.5479257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8413638678,parking_space,1,,disabled,,POINT (13.5601997 52.5479783),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8414134610,parking_space,1,,disabled,,POINT (13.5803238 52.5525316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421891375,parking_space,2,,disabled,,POINT (13.559455 52.555461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956849,parking_space,1,,disabled,,POINT (13.5479142 52.5446253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956850,parking_space,1,,disabled,,POINT (13.5478353 52.5446041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956861,parking_space,1,,disabled,,POINT (13.5492956 52.545011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956862,parking_space,1,,disabled,,POINT (13.5493561 52.5450237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956908,parking_space,1,,disabled,,POINT (13.5534612 52.5460878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237399,parking_space,1,,disabled,,POINT (13.5560675 52.5391673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237400,parking_space,1,,disabled,,POINT (13.5560704 52.5391169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237401,parking_space,1,,disabled,,POINT (13.5560668 52.5390613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237410,parking_space,1,,disabled,,POINT (13.5550767 52.5384602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392248,parking_space,1,,disabled,,POINT (13.5638409 52.5364466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392249,parking_space,1,,disabled,,POINT (13.5637592 52.536427),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392262,parking_space,1,,disabled,,POINT (13.5648345 52.538273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392263,parking_space,1,,disabled,,POINT (13.5647602 52.5382269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8431899646,parking_space,1,,disabled,,POINT (13.5786995 52.5499044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8483797690,parking_space,1,,disabled,,POINT (13.5692061 52.5333371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8483797691,parking_space,1,,disabled,,POINT (13.5692007 52.5332948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8525657771,parking_space,1,,disabled,,POINT (13.5572009 52.5319017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8541168485,parking_space,1,,disabled,,POINT (13.5460274 52.4054696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8542946251,parking_space,1,,disabled,,POINT (13.5733849 52.542332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8542946271,parking_space,1,,disabled,,POINT (13.573651 52.5431753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8561116199,parking_space,1,,disabled,,POINT (13.5725466 52.541829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8561120295,parking_space,1,,disabled,,POINT (13.5765742 52.5421033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8561437693,parking_space,1,,disabled,,POINT (13.5681081 52.5446622),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566290331,parking_space,1,,disabled,,POINT (13.5771924 52.528507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566290338,parking_space,1,,disabled,,POINT (13.5771118 52.5292836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566719916,parking_space,1,,disabled,,POINT (13.5746657 52.5284352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566728717,parking_space,1,,disabled,,POINT (13.5746566 52.5283933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566728759,parking_space,1,,disabled,,POINT (13.5769286 52.5277349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566728761,parking_space,1,,disabled,,POINT (13.5749739 52.5277374),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8589593126,parking_space,1,,disabled,,POINT (13.5648433 52.5414078),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8589751553,parking_space,1,,disabled,,POINT (13.5486922 52.5195646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594324528,parking_space,1,,disabled,,POINT (13.5639982 52.548123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594324591,parking_space,1,,disabled,,POINT (13.5622319 52.5496752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594367487,parking_space,1,,disabled,,POINT (13.5591288 52.553782),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594367492,parking_space,1,,disabled,,POINT (13.5598593 52.5535498),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8599903909,parking_space,1,,disabled,,POINT (13.5517486 52.5487994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8614026184,parking_space,1,,disabled,,POINT (13.5466243 52.5409743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8617975790,parking_space,1,,disabled,,POINT (13.5586216 52.5393575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8637837049,parking_space,1,,disabled,,POINT (13.5987691 52.5419369),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8637837080,parking_space,1,,disabled,,POINT (13.5975208 52.5416037),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8654000203,parking_space,1,,disabled,,POINT (13.5605997 52.4901642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8663730164,parking_space,1,,disabled,,POINT (13.5761887 52.4228409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8675822138,parking_space,1,,disabled,,POINT (13.5718457 52.4368425),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8685257772,parking_space,1,,disabled,,POINT (13.5091168 52.5387546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8728726337,parking_space,1,,disabled,,POINT (13.5432314 52.5270392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8728726338,parking_space,1,,disabled,,POINT (13.5432305 52.5269781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8733506388,parking_space,1,,disabled,,POINT (13.3758657 52.5735041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8849510743,parking_space,1,,disabled,,POINT (13.566642 52.5259294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8951355551,parking_space,1,,disabled,,POINT (13.4728641 52.4967212),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9081410123,parking_space,1,,disabled,,POINT (13.547956 52.5235806),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9371701737,parking_space,1,,disabled,,POINT (13.585589 52.4108244),,,,,,,,,,,,,permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9387208717,parking_space,1,,disabled,,POINT (13.5860978 52.4056546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9837793944,parking_space,1,,disabled,,POINT (13.5584872 52.4367924),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9973805561,parking_space,,,disabled,,POINT (13.5712265 52.5436757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9975272104,parking_space,,,disabled,,POINT (13.5425904 52.5446871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992229146,parking_space,,,disabled,,POINT (13.5514922 52.5358912),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992229160,parking_space,,,disabled,,POINT (13.5512474 52.535954),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992531286,parking_space,,,disabled,,POINT (13.5564778 52.5485537),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992750339,parking_space,,,disabled,,POINT (13.5586585 52.5503979),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10008899600,parking_space,1,,disabled,,POINT (13.5534223 52.4692714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10223151629,parking_space,1,,disabled,,POINT (13.4845037 52.4235318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10300091020,parking_space,1,,disabled,,POINT (13.568658 52.4538711),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10683315286,parking_space,,,disabled,,POINT (13.6332131 52.4508565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10697343604,parking_space,2,,disabled,,POINT (13.2981144 52.4314275),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10852876121,parking_space,,,disabled,,POINT (13.4641492 52.4868185),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25344718,parking_space,8,8,,yes,"POLYGON ((13.5248072 52.4923945, 13.5247859 52.4923238, 13.5251358 52.4922846, 13.525157 52.4923553, 13.5248072 52.4923945))",,,,,,,,,,,,BehindertenParkplatz,,,,,"[276189934, 276189935, 276189936, 276189937, 276189934]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,53528334,parking_space,10,,,,"POLYGON ((13.3372856 52.4796123, 13.3372803 52.4798146, 13.3373528 52.479815, 13.337355 52.4796595, 13.3373556 52.4796127, 13.3372856 52.4796123))",,,,,surface,,,,,,,,,,,,"[676246075, 676246109, 676246094, 676246086, 676246138, 676246075]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,53528339,parking_space,10,,,,"POLYGON ((13.3375443 52.4795589, 13.337545 52.4795139, 13.3379737 52.4795164, 13.337973 52.4795613, 13.3375443 52.4795589))",,,,,surface,,,,,,,,,,,,"[676246106, 676246100, 676246081, 676246142, 676246106]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,53528341,parking_space,6,,,,"POLYGON ((13.3377255 52.4796147, 13.337472 52.4796133, 13.3374708 52.4796601, 13.3377249 52.4796614, 13.3377255 52.4796147))",,,,,surface,,,,,,,,,,,,"[676246102, 3853849834, 7704753617, 676246055, 676246102]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,53528349,parking_space,10,,,,"POLYGON ((13.3371929 52.4798142, 13.3371185 52.4798138, 13.3371213 52.4796114, 13.3371952 52.4796118, 13.3371929 52.4798142))",,,,,surface,,,,,,,,,,,,"[676246116, 676246104, 676246096, 676246139, 676246116]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,137311039,parking_space,,,,,"POLYGON ((13.5720333 52.4717197, 13.5721037 52.471738, 13.5726385 52.4709763, 13.5725681 52.4709579, 13.5720333 52.4717197))",,,,,,,,,,,,,,,,,"[1506216658, 1506216669, 1506216660, 1506216667, 1506216658]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,139628989,parking_space,18,,,,"POLYGON ((13.5784087 52.4451569, 13.5781069 52.4450812, 13.5782244 52.4449504, 13.5785083 52.4450433, 13.5784087 52.4451569))",,,,,surface,,,,,,,,private,,,,"[1530399162, 1530399119, 1530399096, 1530399112, 1530399162]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,169827968,parking_space,,,,,"POLYGON ((13.4690533 52.5575163, 13.469185 52.5577159, 13.4692122 52.5577093, 13.4690805 52.5575097, 13.4690533 52.5575163))",,,,,,,,,,,,,private,,,,"[1809860982, 1809861011, 1809861009, 1809860954, 1809860982]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,186519592,parking_space,40,,,,"POLYGON ((13.3780332 52.4841058, 13.3780327 52.4842923, 13.3780159 52.4842921, 13.3780157 52.4843194, 13.3779879 52.4843191, 13.3779846 52.4843192, 13.3779865 52.4844256, 13.3779863 52.4844659, 13.37846 52.4844667, 13.3784797 52.4844667, 13.378506 52.4844667, 13.3785048 52.4841021, 13.3780332 52.4841058))",,,Anwohner Parkplätze,,surface,,,,,,,,private,,,no,"[1972399435, 1972399441, 1972399439, 1972399445, 1972758285, 1972399443, 620899136, 1972399453, 1972399449, 1972399447, 1972399451, 1972399433, 1972399435]",yes,1,no,24/7,no,asphalt,,,,,,,,,,,,,,,,,,,,
way,213622771,parking_space,22,,,,"POLYGON ((13.3843992 52.4652516, 13.3847119 52.4651951, 13.3847053 52.4650062, 13.3846819 52.4650048, 13.3845826 52.4650039, 13.384378 52.4650046, 13.3843992 52.4652516))",,,,,surface,,,,,,,,private,,,interval,"[2232902789, 2232902785, 2232902773, 1473382482, 1473382481, 2232902771, 2232902789]",,,no,24/7,no,asphalt,,,,,,,,,,,,,,,,,,,,
way,214108848,parking_space,15,,,,"POLYGON ((13.3872747 52.46909, 13.3872714 52.4689682, 13.3872667 52.4687932, 13.3874714 52.4687912, 13.387474 52.4688867, 13.3874772 52.4690079, 13.3874823 52.469197, 13.3872776 52.4691991, 13.3872747 52.46909))",,,,,,,,,,,,,private,,,interval,"[1473352614, 1473352582, 2237212081, 2237212077, 1473352543, 1473352594, 2237212173, 2237212174, 1473352614]",,,no,24/7,no,asphalt,no,,,,,,,,,,,,,,,,,,,
way,220753256,parking_space,2,,,,"POLYGON ((13.3141122 52.4540045, 13.3141499 52.4540161, 13.3142122 52.4540352, 13.3143047 52.4539232, 13.3141777 52.4538842, 13.3141291 52.4539431, 13.3141561 52.4539514, 13.3141122 52.4540045))",,,,,surface,,,,,,,,private,,,no,"[2298436104, 2298436105, 2298436106, 413395989, 413395992, 413396013, 413396011, 2298436104]",,,no,24/7,no,asphalt,,,,,,,,,,,,,,,,,,,,
way,227927742,parking_space,,,,,"POLYGON ((13.4904203 52.4911227, 13.4905427 52.4910418, 13.4900333 52.4907201, 13.4898878 52.4908031, 13.4904203 52.4911227))",,,,,surface,,,,,,,,private,,,,"[2365572888, 2365572879, 2365572857, 2365572865, 2365572888]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,240823051,parking_space,,,,,"POLYGON ((13.5916125 52.4087783, 13.5916746 52.408752, 13.5917415 52.4088108, 13.5916794 52.4088371, 13.5916125 52.4087783))",,,,,surface,,,,,,,,,,,,"[2485119205, 2485119203, 5741076899, 5741076898, 2485119205]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,300134116,parking_space,,,,,"POLYGON ((13.5321649 52.5277258, 13.5321649 52.527708, 13.5314858 52.5277072, 13.5314858 52.527725, 13.5321649 52.5277258))",,,,,,,,,,,,,,,,,"[3042416796, 3042416797, 3042416798, 3042416799, 3042416796]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,325798977,parking_space,,,,,"POLYGON ((13.6015764 52.4408499, 13.6015783 52.4411427, 13.6015313 52.4411247, 13.6015313 52.4408312, 13.6015764 52.4408499))",,,,,surface,,,,,,,,,,,no,"[3324072983, 3324072984, 3324072985, 3324072986, 3324072983]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,353772758,parking_space,11,,,,"POLYGON ((13.3174645 52.5281644, 13.317352 52.5278874, 13.3174271 52.5278761, 13.3175396 52.5281531, 13.3174645 52.5281644))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3595849924, 3595849925, 3595849926, 3595849927, 3595849924]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,357279444,parking_space,3,,,,"POLYGON ((13.3169215 52.5285679, 13.3169789 52.5285577, 13.3169468 52.5284899, 13.3168891 52.5285002, 13.3169215 52.5285679))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3577256108, 3577256110, 3625965008, 3577256111, 3577256108]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,357279445,parking_space,10,,,,"POLYGON ((13.3170024 52.5286034, 13.3169789 52.5285577, 13.3173793 52.5284812, 13.3174029 52.5285269, 13.3170024 52.5286034))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3576723877, 3577256110, 3625965009, 3577256113, 3576723877]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,357279446,parking_space,10,,,,"POLYGON ((13.3169468 52.5284899, 13.3169251 52.5284447, 13.3173288 52.5283732, 13.3173504 52.5284184, 13.3169468 52.5284899))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3625965008, 3576723878, 3576723879, 3625965010, 3625965008]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,357279449,parking_space,10,,,,"POLYGON ((13.3179693 52.5284331, 13.3175813 52.528499, 13.3175608 52.5284544, 13.3179488 52.5283884, 13.3179693 52.5284331))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3595849919, 3595849923, 3625965013, 3625965014, 3595849919]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,357279450,parking_space,3,,,,"POLYGON ((13.3179488 52.5283884, 13.3180213 52.5283767, 13.3179893 52.528303, 13.317917 52.5283147, 13.3179488 52.5283884))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3625965014, 3625965015, 3625965016, 3625965017, 3625965014]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,357279451,parking_space,10,,,,"POLYGON ((13.317917 52.5283147, 13.3175795 52.5283653, 13.3175609 52.5283194, 13.3178984 52.5282688, 13.317917 52.5283147))",,,,60 minutes,surface,,,,,,,,customers,,,no,"[3625965017, 3625965018, 3625965019, 3625965020, 3625965017]",,,,,,,,2022-08-18,ALDI Nord,,,,,,,,,,,,,,,,,
way,367782838,parking_space,,,,,"POLYGON ((13.2115752 52.558591, 13.2115677 52.5585694, 13.2114993 52.5585782, 13.2115068 52.5586, 13.2115752 52.558591))",,,,,,,,,,,,,,,,,"[10006548699, 10006548698, 10006548697, 3716633177, 10006548699]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367782912,parking_space,,,,,"POLYGON ((13.2116781 52.5583515, 13.2116862 52.5583758, 13.2117572 52.5583671, 13.2117491 52.5583427, 13.2116781 52.5583515))",,,,,,,,,,,,,,,,,"[3716634128, 10006548532, 10006548531, 3716634127, 3716634128]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783103,parking_space,,,,,"POLYGON ((13.2113311 52.5586221, 13.2113233 52.5586004, 13.2112549 52.5586092, 13.2112627 52.5586308, 13.2113311 52.5586221))",,,,,,,,,,,,,,,,,"[10006548540, 10006548668, 10006548667, 3716635317, 10006548540]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783104,parking_space,,,,,"POLYGON ((13.211084 52.5586538, 13.2110764 52.5586323, 13.211008 52.5586411, 13.2110155 52.5586626, 13.211084 52.5586538))",,,,,,,,,,,,,,,,,"[10006548544, 10006548635, 10006548634, 3716635321, 10006548544]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783105,parking_space,,,,,"POLYGON ((13.2108331 52.5586624, 13.2108406 52.558684, 13.210911 52.558675, 13.2109035 52.5586534, 13.2108331 52.5586624))",,,,,,,,,,,,,,,,,"[10006548603, 10006548604, 3716636826, 10006548599, 10006548603]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783106,parking_space,,,,,"POLYGON ((13.2105872 52.5586943, 13.2105947 52.5587159, 13.2106654 52.558707, 13.2106576 52.5586853, 13.2105872 52.5586943))",,,,,,,,,,,,,,,,,"[10006548571, 10006548572, 3716636829, 10006548567, 10006548571]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783259,parking_space,,,,,"POLYGON ((13.2101503 52.5581767, 13.2101587 52.5582013, 13.2102362 52.5581916, 13.2102278 52.5581669, 13.2101503 52.5581767))",,,,,,,,,,,,,,,,,"[3716637259, 10006549070, 10006549069, 3716637258, 3716637259]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783260,parking_space,,,,,"POLYGON ((13.2104674 52.558341, 13.2104749 52.5583626, 13.2105453 52.5583536, 13.2105378 52.558332, 13.2104674 52.558341))",,,,,,,,,,,,,,,,,"[10006548858, 10006548859, 3716637261, 10006548853, 10006548858]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783261,parking_space,,,,,"POLYGON ((13.2107129 52.5583125, 13.2107204 52.5583341, 13.2107908 52.5583251, 13.2107833 52.5583035, 13.2107129 52.5583125))",,,,,,,,,,,,,,,,,"[10006548825, 10006548826, 3716637267, 10006548820, 10006548825]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783634,parking_space,,,,,"POLYGON ((13.2109573 52.5582809, 13.2109648 52.5583025, 13.2110352 52.5582935, 13.2110277 52.5582719, 13.2109573 52.5582809))",,,,,,,,,,,,,,,,,"[10006548794, 10006548795, 3716641787, 10006548789, 10006548794]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783635,parking_space,,,,,"POLYGON ((13.2112016 52.5582493, 13.2112091 52.5582709, 13.2112795 52.5582619, 13.211272 52.5582403, 13.2112016 52.5582493))",,,,,,,,,,,,,,,,,"[10006548761, 10006548762, 3716641791, 10006548756, 10006548761]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783636,parking_space,,,,,"POLYGON ((13.211457 52.5582399, 13.2114495 52.5582183, 13.2113811 52.558227, 13.2113886 52.5582486, 13.211457 52.5582399))",,,,,,,,,,,,,,,,,"[10006548731, 10006548730, 10006548729, 3716641794, 10006548731]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367783638,parking_space,,,,,"POLYGON ((13.211556 52.558001, 13.211564 52.5580251, 13.2116367 52.5580162, 13.2116287 52.5579921, 13.211556 52.558001))",,,,,,,,,,,,,,,,,"[3716641801, 10006526884, 10006526883, 3716641800, 3716641801]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367784440,parking_space,,,,,"POLYGON ((13.2118725 52.5583269, 13.2118802 52.558351, 13.2119504 52.5583428, 13.2119427 52.5583186, 13.2118725 52.5583269))",,,,,,,,,,,,,,,,,"[3716641618, 10006526914, 10006526913, 3716641617, 3716641618]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367784441,parking_space,,,,,"POLYGON ((13.2117502 52.5579741, 13.2117587 52.5579985, 13.2118321 52.557989, 13.2118236 52.5579646, 13.2117502 52.5579741))",,,,,,,,,,,,,,,,,"[3716641622, 10006526900, 10006526899, 3716641621, 3716641622]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,367784584,parking_space,,,,,"POLYGON ((13.2105515 52.5588664, 13.2105341 52.5588172, 13.2117513 52.5586588, 13.2117686 52.558708, 13.2105515 52.5588664))",,,,,,,,,,,,,,,,,"[3716649273, 3716649274, 3716649275, 3716649276, 3716649273]",,,,,,,,,,,,,,,,,,,,,,,,,,
