element_type,osmid,geometry,amenity,source,wheelchair,check_date,name,addr:city,addr:housenumber,addr:postcode,addr:street,nodes,addr:country,building,building:levels,roof:shape,check_date:opening_hours,opening_hours,addr:suburb,start_date,alt_name,consulate,country,diplomatic,office,website,roof:colour,wikidata,name:et,name:fr,name:lb,name:pl,name:ru,name:uk,opening_hours:signed,phone,wikipedia,source:geometry,ways,type
way,96263159,"POLYGON ((9.1543086 48.8550446, 9.1542798 48.855037, 9.1543145 48.8549802, 9.1541263 48.8549305, 9.1540936 48.854984, 9.1540646 48.8550315, 9.1540131 48.8551159, 9.1542013 48.8551656, 9.154206 48.8551579, 9.1542348 48.8551655, 9.1541686 48.8552738, 9.1544945 48.8553599, 9.1547529 48.8549367, 9.1544271 48.8548505, 9.1543086 48.8550446))",,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,"[4453603911, 1115858851, 1115858443, 1115857980, 4453603908, 1115858953, 1115858075, 4453603914, 4453603912, 4453603913, 681529235, 681529242, 681529221, 681529228, 4453603911]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96268254,"POLYGON ((9.1542911 48.8537935, 9.1543202 48.8538014, 9.154322 48.8537984, 9.1548415 48.8539385, 9.1546265 48.8542838, 9.1546199 48.8542821, 9.1544696 48.8542416, 9.1541232 48.8541482, 9.154127 48.8541419, 9.1540818 48.8541297, 9.15411 48.8540844, 9.1541218 48.8540655, 9.1542911 48.8537935))",,"Maps4BW, LGL, www.lgl-bw.de",,,,Stuttgart,60,70439,Asperger Straße,"[1115929470, 8865381776, 8865381777, 1115929579, 1115929617, 4453576197, 4453576196, 8865381779, 8865381778, 4453576195, 4453576194, 4453576193, 1115929470]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106693491,"POLYGON ((9.1794165 48.7680159, 9.1795537 48.7679587, 9.1795813 48.7679874, 9.1796189 48.7680267, 9.1796265 48.7680346, 9.1795459 48.7680683, 9.1795696 48.7680929, 9.1795133 48.7681159, 9.1794165 48.7680159))",,Bing,,,Generalkonsulat von Bosnien und Herzegowina,Stuttgart,97B,70180,Olgastraße,"[1227215951, 1227216212, 8908525071, 8908525074, 1227216050, 3325667634, 3325667635, 1227215799, 1227215951]",DE,government,,,,Mo-Fr 09:00-17:00,,,,consulate_general,BA,consulate,diplomatic,http://www.botschaftbh.de/,,,,,,,,,,,,,,
way,109937611,"POLYGON ((9.168087 48.7734473, 9.1681245 48.7734113, 9.1683129 48.7734967, 9.1682754 48.7735327, 9.168087 48.7734473))",,,,,,,,,,"[1257304755, 1257304658, 1257304725, 1257304696, 1257304755]",,government,,flat,,,,,,,,,,,gray,,,,,,,,,,,,,
way,111196333,"POLYGON ((9.2169043 48.8050044, 9.2170198 48.8050141, 9.2170415 48.8049025, 9.216926 48.8048928, 9.2169043 48.8050044))",,,,,,Stuttgart,12,70372,Wilhelmstraße,"[1267501531, 1267501623, 1267501557, 1267501712, 1267501531]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123626893,"POLYGON ((9.192988 48.7704239, 9.1930606 48.7704372, 9.1930556 48.7704491, 9.1930939 48.7704562, 9.1930988 48.7704445, 9.1931967 48.7704624, 9.1932219 48.7704671, 9.1932238 48.7704626, 9.1932349 48.7704362, 9.1932581 48.7704405, 9.193276 48.770398, 9.1930577 48.770358, 9.1930457 48.7703864, 9.1930069 48.7703793, 9.192988 48.7704239))",,,,,,Stuttgart,20,70184,Gröberstraße,"[1377888804, 8896236797, 8896236796, 8896236795, 8896236798, 3889841017, 1377888825, 3889841013, 8896236800, 8896236799, 1377888797, 3327572897, 3327572898, 1377888773, 1377888804]",DE,government,,,,,,,,,,,,,,Q115663961,,,,,,,,,,,,
way,125741431,"POLYGON ((9.2172147 48.8056071, 9.2172506 48.8056127, 9.217253 48.805606, 9.2172926 48.8056121, 9.2173917 48.8056274, 9.217426 48.8055311, 9.2172514 48.8055041, 9.2172147 48.8056071))",,,no,2023-05-05,Generalkonsulat der Republik Kroatien,Stuttgart,5,70372,Liebenzeller Straße,"[1395874374, 8572280201, 8572280200, 8572280199, 1395874392, 1395874297, 1395874286, 1395874374]",DE,government,,,,Mo-Fr 08:30-12:30; Th 13:30-15:30,,,,consulate_general,HR,consulate,diplomatic,http://de.mfa.hr/de/vertretungen/stuttgart/,,,,,,,,,,,,,,
way,125741633,"POLYGON ((9.2126958 48.8052631, 9.2126679 48.8053742, 9.2126733 48.8053753, 9.2127194 48.8053823, 9.2127309 48.8053478, 9.2127741 48.8053564, 9.2127993 48.8053598, 9.2128387 48.805364, 9.2128637 48.8052874, 9.2126958 48.8052631))",,,,,,,,,,"[1395874140, 1395874180, 3812063696, 3812063695, 3812063694, 9826627302, 4166602589, 1395874192, 1395874153, 1395874140]",,government,,gabled,,,,,,,,,,,,,,,,,,,,,,,,
way,299634467,"POLYGON ((9.1190543 48.7265387, 9.1191397 48.726547, 9.1191732 48.7265779, 9.1192625 48.726959, 9.1193472 48.7273202, 9.1193858 48.727485, 9.119355 48.7275228, 9.1193125 48.7275414, 9.1181132 48.7277018, 9.1180593 48.7276974, 9.1180213 48.7276647, 9.1178362 48.7272462, 9.1179389 48.7272274, 9.1178898 48.7271257, 9.1179911 48.7271595, 9.118055 48.7271943, 9.1181312 48.7272523, 9.1181666 48.7272974, 9.1182689 48.7275153, 9.118195 48.7275232, 9.1182034 48.7275602, 9.1191795 48.7274282, 9.1191627 48.7273537, 9.1190503 48.7273618, 9.1190077 48.7271533, 9.1190157 48.7270882, 9.1190286 48.7270338, 9.1190751 48.7269726, 9.1190024 48.7266809, 9.1189839 48.726626, 9.1189887 48.7265897, 9.1190142 48.7265544, 9.1190543 48.7265387))",,,no,,Regierungspräsidium Stuttgart,Stuttgart,21,70565,Ruppmannstraße,"[244306227, 6181853377, 244306229, 6366015714, 6366015721, 244306231, 244306232, 244306233, 244306234, 244306236, 244306237, 244306239, 244306240, 244306241, 244306242, 244306244, 244306245, 244306247, 6181853374, 6181853375, 244306249, 244306250, 244306251, 244306253, 244306255, 244306256, 244306258, 244306259, 244306213, 6181853376, 3036599953, 3036599952, 244306227]",,government,7,flat,2022-10-07,,,,,,,,government,http://www.rp-stuttgart.de,,Q8172,Stuttgardi ringkond,District de Stuttgart,Regierungsbezierk Stuttgart,Rejencja Stuttgart,Административный округ Штутгарт,Штутгарт,no,+49 711 904-0,de:Regierungsbezirk Stuttgart,,,
way,306822440,"POLYGON ((9.1929541 48.7722807, 9.1930184 48.7723068, 9.1931029 48.7722143, 9.193038 48.772188, 9.1929541 48.7722807))",,,,,,,,,,"[3118285570, 3118285573, 3118285566, 3118285564, 3118285570]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448334863,"POLYGON ((9.1544121 48.8543384, 9.1545325 48.8543702, 9.1545357 48.8543649, 9.1545649 48.8543726, 9.1546199 48.8542821, 9.1544696 48.8542416, 9.1544121 48.8543384))",,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,"[681529192, 4453576199, 4453576198, 4453576200, 4453576197, 4453576196, 681529192]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,511498988,"POLYGON ((9.1553175 48.8551141, 9.1550453 48.8555677, 9.1550905 48.8555795, 9.1549759 48.8557705, 9.1550787 48.8557972, 9.1554655 48.8551525, 9.1557631 48.8552298, 9.1554901 48.8556848, 9.1555414 48.8556981, 9.1554259 48.8558906, 9.1555266 48.8559168, 9.1562007 48.8547933, 9.1560487 48.8547538, 9.1558065 48.8551576, 9.1555089 48.8550803, 9.1557511 48.8546765, 9.1556031 48.854638, 9.1553609 48.8550419, 9.1550642 48.8549648, 9.1549098 48.8549247, 9.1548917 48.85492, 9.1548483 48.8549922, 9.1548637 48.8549962, 9.1545921 48.8554489, 9.1547351 48.8554861, 9.1550067 48.8550334, 9.1553175 48.8551141))",,,,,,,,,,"[5003160358, 5003160373, 5003160366, 5003160365, 5003160374, 5003160357, 5003160354, 5003160369, 5003160368, 5003160367, 5003160370, 5003160371, 5003160372, 5003160353, 5003160355, 5003160375, 5003160376, 5003160356, 681529264, 681529270, 5003160363, 5003160364, 5003160362, 5003160360, 5003160359, 5003160361, 5003160358]",,government,,,,,,,,,,,,,,,,,,,,,,,,Bing,,
way,511499981,"POLYGON ((9.1568007 48.8535912, 9.1576309 48.8533449, 9.1573467 48.852928, 9.1565142 48.8531717, 9.1568007 48.8535912))",,,,,Oberlandesgericht Stuttgart,Stuttgart,47,70439,Asperger Straße,"[5003171042, 5003171041, 114287216, 681529534, 5003171042]",,government,,,,,,,,,,,,,,,,,,,,,,,,Bing,,
way,822324957,"POLYGON ((9.1582953 48.7624434, 9.1579602 48.7623384, 9.1578591 48.7624786, 9.1581942 48.7625836, 9.1582953 48.7624434))",,,,,,Stuttgart,92,70199,Böblinger Straße,"[7678228872, 7678228873, 7678228874, 7678228875, 7678228872]",DE,government,,flat,,,,,,,,,,,,,,,,,,,,,,,,
relation,6654540,"POLYGON ((9.155982 48.8535089, 9.1559652 48.8535365, 9.1557822 48.8534883, 9.1556708 48.8536711, 9.1556244 48.8536593, 9.1555873 48.8537192, 9.1555505 48.8537796, 9.1555972 48.8537919, 9.1553186 48.854249, 9.155599 48.854323, 9.1557299 48.8541081, 9.1564192 48.8542899, 9.1565305 48.8541073, 9.1562061 48.8540217, 9.1564443 48.8536308, 9.155982 48.8535089), (9.1555732 48.8541794, 9.1555409 48.8542323, 9.1554556 48.8542098, 9.1554878 48.8541569, 9.1555732 48.8541794), (9.1557286 48.8537617, 9.1558139 48.8537842, 9.1557439 48.8538991, 9.1556586 48.8538766, 9.1557286 48.8537617), (9.1556825 48.8540227, 9.1557151 48.8539692, 9.1559653 48.8540352, 9.1559327 48.8540887, 9.1556825 48.8540227), (9.1560954 48.8538585, 9.1561793 48.8538806, 9.1561093 48.8539955, 9.1560254 48.8539734, 9.1560954 48.8538585), (9.1562546 48.8537569, 9.1561707 48.8537348, 9.1562051 48.8536784, 9.156289 48.8537005, 9.1562546 48.8537569), (9.1563926 48.8541479, 9.1563599 48.8542014, 9.1562763 48.8541793, 9.1563089 48.8541258, 9.1563926 48.8541479))",,,,,Mehrzweckgebäude mit Gerichtssaal,Stuttgart,49,70439,Asperger Straße,"[[[681529383, 681529340, 681529362, 681529366, 681529348, 681529302, 4453547934, 4453547937, 681529306, 4453547942, 4453547941, 7851252629, 4453547951, 4453547953, 681529388, 681529383], [4453547964, 4453547966, 4453547965, 4453547961, 4453547964], [4453547973, 4453547974, 4453547971, 4453547969, 4453547973], [4453547958, 4453547960, 4453547952, 4453547949, 4453547958], [4453547959, 4453547957, 4453547962, 4453547963, 4453547959], [4453547967, 4453547970, 4453547972, 4453547968, 4453547967], [4453547943, 4453547946, 4453547948, 4453547944, 4453547943]]]",DE,government,,,,,Stammheim,1975,,,,,,,,,,,,,,,,,,,"[54045872, 448332346, 448332342, 448332343, 448332347, 448332344, 448332345]",multipolygon
