osmid,y,x,street_count,ref,highway,geometry
660101800,48.7422254,9.103643,3,,,POINT (9.103643 48.7422254)
660111775,48.7499061,9.1109329,3,,,POINT (9.1109329 48.7499061)
660111946,48.7507035,9.1110227,3,,,POINT (9.1110227 48.7507035)
661178824,48.7283658,9.0789166,1,,,POINT (9.0789166 48.7283658)
661630260,48.7160043,9.2034008,1,,,POINT (9.2034008 48.7160043)
661630369,48.7172233,9.2043606,1,,,POINT (9.2043606 48.7172233)
661631071,48.7194636,9.2081321,3,,,POINT (9.2081321 48.7194636)
661631074,48.7194818,9.2079634,3,,,POINT (9.2079634 48.7194818)
661631079,48.7194794,9.2080401,3,,,POINT (9.2080401 48.7194794)
661631089,48.7196825,9.20822,3,,,POINT (9.20822 48.7196825)
661631090,48.7196889,9.2079707,3,,,POINT (9.2079707 48.7196889)
661631097,48.7196864,9.2080543,3,,,POINT (9.2080543 48.7196864)
662232054,48.777283,9.1392576,2,,,POINT (9.1392576 48.777283)
662303558,48.8267897,9.0969601,3,,,POINT (9.0969601 48.8267897)
662303672,48.8270203,9.0975163,1,,,POINT (9.0975163 48.8270203)
663202814,48.7442636,9.2302825,3,,,POINT (9.2302825 48.7442636)
663202815,48.7444962,9.2303777,1,,,POINT (9.2303777 48.7444962)
664184377,48.771959,9.171476,4,,,POINT (9.171476 48.771959)
664210486,48.8326879,9.2176101,3,,,POINT (9.2176101 48.8326879)
664210491,48.8322876,9.218223,4,,,POINT (9.218223 48.8322876)
664210544,48.8319218,9.2187271,3,,,POINT (9.2187271 48.8319218)
665154215,48.7275869,9.139467,1,,turning_circle,POINT (9.139467 48.7275869)
665154221,48.7232073,9.1602763,3,,,POINT (9.1602763 48.7232073)
666960712,48.77878,9.1148371,3,,,POINT (9.1148371 48.77878)
667053610,48.783085,9.2708378,3,,,POINT (9.2708378 48.783085)
667171671,48.7776954,9.1398548,3,,,POINT (9.1398548 48.7776954)
668113816,48.774994,9.1562737,3,,,POINT (9.1562737 48.774994)
668113821,48.7751031,9.1562676,3,,traffic_signals,POINT (9.1562676 48.7751031)
668113864,48.7892425,9.1971989,3,,,POINT (9.1971989 48.7892425)
668113874,48.7892299,9.1975904,3,,,POINT (9.1975904 48.7892299)
668113914,48.7899885,9.2005271,1,,,POINT (9.2005271 48.7899885)
668804977,48.7754041,9.1308363,3,,,POINT (9.1308363 48.7754041)
669891291,48.7239472,9.2051091,3,,,POINT (9.2051091 48.7239472)
669891318,48.7245454,9.2040973,3,,,POINT (9.2040973 48.7245454)
669941385,48.8356025,9.1382451,1,,,POINT (9.1382451 48.8356025)
673635836,48.7881376,9.1937231,3,,,POINT (9.1937231 48.7881376)
673635841,48.788234,9.1935935,3,,,POINT (9.1935935 48.788234)
673635844,48.788017,9.1935131,3,,,POINT (9.1935131 48.788017)
673635846,48.7881103,9.1934116,3,,,POINT (9.1934116 48.7881103)
675614478,48.694094,9.2199903,1,,,POINT (9.2199903 48.694094)
675614480,48.6947298,9.2213567,4,,,POINT (9.2213567 48.6947298)
675614496,48.6947957,9.2295139,3,53b,motorway_junction,POINT (9.2295139 48.6947957)
676244496,48.7337422,9.1831743,3,,,POINT (9.1831743 48.7337422)
676647971,48.7241818,9.1193203,3,,,POINT (9.1193203 48.7241818)
676647972,48.7244363,9.119814,3,,,POINT (9.119814 48.7244363)
676647974,48.7243124,9.1197652,3,,,POINT (9.1197652 48.7243124)
676647975,48.7245011,9.1194259,3,,,POINT (9.1194259 48.7245011)
676734638,48.7225134,9.1655625,3,,,POINT (9.1655625 48.7225134)
676896150,48.8526113,9.159609,3,,,POINT (9.159609 48.8526113)
676896156,48.8523394,9.1594298,3,,,POINT (9.1594298 48.8523394)
679356965,48.769524,9.1834686,3,,,POINT (9.1834686 48.769524)
680547228,48.7221412,9.1662955,3,,crossing,POINT (9.1662955 48.7221412)
680547230,48.7221592,9.166111,3,,crossing,POINT (9.166111 48.7221592)
681383354,48.7259327,9.1482473,1,,,POINT (9.1482473 48.7259327)
681383366,48.7249384,9.1482344,3,,,POINT (9.1482344 48.7249384)
681383367,48.7273529,9.1493546,1,,,POINT (9.1493546 48.7273529)
684346867,48.8089284,9.1796712,3,,,POINT (9.1796712 48.8089284)
684403461,48.8084691,9.1143606,1,,,POINT (9.1143606 48.8084691)
684403473,48.8084658,9.1150131,3,,,POINT (9.1150131 48.8084658)
684631991,48.8139231,9.1182448,1,,turning_circle,POINT (9.1182448 48.8139231)
685170229,48.7650457,9.2519524,3,,,POINT (9.2519524 48.7650457)
685170230,48.7646599,9.2508283,3,,,POINT (9.2508283 48.7646599)
685541966,48.8135299,9.1191578,3,,,POINT (9.1191578 48.8135299)
685541970,48.8137037,9.121318,3,,,POINT (9.121318 48.8137037)
686426289,48.7437239,9.098468,1,,,POINT (9.098468 48.7437239)
686572158,48.8106032,9.1818732,5,,,POINT (9.1818732 48.8106032)
688365548,48.7202087,9.1156863,3,,,POINT (9.1156863 48.7202087)
688365551,48.72025,9.116118,1,,,POINT (9.116118 48.72025)
688365552,48.7203201,9.1160649,3,,,POINT (9.1160649 48.7203201)
688365554,48.720913,9.1163918,3,,,POINT (9.1163918 48.720913)
690522775,48.7784275,9.1694265,1,,,POINT (9.1694265 48.7784275)
691220974,48.7272503,9.1139365,1,,,POINT (9.1139365 48.7272503)
691993759,48.8052954,9.1131026,1,,,POINT (9.1131026 48.8052954)
691993761,48.8053281,9.1131811,3,,,POINT (9.1131811 48.8053281)
692149046,48.8195412,9.0967426,1,,turning_circle,POINT (9.0967426 48.8195412)
692819183,48.8430288,9.1476792,1,,,POINT (9.1476792 48.8430288)
692834026,48.8393555,9.1679129,1,,,POINT (9.1679129 48.8393555)
692984612,48.8115677,9.1081245,3,,,POINT (9.1081245 48.8115677)
692984650,48.811603,9.108685,3,,,POINT (9.108685 48.811603)
692984658,48.8109653,9.1091145,1,,,POINT (9.1091145 48.8109653)
693087457,48.8110284,9.1104489,1,,,POINT (9.1104489 48.8110284)
