element_type,osmid,geometry,amenity,name,website,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,club,description,source,addr:country,tourism,nodes,architect,building,building:levels,roof:levels,roof:shape,start_date,opening_hours,air_conditioning,check_date:opening_hours,contact:email,contact:phone,contact:website,fee,internet_access,internet_access:fee,internet_access:ssid,lastcheck,name:zh,toilets:wheelchair,wikidata,wikipedia,roof:material,addr:suburb,access,leisure,sport,fax,phone,roof:colour,height,historic,image,ways,type
way,108758055,"POLYGON ((9.1759348 48.8087676, 9.1759339 48.8088021, 9.1764898 48.8088085, 9.1764927 48.8086979, 9.1763697 48.8086965, 9.1763702 48.8086786, 9.176305 48.8086778, 9.1763045 48.8086967, 9.1759368 48.8086925, 9.1759348 48.8087676))",,,,,Stuttgart,3/3,70192,Maybachstraße,,,,DE,,"[1247025542, 1247024746, 1247025776, 1247024101, 1247025121, 1247024995, 1247025278, 1247024249, 1247025228, 1247025542]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,109330192,"POLYGON ((9.164511 48.7800198, 9.1646283 48.7798477, 9.1640117 48.7796652, 9.1639067 48.7798192, 9.1639008 48.7798175, 9.1638789 48.7798495, 9.1640261 48.7798931, 9.1640356 48.7798791, 9.164511 48.7800198))",,Schul- und Vereinsschwimmbad Stuttgart-West,,,Stuttgart,17,70176,Forststraße,,,,DE,,"[1251902539, 1251902634, 1251902524, 9215481904, 9215481903, 1251902073, 2484977834, 2484977832, 1251902539]",,civic,,,flat,,,,,,,,,,,,,,,,,,,private,swimming_pool,swimming,,,,,,,,
way,110801413,"POLYGON ((9.1373131 48.7773472, 9.1372369 48.7773789, 9.1374434 48.7775947, 9.1374234 48.777603, 9.1374509 48.7776318, 9.1376041 48.7775681, 9.1373824 48.7773364, 9.1374776 48.7772968, 9.1374214 48.7772381, 9.1372692 48.7773014, 9.1373131 48.7773472))",,,,,Stuttgart,281,70193,Am Kräherwald,,,,DE,,"[1264283720, 601602300, 1264283878, 1264283821, 601602299, 601602298, 1264283605, 1264283839, 1264283592, 1264283711, 1264283720]",,civic,3,2,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110801423,"POLYGON ((9.1388936 48.778134, 9.1387812 48.7780021, 9.1387414 48.7780168, 9.1386477 48.7780003, 9.1386652 48.7779541, 9.1386995 48.7779415, 9.1386825 48.7779215, 9.1386977 48.7779159, 9.1386988 48.777908, 9.138723 48.7778984, 9.1387384 48.7779008, 9.1387686 48.7778897, 9.1387686 48.7778816, 9.1387988 48.7778703, 9.1388108 48.7778741, 9.1388286 48.7778675, 9.1388478 48.77789, 9.1388791 48.7778784, 9.1389266 48.777885, 9.1389132 48.7779184, 9.1389317 48.7779401, 9.1389409 48.7779367, 9.1389564 48.777955, 9.1389667 48.7779545, 9.1389865 48.7779776, 9.138981 48.7779872, 9.1389989 48.7780081, 9.139013 48.7780088, 9.1390331 48.7780301, 9.1390265 48.7780405, 9.139048 48.7780657, 9.1390719 48.7780707, 9.1390894 48.778034, 9.1391054 48.7780373, 9.1391185 48.7780304, 9.1391591 48.7780393, 9.139164 48.7780478, 9.1392002 48.7780549, 9.1392127 48.7780488, 9.1392552 48.7780576, 9.1392608 48.7780658, 9.1392796 48.7780698, 9.1392755 48.7780783, 9.1393127 48.778086, 9.1393602 48.7780681, 9.1393854 48.778096, 9.1393745 48.7781187, 9.1394106 48.7781262, 9.1394051 48.7781377, 9.139413 48.778144, 9.1394011 48.7781676, 9.1393883 48.7781726, 9.1393808 48.7781883, 9.1393897 48.7781981, 9.1393789 48.7782182, 9.139367 48.7782229, 9.1393615 48.778234, 9.1393273 48.7782275, 9.1393165 48.7782502, 9.1392552 48.7782739, 9.1392057 48.7782198, 9.1392218 48.7781863, 9.1390385 48.7781481, 9.1390445 48.7781355, 9.1390113 48.7781286, 9.1389181 48.7781628, 9.1389042 48.7781606, 9.1388889 48.7781437, 9.1388936 48.778134))",,,,,Stuttgart,271B,70193,Am Kräherwald,,,,DE,,"[1264283778, 1264283881, 1264283823, 1264283608, 1264283584, 1264283728, 1264283687, 2938228303, 9282882710, 9282882709, 2938228302, 9282908425, 9282882712, 9282882711, 2938227899, 9282908424, 9282908423, 9282908422, 1264283716, 1264283853, 9282908421, 9282908417, 9282908418, 9282882716, 9282882713, 9282908419, 9282908420, 9282882714, 9282882715, 2938228310, 1264283790, 1264283646, 2938228313, 9282908439, 9282908438, 9282908437, 9282908436, 9282908435, 9282908434, 9282908433, 9282908432, 9282908431, 9282908440, 1264283764, 1264283692, 2938228315, 1264283818, 9282908430, 9282908427, 9282882704, 9282882705, 9282908428, 9282908429, 9282882706, 9282882707, 9282908426, 1264283755, 1264283481, 1264283869, 1264283676, 1264283597, 1264283731, 2938228321, 2938228319, 1264283654, 1264283782, 9282882708, 1264283722, 1264283778]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116607135,"POLYGON ((9.1194716 48.7220488, 9.1193882 48.7219658, 9.1196404 48.7218555, 9.1196674 48.7218437, 9.1197529 48.7219288, 9.1197362 48.721936, 9.1197536 48.7219533, 9.1196073 48.7220173, 9.1195989 48.7220089, 9.1195879 48.721998, 9.1194716 48.7220488))",,David-Wengert-Haus für Hörgeschädigte,https://schwerhoerigenverein-stuttgart.de/,,Stuttgart,68,70565,Heßbrühlstraße,yes,,,DE,,"[1314164949, 1314164912, 10278673171, 1314164930, 1314164847, 1314164857, 1314164886, 1314164888, 10278727229, 1314164889, 1314164949]",,civic,1,0,gabled,,,,,,,,,,,,,,,,,,,,,,+49 711 78285588,+49 711 7802649,,,,,,
way,116884528,"POLYGON ((9.2410271 48.7747561, 9.2411724 48.7746613, 9.2411501 48.7746464, 9.2412286 48.7745952, 9.2413061 48.7746468, 9.2413668 48.7746072, 9.241504 48.7746986, 9.2412685 48.7748523, 9.2412122 48.7748148, 9.2411632 48.7748467, 9.2410271 48.7747561))",kindergarten,Wackelzahn,https://www.stuttgart.de/kita-ebersbacherstrasse,,Stuttgart,45,70327,Geislinger Straße,,,,DE,,"[1316625923, 1316625140, 1316625805, 1316624191, 1316624039, 1316624511, 1316625201, 1316625670, 1316624260, 1316624735, 1316625923]",,civic,,,flat,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,
way,135753658,"POLYGON ((9.2140108 48.8051506, 9.2140184 48.8051033, 9.2140122 48.8051029, 9.214014 48.8050917, 9.214015 48.8050853, 9.2140175 48.8050697, 9.2140234 48.8050701, 9.2140307 48.8050249, 9.2143852 48.8050496, 9.2143754 48.8051105, 9.2143702 48.805143, 9.2143677 48.8051582, 9.2143658 48.8051701, 9.2143413 48.8051684, 9.2143288 48.8051675, 9.214328 48.8051727, 9.2140108 48.8051506))",,Altes Rathaus,http://www.stuttgart.de/item/show/305802/1/dept/109178?,,Stuttgart,2,70372,Marktplatz,,,,DE,,"[1490352354, 8869833542, 8869833543, 3929538701, 7147216271, 8869833541, 8869833540, 1490352541, 1490352416, 3201851977, 3976847421, 3976847422, 148949136, 3201851978, 8869833538, 8869833539, 1490352354]",,civic,3,4,half-hipped,1491,,,,,,,,,,,,,,Q96196205,,,,,,,,,orange,22,townhall,Stuttgart Bezirksrathaus Bad Cannstatt.JPG,,
way,143957853,"POLYGON ((9.2011019 48.8136068, 9.2012228 48.8135776, 9.2012164 48.8135673, 9.2016291 48.8134438, 9.2014491 48.8131478, 9.2013152 48.8131686, 9.201297 48.8131651, 9.2013483 48.81326, 9.201386 48.8132504, 9.2014728 48.8133988, 9.2010442 48.8135076, 9.2011019 48.8136068))",,Jugendhaus Hallschlag,http://jugendhaus.net/hallschlag/,,Stuttgart,9,70376,Sigmund-Lindauer-Weg,,,,,,"[1575365713, 1575365707, 1575365701, 1575365671, 1575365515, 1575365533, 1575365532, 1575365596, 1575365594, 1575365651, 1575365691, 1575365713]",,civic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,143957858,"POLYGON ((9.2010488 48.8133365, 9.2010007 48.8132543, 9.2009855 48.8132322, 9.2010465 48.8131836, 9.2010769 48.8131951, 9.2011222 48.8131617, 9.2011462 48.8131793, 9.2012025 48.8131465, 9.20122 48.8131617, 9.2012801 48.8131337, 9.201297 48.8131651, 9.2013483 48.81326, 9.2012585 48.8132827, 9.2010722 48.8133306, 9.2010488 48.8133365))",,,,,,,,,,,,,,"[1575365623, 1575365595, 1575365591, 1575365540, 1575365559, 1575365522, 1575365536, 1575365513, 1575365524, 1575365498, 1575365532, 1575365596, 1575365608, 1575365619, 1575365623]",,civic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,143957860,"POLYGON ((9.2010442 48.8135076, 9.2009909 48.8134165, 9.2009216 48.8134341, 9.2008579 48.813325, 9.2008848 48.8133182, 9.2008672 48.8132881, 9.2010007 48.8132543, 9.2010488 48.8133365, 9.2010722 48.8133306, 9.201142 48.81345, 9.2013287 48.8134026, 9.2012585 48.8132827, 9.2013483 48.81326, 9.201386 48.8132504, 9.2014728 48.8133988, 9.2010442 48.8135076))",,,,,,,,,,,,,,"[1575365691, 1575365656, 1575365658, 1575365618, 1575365617, 1575365610, 1575365595, 1575365623, 1575365619, 1575365673, 1575365652, 1575365608, 1575365596, 1575365594, 1575365651, 1575365691]",,civic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
