element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,entrance,geometry,source,access,building,name,description,note,operator,website,wheelchair,check_date,url,nodes,building:levels,roof:levels,roof:shape,building:colour,building:material,roof:colour,roof:material,roof:orientation,service,was:amenity,was:cuisine,was:name,was:website,building:levels:underground,fixme,reg_name,start_date,source:roof:shape,name:wikipedia,height,name:building,phone,source:addr,nohousenumber,owner,wikidata,ele,roof:height,building:part,operator:url,proposed:name,start_date:construction,proposed:roof:shape,construction,building:parts,architect,building:name,building:min_level,ways,type
way,28478830,Stuttgart,DE,60,70197,Rotenwaldstraße,,,"POLYGON ((9.1498062 48.7719786, 9.1498434 48.7719554, 9.1498323 48.7719477, 9.149881 48.7719173, 9.1498906 48.7719113, 9.1498808 48.7719045, 9.1498514 48.7718841, 9.1498615 48.7718778, 9.1498308 48.7718565, 9.1498213 48.7718624, 9.1497908 48.7718412, 9.1496359 48.7719379, 9.1496669 48.7719595, 9.1496535 48.7719678, 9.1496833 48.7719886, 9.1496973 48.7719799, 9.1497369 48.7720074, 9.1497953 48.771971, 9.1498062 48.7719786))",,,residential,,,,,,,,,"[2941103878, 2941103872, 2941103871, 8902377055, 312856652, 8902377056, 2941103866, 2941103864, 2941103857, 2941103860, 312856650, 312856651, 2941103873, 2941103875, 2941103880, 2941103877, 312856653, 2941103876, 2941103878]",,,hipped,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28804336,Stuttgart,DE,72,70197,Hasenbergsteige,,,"POLYGON ((9.1502327 48.7656743, 9.1502262 48.7656723, 9.1501665 48.7656549, 9.1501686 48.7656515, 9.1501234 48.7656367, 9.1501205 48.7656408, 9.1500692 48.7657758, 9.1501482 48.7657851, 9.1501747 48.7657626, 9.1501738 48.7657457, 9.150181 48.7657457, 9.1501955 48.7657259, 9.1502327 48.7656743))",,,residential,,,,,,,,,"[316697387, 8934105050, 8933581376, 8933581375, 8933581374, 7366000120, 7366000119, 316697389, 8933581371, 8933581372, 8933581373, 8934105051, 316697387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28828235,Stuttgart,DE,22,70193,Chamissostraße,,,"POLYGON ((9.1415871 48.775477, 9.1416238 48.7754779, 9.1417108 48.7754802, 9.1417169 48.7753766, 9.1415933 48.7753734, 9.1415871 48.775477))",,,residential,,,,,,,,,"[316945485, 2940888398, 316945486, 316945487, 316945488, 316945485]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28828236,Stuttgart,DE,20,70193,Chamissostraße,,,"POLYGON ((9.1415957 48.7753326, 9.1417194 48.7753358, 9.1417252 48.7752368, 9.1416665 48.7752352, 9.1416016 48.7752336, 9.1415957 48.7753326))",,,residential,,,,,,,,,"[316945489, 316945490, 316945491, 1238604146, 316945492, 316945489]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28828250,Stuttgart,DE,16,70193,Chamissostraße,,,"POLYGON ((9.1416214 48.7749989, 9.1416794 48.7750004, 9.1417581 48.7750024, 9.141766 48.7748701, 9.1416292 48.7748666, 9.1416214 48.7749989))",,,residential,,,,,,,,,"[316945560, 1238604229, 316945561, 316945562, 316945563, 316945560]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28828251,Stuttgart,DE,18,70193,Chamissostraße,,,"POLYGON ((9.1416173 48.7750759, 9.1416749 48.7750774, 9.1417408 48.7750791, 9.1417352 48.7751733, 9.1416703 48.7751716, 9.1416117 48.7751701, 9.1416173 48.7750759))",,,residential,,,,,,,,,"[316945564, 1238604137, 316945565, 316945566, 1238604185, 316945567, 316945564]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28828750,Stuttgart,DE,23,70193,Chamissostraße,,,"POLYGON ((9.1412759 48.7756157, 9.1412751 48.7756302, 9.1413428 48.7756318, 9.1413436 48.7756173, 9.1413999 48.7756187, 9.1414037 48.7755504, 9.1413069 48.7755481, 9.1413084 48.7755204, 9.1412309 48.7755185, 9.1412256 48.7756145, 9.1412759 48.7756157))",,,residential,,,,,,,,,"[2940890908, 2940890910, 2940890911, 2940890909, 316950625, 316950626, 2940890905, 2940890904, 316950627, 316950624, 2940890908]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28829639,Stuttgart,DE,127,70193,Bebelstraße,,,"POLYGON ((9.1404221 48.7743117, 9.1405757 48.7743079, 9.1405838 48.7744486, 9.1404302 48.7744525, 9.1404221 48.7743117))",,,residential,,,,,,,,,"[316959886, 316959887, 316959888, 316959889, 316959886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28829641,Stuttgart,DE,12,70193,Chamissostraße,,,"POLYGON ((9.1416062 48.7745079, 9.1417331 48.7745106, 9.1417366 48.7744379, 9.1417301 48.7744377, 9.1416676 48.7744364, 9.1416098 48.7744352, 9.1416062 48.7745079))",,,residential,,,,,,,,,"[316959914, 316959915, 316959916, 2940926991, 2940926990, 316959917, 316959914]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28829760,Stuttgart,DE,14,70193,Schenkendorfstraße,,,"POLYGON ((9.1425698 48.7749199, 9.1426006 48.7749205, 9.1426025 48.7748815, 9.1425711 48.7748809, 9.142572 48.7748617, 9.1425456 48.7748611, 9.1424591 48.7748594, 9.1424365 48.7748589, 9.1424361 48.7748687, 9.142423 48.7748685, 9.1424214 48.7749019, 9.1424349 48.7749022, 9.1424313 48.7749803, 9.1425187 48.7749821, 9.1425668 48.7749831, 9.1425698 48.7749199))",,,residential,,,,,,,,,"[2940927210, 2940927211, 2940927207, 2940927206, 316961290, 2940927202, 2940927201, 316961292, 2940927205, 2940927204, 2940927208, 2940927209, 316961285, 2940927216, 316961287, 2940927210]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28829761,Stuttgart,DE,12,70193,Schenkendorfstraße,,,"POLYGON ((9.1425061 48.7747851, 9.1426947 48.7747879, 9.1426959 48.7747526, 9.1426976 48.7747024, 9.142509 48.7746996, 9.1425061 48.7747851))",,,residential,,,,,,,,,"[316961295, 316961297, 2940926995, 316961299, 316961302, 316961295]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28829762,Stuttgart,DE,117,70193,Bebelstraße,,,"POLYGON ((9.1423323 48.7745423, 9.1425006 48.7745473, 9.1425073 48.7744489, 9.1424906 48.7744484, 9.1424175 48.7744463, 9.1423772 48.7744451, 9.1423731 48.7745057, 9.1423348 48.7745046, 9.1423323 48.7745423))",,,residential,,,,,,,,,"[316961306, 316961309, 316961312, 2940926993, 2940926992, 316961315, 1264283825, 1264283680, 316961306]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28832426,Stuttgart,DE,118,70193,Bebelstraße,,,"POLYGON ((9.1421259 48.7747791, 9.1422691 48.7747914, 9.1422851 48.77471, 9.142142 48.7746977, 9.1421259 48.7747791))",,,residential,,,,,,,,,"[316981382, 316981384, 316981385, 316981386, 316981382]",,,gabled,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
