element_type,osmid,geometry,barrier,description,level,name,amenity,access,source,leisure,url,nodes,start_date,operator,website,surface,natural,wikidata,historic,loc_name,old_name,landuse,wikipedia,opening_hours,place,architect:wikidata,alt_name,reg_name,name:-2021-10-13,area,fireplace,tourism,private,bbq,dog,model_sport:aircraft,source:name,height,note,fixme,name:etymology:wikidata,name:wikipedia,lit,club,leaf_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,community_centre:for,email,fax,phone,fence,ways,drones,slackline,type,name:1937-1945
way,56149783,"POLYGON ((9.1655578 48.7943661, 9.1659102 48.7944549, 9.1661529 48.7945521, 9.1666332 48.7948083, 9.1669194 48.7945087, 9.1668718 48.7943471, 9.1668355 48.7942084, 9.1668074 48.7941055, 9.1667826 48.7940737, 9.1667484 48.7940585, 9.1667021 48.7940525, 9.1666438 48.7940569, 9.166564 48.7940737, 9.1655578 48.7943661))",,,,,,,,park,,"[704689262, 5747117496, 5747117495, 704689241, 704689248, 5747117494, 5747117493, 5747117488, 5747117489, 704689247, 5747117490, 5747117491, 5747117492, 704689262]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,60675220,"POLYGON ((9.1818409 48.762518, 9.1819996 48.7626266, 9.1823733 48.7625729, 9.1826205 48.762395, 9.1824581 48.7622591, 9.1819659 48.762398, 9.1818583 48.7624902, 9.1818409 48.762518))",,,,,,,,park,,"[759520000, 759520007, 281334870, 281334869, 759519986, 759519967, 1356686884, 759520000]",,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,64764872,"POLYGON ((9.1687036 48.7531878, 9.1687652 48.7531455, 9.1688672 48.753074, 9.169229 48.753083, 9.1692679 48.752991, 9.1692759 48.7528452, 9.1692715 48.7527889, 9.1692683 48.7527481, 9.1692256 48.7526317, 9.1691306 48.7524186, 9.1690959 48.7524204, 9.1689795 48.7526911, 9.1682355 48.7526707, 9.1682008 48.7527122, 9.1682034 48.752795, 9.1682841 48.7528912, 9.1684364 48.7529779, 9.1685139 48.7530263, 9.1686145 48.7530939, 9.1686788 48.7531618, 9.1687036 48.7531878))",,,,Schimmelhüttenplatz,,,,park,,"[3811114864, 3811114863, 1342713027, 5316356817, 5316356818, 5316357121, 7837854981, 5316356819, 5316356820, 5316357131, 3533377633, 5316357122, 5316356816, 5316356813, 5316356815, 5316356814, 5316356767, 5316356768, 5316356766, 5316356761, 3811114864]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72783660,"POLYGON ((9.2150389 48.7463433, 9.215058 48.7463027, 9.2150929 48.746281, 9.2151629 48.7462856, 9.2152274 48.7463068, 9.2153093 48.7463977, 9.2154107 48.7465129, 9.2154506 48.7465567, 9.2155197 48.746624, 9.2155559 48.7466592, 9.2156521 48.7467511, 9.215389 48.7468474, 9.2153409 48.7467698, 9.2153287 48.7467515, 9.2152955 48.7467016, 9.215285 48.7466858, 9.2151987 48.7465883, 9.2151364 48.7465142, 9.21506 48.7464174, 9.2150389 48.7463433))",,,,,,,,park,,"[864012000, 864011957, 864012002, 864011972, 864011947, 864011996, 864011968, 1798607925, 3658324623, 864011946, 864011991, 864011964, 864011943, 3658324624, 3658324622, 864011984, 864011951, 864011923, 864011977, 864012000]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,77690484,"POLYGON ((9.215573 48.7452193, 9.2152028 48.7451338, 9.2154281 48.7453411, 9.215573 48.7452193))",,,,,,,,park,,"[913878237, 913878247, 913878239, 913878237]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83825810,"POLYGON ((9.161368 48.7223633, 9.1612779 48.7222577, 9.1611168 48.7220832, 9.1614274 48.7219702, 9.1616483 48.7219244, 9.1618291 48.7221713, 9.161648 48.7222467, 9.161368 48.7223633))",,,,SchwabenQuellen - Außenbereich,,,,park,,"[316442199, 2498141241, 975902653, 2498141280, 975902652, 975902651, 2498141252, 316442199]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90321609,"POLYGON ((9.2702041 48.7824046, 9.2698834 48.7819514, 9.2694137 48.7813882, 9.2691904 48.7811318, 9.2690831 48.7810942, 9.2690018 48.7810775, 9.2689116 48.7810649, 9.2687921 48.7810859, 9.2686282 48.7811763, 9.2685405 48.7812684, 9.2683829 48.7814082, 9.2683255 48.7813813, 9.2678802 48.7817108, 9.2676779 48.7818515, 9.2674858 48.7820505, 9.2674838 48.7822186, 9.2674919 48.7822394, 9.267682 48.7823767, 9.267926 48.7824772, 9.2691255 48.7826969, 9.2691438 48.7826955, 9.2702041 48.7824046))",,,,,,,,park,,"[1047875149, 1047875186, 1047875135, 1913927049, 1047875098, 1047875221, 1047875199, 1047875146, 1047875112, 1047875076, 1047875119, 1047875081, 1047875192, 1047875139, 1047875132, 1047875101, 1047875212, 1047875152, 1047875091, 1047875216, 1047875143, 1047875149]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92373995,"POLYGON ((9.2543935 48.7824457, 9.2547211 48.7822939, 9.254753 48.7822839, 9.2546335 48.7820459, 9.2545572 48.7819379, 9.2545544 48.7819386, 9.2543864 48.7819825, 9.2543033 48.7819171, 9.2543058 48.7818888, 9.2543066 48.7818793, 9.2543649 48.7818435, 9.2542768 48.7818017, 9.2540614 48.7816996, 9.2537946 48.7818876, 9.2536335 48.7820022, 9.2537512 48.7820708, 9.2538685 48.782144, 9.2543935 48.7824457))",,,,Alter Friedhof,,,,park,,"[1072280764, 2675508496, 2675508490, 3015497526, 8043716782, 8043791805, 8043716783, 8043716781, 8043791807, 1072280813, 2946356503, 8043760740, 1072280703, 2676181826, 1072280768, 2676181824, 2679283677, 1072280764]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93733164,"POLYGON ((9.2075531 48.7445703, 9.2063207 48.7438132, 9.2067583 48.7435103, 9.2074258 48.7439158, 9.2073073 48.7440088, 9.207842 48.744371, 9.2075531 48.7445703))",,,,,,,,park,,"[1088481656, 1088480663, 1088480257, 1088481611, 1088483032, 1088483812, 1088481656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,94189429,"POLYGON ((9.2182839 48.7401748, 9.2182875 48.7399699, 9.218779 48.7399677, 9.2187731 48.7392229, 9.2186329 48.7392221, 9.2183646 48.7390949, 9.2179105 48.7388633, 9.2174535 48.7385923, 9.2167728 48.7381106, 9.2163539 48.7378126, 9.215177 48.7384646, 9.215202 48.7388234, 9.2149839 48.7388208, 9.2149826 48.7389862, 9.2150591 48.7390004, 9.215061 48.7392344, 9.2145216 48.7392316, 9.2146315 48.7397599, 9.2153781 48.7397518, 9.2153808 48.739859, 9.2159582 48.7398562, 9.2159582 48.7399111, 9.2164836 48.739911, 9.2168118 48.7400125, 9.2175556 48.7401331, 9.2178132 48.7401798, 9.2182839 48.7401748))",,,,,,,,park,,"[1094761942, 1094759221, 1094761500, 265040694, 1884320815, 1094759357, 1884320817, 1094758270, 265040693, 1094759804, 1094757940, 1094761587, 1094758117, 1094759109, 1094757053, 1094757331, 1094756991, 1103998056, 1103998007, 1094760753, 863956711, 1094759624, 1094761802, 5580709701, 863956259, 1094758189, 1094761942]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
