element_type,osmid,access,amenity,fee,name,parking,geometry,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,noexit,wheelchair,layer,maxheight,opening_hours,operator,barrier,bicycle,motor_vehicle,maxstay,lit,park_ride,ref,smoothness,surface,capacity:disabled,toilets:wheelchair,wheelchair:description,capacity,capacity:parent,capacity:women,public,note:de,covered,fixme,capacity:charging,website,description,motorcar,motorcycle,addr:city,addr:housenumber,addr:postcode,addr:street,capacity:disabled:conditional,maxweight,access:conditional,disabled,parking:condition,parking:condition:disabled:permit,supervised,addr:country,source,note,parking:orientation,operator:type,level,trailer,hgv,check_date:opening_hours,access:carsharing,contact:website,description:de,email,phone,maxspeed,name:en,wikidata,highway,charge,image,vehicle,height,nodes,building,caravan,building:levels,payment:american_express,payment:girocard,payment:maestro,payment:mastercard,payment:visa,roof:shape,area,roof:colour,access:note,member_of,fee:conditional,name:etymology:wikidata,name:etymology:wikipedia,brand,building:colour,payment:cards,payment:cash,payment:coins,roof:levels,not:operator:wikidata,parking:condition:both,parking:condition:both:residents,parking:condition:area,check_date:fee,contact:phone,loc_name,payment:credit_cards,payment:debit_cards,building:material,start_date,orientation,parking:disabled,parking_space,location,razed:leisure,razed:sport,taxi,capacity:bus,tourist_bus,capacity:hgv,fee:description,maxlength,surveillance,service,operator:wikidata,operator:wikipedia,railway,note:access,indoor,room,construction,ways,type
way,83275419,,parking,,Anmeldung Tor 25,surface,"POLYGON ((8.5363549 50.0416698, 8.5363089 50.0417199, 8.5362778 50.0417367, 8.5362318 50.0417359, 8.5361908 50.0417143, 8.5361759 50.0416896, 8.536166 50.0416608, 8.5361734 50.0416307, 8.5363078 50.0413697, 8.5366088 50.0412464, 8.5364146 50.0415802, 8.5363549 50.0416698))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[968897139, 2428447996, 2428447998, 2428447997, 2428447995, 2428447993, 2428447991, 968897141, 968897140, 968897137, 2428447986, 968897139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,84794129,customers,parking,no,,surface,"POLYGON ((8.5874145 50.1080685, 8.5870457 50.1079766, 8.587292 50.1076338, 8.5874898 50.1076899, 8.5875133 50.1076546, 8.5876057 50.1075234, 8.5878389 50.1071838, 8.5880126 50.1072309, 8.5874145 50.1080685))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[984633978, 984632931, 984633614, 984633611, 3873999946, 3873999947, 984633080, 984633774, 984633978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,84953246,private,parking,,,surface,"POLYGON ((8.7357075 50.1400541, 8.7355435 50.1399958, 8.735509 50.1399836, 8.7353582 50.1401581, 8.7355567 50.1402286, 8.7357075 50.1400541))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[985965276, 985965264, 985965287, 985965297, 985965326, 985965276]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,84973127,customers,parking,no,Besucherparkplatz Polizei Frankfurt,surface,"POLYGON ((8.6746229 50.1321609, 8.6746475 50.1320782, 8.6746963 50.1320846, 8.6756163 50.1322045, 8.67559 50.1322884, 8.6746229 50.1321609))",,,,,yes,,,,,,,,,,no,,,,2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[986309201, 986309226, 3743886862, 986309214, 986309211, 986309201]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87077069,,parking,,,,"POLYGON ((8.6031654 50.1075536, 8.6029847 50.1074838, 8.6034432 50.106839, 8.603632 50.1068915, 8.6031654 50.1075536))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1012703668, 1012704486, 1012703737, 1012704517, 1012703668]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87494415,private,parking,,,,"POLYGON ((8.5984949 50.1111855, 8.5985886 50.1111096, 8.5986269 50.1110786, 8.5988083 50.1112761, 8.59876 50.1113079, 8.5984949 50.1111855))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[461711058, 1672121742, 1017753063, 1017752826, 1017752562, 461711058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88447143,yes,parking,yes,,surface,"POLYGON ((8.748464 50.1414303, 8.7482393 50.1415905, 8.7471851 50.141089, 8.7471079 50.1410481, 8.7470626 50.141, 8.7470532 50.1409531, 8.7470601 50.1409128, 8.7471014 50.1408625, 8.7475181 50.1405299, 8.7476642 50.1406, 8.7478536 50.1406933, 8.7480904 50.14081, 8.7480772 50.140821, 8.7481771 50.1408712, 8.747935 50.1410788, 8.7480083 50.1411111, 8.7480919 50.1411522, 8.74802 50.1412121, 8.748029 50.1412166, 8.748035 50.1412116, 8.7480365 50.1412124, 8.7480408 50.1412434, 8.7480908 50.1412391, 8.7481123 50.1412497, 8.7481068 50.1412543, 8.748464 50.1414303))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[390584085, 1027273309, 1027273212, 1027273440, 1027273350, 1027273269, 1027273470, 1027273418, 1027273437, 390584082, 10298154817, 1027273426, 1027273192, 4444165635, 1027273413, 1027273207, 1027273268, 390584086, 10298154831, 10298154830, 10298154818, 10298154819, 10298154828, 10298154829, 10298154832, 390584085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88447147,yes,parking,yes,,underground,"POLYGON ((8.7532899 50.141481, 8.753337 50.1414274, 8.7524797 50.1411173, 8.7522351 50.1410295, 8.7522687 50.1409913, 8.7523016 50.1409538, 8.7522517 50.1409357, 8.7522469 50.140934, 8.7521813 50.1409102, 8.752149 50.1409469, 8.7521148 50.1409859, 8.7517814 50.1408656, 8.7518159 50.1408263, 8.751848 50.1407897, 8.751821 50.1407799, 8.7518155 50.1407779, 8.7517822 50.1407659, 8.7517512 50.1408012, 8.7517159 50.1408413, 8.751416 50.1407331, 8.751452 50.1406922, 8.7514825 50.1406575, 8.7514545 50.1406474, 8.7514497 50.1406456, 8.7514172 50.1406339, 8.7513877 50.1406674, 8.75135 50.1407103, 8.7508936 50.1405456, 8.7509309 50.1405032, 8.7509611 50.1404689, 8.7509116 50.140451, 8.7508996 50.1404466, 8.7508402 50.1404251, 8.7508114 50.1404579, 8.750774 50.1405004, 8.7506538 50.1404574, 8.7497925 50.1401458, 8.7501371 50.1397546, 8.7500987 50.1397407, 8.7496547 50.1395805, 8.7495761 50.1396698, 8.7494458 50.1398182, 8.7491227 50.1401858, 8.749117 50.1401922, 8.7490867 50.1402268, 8.7492663 50.1402916, 8.7492385 50.1403233, 8.7502426 50.1406857, 8.7502206 50.1407108, 8.7501868 50.1407492, 8.7501247 50.1408198, 8.7504735 50.1409457, 8.751281 50.1412372, 8.7515537 50.1413356, 8.7515737 50.1413128, 8.7515911 50.1412931, 8.751614 50.141267, 8.7516723 50.1412007, 8.7518748 50.1409702, 8.7532309 50.1414597, 8.7532438 50.1414643, 8.7532899 50.141481))",,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3450741333, 1027273229, 1027273335, 3450741332, 3450919056, 3450741329, 3450913870, 3450913869, 3450741328, 3450919055, 3450741331, 3450741327, 3450919054, 3450741325, 3450913848, 3450913847, 3450741324, 3450919053, 3450741326, 3450741323, 3450919052, 3450741321, 3450913825, 3450913824, 3450741320, 3450919051, 3450741322, 3450741319, 3450919050, 3450741317, 3450913792, 3450913791, 3450741316, 3450919049, 3450741318, 1027273261, 1027273443, 10247645141, 1027273252, 1027273271, 3450913702, 3450913720, 3450913761, 3450913763, 3450913769, 1027273248, 1027273469, 1027273202, 1027273401, 1027273446, 1027273436, 3450913873, 3450913902, 1027273342, 3450913911, 3450913908, 3450913906, 3450913898, 3450741330, 3450913929, 3450913932, 3450741333]",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88701544,permissive,parking,,REWE,surface,"POLYGON ((8.70451 50.1255581, 8.7047205 50.1256513, 8.7048472 50.1257099, 8.7048674 50.125718, 8.7050865 50.1255302, 8.7049653 50.1254712, 8.7047386 50.1253608, 8.70451 50.1255581))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1029771734, 1416988544, 1416988545, 1029771738, 1029771733, 9819922110, 1029771736, 1029771734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88821120,private,parking,,,,"POLYGON ((8.6021648 50.1245884, 8.6026612 50.1246755, 8.6027846 50.1243868, 8.6022881 50.1242997, 8.6021648 50.1245884))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frankfurt am Main,33,60489,Zentmarkweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1030712976, 1030715129, 1030713780, 1030712625, 1030712976]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89504821,customers,parking,no,,surface,"POLYGON ((8.6998377 50.1389383, 8.6997224 50.1388594, 8.6987251 50.139047, 8.6986774 50.1390719, 8.6986955 50.1390878, 8.6986573 50.1391088, 8.6986278 50.1390934, 8.6986117 50.1391032, 8.6985286 50.1392133, 8.6988618 50.1398122, 8.6990499 50.1397762, 8.6989953 50.13968, 8.6990342 50.1396688, 8.6987602 50.1391304, 8.6998377 50.1389383))",,,,,,,,,tegut… gute Lebensmittel GmbH & Co. KG,,,,2 hours,,no,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1037808741, 1037808734, 1037808716, 6725704827, 6725704828, 6725704829, 6725704830, 6490142791, 6490142790, 1037808720, 1037808722, 6490142788, 6490142789, 1037808739, 1037808741]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89508398,,parking,,,,"POLYGON ((8.7671759 50.1457741, 8.7672632 50.1453213, 8.7672065 50.1449188, 8.7670713 50.1445135, 8.7671596 50.144499, 8.7672239 50.1444884, 8.7673275 50.144908, 8.7673862 50.1452461, 8.7673108 50.1457809, 8.7671759 50.1457741))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,"[1037843715, 1037843719, 1037843746, 1037843711, 7656062559, 1037843735, 1037843739, 1037843752, 1037843730, 1037843715]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90073984,private,parking,,,surface,"POLYGON ((8.6222057 50.0874787, 8.6222419 50.0872522, 8.6223529 50.087259, 8.6223228 50.0874836, 8.6222057 50.0874787))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1043988613, 1043988578, 1043988937, 1043988818, 1043988613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90073991,official,parking,,,surface,"POLYGON ((8.6292124 50.0868535, 8.6292538 50.0865236, 8.6291512 50.0865183, 8.6290364 50.0865124, 8.628998 50.0868178, 8.628995 50.0868423, 8.6292124 50.0868535))",,,,,yes,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1043988718, 1043988673, 4560000489, 1043988609, 4560000390, 1043988574, 1043988718]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90074016,official,parking,,,surface,"POLYGON ((8.6292776 50.0864011, 8.6293188 50.0860734, 8.6290973 50.0860619, 8.6290936 50.0860913, 8.6290561 50.0863896, 8.6291666 50.0863953, 8.6292776 50.0864011))",,,,,yes,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1043988645, 1043988591, 1043988885, 4559967391, 1043988656, 4560000589, 1043988645]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90074022,private,parking,,,surface,"POLYGON ((8.6207366 50.0873838, 8.6207404 50.0873075, 8.620798 50.0873069, 8.6207957 50.0873827, 8.6207366 50.0873838))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1043988907, 1043988811, 1043988854, 1043988721, 1043988907]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91928434,private,parking,,,surface,"POLYGON ((8.7118298 50.1156975, 8.7120759 50.1158118, 8.711892 50.1159711, 8.7118627 50.1159582, 8.7116515 50.1158657, 8.7118298 50.1156975))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1068127409, 1068127574, 1068127481, 1068127579, 1068127628, 1068127409]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92158422,residents,parking,no,,multi-storey,"POLYGON ((8.645764 50.1308809, 8.6456713 50.1309278, 8.6456697 50.1309286, 8.6455753 50.1309762, 8.6453407 50.1307852, 8.6455295 50.13069, 8.645564 50.130718, 8.6456012 50.1307483, 8.645764 50.1308809))",,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"[5885556782, 6899223313, 6899223312, 5885556781, 5885556783, 6899151177, 6899223300, 6899223304, 5885556782]",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92226724,,parking,,,,"POLYGON ((8.6647868 50.1946201, 8.6648848 50.1945892, 8.6648105 50.1945045, 8.6647097 50.1945272, 8.6647868 50.1946201))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1070706442, 1070706840, 1070706818, 1070706380, 1070706442]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92226739,,parking,,,,"POLYGON ((8.6600996 50.1951606, 8.6598701 50.1948651, 8.6603895 50.1947238, 8.660594 50.1947446, 8.6606102 50.1948339, 8.660578 50.1949785, 8.6600996 50.1951606))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1070706770, 1070706836, 1070706398, 1070707010, 1070706556, 1070706405, 1070706770]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92352405,,parking,,,,"POLYGON ((8.6716751 50.2085318, 8.6716827 50.2084963, 8.6716352 50.2084789, 8.6719177 50.2082579, 8.6722696 50.2084662, 8.6719225 50.2086775, 8.6716751 50.2085318))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1071765924, 1071766607, 34030250, 1071765430, 1071766450, 1071765893, 1071765924]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92352515,,parking,no,,,"POLYGON ((8.6730559 50.1998722, 8.673231 50.1995281, 8.6731925 50.1995087, 8.6727514 50.1994103, 8.67258 50.1997602, 8.6730287 50.1998658, 8.6730559 50.1998722))",,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1071766416, 1071766588, 2520685700, 1071765303, 6946344895, 6947769928, 1071766416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92395760,,parking,,,,"POLYGON ((8.6750505 50.2040964, 8.6747146 50.2039304, 8.6746267 50.2040336, 8.6742237 50.2041633, 8.6740126 50.2042258, 8.6738696 50.2042681, 8.6742535 50.2048343, 8.6743345 50.2048084, 8.6743923 50.2047908, 8.674424 50.2047793, 8.6743922 50.204698, 8.6746178 50.2045381, 8.6745172 50.2044762, 8.6746497 50.2043898, 8.6747377 50.2043325, 8.6747125 50.2043167, 8.6750505 50.2040964))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1072604277, 1072604535, 1072604427, 1072604351, 1426092629, 1072604272, 1072604587, 1072604521, 1072604335, 1072604478, 1072604378, 1072604315, 1072604384, 8251319314, 1072604481, 1072604590, 1072604277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92410712,,parking,,,,"POLYGON ((8.6715311 50.1989495, 8.6717014 50.1987213, 8.6715238 50.1986595, 8.6713819 50.1988591, 8.6715311 50.1989495))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1072717596, 1072715403, 1072716648, 1072717929, 1072717596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93465127,yes,parking,yes,Parkhaus Uniklinik,multi-storey,"POLYGON ((8.6592451 50.0952364, 8.6592904 50.0951926, 8.6593736 50.0951123, 8.6590155 50.0949597, 8.659177 50.0948038, 8.6591538 50.0947939, 8.6589239 50.0946959, 8.6588938 50.0946831, 8.6586039 50.0949632, 8.6592451 50.0952364))",,,,,yes,,,24/7,APCOA Parking Deutschland GmbH,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,"[1083521111, 2921504391, 1083521293, 2921504389, 2921504388, 8866936870, 2921504387, 1083521153, 1083521047, 1083521111]",yes,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93476900,yes,parking,yes,"Parkhaus Uni-Kliniken, Sandhofstraße",multi-storey,"POLYGON ((8.6551438 50.0928668, 8.6550698 50.0928712, 8.6548245 50.092889, 8.6546207 50.0929057, 8.6545403 50.0929105, 8.6546205 50.0933663, 8.655224 50.0933226, 8.6551988 50.0931792, 8.6551438 50.0928668))",,,,,,,,"PH,Mo-Su 00:00-24:00",APCOA Parking Deutschland GmbH,,,,,,,,,,yes,,,905,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,"[1083641423, 2692752870, 2692752869, 2692752872, 1083641484, 1083641166, 1083641326, 3469281522, 1083641423]",yes,,8,,,,,,,,,,,,,,,blue,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93908734,customers,parking,no,,surface,"POLYGON ((8.7620809 50.1303536, 8.7619824 50.1303131, 8.7619204 50.1302872, 8.7619624 50.1302458, 8.7614263 50.1300222, 8.761524 50.1299228, 8.7615908 50.1298548, 8.7622924 50.1301525, 8.7620924 50.1303421, 8.7620809 50.1303536))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1091781569, 2399752758, 1091781919, 1091782073, 1091781256, 2399752747, 1091781661, 1091782002, 603384461, 1091781569]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95199411,private,parking,,Chemie,surface,"POLYGON ((8.633244 50.1732323, 8.6331308 50.1731873, 8.6332861 50.1730424, 8.6331478 50.1729921, 8.6327678 50.1733872, 8.6328619 50.1733891, 8.632914 50.1733901, 8.6330265 50.17328, 8.6331486 50.1733319, 8.633244 50.1732323))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2039088424, 2039088421, 1674370356, 1104381674, 1104381666, 2056885828, 1674370371, 1674370360, 2039088430, 2039088424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95705706,private,parking,,,multi-storey,"POLYGON ((8.6725513 50.0972482, 8.6725563 50.0971081, 8.6727394 50.0971108, 8.6727345 50.0972509, 8.6725513 50.0972482))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1109578147, 1109579410, 1109579675, 1109579260, 1109578147]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95967710,customers,parking,no,,surface,"POLYGON ((8.7210698 50.1156217, 8.7215308 50.115787, 8.7216422 50.1158268, 8.7218308 50.1155977, 8.7217346 50.1155651, 8.7217682 50.1155243, 8.7214964 50.1154322, 8.7214005 50.1153992, 8.721282 50.1153632, 8.7212242 50.1154342, 8.7210698 50.1156217))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1111903022, 1111903040, 1111903039, 1111903052, 10259990390, 10259990391, 10259990389, 1111903037, 1111903023, 10259990402, 1111903022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96379591,private,parking,,,multi-storey,"POLYGON ((8.6939725 50.0947533, 8.6940564 50.0946921, 8.6940544 50.094691, 8.6940921 50.0946635, 8.6940826 50.0946582, 8.6941394 50.0946168, 8.6941483 50.0946218, 8.6941846 50.0945953, 8.6941746 50.0945896, 8.6942152 50.09456, 8.6942246 50.0945653, 8.6942717 50.0945309, 8.6943265 50.0945618, 8.6943336 50.0945567, 8.6943881 50.0945875, 8.6943814 50.0945924, 8.6944313 50.0946206, 8.6944381 50.0946156, 8.6944939 50.0946471, 8.6944873 50.0946518, 8.6945371 50.0946799, 8.6945442 50.0946747, 8.6945993 50.0947058, 8.6945925 50.0947108, 8.6946421 50.0947387, 8.6946492 50.0947335, 8.694704 50.0947645, 8.6946972 50.0947694, 8.6947474 50.0947977, 8.6947547 50.0947924, 8.6948093 50.0948232, 8.6948023 50.0948283, 8.6948528 50.0948568, 8.69486 50.0948516, 8.6949149 50.0948825, 8.694908 50.0948875, 8.6949585 50.094916, 8.6949658 50.0949106, 8.6950206 50.0949415, 8.6950135 50.0949467, 8.6950419 50.0949627, 8.6949949 50.094997, 8.6950052 50.0950029, 8.6949652 50.0950321, 8.6949553 50.0950265, 8.6949193 50.0950528, 8.6949278 50.0950577, 8.6948714 50.0950989, 8.6948628 50.0950941, 8.6947403 50.0951835, 8.6947133 50.0951684, 8.6947116 50.0951697, 8.6946561 50.0951385, 8.6946577 50.0951374, 8.694608 50.0951095, 8.6946063 50.0951108, 8.694551 50.0950797, 8.6945525 50.0950786, 8.6945022 50.0950503, 8.6945006 50.0950515, 8.6944456 50.0950206, 8.6944471 50.0950196, 8.6943968 50.0949913, 8.694395 50.0949926, 8.6943403 50.0949618, 8.6943412 50.0949612, 8.6943362 50.0949584, 8.6939725 50.0947533))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1116927976, 9856624876, 9856624871, 9856624872, 9856624869, 9856624870, 9856624873, 9856624874, 9856624867, 9856624868, 9856624875, 1116928349, 9856624865, 9856624831, 9856624832, 9856624866, 9856624864, 9856624834, 9856624833, 9856624863, 9856624862, 9856624836, 9856624835, 9856624861, 9856624860, 9856624837, 9856624838, 9856624859, 9856624858, 9856624840, 9856624839, 9856624857, 9856624856, 9856624841, 9856624842, 9856624855, 9856624854, 9856624844, 9856624843, 9856624853, 1116928184, 9856624849, 9856624848, 9856624847, 9856624851, 9856624850, 9856624846, 9856624845, 9856624852, 1116928120, 9856624830, 9856613315, 9856613316, 9856624829, 9856624828, 9856624817, 9856624818, 9856624827, 9856624826, 9856624819, 9856624820, 9856624825, 9856624824, 9856624821, 9856624822, 9856624823, 9856613314, 1116927976]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96751702,private,parking,,,,"POLYGON ((8.6021016 50.0849304, 8.6020995 50.0848002, 8.6025367 50.0847973, 8.602537 50.0848185, 8.6025377 50.0848606, 8.6025387 50.0849275, 8.6021016 50.0849304))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1120365947, 1120365423, 1120367000, 1905915571, 1120367081, 1120366417, 1120365947]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,97262663,private,parking,,,underground,"POLYGON ((8.6183926 50.1235963, 8.6183563 50.1234413, 8.6187475 50.1234036, 8.6187838 50.1235586, 8.6183926 50.1235963))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1126644501, 1126643456, 1126642830, 1126643821, 1126644501]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,97754892,private,parking,,,surface,"POLYGON ((8.7169051 50.1137219, 8.7172069 50.1133582, 8.7169751 50.1132796, 8.7166637 50.1136431, 8.7169051 50.1137219))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1131538320, 1131538369, 1131538383, 1131538354, 1131538320]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,97757837,customers,parking,no,,surface,"POLYGON ((8.7242265 50.1167455, 8.7248568 50.1159893, 8.7250691 50.1160628, 8.7253862 50.1161699, 8.7247546 50.1169335, 8.7242265 50.1167455))",,,,,,,,,fair parken,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,business,,,,,,,,,,,,,,,,,,"[2042308697, 1131557369, 1131557371, 1131557377, 1131557374, 2042308697]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,97852530,private,parking,,,surface,"POLYGON ((8.6180682 50.1240767, 8.6181945 50.1241585, 8.6180706 50.1242371, 8.6179443 50.1241553, 8.6180682 50.1240767))",,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1132553862, 1132553861, 1132553874, 1132553864, 1132553862]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
