element_type,osmid,access,amenity,fee,name,parking,geometry,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,noexit,wheelchair,layer,maxheight,opening_hours,operator,barrier,bicycle,motor_vehicle,maxstay,lit,park_ride,ref,smoothness,surface,capacity:disabled,toilets:wheelchair,wheelchair:description,capacity,capacity:parent,capacity:women,public,note:de,covered,fixme,capacity:charging,website,description,motorcar,motorcycle,addr:city,addr:housenumber,addr:postcode,addr:street,capacity:disabled:conditional,maxweight,access:conditional,disabled,parking:condition,parking:condition:disabled:permit,supervised,addr:country,source,note,parking:orientation,operator:type,level,trailer,hgv,check_date:opening_hours,access:carsharing,contact:website,description:de,email,phone,maxspeed,name:en,wikidata,highway,charge,image,vehicle,height,nodes,building,caravan,building:levels,payment:american_express,payment:girocard,payment:maestro,payment:mastercard,payment:visa,roof:shape,area,roof:colour,access:note,member_of,fee:conditional,name:etymology:wikidata,name:etymology:wikipedia,brand,building:colour,payment:cards,payment:cash,payment:coins,roof:levels,not:operator:wikidata,parking:condition:both,parking:condition:both:residents,parking:condition:area,check_date:fee,contact:phone,loc_name,payment:credit_cards,payment:debit_cards,building:material,start_date,orientation,parking:disabled,parking_space,location,razed:leisure,razed:sport,taxi,capacity:bus,tourist_bus,capacity:hgv,fee:description,maxlength,surveillance,service,operator:wikidata,operator:wikipedia,railway,note:access,indoor,room,construction,ways,type
node,60943130,yes,parking,no,,surface,POINT (8.6713162 50.0791175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,74966356,private,parking,,,surface,POINT (8.7690549 50.1334025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,90224069,,parking,,,street_side,POINT (8.727233 50.0936717),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,107572633,yes,parking,,,,POINT (8.6764111 50.1514259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252411588,yes,parking,,,surface,POINT (8.6637168 50.0823561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253372665,yes,parking,yes,,underground,POINT (8.7031347 50.1192647),,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,257831767,official,parking,,,,POINT (8.6612775 50.1030303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267479507,,parking,,,,POINT (8.7179445 50.0760508),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,273519866,,parking,,,,POINT (8.6443703 50.0559349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275649490,customers,parking,no,Metro-Parkplatz,surface,POINT (8.7304254 50.1235975),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,276295512,yes,parking,yes,Colosseo,underground,POINT (8.6963844 50.1054143),,,,,,-1,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,289174586,,parking,,KGV Nordend,,POINT (8.6721668 50.1557861),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,309980111,yes,parking,no,Wandererparkplatz,surface,POINT (8.6692649 50.0711766),,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,321680560,customers,parking,no,,multi-storey,POINT (8.5879217 50.0990346),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,336049406,yes,parking,no,,surface,POINT (8.6541051 50.1381403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,343697970,customers,parking,no,Parkplatz Gebäude 534,surface,POINT (8.5586775 50.0262546),,,,,,,,,,,,,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,388319335,yes,parking,yes,,underground,POINT (8.6882471 50.1007104),,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,408443665,yes,parking,yes,P8 - Frankfurt Flughafen Terminal 2,multi-storey,POINT (8.5839279 50.0512134),,,,,yes,,2.1,24/7,Fraport AG,,,,,yes,yes,P8,excellent,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,411075606,yes,parking,no,,surface,POINT (8.6460946 50.1402747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,503123418,customers,parking,yes,Depot Sachsenhausen,underground,POINT (8.6868211 50.1006898),,,,yes,yes,-1,,,,,,,,,no,,,,yes,yes,"Toilettenschüssel im Restaurant ""Depot """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,528009310,private,parking,,Parkhaus Galluspark,underground,POINT (8.6353975 50.0981687),,,,yes,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,533738137,yes,parking,yes,Parkhaus am Opernturm,underground,POINT (8.6704007 50.1162666),,,,yes,yes,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,627941269,,parking,,Besucherparkplatz Schenker,surface,POINT (8.5540003 50.0259851),,,,,,,,,,,,,,,,,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,663752594,private,parking,no,Park&Ride Heddernheim,surface,POINT (8.6489212 50.1619601),,,,yes,,,,,,,,,,,yes,,,,no,,,15,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,663752609,yes,parking,no,Park&Ride Heddernheim,surface,POINT (8.649923 50.1610325),,,,yes,yes,,,,,,,,,,yes,,,,no,,,9,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,674042747,private,parking,,,,POINT (8.6141572 50.1485049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,769421263,permissive,parking,,,surface,POINT (8.6271833 50.1733636),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,794057619,private,parking,yes,,underground,POINT (8.693143 50.1034765),,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,795742768,private,parking,,,surface,POINT (8.6507771 50.1171606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,864646772,,parking,,,,POINT (8.6432411 50.068684),,,,,yes,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,864646773,,parking,,,,POINT (8.6455156 50.0698822),,,,,limited,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,867368376,,parking,,,,POINT (8.6894957 50.0919258),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,867381689,private,parking,,,multi-storey,POINT (8.6881781 50.0906465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,867382390,customers,parking,yes,,surface,POINT (8.6899281 50.0914709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,902669710,yes,parking,no,Rebstockpark,,POINT (8.6153201 50.1132969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,902669713,,parking,,,,POINT (8.615527 50.1136582),,,,,,,,,,,,,,,,,,,,,,,,,,für Messe-Aufbau und -Abbau wird dieser Platz für LKW zur Verfügung gestellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,902675681,,parking,,Tiefgarage Bürgerhaus Griesheim,underground,POINT (8.6078851 50.0951644),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,903520074,customers,parking,,,multi-storey,POINT (8.5898818 50.0976006),,,,,yes,,,,Airparks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,914491307,permissive,parking,,Woolworth,,POINT (8.7038328 50.1247722),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,976475365,yes,parking,yes,Parkhalle Riedbergzentrum,underground,POINT (8.6286678 50.1769574),,,,,yes,-1,,,,,,,,,,,,,yes,yes,Das rollstuhlgerechte WC ist im Info-Zentrum zwischen Frisör und Lotto-Laden versteckt,,yes,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1012692042,,parking,,,,POINT (8.5989537 50.1223836),,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1165273189,yes,parking,no,,surface,POINT (8.6900942 50.1502749),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1176798748,customers,parking,,Burghof- Hofladen Parkplatz,surface,POINT (8.6045653 50.1733833),,,,yes,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1201851860,permissive,parking,,,,POINT (8.6639854 50.1019716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1222156130,private,parking,,,surface,POINT (8.7397218 50.1494382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1229586796,customers,parking,no,,surface,POINT (8.7510198 50.1273691),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parkdeck Hornbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1231567296,private,parking,,,,POINT (8.757141 50.123604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1300527514,,parking,,,lane,POINT (8.7678389 50.1253893),,,,,limited,,,,,,,,,,,,,,,,Behindertenparkplatz,,,,,,,,,,,,,Frankfurt am Main,4,60386,Willmannstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1301059025,yes,parking,no,,street_side,POINT (8.7205993 50.1418273),,,,,yes,,,,,,,,,,,,,,1,,ausreichend breit,1,,,,,,,,,Behindertenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1301109179,yes,parking,no,,street_side,POINT (8.7205748 50.1420269),,,,,yes,,,,,,,,,,,,,,1,,,1,,,,,,,,,Behindertenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1301169173,yes,parking,no,,street_side,POINT (8.7194103 50.1406178),,,,,yes,,,,,,,,,,,,,,1,,,1,,,,,,,,,Behindertenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1301728032,yes,parking,no,,street_side,POINT (8.706021 50.1286632),,,,,yes,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1301730937,yes,parking,no,,street_side,POINT (8.7074637 50.1290751),,,,,yes,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1302054369,,parking,,,lane,POINT (8.6815017 50.1163834),,,,,yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1 @ (Mo-Fr 08:00-17:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1302056849,,parking,,,street_side,POINT (8.6891683 50.1128658),,,,,yes,,,,,,,,,,,,,,1,,,1,,,,,,,,,Behindertenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
