element_type,osmid,amenity,geometry,wheelchair,access,wheelchair:description,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,level,email,fax,name,opening_hours,phone,shop,website,brand,nodes,brand:wikidata,brand:wikipedia,building,internet_access,short_name,toilets:wheelchair,alt_name,building:levels,roof:levels,check_date:opening_hours,cuisine,roof:shape,contact:phone,contact:website,old_name,toilets,takeaway,diet:vegan,diet:vegetarian,description,craft,disused:shop,name:ko,wikidata,changing_table,drink:club-mate,building:colour,building:levels:underground,building:material,height,roof:colour,roof:material,source,source:height,access:covid19,drive_through:covid19,opening_hours:covid19,heritage,heritage:operator,start_date,contact:facebook,contact:instagram,contact:mobile,clothes,motorcycle:clothes,motorcycle:parts,addr:suburb,building:min_level,layer,roof:height,architect,wikimedia_commons,wikipedia,noaddress,branch,contact:email,diet:halal,diet:kosher,contact:fax,healthcare,opening_hours:signed,nohousenumber,not:brand:wikidata,trade,check_date,disused:kiosk,disused:name,disused:opening_hours,outdoor_seating,reservation,smoking,note:building:levels,air_conditioning,currency:EUR,diet:gluten_free,diet:healthy,diet:lactose_free,diet:local,diet:meat,diet:mediterranean,diet:non-vegetarian,image,membership,payment:cash,payment:coins,payment:credit_cards,payment:debit_cards,payment:girocard,payment:maestro,payment:mastercard,payment:visa,ref:vatin,second_hand,stroller,cash_withdrawal,internet_access:fee,loc_name,name:de,opening_hours:url,self_checkout,breakfast,drive_through,ice_cream,indoor_seating,leisure,note,addr:housename,noname,ways,type
way,104328227,,"POLYGON ((8.5481331 50.100919, 8.5481927 50.1008344, 8.548668 50.1009665, 8.5486321 50.1010155, 8.5487535 50.1010766, 8.5489242 50.1011507, 8.5490265 50.101197, 8.54856 50.1016178, 8.5476959 50.1012248, 8.5477657 50.1011673, 8.5478993 50.1010496, 8.5479583 50.1009984, 8.5480627 50.1010303, 8.5480933 50.1009898, 8.5481567 50.1010068, 8.5482058 50.1009417, 8.5481331 50.100919))",,,,,Frankfurt am Main,DE,9-13,65929,Königsteiner Straße,,,,,,,,,,"[1203754405, 1203754447, 1203754265, 1203754553, 1203754418, 1203754384, 1203754578, 1203754298, 1203754369, 1203754454, 1203754326, 1203754436, 1203754274, 1203754558, 1203754244, 1203754324, 1203754405]",,,retail,,,,,2,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104415659,,"POLYGON ((8.542191 50.1058248, 8.5424081 50.1059255, 8.5424523 50.1058863, 8.5424428 50.1058393, 8.5423692 50.1058052, 8.5424266 50.1057543, 8.5425014 50.1057891, 8.5425765 50.1057225, 8.5423994 50.1056402, 8.542191 50.1058248))",,,,,,,,,,,,,,,,,,,"[1204767289, 1204761961, 2131103091, 2131103059, 2131103041, 2131103018, 2131103029, 1204770402, 1204768864, 1204767289]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104807489,,"POLYGON ((8.5468226 50.1022141, 8.546826 50.1021983, 8.546913 50.1022246, 8.5468979 50.1022665, 8.5470341 50.1022812, 8.5470392 50.1022622, 8.5470527 50.1022459, 8.5468663 50.1021612, 8.5467729 50.1021177, 8.5466889 50.1020794, 8.5466206 50.1020481, 8.5466801 50.1019958, 8.5472401 50.1022516, 8.5472121 50.1022691, 8.5472162 50.102304, 8.5471767 50.1023234, 8.5471687 50.1023498, 8.5467997 50.1023079, 8.5468226 50.1022141))",,,,,Frankfurt am Main,DE,2-4,65929,Hostatostraße,,,,,,,,,,"[1208958077, 1208958009, 1208958228, 1208957950, 1208958161, 1208958082, 1208958130, 1208957925, 1208957956, 1208958110, 1208957981, 1208958052, 1208957907, 1208958113, 1208958164, 1208958021, 1208958100, 1208957946, 1208958077]",,,retail,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105160450,,"POLYGON ((8.6288825 50.0832959, 8.6291684 50.0833227, 8.6292186 50.0831024, 8.6291775 50.0830985, 8.6291834 50.0830725, 8.6289758 50.0830517, 8.6289696 50.083079, 8.6289327 50.0830756, 8.6288825 50.0832959))",,,,,,,14,,Lyoner Straße,,,,,,,,,,"[1211953858, 1211953663, 1211955886, 1211955105, 1211954823, 1211955443, 1211954112, 1211954246, 1211953858]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105160538,,"POLYGON ((8.6331732 50.0780248, 8.6332796 50.0780354, 8.6332915 50.0779863, 8.6331851 50.0779757, 8.6331732 50.0780248))",,,,,,,,,,,,,,,,,,,"[1211954383, 1211954213, 1211954660, 1211955198, 1211954383]",,,retail,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105160582,,"POLYGON ((8.6330267 50.0775263, 8.6332096 50.0768206, 8.6331133 50.0768103, 8.6329303 50.077516, 8.6330267 50.0775263))",,,,,Frankfurt am Main,DE,76,60528,Hahnstraße,,,,,,,,,,"[1211954080, 1211954480, 1211955575, 1211953516, 1211954080]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105349503,,"POLYGON ((8.5100651 50.0971906, 8.510058 50.0971189, 8.5097372 50.0971319, 8.5097443 50.0972037, 8.5100651 50.0971906))",,,,,Frankfurt am Main,,131,65931,Pfaffenwiese,,,,,,,,,,"[1213844389, 1213844547, 1213845018, 1213844097, 1213844389]",,,retail,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105349588,,"POLYGON ((8.510561 50.0971665, 8.5107438 50.097158, 8.5107367 50.0970964, 8.510554 50.0971049, 8.510561 50.0971665))",,,,,Frankfurt am Main,,2,65931,Rabenkopfweg,,,,,,,,,,"[1213844519, 1213844151, 1213845147, 2293877488, 1213844519]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105512598,,"POLYGON ((8.502643 50.0924829, 8.5029772 50.0923657, 8.50292 50.0922986, 8.5031177 50.0922293, 8.5029548 50.0920381, 8.5024229 50.0922248, 8.5026301 50.0924678, 8.502643 50.0924829))",yes,,,,Frankfurt am Main,,50,65931,West-Höchster Straße,,,,ALDI Süd,Mo-Sa 08:00-21:00,,supermarket,,ALDI Süd,"[1215208589, 2298604871, 2298604869, 1215209396, 1215209666, 1215209967, 1215210118, 1215208589]",Q41171672,en:Aldi,retail,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105512701,,"POLYGON ((8.5024617 50.0925269, 8.5026301 50.0924678, 8.5024229 50.0922248, 8.5022545 50.0922838, 8.5024617 50.0925269))",,,,,Frankfurt am Main,,85,65931,Annabergstraße,,,,,,,,,,"[1215208917, 1215210118, 1215209967, 1215209162, 1215208917]",,,retail,,,,,2,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
