element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,wheelchair,addr:country,amenity,nodes,building,building:levels,roof:shape,roof:levels,old_name,wikipedia,source,building:colour,height,roof:colour,roof:height,note,building:material,roof:material,fixme,roof:orientation,description,email,name,operator,operator:type,phone,social_facility,social_facility:for,website,roof:direction,addr:housename,building:levels:underground,building:min_level,check_date
way,265286569,"POLYGON ((8.6261734 50.1081278, 8.6263906 50.1081376, 8.6263752 50.1082764, 8.6265837 50.1082858, 8.6266 50.1081383, 8.6266153 50.1080002, 8.6261896 50.1079809, 8.6261734 50.1081278))",Frankfurt am Main,130,60486,Europa-Allee,,,,"[3052204771, 2709568726, 2709568758, 2709568763, 3052204772, 2709568711, 3052204767, 3052204771]",residential,8,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,275919969,"POLYGON ((8.6511973 50.1442809, 8.6512832 50.1442809, 8.6512891 50.1441352, 8.6512016 50.1441352, 8.6511973 50.1442809))",,,,,,,,"[2805730020, 2805730021, 2805730022, 2805730023, 2805730020]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,282501791,"POLYGON ((8.6523087 50.0890795, 8.652382 50.089163, 8.6525316 50.089109, 8.6524583 50.0890255, 8.6523087 50.0890795))",Frankfurt am Main,71,60528,Deutschordenstraße,,DE,,"[2864496324, 1352818889, 1352818862, 2864496323, 2864496324]",residential,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
way,282501817,"POLYGON ((8.6520397 50.089945, 8.6520665 50.0900198, 8.6522279 50.089996, 8.652201 50.0899212, 8.6520397 50.089945))",,2,,Komturstraße,,,,"[1352819215, 2864496413, 2864496411, 1352819190, 1352819215]",residential,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109162,"POLYGON ((8.6284544 50.1075416, 8.6287061 50.1075528, 8.6287212 50.1074138, 8.6286842 50.1074121, 8.6286868 50.1073878, 8.6286874 50.107382, 8.6285153 50.1073743, 8.6285146 50.1073809, 8.6285121 50.1074041, 8.6284695 50.1074022, 8.6284544 50.1075416))",Frankfurt am Main,121,60486,Europa-Allee,,,,"[3052204764, 2709568700, 2709568678, 3053994813, 8839221835, 8839221837, 8839221838, 8839221836, 3053994812, 3052204755, 3052204764]",residential,8,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109164,"POLYGON ((8.6282025 50.1075298, 8.6284544 50.1075416, 8.6284695 50.1074022, 8.6282181 50.1073906, 8.6282025 50.1075298))",Frankfurt am Main,123,60486,Europa-Allee,,,,"[3052204763, 3052204764, 3052204755, 3052204754, 3052204763]",residential,8,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109168,"POLYGON ((8.6279509 50.1075182, 8.6282025 50.1075298, 8.6282181 50.1073906, 8.6279665 50.107379, 8.6279509 50.1075182))",Frankfurt am Main,125,60486,Europa-Allee,,,,"[3052204762, 3052204763, 3052204754, 3052204753, 3052204762]",residential,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109170,"POLYGON ((8.6276993 50.1075066, 8.6279509 50.1075182, 8.6279665 50.107379, 8.6277149 50.1073674, 8.6276993 50.1075066))",Frankfurt am Main,127,60486,Europa-Allee,,,,"[3052204761, 3052204762, 3052204753, 3052204752, 3052204761]",residential,7,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109172,"POLYGON ((8.6274477 50.1074949, 8.6276993 50.1075066, 8.6277149 50.1073674, 8.6274633 50.1073557, 8.6274477 50.1074949))",Frankfurt am Main,129,60486,Europa-Allee,,,,"[3052204760, 3052204761, 3052204752, 3052204751, 3052204760]",residential,7,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109173,"POLYGON ((8.627196 50.1074833, 8.6274477 50.1074949, 8.6274633 50.1073557, 8.6272116 50.1073441, 8.627196 50.1074833))",Frankfurt am Main,131,60486,Europa-Allee,,,,"[3052204759, 3052204760, 3052204751, 3052204750, 3052204759]",residential,7,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
