element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,nodes,building,wheelchair,check_date:opening_hours,consulate,country,diplomatic,office,opening_hours:signed,target,building:levels,building:min_level,layer,note:building:min_level,source,ways,type
way,154022356,"POLYGON ((8.6732114 50.125325, 8.6733056 50.1252058, 8.6735116 50.1252727, 8.6734935 50.1252957, 8.6734702 50.1252882, 8.6733942 50.1253844, 8.6732114 50.125325))",Frankfurt am Main,DE,26,60322,Hansaallee,,"[329475152, 1666284868, 1666284880, 9812383790, 9812383789, 329475165, 329475152]",government,,,,,,,,,,,,,,,
way,174693025,"POLYGON ((8.6890664 50.1163439, 8.6890846 50.1163748, 8.689121 50.1164368, 8.6891394 50.1164682, 8.689099 50.1164793, 8.6890808 50.1164484, 8.6890434 50.116385, 8.6890255 50.1163545, 8.6890664 50.1163439))",,,,,,Seufzerbrücke,"[1853445294, 10699514119, 10699514269, 1853445331, 1853445333, 10699514268, 10699514120, 1853445299, 1853445294]",government,,,,,,,,,2,1,1,"könnte auch noch höher sein, darauf habe ich nicht geachet. Jedoch deutlich über der Straße",,,
way,174693044,"POLYGON ((8.6885617 50.116342, 8.6886005 50.1163392, 8.6887511 50.1163282, 8.6887983 50.1163248, 8.6887951 50.1163014, 8.6887437 50.1163051, 8.688596 50.1163156, 8.6885563 50.1163184, 8.688556 50.1163151, 8.68852 50.1163163, 8.6885188 50.1163489, 8.688562 50.1163507, 8.6885617 50.116342))",,,,,,,"[1853445295, 10699514259, 10699514127, 1853445290, 1853445285, 10699514128, 10699514258, 1853445289, 1853445286, 1853445288, 1853445297, 1853445298, 1853445295]",government,,,,,,,,,1,,1,,,,
way,230491328,"POLYGON ((8.6609268 50.1035977, 8.661053 50.103697, 8.6610166 50.1037157, 8.6610352 50.1037305, 8.6609819 50.1037578, 8.6609633 50.103743, 8.6609232 50.1037635, 8.6603548 50.1033096, 8.6603263 50.1032868, 8.6603097 50.1032736, 8.6603294 50.1032641, 8.6604458 50.1032074, 8.6605168 50.1032648, 8.6609268 50.1035977))",Frankfurt am Main,DE,130,60327,Gutleutstraße,,"[1109135291, 260494097, 2389908635, 2389908637, 2389908647, 2389908639, 260494098, 6266703618, 10170194611, 2389908590, 2389908588, 1109135304, 1109135278, 1109135291]",government,,,,,,,,,,,,,,,
way,230491333,"POLYGON ((8.6603294 50.1032641, 8.6603048 50.1032439, 8.6602609 50.1032482, 8.6602063 50.1032419, 8.6601503 50.1032184, 8.6601463 50.1032221, 8.6600992 50.1031995, 8.6601154 50.1031848, 8.6601075 50.1031599, 8.6601109 50.1031268, 8.6601295 50.1030981, 8.6600982 50.1030721, 8.6601686 50.1030369, 8.6601908 50.1030576, 8.6602361 50.1030529, 8.6602522 50.1030296, 8.6602973 50.1030452, 8.6602898 50.1030527, 8.6603486 50.1030696, 8.6604974 50.1029803, 8.6605304 50.1029985, 8.6605564 50.1030203, 8.6605719 50.103038, 8.6605877 50.1030559, 8.6606051 50.1030914, 8.6606094 50.1031367, 8.6606046 50.1031741, 8.6605869 50.1032149, 8.6605634 50.1032413, 8.6605334 50.1032566, 8.6605168 50.1032648, 8.6604458 50.1032074, 8.6603294 50.1032641))",Frankfurt am Main,,130,60327,Gutleutstraße,,"[2389908588, 2389908584, 2389908586, 2389908583, 2389908579, 2389908580, 2389908578, 2389908576, 2389908572, 2389908569, 2389908565, 2389908560, 2389908555, 1109135285, 1109135309, 1109135315, 260494092, 1109135316, 260494093, 1109135310, 6266703637, 1109135298, 6266703636, 260494094, 1109135294, 1109135302, 260494095, 1109135296, 2389908582, 1109135276, 1109135278, 1109135304, 2389908588]",government,,,,,,,,,,,,,,,
way,244192148,"POLYGON ((8.6533632 50.121959, 8.6533255 50.1221004, 8.653146 50.1220807, 8.6531764 50.1219667, 8.6532049 50.1219416, 8.653288 50.1219508, 8.6532906 50.1219408, 8.6533471 50.121947, 8.6533445 50.121957, 8.6533632 50.121959))",Frankfurt am Main,DE,17,60325,Zeppelinallee,,"[325146038, 2515358619, 2515358614, 325146041, 2515358594, 360768913, 2515358593, 2515358596, 2515358598, 325146038]",government,,,,,,,,,,,,,,,
way,244192154,"POLYGON ((8.6533255 50.1221004, 8.6532877 50.1222417, 8.6532395 50.1222364, 8.6532368 50.1222462, 8.6531056 50.1222318, 8.653146 50.1220807, 8.6533255 50.1221004))",Frankfurt am Main,DE,19,60325,Zeppelinallee,,"[2515358619, 325146039, 360768911, 2515358627, 325146040, 2515358614, 2515358619]",government,,,,,,,,,,,,,,,
way,244192158,"POLYGON ((8.6529757 50.1223907, 8.652987 50.1223571, 8.6529148 50.1223471, 8.6529434 50.1222621, 8.6532178 50.1223, 8.6531779 50.1224186, 8.6529757 50.1223907))",Frankfurt am Main,DE,21,60325,Zeppelinallee,,"[360768909, 325146052, 325146053, 325146054, 325146049, 360768907, 360768909]",government,,,,,,,,,,,,,,,
way,244192165,"POLYGON ((8.6527192 50.1228775, 8.6527055 50.1229069, 8.6526632 50.1228988, 8.6526373 50.1229542, 8.6527194 50.1229699, 8.6527151 50.1229792, 8.6528736 50.1230096, 8.652878 50.1230004, 8.652933 50.123011, 8.6529729 50.1229257, 8.6527192 50.1228775))",Frankfurt am Main,DE,31,60325,Zeppelinallee,,"[2515358691, 325145978, 325145982, 325145983, 360768903, 2515358701, 2515358702, 360768900, 325145976, 2515358697, 2515358691]",government,,,,,,,,,,,,,,,
way,244192166,"POLYGON ((8.6525014 50.1232884, 8.6524824 50.1233193, 8.6524347 50.1233073, 8.6524042 50.1233571, 8.6526634 50.1234224, 8.6527129 50.1233416, 8.6525014 50.1232884))",Frankfurt am Main,DE,37,60325,Zeppelinallee,,"[2515358744, 325145958, 325145968, 325145970, 325145956, 360768895, 2515358744]",government,,,,,,,,,,,,,,,
