element_type,osmid,amenity,parking_space,geometry,capacity,parking,access,surface,nodes,ref,capacity:disabled,description,layer,level,capacity:bus,capacity:long,taxi,capacity:hgv,name
way,692029910,parking_space,,"POLYGON ((8.5888858 50.0528987, 8.5889 50.0528741, 8.587799 50.0526124, 8.5877848 50.052637, 8.5888858 50.0528987))",,,,,"[6495867937, 6495867936, 6495867935, 6495867934, 6495867937]",,,,1,,yes,yes,,,
way,802591402,parking_space,,"POLYGON ((8.5693765 50.0505285, 8.5692979 50.0505099, 8.5693099 50.0504891, 8.5693885 50.0505076, 8.5693765 50.0505285))",,,no,,"[7507431543, 7507431571, 7507431570, 7507431542, 7507431543]",,,,,,,,designated,,
way,802591403,parking_space,,"POLYGON ((8.569455 50.0505471, 8.5693765 50.0505285, 8.5693885 50.0505076, 8.569467 50.0505262, 8.569455 50.0505471))",,,no,,"[7507431545, 7507431543, 7507431542, 7507431544, 7507431545]",,,,,,,,designated,,
way,802591404,parking_space,,"POLYGON ((8.5695336 50.0505656, 8.569455 50.0505471, 8.569467 50.0505262, 8.5695456 50.0505447, 8.5695336 50.0505656))",,,no,,"[7507431547, 7507431545, 7507431544, 7507431546, 7507431547]",,,,,,,,designated,,
way,802591405,parking_space,,"POLYGON ((8.5696121 50.0505842, 8.5695336 50.0505656, 8.5695456 50.0505447, 8.5696241 50.0505633, 8.5696121 50.0505842))",,,no,,"[7507431549, 7507431547, 7507431546, 7507431548, 7507431549]",,,,,,,,designated,,
way,802591406,parking_space,,"POLYGON ((8.5696907 50.0506028, 8.5696121 50.0505842, 8.5696241 50.0505633, 8.5697027 50.0505819, 8.5696907 50.0506028))",,,no,,"[7507431551, 7507431549, 7507431548, 7507431550, 7507431551]",,,,,,,,designated,,
way,802591407,parking_space,,"POLYGON ((8.5697692 50.0506213, 8.5696907 50.0506028, 8.5697027 50.0505819, 8.5697812 50.0506004, 8.5697692 50.0506213))",,,no,,"[7507431553, 7507431551, 7507431550, 7507431552, 7507431553]",,,,,,,,designated,,
way,802591408,parking_space,,"POLYGON ((8.5698478 50.0506399, 8.5697692 50.0506213, 8.5697812 50.0506004, 8.5698598 50.050619, 8.5698478 50.0506399))",,,no,,"[7507431555, 7507431553, 7507431552, 7507431554, 7507431555]",,,,,,,,designated,,
way,802591409,parking_space,,"POLYGON ((8.5699263 50.0506585, 8.5698478 50.0506399, 8.5698598 50.050619, 8.5699383 50.0506376, 8.5699263 50.0506585))",,,no,,"[7507431557, 7507431555, 7507431554, 7507431556, 7507431557]",,,,,,,,designated,,
way,802591410,parking_space,,"POLYGON ((8.5700049 50.050677, 8.5699263 50.0506585, 8.5699383 50.0506376, 8.5700169 50.0506561, 8.5700049 50.050677))",,,no,,"[7507431559, 7507431557, 7507431556, 7507431558, 7507431559]",,,,,,,,designated,,
way,802591411,parking_space,,"POLYGON ((8.5700834 50.0506956, 8.5700049 50.050677, 8.5700169 50.0506561, 8.5700954 50.0506747, 8.5700834 50.0506956))",,,no,,"[7507431561, 7507431559, 7507431558, 7507431560, 7507431561]",,,,,,,,designated,,
way,802591412,parking_space,,"POLYGON ((8.570162 50.0507142, 8.5700834 50.0506956, 8.5700954 50.0506747, 8.570174 50.0506933, 8.570162 50.0507142))",,,no,,"[7507431563, 7507431561, 7507431560, 7507431562, 7507431563]",,,,,,,,designated,,
way,802591413,parking_space,,"POLYGON ((8.5702405 50.0507327, 8.570162 50.0507142, 8.570174 50.0506933, 8.5702525 50.0507118, 8.5702405 50.0507327))",,,no,,"[7507431565, 7507431563, 7507431562, 7507431564, 7507431565]",,,,,,,,designated,,
way,802591414,parking_space,,"POLYGON ((8.5703191 50.0507513, 8.5702405 50.0507327, 8.5702525 50.0507118, 8.5703311 50.0507304, 8.5703191 50.0507513))",,,no,,"[7507431567, 7507431565, 7507431564, 7507431566, 7507431567]",,,,,,,,designated,,
way,802591415,parking_space,,"POLYGON ((8.5703976 50.0507698, 8.5703191 50.0507513, 8.5703311 50.0507304, 8.5704096 50.050749, 8.5703976 50.0507698))",,,no,,"[7507431568, 7507431567, 7507431566, 7507431569, 7507431568]",,,,,,,,designated,,
way,806772126,parking_space,hgv,"POLYGON ((8.5879545 50.027201, 8.5879255 50.0271598, 8.5880497 50.0269454, 8.5880787 50.0269856, 8.5879545 50.027201))",,,,,"[7544311943, 5622424375, 7544311951, 7544311950, 7544311943]",,,,,,,,,1,
way,806772127,parking_space,hgv,"POLYGON ((8.5879545 50.027201, 8.5879835 50.0272422, 8.5881077 50.0270258, 8.5880787 50.0269856, 8.5879545 50.027201))",,,,,"[7544311943, 7544311942, 7544311949, 7544311950, 7544311943]",,,,,,,,,1,
way,806772128,parking_space,hgv,"POLYGON ((8.5879835 50.0272422, 8.5880126 50.0272834, 8.5881367 50.0270661, 8.5881077 50.0270258, 8.5879835 50.0272422))",,,,,"[7544311942, 7544311941, 7544311948, 7544311949, 7544311942]",,,,,,,,,1,
way,806772129,parking_space,hgv,"POLYGON ((8.5880416 50.0273246, 8.5880126 50.0272834, 8.5881367 50.0270661, 8.5881657 50.0271063, 8.5880416 50.0273246))",,,,,"[7544311940, 7544311941, 7544311948, 7544311947, 7544311940]",,,,,,,,,1,
way,806772130,parking_space,hgv,"POLYGON ((8.5880706 50.0273658, 8.5880416 50.0273246, 8.5881657 50.0271063, 8.5881947 50.0271465, 8.5880706 50.0273658))",,,,,"[7544311939, 7544311940, 7544311947, 7544311946, 7544311939]",,,,,,,,,1,
way,806772131,parking_space,hgv,"POLYGON ((8.5880996 50.027407, 8.5880706 50.0273658, 8.5881947 50.0271465, 8.5882237 50.0271868, 8.5880996 50.027407))",,,,,"[7544311938, 7544311939, 7544311946, 7544311945, 7544311938]",,,,,,,,,1,
way,806772132,parking_space,hgv,"POLYGON ((8.5881286 50.0274482, 8.5880996 50.027407, 8.5882237 50.0271868, 8.5882528 50.027227, 8.5881286 50.0274482))",,,,,"[5622424369, 7544311938, 7544311945, 7544311944, 5622424369]",,,,,,,,,1,
way,806772133,parking_space,hgv,"POLYGON ((8.5881577 50.0274894, 8.5881286 50.0274482, 8.5882528 50.027227, 8.5882818 50.0272673, 8.5881577 50.0274894))",,,,,"[7544367723, 5622424369, 7544311944, 5622424370, 7544367723]",,,,,,,,,1,
way,806772134,parking_space,hgv,"POLYGON ((8.5881229 50.0268751, 8.588094 50.0268342, 8.5884296 50.026917, 8.5884582 50.0269571, 8.5881229 50.0268751))",,,,,"[7544311970, 5622424374, 5622424373, 7544311962, 7544311970]",,,,,,,,,1,
way,806772135,parking_space,hgv,"POLYGON ((8.5881518 50.0269159, 8.5881229 50.0268751, 8.5884582 50.0269571, 8.5884868 50.0269972, 8.5881518 50.0269159))",,,,,"[7544311969, 7544311970, 7544311962, 7544311961, 7544311969]",,,,,,,,,1,
way,806772136,parking_space,hgv,"POLYGON ((8.5881807 50.0269568, 8.5881518 50.0269159, 8.5884868 50.0269972, 8.5885155 50.0270373, 8.5881807 50.0269568))",,,,,"[7544311968, 7544311969, 7544311961, 7544311960, 7544311968]",,,,,,,,,1,
way,806772137,parking_space,hgv,"POLYGON ((8.5882096 50.0269976, 8.5881807 50.0269568, 8.5885155 50.0270373, 8.5885441 50.0270774, 8.5882096 50.0269976))",,,,,"[7544311967, 7544311968, 7544311960, 7544311959, 7544311967]",,,,,,,,,1,
way,806772138,parking_space,hgv,"POLYGON ((8.5882386 50.0270385, 8.5882096 50.0269976, 8.5885441 50.0270774, 8.5885727 50.0271175, 8.5882386 50.0270385))",,,,,"[7544311966, 7544311967, 7544311959, 7544311958, 7544311966]",,,,,,,,,1,
way,806772139,parking_space,hgv,"POLYGON ((8.5886014 50.0271576, 8.5885727 50.0271175, 8.5882386 50.0270385, 8.5882675 50.0270793, 8.5886014 50.0271576))",,,,,"[7544311957, 7544311958, 7544311966, 7544311953, 7544311957]",,,,,,,,,1,
way,806772140,parking_space,hgv,"POLYGON ((8.58863 50.0271977, 8.5886014 50.0271576, 8.5882675 50.0270793, 8.5882964 50.0271201, 8.58863 50.0271977))",,,,,"[7544311956, 7544311957, 7544311953, 7544311965, 7544311956]",,,,,,,,,1,
way,806772141,parking_space,hgv,"POLYGON ((8.5886586 50.0272378, 8.58863 50.0271977, 8.5882964 50.0271201, 8.5883253 50.027161, 8.5886586 50.0272378))",,,,,"[7544311955, 7544311956, 7544311965, 7544311964, 7544311955]",,,,,,,,,1,
way,806772142,parking_space,hgv,"POLYGON ((8.5886873 50.0272779, 8.5886586 50.0272378, 8.5883253 50.027161, 8.5883542 50.0272018, 8.5886873 50.0272779))",,,,,"[7544311954, 7544311955, 7544311964, 7544311963, 7544311954]",,,,,,,,,1,
way,806772143,parking_space,hgv,"POLYGON ((8.5887159 50.027318, 8.5886873 50.0272779, 8.5883542 50.0272018, 8.5883831 50.0272427, 8.5887159 50.027318))",,,,,"[7544367724, 7544311954, 7544311963, 5622424371, 7544367724]",,,,,,,,,1,
way,806772144,parking_space,,"POLYGON ((8.5872374 50.0263018, 8.5872488 50.0262777, 8.5873084 50.0262941, 8.5873291 50.0263231, 8.5872374 50.0263018))",,,,,"[5622424388, 5622424389, 5622424390, 7544311982, 5622424388]",,,,,,,,,,
way,806772145,parking_space,,"POLYGON ((8.587258 50.0263309, 8.5872374 50.0263018, 8.5873291 50.0263231, 8.5873499 50.0263521, 8.587258 50.0263309))",,,,,"[7544311983, 5622424388, 7544311982, 7544311981, 7544311983]",,,,,,,,,,
way,806772146,parking_space,,"POLYGON ((8.5872786 50.0263601, 8.587258 50.0263309, 8.5873499 50.0263521, 8.5873706 50.0263812, 8.5872786 50.0263601))",,,,,"[7544311984, 7544311983, 7544311981, 7544311980, 7544311984]",,,,,,,,,,
way,806772147,parking_space,,"POLYGON ((8.5872992 50.0263892, 8.5872786 50.0263601, 8.5873706 50.0263812, 8.5873913 50.0264102, 8.5872992 50.0263892))",,,,,"[7544367685, 7544311984, 7544311980, 7544311979, 7544367685]",,,,,,,,,,
way,806772148,parking_space,,"POLYGON ((8.5873198 50.0264184, 8.5872992 50.0263892, 8.5873913 50.0264102, 8.5874121 50.0264392, 8.5873198 50.0264184))",,,,,"[7544367686, 7544367685, 7544311979, 7544311978, 7544367686]",,,,,,,,,,
way,806772149,parking_space,,"POLYGON ((8.5873405 50.0264476, 8.5874328 50.0264683, 8.5874121 50.0264392, 8.5873198 50.0264184, 8.5873405 50.0264476))",,,,,"[7544367687, 7544311977, 7544311978, 7544367686, 7544367687]",,,,,,,,,,
way,806772150,parking_space,,"POLYGON ((8.5874535 50.0264973, 8.5874328 50.0264683, 8.5873405 50.0264476, 8.5873611 50.0264767, 8.5874535 50.0264973))",,,,,"[7544311976, 7544311977, 7544367687, 7544367688, 7544311976]",,,,,,,,,,
way,806772151,parking_space,,"POLYGON ((8.5874743 50.0265263, 8.5874535 50.0264973, 8.5873611 50.0264767, 8.5873817 50.0265059, 8.5874743 50.0265263))",,,,,"[7544311975, 7544311976, 7544367688, 7544367689, 7544311975]",,,,,,,,,,
way,806772152,parking_space,,"POLYGON ((8.587495 50.0265554, 8.5874743 50.0265263, 8.5873817 50.0265059, 8.5874023 50.026535, 8.587495 50.0265554))",,,,,"[7544311974, 7544311975, 7544367689, 7544367690, 7544311974]",,,,,,,,,,
way,806772153,parking_space,,"POLYGON ((8.5875157 50.0265844, 8.587495 50.0265554, 8.5874023 50.026535, 8.5874229 50.0265642, 8.5875157 50.0265844))",,,,,"[7544311971, 7544311974, 7544367690, 7544367691, 7544311971]",,,,,,,,,,
way,806772154,parking_space,,"POLYGON ((8.5874436 50.0265933, 8.5874229 50.0265642, 8.5875157 50.0265844, 8.5875364 50.0266134, 8.5874436 50.0265933))",,,,,"[7544367692, 7544367691, 7544311971, 7544311973, 7544367692]",,,,,,,,,,
way,806772155,parking_space,,"POLYGON ((8.5874642 50.0266225, 8.5874436 50.0265933, 8.5875364 50.0266134, 8.5875572 50.0266425, 8.5874642 50.0266225))",,,,,"[7544367693, 7544367692, 7544311973, 7544311972, 7544367693]",,,,,,,,,,
way,806772156,parking_space,,"POLYGON ((8.5874848 50.0266516, 8.5875757 50.0266684, 8.5875572 50.0266425, 8.5874642 50.0266225, 8.5874848 50.0266516))",,,,,"[5622424392, 5622424391, 7544311972, 7544367693, 5622424392]",,,,,,,,,,
way,806772157,parking_space,,"POLYGON ((8.5871415 50.0263356, 8.5871214 50.026307, 8.5872062 50.0263266, 8.5872269 50.0263553, 8.5871415 50.0263356))",,,,,"[7544367706, 5622424397, 5622424396, 7544367695, 7544367706]",,,,,,,,,,
way,806772158,parking_space,,"POLYGON ((8.5871617 50.0263642, 8.5871415 50.0263356, 8.5872269 50.0263553, 8.5872476 50.026384, 8.5871617 50.0263642))",,,,,"[7544367707, 7544367706, 7544367695, 7544367696, 7544367707]",,,,,,,,,,
way,806772159,parking_space,,"POLYGON ((8.5871819 50.0263928, 8.5871617 50.0263642, 8.5872476 50.026384, 8.5872683 50.0264127, 8.5871819 50.0263928))",,,,,"[7544367694, 7544367707, 7544367696, 7544367697, 7544367694]",,,,,,,,,,
way,806772160,parking_space,,"POLYGON ((8.587202 50.0264214, 8.5871819 50.0263928, 8.5872683 50.0264127, 8.587289 50.0264414, 8.587202 50.0264214))",,,,,"[7544367708, 7544367694, 7544367697, 7544367698, 7544367708]",,,,,,,,,,
way,806772161,parking_space,,"POLYGON ((8.5872222 50.02645, 8.587202 50.0264214, 8.587289 50.0264414, 8.5873097 50.0264701, 8.5872222 50.02645))",,,,,"[7544367709, 7544367708, 7544367698, 7544367699, 7544367709]",,,,,,,,,,
way,806772162,parking_space,,"POLYGON ((8.5872424 50.0264786, 8.5872222 50.02645, 8.5873097 50.0264701, 8.5873304 50.0264988, 8.5872424 50.0264786))",,,,,"[7544367710, 7544367709, 7544367699, 7544367700, 7544367710]",,,,,,,,,,
way,806772163,parking_space,,"POLYGON ((8.5872626 50.0265072, 8.5872424 50.0264786, 8.5873304 50.0264988, 8.5873511 50.0265275, 8.5872626 50.0265072))",,,,,"[7544367711, 7544367710, 7544367700, 7544367701, 7544367711]",,,,,,,,,,
way,806772164,parking_space,,"POLYGON ((8.5872827 50.0265358, 8.5872626 50.0265072, 8.5873511 50.0265275, 8.5873718 50.0265562, 8.5872827 50.0265358))",,,,,"[7544367712, 7544367711, 7544367701, 7544367702, 7544367712]",,,,,,,,,,
way,806772165,parking_space,,"POLYGON ((8.5872827 50.0265358, 8.5873718 50.0265562, 8.5873925 50.0265849, 8.5873029 50.0265643, 8.5872827 50.0265358))",,,,,"[7544367712, 7544367702, 7544367703, 7544367713, 7544367712]",,,,,,,,,,
way,806772166,parking_space,,"POLYGON ((8.5873029 50.0265643, 8.5873925 50.0265849, 8.5874132 50.0266136, 8.5873231 50.0265929, 8.5873029 50.0265643))",,,,,"[7544367713, 7544367703, 7544367704, 7544367714, 7544367713]",,,,,,,,,,
way,806772167,parking_space,,"POLYGON ((8.5873231 50.0265929, 8.5874132 50.0266136, 8.5874339 50.0266423, 8.5873432 50.0266215, 8.5873231 50.0265929))",,,,,"[7544367714, 7544367704, 7544367705, 7544367715, 7544367714]",,,,,,,,,,
way,806772168,parking_space,,"POLYGON ((8.5873432 50.0266215, 8.5874339 50.0266423, 8.5874546 50.026671, 8.5873634 50.0266501, 8.5873432 50.0266215))",,,,,"[7544367715, 7544367705, 5622424395, 7544367716, 7544367715]",,,,,,,,,,
way,806772169,parking_space,,"POLYGON ((8.5873836 50.0266787, 8.5874419 50.0266939, 8.5874546 50.026671, 8.5873634 50.0266501, 8.5873836 50.0266787))",,,,,"[5622424393, 5622424394, 5622424395, 7544367716, 5622424393]",,,,,,,,,,
way,1007932637,parking_space,,"POLYGON ((8.7087484 50.0990348, 8.7087488 50.0989524, 8.7087796 50.0989524, 8.7087792 50.0990349, 8.7087484 50.0990348))",,,customers,,"[9298538872, 9298538871, 9298538870, 9298538869, 9298538872]",,,,,,,,,,Kundenparkplatz Alte Seilerei
