element_type,osmid,geometry,natural,barrier,name,wheelchair,access,opening_hours,operator,website,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,operator:type,nodes,source,source:position,name:etymology:wikidata,name:etymology:wikipedia,wikidata,wikipedia,landuse,dog,lit,surface,leaf_type,place,note,loc_name,start_date,fixme,ways,type
way,24340839,"POLYGON ((8.205429 50.0015121, 8.2070112 50.0018202, 8.2070938 50.0017049, 8.2075747 50.001148, 8.2068623 50.0009439, 8.2061414 50.0008501, 8.205429 50.0015121))",,,Pfarrer-Grimm-Anlage,,,,,,park,,,,,,"[264052149, 264052150, 419355728, 264052151, 264052152, 264052153, 264052149]",,,,,,,,,,,,,,,,,,
way,24343672,"POLYGON ((8.2772203 49.999673, 8.2783979 50.0000252, 8.2785388 49.9998793, 8.2773218 49.9995205, 8.2772203 49.999673))",,,Fischtorplatz mit Brunnen,,,,,,park,Mainz,,55116,Fischtorplatz,,"[264093918, 264093920, 264093922, 264093923, 264093918]",,,,,,,,,,,,,,,,,,
way,24461140,"POLYGON ((8.2648164 49.9921427, 8.2659153 49.9924747, 8.2660157 49.9925032, 8.2661166 49.9925029, 8.2661401 49.9924404, 8.2661698 49.9922923, 8.266177 49.9921845, 8.2661301 49.9915717, 8.265835 49.9916515, 8.2655234 49.9917614, 8.2653045 49.9918537, 8.2650494 49.9919893, 8.2648164 49.9921427))",,,Fichteplatz,,,,,,park,,,,,,"[5372197186, 5372197190, 1887318196, 1887318194, 6095201763, 1887318184, 1887318164, 5372197181, 5372197180, 5372197179, 5372197187, 5372197189, 5372197186]",,,,,,,,,,,,,,,,,,
way,27054315,"POLYGON ((8.2823589 49.9920764, 8.2825732 49.9921122, 8.2826521 49.9921398, 8.2860888 49.9908056, 8.2868734 49.9905333, 8.2876405 49.9904208, 8.2892776 49.9902661, 8.2898405 49.9902192, 8.2899311 49.9901788, 8.28995 49.9901269, 8.2898241 49.9899681, 8.2891761 49.9901292, 8.2890813 49.9899645, 8.2887222 49.9900541, 8.2886749 49.9896306, 8.2886609 49.9895429, 8.2886063 49.9894658, 8.2883438 49.9891967, 8.2887401 49.9889578, 8.2886253 49.9888852, 8.2880852 49.988631, 8.287855 49.9886571, 8.2874625 49.9893051, 8.2872513 49.9894998, 8.2868377 49.9895637, 8.2844839 49.9890504, 8.2841456 49.9890598, 8.283127 49.9893501, 8.2834568 49.9899991, 8.2830278 49.990248, 8.283402 49.9908068, 8.2831019 49.9908852, 8.282761 49.9909169, 8.282584 49.9909221, 8.2823717 49.9909197, 8.2819627 49.9908845, 8.2818349 49.9911282, 8.2816958 49.9914217, 8.2818172 49.9914559, 8.2815409 49.9918948, 8.2813545 49.9918361, 8.2811667 49.9922086, 8.2814224 49.9923134, 8.2816067 49.9922789, 8.282184 49.9920906, 8.2823589 49.9920764))",,,Stadtpark,,,,,,park,,,,,,"[296807660, 304346111, 700861658, 1271872924, 296807661, 3838525676, 296807665, 3838525675, 3838525677, 3838525662, 3838525667, 3838525678, 3838525661, 3838525666, 1942439357, 3838525664, 3838525668, 3838525672, 304346090, 304346093, 9663321209, 296807666, 296807668, 296807670, 296807674, 296807676, 9663327533, 2026108184, 2031966673, 296807682, 296807683, 304346112, 664451055, 296807687, 2026108186, 664450976, 2026108188, 664450954, 664451045, 4389309887, 4389309886, 4389310289, 9663327556, 296807688, 9663327557, 296807660]",,,,,Q910516,de:Stadtpark Mainz,,,,,,,,,,,,
way,27054353,"POLYGON ((8.2869012 49.9878843, 8.2873316 49.9875165, 8.2880423 49.9879245, 8.2889329 49.9872831, 8.2882221 49.9868751, 8.2885556 49.9866863, 8.2887288 49.9867953, 8.2901215 49.9858807, 8.2902608 49.9857864, 8.2919957 49.9846483, 8.29183 49.9845439, 8.2919521 49.9844729, 8.2920371 49.9845203, 8.2935948 49.9853895, 8.2934713 49.9855685, 8.2950453 49.9865616, 8.2944646 49.9869478, 8.2954736 49.9875926, 8.2943135 49.9880512, 8.2941214 49.9880923, 8.2939055 49.9880418, 8.2935212 49.9877731, 8.2932991 49.987598, 8.293062 49.9877332, 8.2931261 49.9878102, 8.2930962 49.9878277, 8.2925369 49.9881541, 8.2915593 49.9885993, 8.2916138 49.988921, 8.2898462 49.9897274, 8.289441 49.9893368, 8.2889751 49.9889675, 8.2878706 49.9884073, 8.2869012 49.9878843))",,,Volkspark,,,,,,park,,,,,,"[296811184, 5619514111, 5619514112, 5619514115, 296811188, 310015354, 310015355, 310015356, 310015360, 310015361, 310015362, 9663321181, 296811190, 260024445, 4428993875, 296811192, 309889927, 309889933, 309889932, 4465849055, 4465849054, 309889930, 309889929, 3838541629, 5619240061, 10678310281, 5619240062, 296811193, 296811195, 296811197, 5619514117, 296811199, 5619514116, 296811184]",,,,,,,,,,,,,,,,,,
way,28110360,"POLYGON ((8.277563 49.9870264, 8.2778291 49.9870794, 8.2779011 49.9874263, 8.2784354 49.9869473, 8.278619 49.9869416, 8.2791873 49.9869835, 8.279314 49.9869858, 8.2793915 49.9864358, 8.2794019 49.9863623, 8.2792491 49.9863679, 8.2785485 49.9862839, 8.2781192 49.9856005, 8.2777485 49.9850303, 8.2774739 49.9851145, 8.2772383 49.9851864, 8.2771809 49.9851983, 8.2771382 49.9852049, 8.2770782 49.9852074, 8.2768712 49.9851965, 8.2767062 49.9851878, 8.2755202 49.9851198, 8.2756475 49.9856496, 8.2761162 49.9856971, 8.2766008 49.9857465, 8.276754 49.9852966, 8.277819 49.98542, 8.2779026 49.9858228, 8.2778247 49.9862501, 8.277563 49.9870264))",,,,,,,,,park,,,,,,"[256618986, 2701558488, 222008994, 2034820834, 222008978, 698100485, 243316853, 6944693314, 530102, 698100483, 256618310, 256618311, 308777268, 31390451, 783468050, 5779147477, 5779147499, 5779147500, 5779147468, 308777277, 254805564, 239964736, 2703770252, 5779312709, 2703770250, 256618989, 5779147501, 256618987, 256618986]",,,,,,,,,,,,,,,,,,
way,28111095,"POLYGON ((8.2727581 49.9916681, 8.2722605 49.9916315, 8.271971 49.9919945, 8.2713131 49.9917742, 8.2704009 49.9914748, 8.2703556 49.9913445, 8.2703327 49.9913084, 8.270249 49.9911615, 8.2733983 49.9902301, 8.2731124 49.9898638, 8.2742139 49.9895432, 8.2742694 49.9895196, 8.274384 49.9894811, 8.2744496 49.9895138, 8.2741591 49.9897306, 8.2741552 49.9897535, 8.2742179 49.9897943, 8.2742796 49.9898237, 8.2750817 49.9902732, 8.2754355 49.9904537, 8.2757609 49.9906011, 8.2760787 49.9907096, 8.2763965 49.9908031, 8.2766181 49.9908507, 8.2768221 49.9908656, 8.2771287 49.9908533, 8.2774276 49.9908293, 8.27798 49.9907807, 8.2783187 49.9907399, 8.2781582 49.9910581, 8.2781107 49.9912054, 8.2780869 49.9914549, 8.2774851 49.9914399, 8.2766163 49.9910605, 8.2762057 49.9910417, 8.2759926 49.9910256, 8.2759026 49.991057, 8.2757971 49.9910745, 8.2750093 49.9905585, 8.274763 49.9907436, 8.2748743 49.9909383, 8.274957 49.9910286, 8.2752836 49.9913234, 8.2757634 49.9916647, 8.2761781 49.9918989, 8.2765782 49.992022, 8.2772273 49.9924393, 8.2770995 49.9925277, 8.2764431 49.9921329, 8.2756209 49.9919625, 8.2751124 49.9914505, 8.2744288 49.9909307, 8.2742482 49.9909311, 8.2740984 49.9909762, 8.2732804 49.9918494, 8.2727581 49.9916681))",,,,,,,,,park,,,,,,"[308784575, 1293083615, 308784577, 5370016618, 5370016619, 5370019921, 308784605, 256342325, 256342328, 256342327, 5356557150, 5356557141, 6785127889, 5356557148, 5356557147, 256342683, 2667511842, 5356557144, 5356557145, 6785127895, 5356557146, 6785127896, 256342675, 1193917699, 6785127897, 6785127898, 1193917703, 1193917701, 308784607, 9663327555, 308784615, 308784613, 6785127918, 5356557152, 6450351486, 6450351487, 6450351488, 6450351489, 308784583, 308784585, 6785127921, 6785127922, 308784587, 5407225903, 2029849432, 5407225902, 5407225907, 5407225908, 308784593, 308784597, 308784599, 308784601, 6785122682, 308784603, 664480410, 308784575]",,,,,,,,,,,,,,,,,,
way,28111097,"POLYGON ((8.2786698 49.990836, 8.2784717 49.9908041, 8.2783862 49.9910135, 8.2783447 49.9911909, 8.2782894 49.9914566, 8.2782903 49.991817, 8.2783033 49.9920358, 8.2783112 49.9921685, 8.2783252 49.9924041, 8.2783926 49.9925304, 8.2785508 49.9925985, 8.2798201 49.9926292, 8.2800789 49.9926063, 8.2810872 49.9923729, 8.2811251 49.9923637, 8.2810401 49.9922824, 8.2807627 49.9921875, 8.2802429 49.9919529, 8.2793249 49.9915146, 8.2791626 49.9914105, 8.2786698 49.990836))",,,,,,,,,park,,,,,,"[308784617, 667330456, 664464563, 308784620, 3838541635, 308784622, 664464026, 664464564, 308784624, 3838541626, 308784628, 3838541627, 308784632, 308784634, 9520484280, 9520484283, 9520484279, 9520484278, 308784636, 9520484281, 308784617]",,,,,,,,,,,,,,,,,,
way,28162805,"POLYGON ((8.2560505 49.9904302, 8.254655 49.9911805, 8.2545509 49.9912651, 8.2544666 49.9913606, 8.2544442 49.9914358, 8.2544502 49.9915428, 8.2544774 49.9916203, 8.2544442 49.9920809, 8.2542413 49.9932001, 8.2542807 49.9938779, 8.2543382 49.9941854, 8.2544394 49.9943824, 8.2545261 49.9945297, 8.2548265 49.9947062, 8.2552786 49.9948718, 8.2556414 49.9948798, 8.2557646 49.9956437, 8.2556462 49.9957467, 8.2556259 49.9957758, 8.2556768 49.9958158, 8.25563 49.9958234, 8.2554537 49.9957936, 8.2552763 49.9957556, 8.2550115 49.99568, 8.2549193 49.9956202, 8.2548352 49.9955303, 8.2547969 49.9954824, 8.2547259 49.9954621, 8.254616 49.9954634, 8.2543445 49.9955005, 8.2539969 49.9952269, 8.253699 49.9948584, 8.2535247 49.9947928, 8.2532988 49.9942638, 8.2531424 49.9935515, 8.2531192 49.9932371, 8.253425 49.9932378, 8.2535246 49.9923605, 8.2535266 49.9923226, 8.2535636 49.9918864, 8.2536368 49.9914518, 8.2538159 49.9911019, 8.2539899 49.9910162, 8.2543303 49.9908141, 8.2544097 49.9907669, 8.2547015 49.9906859, 8.2547198 49.9906753, 8.255286 49.9903491, 8.2554161 49.9902864, 8.2558902 49.9900986, 8.255839 49.9899169, 8.2553392 49.9896487, 8.255343 49.9896069, 8.2553097 49.989431, 8.2552808 49.9892782, 8.2552663 49.9891275, 8.255074 49.9889433, 8.2549721 49.9888362, 8.2550493 49.9887876, 8.2551338 49.9887272, 8.2554563 49.9886189, 8.2548447 49.9879255, 8.2543694 49.9873866, 8.2542106 49.9870066, 8.2541424 49.9866377, 8.2541361 49.9864088, 8.2541641 49.9864075, 8.2541908 49.9863221, 8.2542927 49.9862503, 8.2546028 49.9861526, 8.2552356 49.9870483, 8.2550469 49.9871515, 8.2549505 49.9872226, 8.2549175 49.9872832, 8.2548975 49.9873473, 8.254892 49.9874437, 8.2549296 49.9875178, 8.2550961 49.9876896, 8.2549423 49.9877485, 8.2555149 49.9883523, 8.2559999 49.9888744, 8.256064 49.9890155, 8.2561938 49.9894015, 8.256162 49.9897709, 8.2561505 49.9898273, 8.2561395 49.989881, 8.2560764 49.9898779, 8.2558698 49.9899028, 8.255947 49.9901962, 8.2559688 49.9903067, 8.2559987 49.9903533, 8.2560505 49.9904302))",,,,,,,,,park,,,,,,"[265875675, 265875679, 2473572610, 1126030537, 4146846878, 4146846873, 265875681, 1126030636, 265875682, 265875684, 2899705885, 265875685, 265875686, 265875687, 265875662, 4102693677, 309335252, 672933761, 9048087013, 5351697969, 9048087014, 4097304610, 4097304611, 4097304607, 9048103718, 9048103717, 309335254, 9048087016, 9048087015, 309335255, 9048103719, 309335256, 309335257, 309335259, 965165014, 309335262, 2472540425, 2472540420, 309335263, 322650429, 309335264, 309335266, 4563260363, 4146921949, 309335267, 309335268, 9784732860, 309335269, 4563260360, 309335271, 1126030666, 4563260362, 309335272, 9321626968, 1126030577, 309335273, 1126030688, 1126030434, 530026, 1126030458, 4563473116, 1126030409, 1126030491, 4563473117, 1126030597, 7281787184, 6177989781, 1126030430, 1126030551, 1126030522, 1126030520, 5733787097, 2959211549, 1126030417, 2959211551, 5733787098, 5733787099, 309335277, 5733787100, 309335278, 309335280, 6177991198, 1126030405, 309335281, 6555788709, 309335283, 6177991187, 1126030702, 309335284, 6177991199, 4563115198, 265875675]",Bing;survey,,,,,,,,,,,,,,,,,
way,29505852,"POLYGON ((8.283914 49.9951495, 8.2840547 49.9952277, 8.2855769 49.9940974, 8.2855717 49.9940842, 8.2856596 49.994023, 8.2861759 49.9936631, 8.2860878 49.9936128, 8.2860428 49.993584, 8.2859996 49.9935566, 8.2856604 49.993762, 8.2850781 49.9941267, 8.2840965 49.99478, 8.2838362 49.9949667, 8.2837696 49.995022, 8.283738 49.9950615, 8.2837307 49.9950888, 8.2837452 49.9951276, 8.2837822 49.9951504, 8.2838212 49.9951543, 8.283914 49.9951495))",,,Rheinufer,,,,,,park,,,,,,"[26773484, 325233609, 325233610, 708219502, 6435483247, 708219507, 5347101379, 5347101380, 325233611, 6342879708, 1844388289, 6342879706, 1844388298, 631830841, 1844388300, 325233612, 1844388302, 1844388303, 1844388304, 26773484]",,,,,,,grass,,,,,,,,,,,
