element_type,osmid,geometry,natural,barrier,name,wheelchair,access,opening_hours,operator,website,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,operator:type,nodes,source,source:position,name:etymology:wikidata,name:etymology:wikipedia,wikidata,wikipedia,landuse,dog,lit,surface,leaf_type,place,note,loc_name,start_date,fixme,ways,type
way,53378789,"POLYGON ((8.2004451 49.9656837, 8.2014156 49.9645299, 8.2041492 49.9651039, 8.2040953 49.965438, 8.2036731 49.9660672, 8.2027573 49.9662866, 8.2004451 49.9656837))",,,,,,,,,park,,,,,,"[675049685, 675049689, 675049693, 1627758713, 1627758742, 1627758764, 675049685]",,,,,,,,,,,,,,,,,,
way,56020803,"POLYGON ((8.277654 49.9734868, 8.2798051 49.9738028, 8.2797911 49.9738579, 8.2797819 49.9738801, 8.2797092 49.9739606, 8.2796534 49.974005, 8.2795674 49.9740407, 8.2784815 49.9738649, 8.2777284 49.9737344, 8.2775805 49.9736865, 8.2774653 49.9736537, 8.2772605 49.9736614, 8.2769726 49.9736331, 8.2764855 49.9735438, 8.2760685 49.973435, 8.2748865 49.9730989, 8.2747008 49.9729398, 8.2746968 49.9728261, 8.2750783 49.972853, 8.2751659 49.972814, 8.275996 49.9729048, 8.2760766 49.9730188, 8.2761573 49.9730993, 8.2763373 49.9731955, 8.2766202 49.9732713, 8.276698 49.9733241, 8.277654 49.9734868))",,,,,,,,,park,,,,,,"[68595439, 699682855, 2506773792, 703179550, 703179552, 703179554, 703179553, 703179549, 5802156151, 5802156150, 703179544, 703179546, 5802156124, 703179540, 703179541, 5802156149, 5802156139, 703179527, 703179525, 5802156118, 699682844, 5802156119, 2506773779, 5802156120, 5802156129, 703179533, 68595439]",,,,,,,,,,,,,,,,,,
way,75577250,"POLYGON ((8.2185123 50.0093186, 8.2193224 50.0074405, 8.2208502 50.0076806, 8.2208262 50.0077549, 8.2202335 50.0096052, 8.2185123 50.0093186))",,,,,,,,,park,,,,,,"[892409292, 1177557342, 892409297, 8869511760, 892409300, 892409292]",,,,,,,,,,,,,,,,,,
way,78448221,"POLYGON ((8.207871 50.0095101, 8.2083109 50.0088586, 8.2090565 50.0090792, 8.2085845 50.0097273, 8.207871 50.0095101))",,,,,,,,,park,,,,,,"[920616888, 920616889, 920616890, 920616893, 920616888]",,,,,,,,,,,,,,,,,,
way,78448223,"POLYGON ((8.2095084 50.0095712, 8.2090478 50.0094364, 8.2093877 50.0089568, 8.2098482 50.0090916, 8.2095084 50.0095712))",,,,,,,,,park,,,,,,"[920616902, 920616903, 920616904, 920616907, 920616902]",,,,,,,,,,,,,,,,,,
way,80051390,"POLYGON ((8.2164334 50.0204143, 8.216426 50.0203058, 8.2166516 50.0203246, 8.2170744 50.0203783, 8.2170374 50.0205794, 8.2174019 50.0206127, 8.2174446 50.020429, 8.2182023 50.0206715, 8.2180699 50.021364, 8.2180715 50.021367, 8.2180701 50.0215744, 8.2180659 50.0215758, 8.2171432 50.0215959, 8.217071 50.0206489, 8.2164334 50.0204143))",,,,,,,,,park,,,,,,"[933914108, 1243769588, 3891743139, 1243769550, 3891743146, 3891743147, 3891743141, 1243769505, 3891743155, 1692594829, 1243769469, 933914111, 255586496, 925549974, 933914108]",,,,,,,,,,,,,,,,,,
way,80138421,"POLYGON ((8.2406868 50.0103656, 8.2398114 50.0104141, 8.2397219 50.0095924, 8.2393077 50.0096054, 8.239276 50.0092787, 8.2392277 50.0085695, 8.2391309 50.008577, 8.2388886 50.0086097, 8.238879 50.0085902, 8.2384916 50.0087052, 8.238789 50.0091457, 8.2388463 50.0094885, 8.238989 50.0099305, 8.2390271 50.010303, 8.238902 50.01161, 8.2389372 50.0119021, 8.2387853 50.0119371, 8.2386649 50.0120193, 8.2385653 50.0122101, 8.2384239 50.0125806, 8.2383214 50.0127666, 8.2381887 50.0129081, 8.2379035 50.0128184, 8.2380633 50.0135382, 8.2382184 50.0139883, 8.2382071 50.014023, 8.2381701 50.0140406, 8.2375155 50.0141798, 8.2375326 50.0142372, 8.2376507 50.014361, 8.2382033 50.0144667, 8.2384218 50.0145357, 8.2392462 50.0147959, 8.239506 50.0146402, 8.2398269 50.014652, 8.2396388 50.0149283, 8.2397745 50.0150443, 8.2398597 50.0151015, 8.2400104 50.0151155, 8.2402658 50.0151173, 8.2404375 50.0151668, 8.240666 50.0147172, 8.2412689 50.0136913, 8.2408059 50.0134518, 8.2410265 50.0131762, 8.2412453 50.012828, 8.2414402 50.0125873, 8.2414146 50.0125028, 8.2415856 50.0122878, 8.2417538 50.0120765, 8.2418329 50.011958, 8.2422381 50.0118034, 8.2423635 50.011752, 8.2425523 50.0117549, 8.2426035 50.0116406, 8.2429847 50.0110693, 8.2427805 50.0110934, 8.2426009 50.0109459, 8.2424749 50.0105954, 8.2422791 50.010276, 8.2422455 50.0101062, 8.2422494 50.0099778, 8.241411 50.0099486, 8.2412206 50.0097721, 8.2413313 50.0093198, 8.2415244 50.0090216, 8.2417541 50.0086671, 8.2414835 50.0085896, 8.2413521 50.0085948, 8.2412474 50.0085775, 8.2408254 50.0084815, 8.24076 50.00847, 8.2408003 50.0089184, 8.2410086 50.0093054, 8.2410216 50.0093972, 8.2408461 50.0099661, 8.2406868 50.0103656))",,,Hartenbergpark,,,24/7,Stadt Mainz,https://www.mainz.de/freizeit-und-sport/im-gruenen/hartenbergpark.php,park,Mainz,,55122,,,"[1687744493, 1687744507, 1687744433, 1687744435, 1687744415, 937037088, 10838122070, 10838122071, 10838122072, 261627481, 261628443, 3191862284, 261628445, 288778021, 286473829, 286473834, 6455635903, 6455635902, 1687744708, 1687744741, 1687744745, 6454753978, 1687744747, 1687744760, 6454753967, 6454753968, 1687744763, 1687780557, 1695039174, 934846177, 934846185, 1695039188, 934846179, 1687780563, 1687780580, 10154516236, 1687780617, 10154516235, 10154516234, 934846173, 934846188, 934846182, 1696858233, 1696858200, 1696858177, 1696858130, 1696858092, 1696858072, 5987080877, 1696858017, 1696858003, 1696857949, 8893381385, 1696857918, 1696857865, 1696857695, 1687780323, 8912062743, 8912062744, 1323661621, 8912062745, 1323661668, 2055922186, 2055922177, 2055922190, 2055922180, 2055922184, 2055922182, 2055922189, 2055922195, 6454754136, 1687744342, 1687744399, 1687744422, 1687744423, 1687744453, 1687744493]",,,,,,,,leashed,,,,,,,,,,
way,92117263,"POLYGON ((8.2313117 50.0088051, 8.2313908 50.0085999, 8.2312455 50.0085751, 8.2311907 50.0085651, 8.2311136 50.0087741, 8.2313117 50.0088051))",,,,,,,,,park,,,,,,"[9547031424, 1069615208, 9547031421, 1404742733, 1404742734, 9547031424]",,,,,,,,,yes,paving_stones,,,,,,,,
way,96876600,"POLYGON ((8.2331697 49.9706467, 8.2335473 49.9706502, 8.2335731 49.9702076, 8.2344935 49.9702345, 8.2351946 49.9702354, 8.2352005 49.9701157, 8.2331024 49.9700779, 8.2319195 49.9692981, 8.2319142 49.9690024, 8.2312451 49.9693958, 8.2316477 49.9695059, 8.2320113 49.9697653, 8.2324362 49.970044, 8.2322561 49.970154, 8.2323557 49.970214, 8.2325581 49.9700838, 8.2329305 49.9703465, 8.2329064 49.9708176, 8.2331591 49.9708166, 8.2331697 49.9706467))",,,,,,,,,park,,,,,,"[1122518424, 1122518431, 1122518447, 6556801710, 1122518398, 1122518435, 1122518397, 1122518414, 1122518388, 1122518410, 1122518350, 1498436376, 1498436420, 1498436430, 1498436436, 1498436423, 1122518376, 1122518365, 1122518352, 1122518424]",Bing;survey,,,,,,,,,,,,,,,,,
way,99221125,"POLYGON ((8.2056722 50.0039862, 8.2066474 50.0042793, 8.2056389 50.0056447, 8.2046823 50.0053707, 8.2056722 50.0039862))",,,,,,,,,park,,,,,,"[1147804231, 1147804224, 1147804222, 1147804228, 1147804231]",,,,,,,,,,,,,,,,,,
way,99588388,"POLYGON ((8.2241307 50.0050371, 8.2242017 50.0049484, 8.2247358 50.0041013, 8.2248212 50.0039294, 8.2248414 50.0038906, 8.2249599 50.0036992, 8.2249522 50.0036731, 8.2245696 50.0036124, 8.2244955 50.0036327, 8.2239413 50.0048275, 8.2239254 50.0048711, 8.223973 50.0049368, 8.2241307 50.0050371))",,,,,,,,,park,,,,,,"[1151656488, 1151657401, 1151657092, 1151656662, 1151656338, 6530507643, 1561849708, 1561849701, 1151656949, 1151656539, 1151656237, 1151657144, 1151656488]",,,,,,,,,,,,,,,,,,
way,99951550,"POLYGON ((8.2257476 50.0056669, 8.2248751 50.005445, 8.2248237 50.005511, 8.2245954 50.0054483, 8.2245701 50.0055963, 8.2245651 50.0057276, 8.2245981 50.0057606, 8.2249217 50.0057749, 8.2251637 50.0057777, 8.2254396 50.0057749, 8.2256263 50.0057659, 8.2257149 50.0056984, 8.2257476 50.0056669))",,,,,,,,,park,,,,,,"[1155409324, 1155409179, 1155409416, 1155409305, 1155409352, 1155409248, 1155409181, 1155409507, 1155409306, 1155409214, 1155409117, 1155409456, 1155409324]",,,,,,,,,,,,,,,,,,
way,117402321,"POLYGON ((8.2177883 49.9996776, 8.2178323 49.9996701, 8.2178779 49.9996708, 8.2179213 49.9996798, 8.217959 49.9996963, 8.2179879 49.999719, 8.2180057 49.9997459, 8.218011 49.9997753, 8.2180031 49.9998044, 8.2179827 49.9998308, 8.2179514 49.9998525, 8.2179118 49.9998675, 8.2178672 49.9998747, 8.2178213 49.9998735, 8.2177784 49.9998641, 8.2177414 49.9998474, 8.2177131 49.9998247, 8.2176958 49.9997978, 8.2176909 49.9997688, 8.2176988 49.9997402, 8.2177189 49.9997141, 8.2177495 49.9996927, 8.2177883 49.9996776))",,,,,,,,,park,,,,,,"[1322558816, 6471080892, 6471080891, 6471080890, 6471080889, 6471080888, 1322558952, 6471080887, 6471080886, 6471080885, 6471079584, 6471079583, 6471079582, 6471080893, 6471079581, 6471079580, 6471079579, 6471079578, 6471079577, 6471079576, 6471079575, 6471079574, 1322558816]",,,,,,,,,,,,,,,,,,
way,125669093,"POLYGON ((8.2406848 49.9744798, 8.2419478 49.9743538, 8.2438091 49.9748327, 8.2439235 49.9746598, 8.2435346 49.9745382, 8.2434553 49.9744747, 8.2433498 49.9743849, 8.2431429 49.9742129, 8.2430269 49.9739637, 8.2432727 49.9738309, 8.2431781 49.9737309, 8.2422073 49.9740513, 8.2422152 49.9741754, 8.2418382 49.9742566, 8.2417217 49.9741485, 8.2406209 49.9742659, 8.2406848 49.9744798))",,,,,,,,,park,,,,,,"[1392982359, 1395218839, 1395218842, 1392982449, 2041278027, 5879596219, 5879596220, 1392982419, 1392982409, 2041278018, 1392982439, 1392982445, 1392982391, 1395218836, 1392982336, 1392982416, 1392982359]",Bing,,,,,,,,,,,,,,,,,
way,143029860,"POLYGON ((8.2625038 50.0035141, 8.26263 50.0036427, 8.2626805 50.0036942, 8.2627388 50.0037536, 8.2627979 50.0038138, 8.2628538 50.0038707, 8.2629124 50.0039305, 8.2629796 50.0039989, 8.2631715 50.0041945, 8.2632034 50.0042271, 8.2632891 50.0043144, 8.263367 50.0043937, 8.2634208 50.0044486, 8.2634889 50.004518, 8.2635435 50.0045736, 8.2636042 50.0046354, 8.2636741 50.0047066, 8.2637357 50.0047695, 8.2638106 50.0048458, 8.2638858 50.0049224, 8.2639538 50.0049917, 8.2640073 50.0050462, 8.2640524 50.0050922, 8.2640843 50.0051247, 8.2642012 50.0052438, 8.2646394 50.0056903, 8.2647067 50.0056841, 8.2648583 50.0056086, 8.264945 50.0055723, 8.2649913 50.0055548, 8.2645633 50.0051196, 8.2641717 50.0047216, 8.2636549 50.0041961, 8.2635513 50.0040909, 8.2635243 50.0040634, 8.2633252 50.0038609, 8.2628444 50.0033721, 8.2627865 50.0033964, 8.2626646 50.0034471, 8.262547 50.0034959, 8.2625038 50.0035141))",,,,,,,,,park,,,,,,"[203775087, 1783982384, 1783982386, 1783982387, 1783982388, 1783982389, 1783982392, 1783958111, 1783958147, 1783958153, 1783958167, 1783982402, 1783982404, 1783982406, 1783982407, 1783982409, 1783982412, 1783982415, 1783958213, 1783982418, 1783982420, 1783982422, 1783958249, 1783958260, 1783958304, 203775088, 1783958359, 1783958329, 1783958324, 203775089, 1783958256, 1783958192, 1783958149, 1783958123, 1783958115, 1783958087, 203775090, 1783958066, 1783958067, 1783958070, 203775087]",,HiRes aerial imagery,,,,,,,,,,,,,,,,
way,148118570,"POLYGON ((8.2591548 49.9958762, 8.2597384 49.9962057, 8.2596635 49.996239, 8.2594754 49.9962933, 8.2590224 49.9963875, 8.2589575 49.9964366, 8.2589317 49.9964776, 8.2589325 49.9964992, 8.2589904 49.9967702, 8.2590294 49.9969828, 8.2591272 49.9971836, 8.2591836 49.9972249, 8.2587176 49.9975321, 8.2589754 49.9975924, 8.2591548 49.9977209, 8.2605528 49.9970075, 8.2614772 49.9977094, 8.2616498 49.9977347, 8.2618391 49.9977968, 8.2613072 49.9973546, 8.2607546 49.9969492, 8.2606367 49.9968202, 8.2603948 49.996524, 8.2608018 49.996408, 8.2604075 49.9957823, 8.2609995 49.9956257, 8.2606923 49.9950778, 8.2605983 49.9950964, 8.2595906 49.9956047, 8.2591548 49.9958762))",,,,,,,,,park,,,,,,"[1612203757, 1612203762, 1612203764, 1612203765, 1612203766, 9048086964, 9048086965, 9048086966, 9048086967, 1612203777, 9048086968, 1612203780, 1612203785, 4728576595, 1612203806, 5411711965, 5411711966, 5411711967, 5411711968, 5411711969, 1612203775, 1612203773, 1612203771, 1612203770, 1612203753, 1612203745, 1612203689, 1612203691, 1612203744, 1612203757]",Bing;survey,,,,,,,,,,,,,,,,,
way,149827309,"POLYGON ((8.207819 49.9628539, 8.2081887 49.9620876, 8.2073017 49.9618829, 8.2073827 49.9617159, 8.2052912 49.9612963, 8.2053401 49.9611954, 8.2053696 49.961111, 8.205572 49.961162, 8.2057097 49.9610087, 8.2061164 49.9611473, 8.2070536 49.9600596, 8.2092721 49.9614525, 8.2088839 49.9622546, 8.2087868 49.9624067, 8.2089105 49.9624451, 8.2086747 49.9629221, 8.2086062 49.9629669, 8.2085088 49.9629871, 8.207819 49.9628539))",,,,,private,,,,park,,,,,,"[1627734573, 1627734569, 258547846, 258547837, 258549408, 258547839, 4555137881, 1627734566, 258549415, 675032429, 3208487868, 1627734570, 3192160348, 1627734571, 1627734572, 5637305924, 5637305923, 1627734574, 1627734573]",,,,,,,,,,,,,,,,,,
way,149829248,"POLYGON ((8.2081126 49.9635023, 8.2079462 49.9633829, 8.2071182 49.9632168, 8.207145 49.9631747, 8.2067212 49.9630886, 8.2065655 49.9630619, 8.2066862 49.9628033, 8.2070794 49.9628657, 8.2108169 49.9636022, 8.2108876 49.963647, 8.2108346 49.9638123, 8.210053 49.9636749, 8.2097448 49.9643041, 8.2079059 49.9639552, 8.2081126 49.9635023))",,,,,,,,,park,,,,,,"[1627758298, 1627758294, 1627758291, 1627758290, 1627758288, 1627758287, 1627758283, 1627758284, 1627758299, 1627758303, 1627758314, 1627758304, 1627758371, 1627758326, 1627758298]",,,,,,,,,,,,,,,,,,
way,149829250,"POLYGON ((8.2121168 49.9666493, 8.212226 49.9666204, 8.2134583 49.964073, 8.2134585 49.9639204, 8.2103904 49.9633191, 8.2105294 49.9630248, 8.2095555 49.9628345, 8.2094165 49.9631287, 8.2091291 49.9630883, 8.2089995 49.9630188, 8.2091508 49.9626903, 8.2091929 49.9625865, 8.209516 49.9626464, 8.2096226 49.9625189, 8.2095898 49.9624858, 8.2099858 49.9621273, 8.2115759 49.9623936, 8.2143571 49.9639063, 8.2144006 49.9640825, 8.214087 49.9640414, 8.2146976 49.9649885, 8.2146298 49.9651422, 8.2144541 49.9655259, 8.2136642 49.9672283, 8.2128947 49.9670991, 8.2120496 49.9669419, 8.2119491 49.9668995, 8.2104748 49.9666146, 8.2081562 49.9661929, 8.2082944 49.9659253, 8.2121168 49.9666493))",,,,,,,,,park,,,,,,"[1627758778, 1627758777, 1627758345, 1627758334, 1474048546, 5637305946, 1474048547, 1474048544, 1627758289, 1627758285, 1627758282, 258552880, 258552881, 4151814801, 258552883, 4151814800, 4151814799, 503714352, 503714353, 258552887, 503714356, 503714357, 503714358, 258207724, 738096965, 738096964, 738096971, 2399898107, 1627758761, 258574662, 1627758778]",,,,,,,,,,,,,,,,,,
way,151795008,"POLYGON ((8.2379181 49.9826197, 8.2384441 49.9827471, 8.2385537 49.9825406, 8.2385374 49.9825142, 8.2379826 49.9826094, 8.237973 49.9825863, 8.2379328 49.9825951, 8.2379184 49.9826013, 8.2379161 49.9826091, 8.2379181 49.9826197))",,,Platz der Jakobiner,,,,,,park,,,,,,"[1646334546, 1646334554, 1646334537, 1646334535, 5421897727, 1646334538, 1646334539, 1646334541, 1646334545, 1646334546]",,,,,,,,,,,,,,,,,,
way,155202111,"POLYGON ((8.2582269 49.9927036, 8.2582044 49.9927247, 8.2572876 49.9923118, 8.2573156 49.9922869, 8.2574662 49.9921546, 8.257609 49.9920265, 8.2576386 49.9920002, 8.2585445 49.9924116, 8.2585201 49.9924335, 8.2583716 49.9925671, 8.2582269 49.9927036))",,,,,,,,,park,,,,,,"[1676182409, 5461620152, 1676182392, 5461620147, 5461620148, 5461620149, 1676182391, 1676182406, 5461620150, 5461620151, 1676182409]",,,,,,,,,,,,,,,,,,
way,157458495,"POLYGON ((8.2679812 50.0109924, 8.2681 50.0109607, 8.2686972 50.0104406, 8.2687395 50.0103529, 8.268745 50.0103413, 8.2687484 50.0103343, 8.2687743 50.0102804, 8.2688017 50.0102234, 8.2690191 50.0100389, 8.268994 50.0100273, 8.2689792 50.0100204, 8.2689615 50.0100113, 8.2689187 50.0099894, 8.2688598 50.0099591, 8.2674921 50.0110992, 8.2673969 50.0111801, 8.2672882 50.0112725, 8.2671933 50.0113531, 8.2668914 50.0116095, 8.2667306 50.0117435, 8.2668961 50.0119394, 8.2670546 50.0118187, 8.267077 50.0117423, 8.2674369 50.0114507, 8.2675491 50.0113591, 8.2677087 50.0112238, 8.2678814 50.0110752, 8.2678892 50.0110688, 8.2679011 50.0110588, 8.2679812 50.0109924))",,,,,,,,,park,,,,,,"[1696740876, 1696740877, 1696740852, 1844322848, 1844322845, 1844322842, 8390558736, 1696740855, 1696740842, 1844322811, 1844322810, 8390558735, 8390558747, 1696740861, 1844322899, 1844322921, 1844322947, 1844322962, 1844323015, 883464694, 883464696, 1696740844, 1696740849, 1844323003, 1844322966, 1844322932, 1844322892, 1844322881, 1844322880, 1696740876]",,,,,,,,,,,,,,,,,,
way,172564806,"POLYGON ((8.2711827 50.0027107, 8.2712599 50.0025466, 8.2712855 50.0025418, 8.2713111 50.00254, 8.2713577 50.0025512, 8.2714231 50.0026159, 8.271515 50.002721, 8.2715179 50.0027418, 8.2715049 50.0027646, 8.271479 50.0027736, 8.2712306 50.0027359, 8.2711965 50.0027272, 8.2711827 50.0027107))",,,Dr.-Maria-Herr-Beck-Platz,,,,,,park,,,,,,"[1834548995, 1834548990, 5424621854, 4397913103, 4397913104, 4397913101, 4397913102, 5424621853, 5424621852, 1834548992, 10577183794, 10577183795, 1834548995]",,,Q1895945,,,,,,,,,,,,,,,
way,182334086,"POLYGON ((8.2165463 50.0194112, 8.2162611 50.0186684, 8.2161678 50.0185884, 8.2162145 50.0180821, 8.2168314 50.0182586, 8.2168262 50.0186151, 8.2169869 50.0190614, 8.2169247 50.0193279, 8.2170958 50.0193712, 8.2169507 50.0194245, 8.2168055 50.0194312, 8.2165463 50.0194112))",,,,,,,,,park,,,,,,"[1926894923, 1926894905, 1926894901, 1926894868, 1926894876, 1926894903, 1926894914, 1926894919, 1926894922, 1926894924, 1926894926, 1926894923]",,,,,,,,,,,,,,,,,,
way,182334087,"POLYGON ((8.212816 50.0190918, 8.2124372 50.018962, 8.2121701 50.0190547, 8.2121377 50.0189087, 8.2122465 50.0182106, 8.2127757 50.0181923, 8.2128557 50.018809, 8.212816 50.0190918))",,,,,,,,,park,,,,,,"[1926894918, 2329881209, 2329881211, 1926894913, 1926894872, 1926894874, 1926894909, 1926894918]",,,,,,,,,,,,,,,,,,
way,191438655,"POLYGON ((8.2645628 50.0059131, 8.264655 50.0059962, 8.2637593 50.0064091, 8.2636399 50.0064601, 8.263573 50.0064855, 8.2634842 50.0065191, 8.2634537 50.0065266, 8.2634274 50.0065315, 8.2633972 50.0065364, 8.2633809 50.0065331, 8.2633705 50.0065221, 8.263372 50.006509, 8.2634009 50.006475, 8.2634531 50.0064141, 8.2634859 50.0063922, 8.2635416 50.0063547, 8.2636735 50.0062997, 8.2638018 50.0062584, 8.2645628 50.0059131))",,,,,,,,,park,,,,,,"[2020145355, 2020145358, 3928522697, 2020145356, 8480381710, 6474593564, 10857694680, 6474593560, 6474593561, 6474593559, 6474593562, 2020145352, 10857694679, 6474593563, 8480381711, 2020145360, 6474715316, 6474715315, 2020145355]",,,,,,,,,,,,,,,,,,
way,196153757,"POLYGON ((8.2066447 50.0089382, 8.2069577 50.0090697, 8.2071985 50.0087963, 8.207355 50.0087654, 8.2076118 50.0088066, 8.2078607 50.0084688, 8.2074746 50.0084024, 8.207135 50.0084941, 8.2069266 50.0087099, 8.2066447 50.0089382))",wood,,,,,,,,park,,,,,,"[2065156258, 2065156267, 2065156220, 2065156215, 2065156225, 2065156171, 2595620449, 2595620450, 2595620452, 2065156258]",,,,,,,,,,,,,,,,,,
way,196153758,"POLYGON ((8.2059986 50.0083159, 8.2058961 50.0083397, 8.205687 50.0086424, 8.2054963 50.0085402, 8.2054396 50.0083834, 8.2055361 50.0082065, 8.2055928 50.0081846, 8.2064583 50.0069426, 8.2066144 50.0069243, 8.2069069 50.0070001, 8.2064323 50.0076748, 8.2059986 50.0083159))",wood,,,,,,,,park,,,,,,"[999207809, 848094699, 848094673, 2065156184, 2065156163, 2065156152, 2065156151, 2065156070, 2065156069, 2065156081, 2065156113, 999207809]",,,,,,,,,,,,,,,,,,
way,196155117,"POLYGON ((8.2064936 50.0091383, 8.2068489 50.0091363, 8.2065376 50.0096629, 8.2069438 50.0097583, 8.2071114 50.0096403, 8.2072523 50.0097473, 8.2073583 50.010023, 8.2063602 50.0100072, 8.2059942 50.0098316, 8.2062407 50.0095128, 8.2064936 50.0091383))",wood,,,,,,,,park,,,,,,"[2065165952, 2065165949, 2065165956, 2065165959, 2065165958, 2065165960, 1321669295, 2065165963, 2065165961, 2065165954, 2065165952]",,,,,,,,,,,broadleaved,,,,,,,
way,196200595,"POLYGON ((8.207547 50.0062323, 8.2099407 50.0068575, 8.211338 50.0071927, 8.2109978 50.0077537, 8.2106715 50.0077466, 8.2072867 50.0067672, 8.207547 50.0062323))",,,,,private,,,,park,,,,,,"[2065526970, 2065527013, 2065527087, 2065527215, 2065527211, 2065526994, 2065526970]",,,,,,,,,,,,,,,,,,
way,200500991,"POLYGON ((8.226195 50.0189023, 8.2264686 50.0186239, 8.2270251 50.0180576, 8.2266448 50.017967, 8.2257139 50.0182886, 8.2251289 50.0186114, 8.226195 50.0189023))",,,Franz-Vlasdeck-Anlage,,,,,,park,,,,,,"[2104779034, 10911345852, 2104779031, 2104779030, 2104779032, 2104779033, 2104779034]",,,,,,,,,,,,,,,,,,
way,204587272,"POLYGON ((8.2562588 49.9872927, 8.2564808 49.9872233, 8.2570107 49.9870238, 8.257314 49.987326, 8.2566125 49.9876396, 8.2562588 49.9872927))",,,,,,,,,park,,,,,,"[2145830611, 2145830608, 2145830601, 2145830612, 2145830627, 2145830611]",Bing,,,,,,grass,,,,,,,,,,,
way,204587273,"POLYGON ((8.257314 49.987326, 8.2581071 49.9869764, 8.2580851 49.9869581, 8.2577703 49.9866962, 8.2577403 49.9866738, 8.2575376 49.9867868, 8.2572314 49.9869314, 8.2570107 49.9870238, 8.257314 49.987326))",,,,,,,,,park,,,,,,"[2145830612, 5829410142, 8894956528, 8894956527, 2145830587, 2145830593, 5343032344, 2145830601, 2145830612]",Bing,,,,,,grass,,,,,,,,,,,
way,218657179,"POLYGON ((8.2172299 50.0180006, 8.2181159 50.0179713, 8.2201075 50.018346, 8.2201074 50.0186879, 8.2201074 50.018775, 8.2169052 50.0182012, 8.2169701 50.0178639, 8.2171649 50.018006, 8.2172299 50.0180006))",,,,,,,,,park,,,,,,"[2278857827, 2278857823, 2278857852, 2278857904, 1926894907, 1926894870, 1926894862, 9882647576, 2278857827]",,,,,,,,,,,,,,,,,,
way,218976768,"POLYGON ((8.2645698 49.9988983, 8.2645246 49.9989481, 8.2646506 49.9989943, 8.2646376 49.999009, 8.2648726 49.9990951, 8.2651208 49.9991867, 8.2652332 49.9992287, 8.26527 49.9991873, 8.2653807 49.9990639, 8.2653908 49.9990512, 8.2658195 49.9993122, 8.2660141 49.9991996, 8.2657389 49.9990359, 8.2658579 49.9989539, 8.2659402 49.9990032, 8.266231 49.9988027, 8.2661087 49.9987294, 8.2660863 49.9986922, 8.2659605 49.9986191, 8.266246 49.9984239, 8.2662076 49.9984302, 8.265757 49.9985046, 8.2657069 49.9985134, 8.2648922 49.9986712, 8.2643195 49.9988001, 8.2645553 49.9988926, 8.2645698 49.9988983))",,,Romano-Guardini-Platz,,,,,,park,,,,,,"[2281829389, 2281829395, 2281829391, 263686273, 263686272, 5851094004, 2281829387, 5851094021, 5851094020, 2281829397, 2281829400, 2281829388, 263686504, 263686503, 263686511, 263686510, 263686509, 1740189961, 1740189970, 1740189965, 5795429880, 2281829393, 5795429879, 5795429878, 2281829398, 5795429881, 2281829389]",,,Q44872,,,,,,,,,square,,,,,,
way,233232806,"POLYGON ((8.1710877 49.9888417, 8.1713056 49.9889119, 8.1713815 49.9889106, 8.1713684 49.9889355, 8.1714626 49.9889546, 8.1715038 49.9888525, 8.1715362 49.9887666, 8.1711826 49.9887124, 8.171093 49.9888333, 8.1710877 49.9888417))",,,,limited,,,,,park,,,,,,"[8855418207, 4460681533, 8855418200, 8855418201, 2415860877, 8855418204, 2415860970, 2415860931, 8855418206, 8855418207]",,,,,,,,,,,,,,,,,,
way,234822824,"POLYGON ((8.2633738 50.0113249, 8.2637917 50.0111047, 8.2646286 50.0117446, 8.2647544 50.0119245, 8.2654694 50.0124963, 8.2654709 50.0125208, 8.2651661 50.0127152, 8.264287 50.0120768, 8.263307 50.0113593, 8.2633738 50.0113249))",,,Feldbergplatz,,,,,,park,,,,,,"[1748826370, 1269638318, 6534797478, 6534797477, 7787365805, 255326633, 2429520178, 6534797476, 6534797468, 1748826370]",,,Q677873,,Q2694354,de:Feldbergplatz,,,,,,,,,,,,
way,236704694,"POLYGON ((8.2685993 49.9980111, 8.2686229 49.9980174, 8.2687316 49.9978695, 8.2687019 49.9978622, 8.2686829 49.9978533, 8.2686703 49.9978407, 8.2686651 49.9978251, 8.2686674 49.9978088, 8.268675 49.9977991, 8.2686919 49.9977843, 8.2685167 49.9978784, 8.2684833 49.9978961, 8.268455 49.9979138, 8.2684365 49.9979361, 8.2684506 49.9979556, 8.2684957 49.9979808, 8.2685993 49.9980111))",,,,,,,,,park,,,,,,"[2446963965, 9310338163, 9310338161, 9310338164, 9310338166, 9310338160, 9310338167, 9310338159, 9310338165, 9310338162, 239968113, 5616705539, 5616705538, 5798466831, 5616705537, 2446963960, 2446963965]",,,,,,,,,,,,,,,,,,
