osmid,y,x,street_count,ref,highway,geometry
256516785,49.9888864,8.2565497,3,,,POINT (8.2565497 49.9888864)
256517535,49.984817,8.2539805,3,,,POINT (8.2539805 49.984817)
256517537,49.9851633,8.2538587,3,,,POINT (8.2538587 49.9851633)
256517968,49.9861861,8.2540503,3,,,POINT (8.2540503 49.9861861)
256521147,49.9904676,8.2630711,3,,,POINT (8.2630711 49.9904676)
256521154,49.9891469,8.2616606,4,,,POINT (8.2616606 49.9891469)
256521162,49.9898123,8.2603175,4,,,POINT (8.2603175 49.9898123)
256521164,49.9898867,8.2602029,4,,,POINT (8.2602029 49.9898867)
256521169,49.9890157,8.2591518,3,,,POINT (8.2591518 49.9890157)
256521172,49.9892704,8.259537,3,,,POINT (8.259537 49.9892704)
256521176,49.9906399,8.2614954,3,,,POINT (8.2614954 49.9906399)
256521178,49.9909651,8.2620757,3,,,POINT (8.2620757 49.9909651)
256521182,49.9893067,8.259461,3,,,POINT (8.259461 49.9893067)
256521319,49.9886321,8.2628191,3,,,POINT (8.2628191 49.9886321)
256521547,49.990529,8.2661809,3,,,POINT (8.2661809 49.990529)
256521552,49.9918222,8.2632754,3,,,POINT (8.2632754 49.9918222)
256521553,49.9901483,8.263788,3,,,POINT (8.263788 49.9901483)
256521554,49.9909225,8.264632,4,,,POINT (8.264632 49.9909225)
256521563,49.9902139,8.2636436,3,,,POINT (8.2636436 49.9902139)
256521564,49.9909944,8.2644648,4,,,POINT (8.2644648 49.9909944)
256522455,49.9900898,8.2663722,3,,,POINT (8.2663722 49.9900898)
256522457,49.9895146,8.2690261,3,,,POINT (8.2690261 49.9895146)
256613639,49.9845385,8.2711477,3,,,POINT (8.2711477 49.9845385)
256615139,49.9838122,8.2721533,3,,,POINT (8.2721533 49.9838122)
256615140,49.9835095,8.2732816,3,,,POINT (8.2732816 49.9835095)
256619243,49.9884752,8.2747697,4,,,POINT (8.2747697 49.9884752)
256619245,49.9889171,8.2774462,4,,,POINT (8.2774462 49.9889171)
256619872,49.9887475,8.2764026,3,,,POINT (8.2764026 49.9887475)
256619873,49.9885215,8.2764935,3,,,POINT (8.2764935 49.9885215)
256619874,49.9882538,8.2762832,3,,,POINT (8.2762832 49.9882538)
256619876,49.9877127,8.2767171,3,,,POINT (8.2767171 49.9877127)
256619877,49.988165,8.2765568,3,,,POINT (8.2765568 49.988165)
256632074,50.0132838,8.201131,3,,,POINT (8.201131 50.0132838)
256632086,50.0104465,8.204608,3,,,POINT (8.204608 50.0104465)
256632098,50.0124236,8.2029358,3,,,POINT (8.2029358 50.0124236)
256632104,50.0134059,8.2034021,3,,,POINT (8.2034021 50.0134059)
256985404,50.029563,8.218715,1,,,POINT (8.218715 50.029563)
256985406,50.029321,8.2193506,3,,,POINT (8.2193506 50.029321)
257057775,49.9623224,8.2093497,3,,,POINT (8.2093497 49.9623224)
257057789,49.9661753,8.2098186,3,,,POINT (8.2098186 49.9661753)
257057857,49.9635942,8.2110379,3,,,POINT (8.2110379 49.9635942)
257059212,49.9601213,8.2224675,3,,,POINT (8.2224675 49.9601213)
257059267,49.9608292,8.21076,3,,,POINT (8.21076 49.9608292)
257059275,49.9611711,8.2100677,3,,,POINT (8.2100677 49.9611711)
257059301,49.9604748,8.2087296,3,,,POINT (8.2087296 49.9604748)
257059376,49.9619629,8.2097992,3,,,POINT (8.2097992 49.9619629)
257059378,49.9617878,8.2104446,3,,,POINT (8.2104446 49.9617878)
257059522,49.9613655,8.2119453,3,,,POINT (8.2119453 49.9613655)
257060738,49.9658566,8.2099721,3,,,POINT (8.2099721 49.9658566)
257060993,49.9634183,8.202381,1,,,POINT (8.202381 49.9634183)
257106376,49.9687181,8.2365809,2,,,POINT (8.2365809 49.9687181)
257173706,49.9806004,8.2779701,1,,,POINT (8.2779701 49.9806004)
257278459,49.9887533,8.220755,2,,,POINT (8.220755 49.9887533)
257288555,49.9616977,8.2222461,3,,,POINT (8.2222461 49.9616977)
257301577,49.9990501,8.2756872,1,,,POINT (8.2756872 49.9990501)
257405755,49.9730543,8.2316911,1,,,POINT (8.2316911 49.9730543)
257779074,49.9954937,8.2812834,1,,,POINT (8.2812834 49.9954937)
257809118,50.0052239,8.2562648,4,,,POINT (8.2562648 50.0052239)
257809123,50.008988,8.2519896,4,,,POINT (8.2519896 50.008988)
257809125,50.0090946,8.2518689,4,,,POINT (8.2518689 50.0090946)
257809146,50.0127525,8.2489499,3,70,,POINT (8.2489499 50.0127525)
257809148,50.0137335,8.2495145,4,,,POINT (8.2495145 50.0137335)
257809149,50.0149685,8.2507289,4,,,POINT (8.2507289 50.0149685)
257809723,50.0051708,8.2561332,4,,,POINT (8.2561332 50.0051708)
257809730,50.0089459,8.2518799,4,,,POINT (8.2518799 50.0089459)
257809731,50.008992,8.2518306,4,,,POINT (8.2518306 50.008992)
257809743,50.0137847,8.2494042,4,,,POINT (8.2494042 50.0137847)
257809744,50.0150144,8.250648,4,,,POINT (8.250648 50.0150144)
257948796,49.9228433,8.2489072,1,,,POINT (8.2489072 49.9228433)
258046382,49.9968606,8.2122486,3,,,POINT (8.2122486 49.9968606)
258047049,49.9988933,8.1823357,3,,,POINT (8.1823357 49.9988933)
258047055,49.9985603,8.1794968,3,,,POINT (8.1794968 49.9985603)
258047058,49.998156,8.1782997,3,,,POINT (8.1782997 49.998156)
258047064,49.9986024,8.174574,3,,,POINT (8.174574 49.9986024)
258047069,49.9984944,8.1740955,3,,,POINT (8.1740955 49.9984944)
258548945,49.9619646,8.2018144,1,,,POINT (8.2018144 49.9619646)
258548951,49.9610867,8.2007442,3,,,POINT (8.2007442 49.9610867)
258557604,49.9610651,8.2124652,3,,,POINT (8.2124652 49.9610651)
258557605,49.9610123,8.212264,1,,,POINT (8.212264 49.9610123)
258562184,49.9599843,8.2101933,1,,,POINT (8.2101933 49.9599843)
258566670,49.9601276,8.2006254,3,,,POINT (8.2006254 49.9601276)
258569147,49.9622518,8.2270145,3,,,POINT (8.2270145 49.9622518)
258569154,49.9610046,8.2236775,3,,,POINT (8.2236775 49.9610046)
258569156,49.9607742,8.2242471,3,,,POINT (8.2242471 49.9607742)
258569181,49.9602339,8.2284465,3,,,POINT (8.2284465 49.9602339)
258569214,49.9616797,8.2274135,4,,,POINT (8.2274135 49.9616797)
258569536,49.9597744,8.225835,3,,,POINT (8.225835 49.9597744)
258569538,49.9592752,8.226019,4,,,POINT (8.226019 49.9592752)
258569541,49.9580228,8.2265077,3,,,POINT (8.2265077 49.9580228)
258569580,49.9596995,8.2242521,3,,,POINT (8.2242521 49.9596995)
258569584,49.958898,8.224646,3,,,POINT (8.224646 49.958898)
258570054,49.9626346,8.2317481,4,,,POINT (8.2317481 49.9626346)
258570068,49.9624531,8.2309683,4,,,POINT (8.2309683 49.9624531)
258570671,49.9617788,8.2335237,4,,,POINT (8.2335237 49.9617788)
258570674,49.960622,8.2307593,3,,,POINT (8.2307593 49.960622)
258572558,49.958108,8.195613,3,,traffic_signals,POINT (8.195613 49.958108)
258572559,49.9583091,8.1965958,3,,,POINT (8.1965958 49.9583091)
