element_type,osmid,amenity,capacity,geometry,nodes,parking,access,capacity:disabled,capacity:parent,capacity:women,fee,parking_space,smoothness,surface
way,798956148,parking_space,1,"POLYGON ((8.2325173 49.9952085, 8.23255 49.9952158, 8.2325722 49.9951749, 8.2325395 49.9951676, 8.2325173 49.9952085))","[7472238965, 7472238983, 7472238980, 7472238964, 7472238965]",,,,,,,,,
way,798956149,parking_space,1,"POLYGON ((8.2324519 49.9951938, 8.2324846 49.9952011, 8.2325068 49.9951602, 8.2324741 49.9951529, 8.2324519 49.9951938))","[7472238969, 7472238968, 7472238967, 7472238966, 7472238969]",,,,,,,,,
way,798956150,parking_space,1,"POLYGON ((8.2327134 49.9952525, 8.2327461 49.9952598, 8.2327683 49.9952189, 8.2327356 49.9952116, 8.2327134 49.9952525))","[7472238973, 7472238971, 7472238970, 7472238972, 7472238973]",,,,,,,,,
way,798956151,parking_space,1,"POLYGON ((8.2326807 49.9952452, 8.2327134 49.9952525, 8.2327356 49.9952116, 8.2327029 49.9952043, 8.2326807 49.9952452))","[7472238975, 7472238973, 7472238972, 7472238974, 7472238975]",,,,,,,,,
way,798956152,parking_space,1,"POLYGON ((8.232648 49.9952378, 8.2326807 49.9952452, 8.2327029 49.9952043, 8.2326703 49.9951969, 8.232648 49.9952378))","[7472238977, 7472238975, 7472238974, 7472238976, 7472238977]",,,,,,,,,
way,798956153,parking_space,1,"POLYGON ((8.2326154 49.9952305, 8.232648 49.9952378, 8.2326703 49.9951969, 8.2326376 49.9951896, 8.2326154 49.9952305))","[7472238979, 7472238977, 7472238976, 7472238978, 7472238979]",,,,,,,,,
way,798956154,parking_space,1,"POLYGON ((8.2325827 49.9952231, 8.2326154 49.9952305, 8.2326376 49.9951896, 8.2326049 49.9951823, 8.2325827 49.9952231))","[7472238982, 7472238979, 7472238978, 7472238981, 7472238982]",,,,,,,,,
way,798956155,parking_space,1,"POLYGON ((8.23255 49.9952158, 8.2325827 49.9952231, 8.2326049 49.9951823, 8.2325722 49.9951749, 8.23255 49.9952158))","[7472238983, 7472238982, 7472238981, 7472238980, 7472238983]",,,,,,,,,
way,798956156,parking_space,1,"POLYGON ((8.2326104 49.9949693, 8.2326431 49.9949766, 8.2326653 49.9949357, 8.2326327 49.9949284, 8.2326104 49.9949693))","[7472262385, 7472262387, 7472262408, 7472238984, 7472262385]",,,,,,,,,
way,798956157,parking_space,1,"POLYGON ((8.2325778 49.9949619, 8.2326104 49.9949693, 8.2326327 49.9949284, 8.2326 49.994921, 8.2325778 49.9949619))","[7472262386, 7472262385, 7472238984, 7472262410, 7472262386]",,,,,,,,,
way,798956158,parking_space,1,"POLYGON ((8.2326431 49.9949766, 8.2326758 49.9949839, 8.232698 49.994943, 8.2326653 49.9949357, 8.2326431 49.9949766))","[7472262387, 7472262393, 7472262406, 7472262408, 7472262387]",,,,,,,,,
way,798956159,parking_space,1,"POLYGON ((8.2328066 49.9950133, 8.2328393 49.9950206, 8.2328615 49.9949797, 8.2328288 49.9949724, 8.2328066 49.9950133))","[7472262391, 7472262389, 7472262398, 7472262400, 7472262391]",,,,,,,,,
way,798956160,parking_space,1,"POLYGON ((8.2328393 49.9950206, 8.232872 49.995028, 8.2328942 49.9949871, 8.2328615 49.9949797, 8.2328393 49.9950206))","[7472262389, 7472262388, 7472262413, 7472262398, 7472262389]",,,,,,,,,
way,798956161,parking_space,1,"POLYGON ((8.2327412 49.9949986, 8.2327739 49.995006, 8.2327961 49.9949651, 8.2327634 49.9949577, 8.2327412 49.9949986))","[7472262395, 7472262392, 7472262390, 7472262403, 7472262395]",,,,,,,,,
way,798956162,parking_space,1,"POLYGON ((8.2327739 49.995006, 8.2328066 49.9950133, 8.2328288 49.9949724, 8.2327961 49.9949651, 8.2327739 49.995006))","[7472262392, 7472262391, 7472262400, 7472262390, 7472262392]",,,,,,,,,
way,798956163,parking_space,1,"POLYGON ((8.2326758 49.9949839, 8.2327085 49.9949913, 8.2327307 49.9949504, 8.232698 49.994943, 8.2326758 49.9949839))","[7472262393, 7472262396, 7472262394, 7472262406, 7472262393]",,,,,,,,,
way,798956164,parking_space,1,"POLYGON ((8.2327085 49.9949913, 8.2327412 49.9949986, 8.2327634 49.9949577, 8.2327307 49.9949504, 8.2327085 49.9949913))","[7472262396, 7472262395, 7472262403, 7472262394, 7472262396]",,,,,,,,,
