element_type,osmid,access,amenity,fee,parking,geometry,created_by,capacity,capacity:disabled,capacity:parent,maxheight,name,opening_hours,operator,wheelchair,source,noexit,barrier,charge,layer,maxstay,capacity:women,operator:wikidata,operator:wikipedia,bicycle,foot,note,motorcar,park_ride,description,operator:type,surface,addr:street,addr:city,addr:country,addr:housenumber,addr:postcode,survey:date,covered,capacity:wheelchair,designation,highway,capacity:car,capacity:motorcycle,alt_name,traffic_sign,website,hgv,access:conditional,parking:orientation,nodes,supervised,building,building:facade:colour,building:levels,building:levels:underground,building:material,building:max_level,building:min_level,roof:colour,roof:levels,roof:shape,name:etymology:wikidata,toll,capacity:long,source:maxheight,lit,smoothness,source:position,height,check_date:opening_hours,toilets:wheelchair,landuse,location,nohousenumber,ref,unimainz:buildingId,capacity:charging,fixme,bridge,check_date:fee,tourist_bus,FIXME,orientation,parking:condition,ways,type
way,148394493,customers,parking,no,surface,"POLYGON ((8.2206186 50.0267828, 8.2210202 50.0266538, 8.2209575 50.0265732, 8.2205559 50.0267023, 8.2206186 50.0267828))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615008337, 1615008325, 1615008320, 1615008334, 1615008337]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148394494,customers,parking,no,surface,"POLYGON ((8.2216685 50.0262459, 8.2217307 50.0262253, 8.2216171 50.0260833, 8.221555 50.026104, 8.2216685 50.0262459))",,7,,,,,,Fahrrad XXL Franz,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,"[1615008286, 1615008284, 1615008270, 1615008272, 1615008286]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148394496,customers,parking,,surface,"POLYGON ((8.226412 50.026304, 8.2258623 50.0255995, 8.2258551 50.0255309, 8.2260405 50.0254614, 8.226147 50.0255945, 8.2263543 50.0258531, 8.2263223 50.0258613, 8.2266281 50.0262362, 8.226412 50.026304))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615008290, 1615008205, 1615008199, 1615008191, 1615008204, 1615008237, 1615008240, 1615008285, 1615008290]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148394497,customers,parking,,surface,"POLYGON ((8.2220437 50.0267426, 8.2221086 50.0267224, 8.2219117 50.0264602, 8.2218843 50.0264687, 8.2218388 50.026408, 8.2217807 50.0264261, 8.2218274 50.0264884, 8.2218481 50.0264819, 8.2220437 50.0267426))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615008332, 1615008331, 1615008307, 1615008309, 1615008299, 1615008300, 1615008313, 1615008312, 1615008332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148469866,yes,parking,no,surface,"POLYGON ((8.1920619 49.9790504, 8.1914051 49.9785852, 8.1915108 49.9785191, 8.1919429 49.9785276, 8.1921126 49.9790119, 8.1920619 49.9790504))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615672655, 1615672639, 1615672635, 1615672636, 1615672652, 1615672655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148469872,,parking,,surface,"POLYGON ((8.1962691 49.9752987, 8.1964927 49.9753011, 8.1964954 49.9751962, 8.1964352 49.9751956, 8.1964365 49.9751455, 8.1963235 49.9751442, 8.1963223 49.9751914, 8.1962719 49.9751908, 8.1962691 49.9752987))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615672527, 1615672528, 1615672522, 1615672521, 1615672517, 1615672516, 1615672520, 1615672519, 1615672527]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148469878,yes,parking,no,surface,"POLYGON ((8.1927686 49.979754, 8.1929959 49.9797622, 8.1933957 49.9797341, 8.1935358 49.979686, 8.1934051 49.9795753, 8.193239 49.9794686, 8.1929547 49.9794294, 8.1927766 49.9794219, 8.1925743 49.9794875, 8.1927686 49.979754))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615672718, 2858956356, 1615672713, 1615672700, 1615672681, 1615672670, 1615672668, 1615672666, 1615672675, 1615672718]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148480794,customers,parking,no,surface,"POLYGON ((8.1763643 49.9841464, 8.1766765 49.9841057, 8.1767263 49.9840992, 8.1767142 49.9840396, 8.1766633 49.983787, 8.1765154 49.9838027, 8.1764972 49.9838043, 8.1765168 49.9838705, 8.1763004 49.9838999, 8.1763643 49.9841464))",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[387224186, 9013549220, 387224185, 8871590078, 387224249, 8871590042, 1517895975, 1517895986, 387224250, 387224186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148482379,yes,parking,no,surface,"POLYGON ((8.1757511 49.9862728, 8.1758173 49.9862667, 8.1759136 49.9862405, 8.1762288 49.9861039, 8.1760255 49.9858695, 8.17583 49.9859441, 8.1758654 49.9860042, 8.1758038 49.9860309, 8.1757896 49.9861016, 8.1757204 49.9861214, 8.1757511 49.9862728))",,40,,,,Jungenfeldstraße,,,yes,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,"[1615775611, 8865679741, 1615775608, 1615775602, 1615775593, 1615775595, 1615775597, 1615775598, 1615775601, 1615775603, 1615775611]",,,,,,,,,,,,Q23062466,,,,,,,,,,,,,,,,,,,,,,,,
way,148482383,private,parking,,surface,"POLYGON ((8.1753206 49.9862559, 8.1756333 49.9862363, 8.1756217 49.9861828, 8.1753094 49.986222, 8.1753206 49.9862559))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1615775612, 1615775610, 1615775606, 1615775609, 1615775612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148530916,private,parking,,surface,"POLYGON ((8.2272766 50.0245905, 8.2273883 50.0247321, 8.2283572 50.0244147, 8.2282455 50.0242731, 8.2272766 50.0245905))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1616230496, 1616230534, 1616230472, 1616230459, 1616230496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,148530917,private,parking,,surface,"POLYGON ((8.227872 50.0236052, 8.2277853 50.0234449, 8.2290346 50.0232147, 8.2290639 50.0232926, 8.2290181 50.0233136, 8.2287859 50.0233637, 8.2280706 50.0235879, 8.2280464 50.0235532, 8.227872 50.0236052))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1616230368, 1616230356, 1616230315, 1616230325, 1616230328, 1616230341, 1616230366, 1616230363, 1616230368]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149775713,private,parking,,surface,"POLYGON ((8.1870278 49.9667838, 8.187027 49.96677, 8.1870157 49.966575, 8.1872352 49.9665012, 8.1872536 49.9666835, 8.1876085 49.9666647, 8.1881766 49.9664876, 8.1881759 49.9665297, 8.1882558 49.966529, 8.1882659 49.9666825, 8.1881655 49.9666862, 8.1881666 49.9667364, 8.1882757 49.9667353, 8.1882786 49.9667963, 8.1881743 49.9667987, 8.188184 49.9669741, 8.1876694 49.9669856, 8.1876594 49.9667668, 8.1870278 49.9667838))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627222452, 6976116911, 1627222423, 1627222418, 1627222434, 1627222427, 1627222416, 1627222421, 1627222420, 1627222432, 1627222435, 1627222441, 1627222439, 1627222453, 1627222454, 1627222456, 1627222462, 1627222451, 1627222452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149781928,yes,parking,,surface,"POLYGON ((8.1898995 49.9565641, 8.1901209 49.9560698, 8.190702 49.9561632, 8.1905271 49.9565715, 8.1901967 49.9565135, 8.1901652 49.9565795, 8.1898995 49.9565641))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2682117846, 2682117852, 2682117912, 2891809802, 1627300885, 1627300893, 2682117846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149786617,private,parking,,,"POLYGON ((8.1988828 49.9601742, 8.1997841 49.9604608, 8.2000448 49.9601199, 8.199533 49.9599517, 8.1993736 49.9601972, 8.1989459 49.9600765, 8.1988828 49.9601742))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627357771, 1510144460, 1510144450, 1510144456, 1510144466, 1510144498, 1627357771]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149801297,yes,parking,no,surface,"POLYGON ((8.196056 49.9582923, 8.1959996 49.9582836, 8.1959235 49.9582397, 8.1958736 49.9582241, 8.1958841 49.9581877, 8.1959429 49.9581944, 8.1960258 49.9582187, 8.1960804 49.9582289, 8.196056 49.9582923))",,,,,,,,,,,,,,,,,,,,,,,,,,paved,,,,,,,,,,,,,,,,,,,"[4150135166, 6536775860, 6536775859, 6536775858, 6536775857, 6536775856, 6536775855, 6536775854, 4150135166]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149814291,,parking,,lane,"POLYGON ((8.2010155 49.9603394, 8.1982903 49.9594712, 8.1983269 49.9594262, 8.2010498 49.9602939, 8.2010155 49.9603394))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627583481, 1627583362, 1627583349, 1627583465, 1627583481]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149814294,private,parking,,multi-storey,"POLYGON ((8.2008678 49.9601183, 8.2014027 49.9602903, 8.2014448 49.9603027, 8.2015458 49.9601705, 8.2016506 49.9600314, 8.2010744 49.9598435, 8.2008678 49.9601183))",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627583455, 8852513160, 1627583464, 8852513154, 1627583436, 1627583427, 1627583455]",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149814295,,parking,,lane,"POLYGON ((8.2030049 49.9603275, 8.2029932 49.9602769, 8.2028391 49.9602281, 8.2028499 49.9602765, 8.2030049 49.9603275))",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627583479, 1627583463, 6537908348, 6537908349, 1627583479]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149827308,customers,parking,no,,"POLYGON ((8.2038458 49.9619411, 8.2046434 49.9620974, 8.2046633 49.9620553, 8.2050096 49.9621232, 8.2049895 49.9621655, 8.205788 49.962322, 8.2058075 49.9622809, 8.2060863 49.9623355, 8.2060659 49.9623786, 8.2069193 49.9625458, 8.2069992 49.9623772, 8.2076911 49.9625128, 8.2078975 49.9620772, 8.2072021 49.9619409, 8.2072804 49.9617755, 8.206114 49.9615469, 8.206135 49.9615026, 8.205374 49.9613534, 8.205354 49.9613954, 8.2051567 49.9613567, 8.2052357 49.9611898, 8.2051176 49.9611667, 8.2051375 49.9611247, 8.2042387 49.9609485, 8.2042185 49.960991, 8.2040566 49.9609592, 8.2038944 49.9613015, 8.2039648 49.9613153, 8.203866 49.9615239, 8.203798 49.9615106, 8.2036357 49.9618533, 8.203866 49.9618985, 8.2038458 49.9619411))",,,,,,Besucher-/ Mitarbeiterparkplatz,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[258547843, 6466688551, 6466688552, 6466688553, 6466688554, 6466688555, 6466688556, 6466688557, 6466688558, 6466688559, 6466688560, 6466688561, 6466688562, 6466688563, 6466688564, 6466688565, 6466688566, 6466688567, 6466688568, 6466688569, 6466688570, 6466688571, 6466688572, 6466688573, 6466688574, 6466688575, 6466688576, 6466688577, 6466688578, 6466688579, 6466688580, 258547842, 258547843]",,,,,,,,,,,,,,,,,,,,,,,,,P11;P10,,,,,,,,,,,
way,149829176,private,parking,,multi-storey,"POLYGON ((8.2026743 49.9647297, 8.2017531 49.9645518, 8.2020083 49.9640018, 8.2021598 49.9640311, 8.2029295 49.9641797, 8.2027699 49.9645237, 8.2027075 49.9646582, 8.2026743 49.9647297))",,,,,,Mitarbeiterparkhaus P22,"Mo-Su,PH 00:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[258543633, 258543630, 258543631, 1627793221, 258543632, 1627793231, 1627793240, 258543633]",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829239,private,parking,,,"POLYGON ((8.2103896 49.9651033, 8.2116908 49.965347, 8.2118693 49.9649754, 8.2118237 49.9649655, 8.21193 49.9647402, 8.2119872 49.9647468, 8.2121394 49.9644298, 8.2115757 49.9643336, 8.2113309 49.964887, 8.2105725 49.9647384, 8.2103896 49.9651033))",,,,,,Mitarbeiterparkplatz P50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627758491, 1627758556, 1627758466, 1627758453, 1627758407, 1627758410, 1627758387, 1627758374, 1627758441, 1627758406, 1627758491]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829240,private,parking,,,"POLYGON ((8.2098412 49.9642887, 8.2100974 49.9636984, 8.2108182 49.9638269, 8.2105164 49.9644245, 8.2098412 49.9642887))",,,,,,Mitarbeiterparkplatz P40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[258548405, 258548402, 1522135492, 258548404, 258548405]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829241,private,parking,,,"POLYGON ((8.2114516 49.9663821, 8.211682 49.9659022, 8.2122398 49.966016, 8.2120203 49.9664893, 8.2114516 49.9663821))",,,,,,Mitarbeiterparkplatz P60,,,,yahoo sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[258548247, 258548241, 258548243, 258548245, 258548247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829242,private,parking,,surface,"POLYGON ((8.2079101 49.9657101, 8.2082091 49.9650635, 8.2090662 49.9652435, 8.2087753 49.9658816, 8.2079101 49.9657101))",,,,,,Mitarbeiterparkplatz P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627758695, 1627758481, 1627758522, 1627758733, 1627758695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829243,private,parking,,surface,"POLYGON ((8.2032946 49.9640425, 8.2033315 49.9637297, 8.2035484 49.963211, 8.2045302 49.9633957, 8.2044212 49.9637066, 8.2042522 49.9636798, 8.2040334 49.9641883, 8.2032946 49.9640425))",,,,,,Mitarbeiterparkplatz P21,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[258548060, 258548061, 258548053, 258548055, 1627758306, 1627758305, 258548056, 258548060]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829244,customers,parking,no,surface,"POLYGON ((8.2030204 49.9641378, 8.2030878 49.9639333, 8.2031711 49.9631273, 8.2026549 49.9630283, 8.2024585 49.9632352, 8.2023738 49.9632252, 8.2021328 49.9637186, 8.2022066 49.9637396, 8.2021148 49.9639625, 8.2030204 49.9641378))",,,,,,Besucher- / Mitarbeiterparkplatz P23,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[257060936, 257060937, 257060927, 1627758286, 257060932, 1627758292, 1627758307, 1627758309, 257060933, 257060936]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829252,private,parking,,surface,"POLYGON ((8.2125197 49.9650301, 8.2127633 49.965077, 8.2129201 49.9647377, 8.2126765 49.9646909, 8.2125197 49.9650301))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627758474, 1627758490, 1627758405, 1627758404, 1627758474]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829253,private,parking,,surface,"POLYGON ((8.2090663 49.9655303, 8.2089844 49.9657277, 8.2097939 49.9658925, 8.2098209 49.9658408, 8.2096297 49.9656319, 8.2090663 49.9655303))",,,,,,Mitarbeiterparkplatz P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627758660, 1627758709, 1627758735, 1627758723, 1627758686, 1627758660]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149829255,private,parking,,,"POLYGON ((8.2131619 49.9641661, 8.2130201 49.9644703, 8.2119066 49.9642556, 8.2120817 49.96388, 8.2123143 49.9639249, 8.2122942 49.963968, 8.2125421 49.9640158, 8.2124396 49.9642356, 8.2127245 49.9642906, 8.2128138 49.964099, 8.2131619 49.9641661))",,,,,,Mitarbeiterparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627758351, 1627758393, 1627758365, 1627758316, 1627758328, 6466688814, 6466688813, 1627758363, 1627758369, 6466688812, 1627758351]",,,,,,,,,,,,,,,,,,,,,,,,,T-01;T-02,,,,,,,,,,,
way,149840877,,parking,,surface,"POLYGON ((8.2032244 49.9579332, 8.2032623 49.9579076, 8.2038749 49.958269, 8.2038268 49.9582997, 8.2032244 49.9579332))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627839176, 1627839175, 1627839199, 1627839200, 1627839176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149840881,customers,parking,,surface,"POLYGON ((8.2033466 49.9581641, 8.2033982 49.9581288, 8.2037635 49.9583515, 8.2037119 49.9583867, 8.2033466 49.9581641))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627839183, 1627839178, 1627839202, 1627839215, 1627839183]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149840882,customers,parking,,surface,"POLYGON ((8.2035074 49.9586684, 8.2036031 49.9585424, 8.2028147 49.958288, 8.2028669 49.9582211, 8.2028048 49.9581988, 8.2026249 49.9581343, 8.2024959 49.9583081, 8.2027139 49.9583736, 8.2026896 49.9584088, 8.2035074 49.9586684))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1627839216, 4605294479, 1627839219, 1627839196, 8865286895, 1627839179, 1627839201, 4605294478, 4605294480, 1627839216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,149840883,,parking,,surface,"POLYGON ((8.2043464 49.9586304, 8.2041376 49.9588946, 8.2039979 49.9588486, 8.2040813 49.9587432, 8.2040145 49.9587212, 8.2041121 49.9585978, 8.2041664 49.9586157, 8.2041943 49.9585804, 8.2043464 49.9586304))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[258600127, 1627839242, 1627839241, 1627839240, 1627839239, 1627839223, 1627839236, 1627839222, 258600127]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,150142771,customers,parking,,surface,"POLYGON ((8.2404666 50.0222675, 8.2405335 50.0222423, 8.2410041 50.0227595, 8.2409371 50.0227848, 8.2404666 50.0222675))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1630599971, 1630599970, 1630599986, 1630599988, 1630599971]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,150142773,customers,parking,,surface,"POLYGON ((8.2421834 50.0232767, 8.2426534 50.0231172, 8.24203 50.0224102, 8.241095 50.0227644, 8.2411462 50.0228126, 8.2416073 50.0226375, 8.2421834 50.0232767))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1630600005, 1630599998, 1630599976, 1630599987, 1630599990, 1630599983, 1630600005]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,154907369,private,parking,,surface,"POLYGON ((8.26991 50.0042195, 8.2700412 50.0041528, 8.2696804 50.0037319, 8.2694712 50.0038488, 8.26991 50.0042195))",,,,,,,,,,survey,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,"[1673653560, 1673653554, 1673653549, 1673653552, 1673653560]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,155183077,customers,parking,no,multi-storey,"POLYGON ((8.2256503 49.9873527, 8.2260021 49.9874247, 8.2267234 49.9875724, 8.2275463 49.9877405, 8.2278479 49.9878027, 8.2278858 49.9877258, 8.2279166 49.987664, 8.2279483 49.9876, 8.2279881 49.9875198, 8.2257904 49.9870698, 8.2256503 49.9873527))",,,,,,HS-Mainz Parkhaus,24/7,,limited,,,,,0,,,,,,,Während Fußballspielen P2,,,,,,,,,,,,,,,,,,P2,,,,,,"[1676015125, 1423246902, 6837547023, 6837547025, 1676015131, 8711527363, 8711527360, 8711527361, 1676015127, 1676015124, 1676015125]",,parking,,2,,,,,,0,flat,,,,,,,,,,,,,,,3305,,,,,,,,,,
way,155183381,private,parking,,surface,"POLYGON ((8.2274363 49.9879355, 8.2277315 49.9879951, 8.2277522 49.9879526, 8.2274575 49.9878931, 8.2274363 49.9879355))",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1676018159, 1676018161, 1676018160, 1676018157, 1676018159]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,155183382,private,parking,,surface,"POLYGON ((8.2272735 49.9879019, 8.2267042 49.9877852, 8.2267253 49.9877427, 8.2272947 49.9878594, 8.2272735 49.9879019))",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1676018158, 1676018152, 1676018151, 1676018156, 1676018158]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156539787,yes,parking,no,surface,"POLYGON ((8.2387589 50.0121846, 8.2384638 50.012151, 8.2385028 50.0119042, 8.2389372 50.0119021, 8.2388876 50.011975, 8.238878 50.0119913, 8.2388012 50.0120993, 8.2387589 50.0121846))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687744707, 1687744698, 1687744670, 286473834, 288779672, 1687744687, 286473831, 1687744707]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156544204,private,parking,,surface,"POLYGON ((8.2427805 50.0110934, 8.2427355 50.0110594, 8.2430375 50.0108942, 8.2430825 50.0109282, 8.2427805 50.0110934))",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687780323, 1687780320, 1687780310, 1687780313, 1687780323]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156544205,private,parking,,surface,"POLYGON ((8.2422887 50.0091433, 8.2425473 50.0092246, 8.2427258 50.009009, 8.2425497 50.0089478, 8.2424258 50.0090181, 8.2422887 50.0091433))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687780258, 1687780260, 1687780256, 1687780245, 1687780257, 1687780258]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156544208,private,parking,,surface,"POLYGON ((8.241478 50.0125293, 8.2416146 50.0123521, 8.2419226 50.0125053, 8.2418781 50.0125432, 8.2416656 50.0124535, 8.2415478 50.0125566, 8.241478 50.0125293))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687780413, 1687780383, 1687780408, 1687780417, 1687780394, 1687780428, 1687780413]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156544210,customers,parking,no,surface,"POLYGON ((8.2380765 50.0148472, 8.2378629 50.0147198, 8.2380073 50.0146148, 8.2383497 50.014838, 8.2382666 50.0148924, 8.2381438 50.0148146, 8.2380765 50.0148472))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687780598, 1687780579, 1687780561, 1687780597, 1687780601, 1687780595, 1687780598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156544211,private,parking,,surface,"POLYGON ((8.2414015 50.013327, 8.2412898 50.0135232, 8.2412204 50.0134997, 8.2411484 50.0135442, 8.2409991 50.0134673, 8.2412217 50.0132219, 8.2414525 50.0132404, 8.2414015 50.013327))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687780536, 1687780555, 1687780554, 1687780556, 1687780553, 1687780519, 1687780520, 1687780536]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156544219,customers,parking,no,surface,"POLYGON ((8.238911 50.0156127, 8.2385259 50.0154422, 8.2382672 50.0152531, 8.2383175 50.0152202, 8.2384279 50.015194, 8.2385717 50.0151779, 8.2387266 50.0151599, 8.2389002 50.0151937, 8.2389676 50.0154117, 8.2390315 50.0155955, 8.238911 50.0156127))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687780669, 1687780663, 1687780639, 10154516237, 1687780633, 9976856266, 1687780625, 10154516238, 1687780661, 1687780664, 1687780669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156552107,private,parking,,surface,"POLYGON ((8.2433183 50.0068065, 8.2437807 50.0069825, 8.2439747 50.0067708, 8.2435123 50.0065948, 8.2433183 50.0068065))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687837231, 1687837232, 1687837230, 1687837229, 1687837231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156552110,private,parking,,surface,"POLYGON ((8.2419009 50.0083356, 8.24203 50.0083848, 8.2427886 50.0075579, 8.2426595 50.0075087, 8.2419009 50.0083356))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687837323, 1687837338, 1687837274, 1687837269, 1687837323]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156552115,private,parking,,surface,"POLYGON ((8.2442767 50.0098053, 8.2441569 50.0097606, 8.244036 50.00997, 8.2439595 50.0099502, 8.2440657 50.0097741, 8.2436682 50.0096329, 8.2438455 50.0094141, 8.2443747 50.0096239, 8.2445434 50.0095383, 8.2446053 50.0095615, 8.2443891 50.0097879, 8.2443156 50.0097587, 8.2442767 50.0098053))",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687837382, 3623470017, 3623470022, 3623470027, 2060775935, 1687837381, 1687837375, 1687837378, 3623470006, 3623470020, 3623470024, 3623470010, 1687837382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156552118,private,parking,,surface,"POLYGON ((8.2436372 50.0095773, 8.2435826 50.0095582, 8.2443241 50.0086492, 8.244415 50.008683, 8.2436372 50.0095773))",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1687837377, 1687837376, 1687837362, 1687837363, 1687837377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,156897168,private,parking,,surface,"POLYGON ((8.2111277 50.0214343, 8.2112859 50.0214252, 8.2112576 50.0212218, 8.2110993 50.021231, 8.2111277 50.0214343))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1691368777, 1691368775, 1691368755, 1691368756, 1691368777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
