u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,tunnel,service,junction,width,access,est_width
256029270,255739523,0,23634100,False,,,living_street,,True,111.814,"LINESTRING (8.21349 50.0030281, 8.2120448 50.002643)",,Schulstraße,,,,,,
256029270,417412021,0,34073877,False,,,residential,30,True,75.69200000000001,"LINESTRING (8.21349 50.0030281, 8.2136509 50.0030723, 8.2144638 50.0032957)",,Schulstraße,,,,,,
256029270,256029581,0,306361035,False,,,living_street,,False,66.148,"LINESTRING (8.21349 50.0030281, 8.2130616 50.0035348, 8.2130481 50.0035508)",,Wilhelm-Raabe-Straße,,,,,,
256029270,8829243447,0,953932197,False,,,residential,50,False,20.918,"LINESTRING (8.21349 50.0030281, 8.213642 50.0029007, 8.2136745 50.0028827)",,Schulstraße,,,,,,
256029271,264053289,0,24340996,False,,,residential,30,False,46.485,"LINESTRING (8.2151721 50.0034881, 8.2147161 50.0037862)",,Kurt-Schumacher-Straße,,,,,,
256029271,417412021,0,34073877,False,,,residential,30,False,54.957,"LINESTRING (8.2151721 50.0034881, 8.2144638 50.0032957)",,Schulstraße,,,,,,
256029271,256034876,0,152909170,False,,,residential,30,True,124.659,"LINESTRING (8.2151721 50.0034881, 8.2167676 50.0039411)",,Herrnweg,,,,,,
256029271,36516087,0,24340996,False,,,residential,30,True,277.892,"LINESTRING (8.2151721 50.0034881, 8.2166577 50.0025345, 8.2175144 50.0019626, 8.2177197 50.0018421, 8.2177701 50.0018094, 8.2178494 50.0017625, 8.2179415 50.0017449)",,Kurt-Schumacher-Straße,,,,,,
256029580,256029581,0,306357708,True,,,unclassified,30,False,72.40599999999999,"LINESTRING (8.2125753 50.0041267, 8.2130325 50.0035698, 8.2130481 50.0035508)",,Wilhelm-Raabe-Straße,,,,,,
256029580,3592835896,0,440973624,True,,,residential,30,False,76.228,"LINESTRING (8.2125753 50.0041267, 8.2133882 50.004345, 8.2135593 50.0043912)",,Gerhart-Hauptmann-Straße,,,,,,
256029581,256029270,0,306361035,False,,,living_street,,True,66.148,"LINESTRING (8.2130481 50.0035508, 8.2130616 50.0035348, 8.21349 50.0030281)",,Wilhelm-Raabe-Straße,,,,,,
256029581,255739522,0,"[936872896, 848367819]",False,2,,secondary,30,False,110.47,"LINESTRING (8.2130481 50.0035508, 8.2127913 50.0034805, 8.2116259 50.0031617)",,Breite Straße,,,,,,
256029581,39711979,0,"[936872896, 936872398, 23612575]",False,2,,secondary,30,True,84.289,"LINESTRING (8.2130481 50.0035508, 8.2132145 50.0035966, 8.2133535 50.0036348, 8.2134417 50.0036591, 8.2141275 50.0038562)",,Breite Straße,,,,,,
256030053,256026974,0,23633844,False,,,residential,30,True,88.491,"LINESTRING (8.2057241 49.9998265, 8.2050809 50.0005065)",,Palmenstraße,,,,,,
256030053,256029266,0,23634098,True,,,residential,30,False,23.088,"LINESTRING (8.2057241 49.9998265, 8.2060051 49.9999289)",,Engelstraße,,,,,,
256030053,256026975,0,23633844,False,,,residential,30,False,97.952,"LINESTRING (8.2057241 49.9998265, 8.2062114 49.9993433, 8.2064695 49.9990873)",,Palmenstraße,,,,,,
256030566,256027404,0,23633896,False,,,residential,30,True,51.112,"LINESTRING (8.2050432 49.9974388, 8.2043521 49.9973208)",,Gonsbachstraße,,,,,,
256030566,256027406,0,23633896,False,,,residential,30,False,229.725,"LINESTRING (8.2050432 49.9974388, 8.2071984 49.9977718, 8.2081831 49.9978735)",,Gonsbachstraße,,,,,,
256030566,256027250,0,23634287,False,,,residential,30,True,60.096000000000004,"LINESTRING (8.2050432 49.9974388, 8.2048827 49.9977061, 8.2047365 49.997942)",,Gonsbachstraße,,,,,,
256034348,280750491,0,"[23634514, 689765219]",False,2,,residential,30,True,94.01499999999999,"LINESTRING (8.2172253 50.0009478, 8.2172355 50.0009123, 8.2174239 50.0002579, 8.217433 50.0002262, 8.2174699 50.0001171)",,Im Niedergarten,,,,,,
256034348,6483912236,0,691043138,True,2,L 422,secondary,30,False,36.454,"LINESTRING (8.2172253 50.0009478, 8.2175427 50.001001, 8.2175979 50.0010104, 8.2177186 50.0010311)",,Mainzer Straße,,,,,,
256034874,256034876,0,103051212,False,,,residential,30,True,113.022,"LINESTRING (8.217364 50.0030067, 8.2173646 50.0030847, 8.2167676 50.0039411)",,Am Haag,,,,,,
256034876,256029271,0,152909170,False,,,residential,30,False,124.659,"LINESTRING (8.2167676 50.0039411, 8.2151721 50.0034881)",,Herrnweg,,,,,,
256034876,256034874,0,103051212,False,,,residential,30,False,113.022,"LINESTRING (8.2167676 50.0039411, 8.2173646 50.0030847, 8.217364 50.0030067)",,Am Haag,,,,,,
256034876,1561998623,0,152909170,False,,,residential,30,True,40.186,"LINESTRING (8.2167676 50.0039411, 8.217207 50.0040896, 8.2172656 50.0041089)",,Herrnweg,,,,,,
256037153,256037192,0,104869114,False,,,living_street,,False,8.733,"LINESTRING (8.2205771 50.0021307, 8.2204774 50.0021761)",,,,,,,,
256037153,256037183,0,23634869,False,,,residential,30,False,37.924,"LINESTRING (8.2205771 50.0021307, 8.2207148 50.0022032, 8.2209031 50.0022249, 8.2210636 50.0022353)",,Philipp-Wasserburg-Straße,,,,,,
256037153,256037196,0,23634869,False,,,residential,30,True,55.459,"LINESTRING (8.2205771 50.0021307, 8.2205047 50.0019786, 8.2205084 50.0018751, 8.2205105 50.0018148, 8.2205167 50.001639)",,Philipp-Wasserburg-Straße,,,,,,
256037161,398797112,0,924908837,False,2,L 422,secondary,30,False,83.937,"LINESTRING (8.2228226 50.0009245, 8.2216512 50.0009783)",,Mainzer Straße,,,,,,
256037161,9681935062,0,100075352,False,,,residential,30,True,51.123000000000005,"LINESTRING (8.2228226 50.0009245, 8.2228195 50.0009756, 8.222793 50.0013317, 8.2227875 50.0013837)",,Philipp-Wasserburg-Straße,,,,,,
256037161,8583966089,0,"[55782238, 924908837, 924908838, 259817847]",False,2,L 422,secondary,30,True,101.37600000000002,"LINESTRING (8.2228226 50.0009245, 8.223283 50.0009128, 8.2235187 50.0009064, 8.2238373 50.0008822, 8.223969 50.0008605, 8.2241844 50.0008185, 8.2242225 50.000811)",,Mainzer Straße,,,,,,
256037163,398797114,0,23634869,False,,,residential,30,False,9.441,"LINESTRING (8.2214265 50.0022443, 8.2215585 50.002241)",,Philipp-Wasserburg-Straße,,,,,,
256037163,256037183,0,23634869,False,,,residential,30,True,25.956,"LINESTRING (8.2214265 50.0022443, 8.2210636 50.0022353)",,Philipp-Wasserburg-Straße,,,,,,
256037163,256037183,1,23634870,False,,,residential,,False,62.671,"LINESTRING (8.2214265 50.0022443, 8.2215214 50.0022727, 8.2215452 50.0023172, 8.2215363 50.0023677, 8.2214977 50.0024062, 8.2214354 50.002424, 8.221379 50.0024122, 8.2213345 50.0023973, 8.2212781 50.0023677, 8.2212247 50.0023261, 8.2210636 50.0022353)",,Philipp-Wasserburg-Straße,,,,,,
256037183,256037163,0,23634869,False,,,residential,30,False,25.956,"LINESTRING (8.2210636 50.0022353, 8.2214265 50.0022443)",,Philipp-Wasserburg-Straße,,,,,,
256037183,256037163,1,23634870,False,,,residential,,True,62.67099999999999,"LINESTRING (8.2210636 50.0022353, 8.2212247 50.0023261, 8.2212781 50.0023677, 8.2213345 50.0023973, 8.221379 50.0024122, 8.2214354 50.002424, 8.2214977 50.0024062, 8.2215363 50.0023677, 8.2215452 50.0023172, 8.2215214 50.0022727, 8.2214265 50.0022443)",,Philipp-Wasserburg-Straße,,,,,,
256037183,256037153,0,23634869,False,,,residential,30,True,37.924,"LINESTRING (8.2210636 50.0022353, 8.2209031 50.0022249, 8.2207148 50.0022032, 8.2205771 50.0021307)",,Philipp-Wasserburg-Straße,,,,,,
256037192,256037153,0,104869114,False,,,living_street,,True,8.733,"LINESTRING (8.2204774 50.0021761, 8.2205771 50.0021307)",,,,,,,,
256037192,8881195235,0,959890010,False,,,living_street,,True,28.301,"LINESTRING (8.2204774 50.0021761, 8.2200829 50.0021541)",,,,,,,,
256037192,410164492,0,104869114,False,,,living_street,,False,35.838,"LINESTRING (8.2204774 50.0021761, 8.2203413 50.0023575, 8.2202497 50.0024631)",,,,,,,,
256037193,256037197,0,23634879,False,,,service,,False,90.368,"LINESTRING (8.2192066 50.0023851, 8.2192355 50.0023234, 8.2193729 50.0020543, 8.2194498 50.0017768, 8.2194622 50.0016657, 8.2194701 50.0015941)",,Mainzer Straße,,,,,,
256037195,256037197,0,23634879,False,,,service,,True,47.242,"LINESTRING (8.2195549 50.0011728, 8.2195168 50.0013434, 8.2194969 50.0014386, 8.2194701 50.0015941)",,Mainzer Straße,,,,,,
256037196,1156859063,0,23634878,False,,,living_street,,False,37.757,"LINESTRING (8.2205167 50.001639, 8.2199892 50.0016207)",,Philipp-Wasserburg-Straße,,,,,,
256037196,256037153,0,23634869,False,,,residential,30,False,55.459,"LINESTRING (8.2205167 50.001639, 8.2205105 50.0018148, 8.2205084 50.0018751, 8.2205047 50.0019786, 8.2205771 50.0021307)",,Philipp-Wasserburg-Straße,,,,,,
256037196,8874570633,0,23634869,False,,,residential,30,True,52.198,"LINESTRING (8.2205167 50.001639, 8.2205179 50.0016311, 8.2205523 50.0013995, 8.2205861 50.0011717)",,Philipp-Wasserburg-Straße,,,,,,
256037197,1156859063,0,23634878,False,,,living_street,,True,37.219,"LINESTRING (8.2194701 50.0015941, 8.2199892 50.0016207)",,Philipp-Wasserburg-Straße,,,,,,
256037197,256037195,0,23634879,False,,,service,,False,47.242,"LINESTRING (8.2194701 50.0015941, 8.2194969 50.0014386, 8.2195168 50.0013434, 8.2195549 50.0011728)",,Mainzer Straße,,,,,,
256037197,256037193,0,23634879,False,,,service,,True,90.368,"LINESTRING (8.2194701 50.0015941, 8.2194622 50.0016657, 8.2194498 50.0017768, 8.2193729 50.0020543, 8.2192355 50.0023234, 8.2192066 50.0023851)",,Mainzer Straße,,,,,,
256040538,256041869,0,1058951433,False,,,service,,True,240.30899999999997,"LINESTRING (8.2324439 50.0032889, 8.2322352 50.0032748, 8.2321137 50.0032518, 8.232061 50.0032382, 8.2318582 50.0031725, 8.2316584 50.003087, 8.2315563 50.0030311, 8.2314359 50.0029219, 8.2312906 50.0028444, 8.2304873 50.0025258, 8.2303724 50.0025027, 8.2302216 50.0025106, 8.22992 50.0025326, 8.2296231 50.0025437, 8.2294696 50.0025343)",,An der Nonnenwiese,,,,,,
256041869,256043143,0,23635174,False,,,service,,True,317.46099999999996,"LINESTRING (8.2294696 50.0025343, 8.2293305 50.0024991, 8.2286721 50.0022259, 8.2284846 50.0021447, 8.2278377 50.0018657, 8.2276536 50.001789, 8.2272653 50.0016398, 8.2269105 50.0015071, 8.2265431 50.0013822, 8.2259815 50.0012076, 8.2257404 50.0011476, 8.2256762 50.0011361, 8.225638 50.0011377, 8.2256198 50.0011385)",,An der Nonnenwiese,,,,,,
256041869,256040538,0,1058951433,False,,,service,,False,240.309,"LINESTRING (8.2294696 50.0025343, 8.2296231 50.0025437, 8.22992 50.0025326, 8.2302216 50.0025106, 8.2303724 50.0025027, 8.2304873 50.0025258, 8.2312906 50.0028444, 8.2314359 50.0029219, 8.2315563 50.0030311, 8.2316584 50.003087, 8.2318582 50.0031725, 8.232061 50.0032382, 8.2321137 50.0032518, 8.2322352 50.0032748, 8.2324439 50.0032889)",,An der Nonnenwiese,,,,,,
256041869,9730263324,0,1058951434,False,,,service,,False,21.469,"LINESTRING (8.2294696 50.0025343, 8.2293097 50.002559, 8.2292327 50.002631)",,,,driveway,,,,
256042602,208519470,0,"[442206882, 23634881, 220869866]",False,"['3', '2']",L 422,secondary,50,True,139.516,"LINESTRING (8.229226 50.000211, 8.2299328 50.0002041, 8.2302042 50.0002, 8.2311778 50.0002011)",,Mainzer Straße,,,,,,
256042602,8583966089,0,"[603970114, 442206876, 25738050, 55782238]",False,2,L 422,secondary,"['30', '50']",False,368.90000000000003,"LINESTRING (8.229226 50.000211, 8.227555 50.0002212, 8.2272487 50.000238, 8.2258724 50.0003891, 8.2255135 50.000433, 8.225331 50.0004727, 8.2250977 50.0005329, 8.2244321 50.0007517, 8.2243267 50.0007873, 8.2242725 50.0007996, 8.2242225 50.000811)",yes,Mainzer Straße,,,,,,
256042602,1162253207,0,"[958022834, 23635398]",False,1,,residential,"['30', '50']",False,477.39000000000004,"LINESTRING (8.229226 50.000211, 8.2293664 50.0002525, 8.2296219 50.0003432, 8.2297796 50.0003915, 8.230065 50.0004781, 8.2308137 50.0007301, 8.2317488 50.0011864, 8.2319421 50.0013116, 8.2321191 50.0014503, 8.2322766 50.0015628, 8.2326995 50.0018363, 8.2328381 50.0019298, 8.2333525 50.0023677, 8.2333625 50.0024026, 8.2333521 50.0024402, 8.233126 50.002657, 8.2330543 50.0027473, 8.2329118 50.0028395, 8.2328054 50.0029135, 8.2327931 50.0029308, 8.2327895 50.0029507, 8.2327809 50.0029893, 8.2327727 50.0030099, 8.2327628 50.0030243, 8.2327385 50.0030621)",,Angelrechweg,,,,,,
256043143,1162281876,0,179141319,False,,,residential,30,False,32.988,"LINESTRING (8.2256198 50.0011385, 8.2254977 50.0014246)",,An der Nonnenwiese,,,,,,
256043143,256041869,0,23635174,False,,,service,,False,317.46100000000007,"LINESTRING (8.2256198 50.0011385, 8.225638 50.0011377, 8.2256762 50.0011361, 8.2257404 50.0011476, 8.2259815 50.0012076, 8.2265431 50.0013822, 8.2269105 50.0015071, 8.2272653 50.0016398, 8.2276536 50.001789, 8.2278377 50.0018657, 8.2284846 50.0021447, 8.2286721 50.0022259, 8.2293305 50.0024991, 8.2294696 50.0025343)",,An der Nonnenwiese,,,,,,
256043143,1162378454,0,23635447,False,,,residential,30,True,98.794,"LINESTRING (8.2256198 50.0011385, 8.2247397 50.0010094, 8.2245337 50.0009813, 8.224348 50.0009354, 8.2243013 50.0009019)",,An der Nonnenwiese,,,,,,
256043144,256043157,0,179141319,False,,,residential,30,False,4.722,"LINESTRING (8.2253881 50.0016797, 8.2253348 50.0017048)",,An der Nonnenwiese,,,,,,
256043144,1162281876,0,179141319,False,,,residential,30,True,29.479999999999997,"LINESTRING (8.2253881 50.0016797, 8.225392 50.0016772, 8.2254977 50.0014246)",,An der Nonnenwiese,,,,,,
256043144,256043149,0,179141319,False,,,residential,30,True,22.532,"LINESTRING (8.2253881 50.0016797, 8.2253601 50.0017647, 8.2253342 50.0018361, 8.2252964 50.0018709)",,An der Nonnenwiese,,,,,,
256043149,256043144,0,179141319,False,,,residential,30,False,22.531999999999996,"LINESTRING (8.2252964 50.0018709, 8.2253342 50.0018361, 8.2253601 50.0017647, 8.2253881 50.0016797)",,An der Nonnenwiese,,,,,,
256043149,256043157,0,179141319,False,,,residential,30,True,32.079,"LINESTRING (8.2252964 50.0018709, 8.2252366 50.0018738, 8.2251792 50.001854, 8.2251542 50.0018211, 8.2251685 50.0017871, 8.2252182 50.001751, 8.2252646 50.0017323, 8.2253348 50.0017048)",,An der Nonnenwiese,,,,,,
256043149,6969547829,0,744670496,False,,,service,,False,37.922,"LINESTRING (8.2252964 50.0018709, 8.2253292 50.0019208, 8.2257624 50.0019898)",,An der Nonnenwiese,,,,,,
256043157,256043144,0,179141319,False,,,residential,30,True,4.722,"LINESTRING (8.2253348 50.0017048, 8.2253881 50.0016797)",,An der Nonnenwiese,,,,,,
256043157,6969547831,0,744670497,False,,,service,,False,39.385,"LINESTRING (8.2253348 50.0017048, 8.2248022 50.0016139)",,An der Nonnenwiese,,,,,,
256043157,256043149,0,179141319,False,,,residential,30,False,32.079,"LINESTRING (8.2253348 50.0017048, 8.2252646 50.0017323, 8.2252182 50.001751, 8.2251685 50.0017871, 8.2251542 50.0018211, 8.2251792 50.001854, 8.2252366 50.0018738, 8.2252964 50.0018709)",,An der Nonnenwiese,,,,,,
256044738,255404365,0,179141318,False,1,,residential,30,False,42.90599999999999,"LINESTRING (8.2372225 50.0031321, 8.2376261 50.0031324, 8.2377002 50.0031315, 8.2378228 50.00313)",,Kerschensteinerstraße,,,,,,
256044738,6454220499,0,179141318,False,1,,residential,30,True,35.88,"LINESTRING (8.2372225 50.0031321, 8.2370793 50.0031274, 8.236722 50.0031075)",,Kerschensteinerstraße,,,,,,
256044741,6454220497,0,179141318,False,1,,residential,30,False,4.854,"LINESTRING (8.2364366 50.0030952, 8.2365043 50.0030987)",,Kerschensteinerstraße,,,,,,
256044741,256044744,0,179141318,False,1,,residential,30,True,27.967,"LINESTRING (8.2364366 50.0030952, 8.2360477 50.0030673)",,Kerschensteinerstraße,,,,,,
256044741,261671520,0,"[24156840, 686605902]",False,1,,residential,30,"[False, True]",148.796,"LINESTRING (8.2364366 50.0030952, 8.2364257 50.0032541, 8.2364181 50.003359, 8.2364261 50.0034645, 8.2365415 50.0038645, 8.2366677 50.0042215, 8.2366835 50.0042694, 8.2367294 50.0043028, 8.2367894 50.0043244, 8.2368738 50.0043444)",,Am Molkenborn,,,,,,
256044742,256044744,0,23635677,False,1,,residential,30,False,98.726,"LINESTRING (8.2359474 50.0021962, 8.2358883 50.0022757, 8.2360546 50.0029813, 8.2360477 50.0030673)",,Kerschensteinerstraße,,,,,,
256044744,256044741,0,179141318,False,1,,residential,30,False,27.967,"LINESTRING (8.2360477 50.0030673, 8.2364366 50.0030952)",,Kerschensteinerstraße,,,,,,
256044744,256044742,0,23635677,False,1,,residential,30,True,98.726,"LINESTRING (8.2360477 50.0030673, 8.2360546 50.0029813, 8.2358883 50.0022757, 8.2359474 50.0021962)",,Kerschensteinerstraße,,,,,,
256044744,1172685426,0,179141318,False,1,,residential,30,True,124.946,"LINESTRING (8.2360477 50.0030673, 8.2358729 50.0030601, 8.2356275 50.0030471, 8.2354407 50.0030458, 8.2353439 50.0030451, 8.2350212 50.0030475, 8.2346966 50.0030476, 8.2343007 50.0030482)",,Kerschensteinerstraße,,,,,,
256044773,256062288,0,772161611,False,2,L 422,secondary,50,False,50.701,"LINESTRING (8.2353478 49.9992358, 8.2347017 49.999424)",,An der Allee,,,,,,
256044773,1671294079,0,848367805,False,2,L 422,secondary,50,True,31.527,"LINESTRING (8.2353478 49.9992358, 8.2357467 49.9991148)",,An der Allee,,,,,,
256044774,2046040248,0,24278242,False,,,residential,30,False,80.843,"LINESTRING (8.2312221 50.0004149, 8.2322673 50.0006928)",,Am Fort Gonsenheim,,,,,,
256044775,6792165959,0,24278242,False,,,residential,30,True,29.05,"LINESTRING (8.2345047 50.0012451, 8.2341244 50.0011529)",,Am Fort Gonsenheim,,,,,,
256044775,208519472,0,24278242,False,,,residential,30,False,12.774999999999999,"LINESTRING (8.2345047 50.0012451, 8.2345274 50.0011905, 8.2345508 50.0011341)",,Am Fort Gonsenheim,,,,,,
256044775,6792165960,0,724242448,False,,,service,,False,12.677,"LINESTRING (8.2345047 50.0012451, 8.2345166 50.0013222, 8.2344979 50.0013567)",,,,,,,,
256047245,4131512123,0,23635848,False,1,,service,,False,11.606,"LINESTRING (8.2392088 50.0000521, 8.2392156 50.0000931, 8.2391891 50.0001539)",,Rektor-Plum-Weg,,,,,,
256052867,6788633289,0,23480127,False,,,residential,30,True,103.483,"LINESTRING (8.2402301 49.9979409, 8.2397742 49.9988242)",,Am Gonsenheimer Spieß,,,,,,
256052870,254277683,0,23480128,False,,,residential,30,True,121.199,"LINESTRING (8.2411836 49.9977172, 8.2407149 49.9987647)",,Am Gonsenheimer Spieß,,,,,,
256052872,254277688,0,961295895,False,,,residential,30,True,117.901,"LINESTRING (8.2421639 49.9973615, 8.2418901 49.9984071)",,Am Gonsenheimer Spieß,,,,,,
256052875,9522836217,0,23480126,False,,,residential,30,False,35.847,"LINESTRING (8.2445894 49.9976194, 8.2447038 49.9975979, 8.245074 49.9976593)",,Am Gonsenheimer Spieß,,,,,,
256052875,6788633292,0,23480126,False,,,residential,30,True,51.608999999999995,"LINESTRING (8.2445894 49.9976194, 8.2442923 49.9976964, 8.2439291 49.9978067)",,Am Gonsenheimer Spieß,,,,,,
256052875,256052881,0,23636126,False,,,residential,30,False,74.195,"LINESTRING (8.2445894 49.9976194, 8.2444323 49.9973958, 8.2441621 49.9970113)",,Am Gonsenheimer Spieß,,,,,,
256052881,256052875,0,23636126,False,,,residential,30,True,74.195,"LINESTRING (8.2441621 49.9970113, 8.2444323 49.9973958, 8.2445894 49.9976194)",,Am Gonsenheimer Spieß,,,,,,
256052884,254277679,0,23636127,False,,,residential,30,True,98.303,"LINESTRING (8.2431706 49.997197, 8.2429888 49.9980733)",,Am Gonsenheimer Spieß,,,,,,
256055063,8892411433,0,23480129,False,,,service,,True,12.221,"LINESTRING (8.2417964 49.9987665, 8.2417733 49.9988754)",,,,driveway,,,,
256055063,254277688,0,23636303,False,,,residential,50,True,40.521,"LINESTRING (8.2417964 49.9987665, 8.2418901 49.9984071)",,Alteruhweg,,,,,,
256055063,412539102,0,23636303,False,,,residential,50,False,75.345,"LINESTRING (8.2417964 49.9987665, 8.2419953 49.9990474, 8.2419614 49.9991464, 8.2419499 49.9991855, 8.2418725 49.9994078)",,Alteruhweg,,,,,,
256061100,1290219792,0,31469482,False,,,residential,30,False,38.62,"LINESTRING (8.2379311 49.9963599, 8.2380918 49.9960283)",,Kantstraße,,,,,,
256061100,173948284,0,31469482,False,,,residential,30,True,37.123999999999995,"LINESTRING (8.2379311 49.9963599, 8.2377995 49.9966263, 8.2377649 49.9966759)",,Kantstraße,,,,,,
256061100,1290219808,0,113801792,False,,,service,,True,109.927,"LINESTRING (8.2379311 49.9963599, 8.237818 49.9962851, 8.2365193 49.9959936)",,Kantstraße,,alley,,,,
256061102,1290219792,0,31469482,False,,,residential,30,True,30.419,"LINESTRING (8.2382279 49.9957691, 8.2380918 49.9960283)",,Kantstraße,,,,,,
256061102,256061552,0,23636738,True,,,residential,30,False,238.28699999999998,"LINESTRING (8.2382279 49.9957691, 8.2385286 49.9958345, 8.2390254 49.9959427, 8.2390705 49.9959525, 8.239923 49.996138, 8.2413855 49.9964562)",,Thomas-Mann-Straße,,,,,,
256061102,1564413017,0,31469482,False,,,residential,30,False,44.849,"LINESTRING (8.2382279 49.9957691, 8.2383309 49.9955647, 8.2384213 49.9953854)",,Kantstraße,,,,,,
256061551,256061552,0,19881276,False,,,residential,30,True,70.481,"LINESTRING (8.2411557 49.9970726, 8.2413855 49.9964562)",,An der Dreispitz,,,,,,
256061551,256061100,0,23636737,True,,,residential,30,False,243.737,"LINESTRING (8.2411557 49.9970726, 8.2379311 49.9963599)",,Albert-Einstein-Straße,,,,,,
256061551,208521963,0,"[973283160, 19881276]",False,,,residential,30,False,50.75,"LINESTRING (8.2411557 49.9970726, 8.2410067 49.9974408, 8.2409801 49.9975148)",,An der Dreispitz,,,,,,
256061552,256061551,0,19881276,False,,,residential,30,False,70.481,"LINESTRING (8.2413855 49.9964562, 8.2411557 49.9970726)",,An der Dreispitz,,,,,,
256061552,1290219842,0,"[23636736, 31469482, 19881276]",False,,,residential,30,True,327.00300000000004,"LINESTRING (8.2413855 49.9964562, 8.2416239 49.9957823, 8.2415997 49.9957515, 8.2411245 49.9956322, 8.240785 49.9955505, 8.2404206 49.9954681, 8.2400624 49.9953936, 8.2397298 49.9953418, 8.2395699 49.9953114, 8.2394124 49.9952767, 8.2393205 49.9952564, 8.2386268 49.9951035, 8.2385903 49.9951054, 8.2385615 49.9951218, 8.2384871 49.9952613)",,"['Kantstraße', 'Saarstraße', 'An der Dreispitz']",,,,,,
256061552,6792165950,0,23636739,False,,,residential,30,False,47.97,"LINESTRING (8.2413855 49.9964562, 8.2417168 49.9964873, 8.2417896 49.9964886, 8.2420426 49.9964414)",,Thomas-Mann-Straße,,,,,,
256061959,1322999916,0,24277766,False,,,residential,30,True,54.923,"LINESTRING (8.2265513 49.9962443, 8.226536 49.9962793, 8.2265299 49.9962924, 8.2263316 49.9967176)",,Richard-Schirrmann-Straße,,,,,,
256061959,173948247,0,55794517,False,,,residential,30,False,159.08100000000002,"LINESTRING (8.2265513 49.9962443, 8.2270291 49.9962549, 8.2272163 49.9962591, 8.2273387 49.996272, 8.2274192 49.9962912, 8.2277059 49.9963594, 8.2281724 49.9964901, 8.228278 49.9965098, 8.2286995 49.9965481)",,Im Münchfeld,,,,,,
256061959,1323526580,0,142720678,False,2,,residential,50,False,55.413000000000004,"LINESTRING (8.2265513 49.9962443, 8.2261228 49.9962172, 8.2260288 49.996203, 8.2257902 49.9961593)",,Im Münchfeld,,,,,,
256061959,1323526581,0,142841198,False,,,residential,30,False,90.834,"LINESTRING (8.2265513 49.9962443, 8.2265678 49.9962129, 8.2268095 49.9957541, 8.2269067 49.9955594, 8.2269539 49.9954695)",,Hegelstraße,,,,,,
256062288,256044773,0,772161611,False,2,L 422,secondary,50,True,50.701,"LINESTRING (8.2347017 49.999424, 8.2353478 49.9992358)",,An der Allee,,,,,,
256062288,256062572,0,23636808,False,,,residential,30,False,74.542,"LINESTRING (8.2347017 49.999424, 8.2346601 49.9993729, 8.2338818 49.9990192)",,Dijonstraße,,,,,,
256062288,6792165964,0,139862140,False,2,L 422,secondary,50,False,108.60900000000001,"LINESTRING (8.2347017 49.999424, 8.234453 49.9994997, 8.2333282 49.9998418)",,An der Allee,,,,,,
256062289,1122152284,0,96841646,False,,,residential,30,False,66.063,"LINESTRING (8.2308574 49.997583, 8.2302967 49.9980553)",,Dijonstraße,,,,,,
256062289,256062293,0,411487514,False,,,residential,30,False,90.344,"LINESTRING (8.2308574 49.997583, 8.2306234 49.9974401, 8.2304016 49.9972867, 8.2301999 49.9970863, 8.2301495 49.9970012, 8.2301459 49.9969354)",,Dijonstraße,,,,,,
256062289,256063051,0,"[411487514, 411487510, 142738951]",False,,,residential,30,True,87.761,"LINESTRING (8.2308574 49.997583, 8.2310474 49.997684, 8.2311469 49.9977296, 8.2312803 49.9977907, 8.2314311 49.9978607, 8.2318439 49.9980524)",,Dijonstraße,,,,,,
256062293,256062294,0,411487514,False,,,residential,30,False,8.692,"LINESTRING (8.2301459 49.9969354, 8.2301716 49.996859)",,Dijonstraße,,,,,,
256062293,256064178,0,23636933,False,,,residential,30,True,130.884,"LINESTRING (8.2301459 49.9969354, 8.2300419 49.9969493, 8.2299864 49.9969567, 8.229592 49.9972594, 8.2292644 49.9975109, 8.2289271 49.9977656, 8.228912 49.997777)",,Am Heiligenhaus,,,,,,
256062293,256062289,0,411487514,False,,,residential,30,True,90.344,"LINESTRING (8.2301459 49.9969354, 8.2301495 49.9970012, 8.2301999 49.9970863, 8.2304016 49.9972867, 8.2306234 49.9974401, 8.2308574 49.997583)",,Dijonstraße,,,,,,
256062294,256062295,0,31469495,False,,,residential,30,False,24.937,"LINESTRING (8.2301716 49.996859, 8.2303644 49.9966721)",,Dijonstraße,,,,,,
256062294,256062293,0,411487514,False,,,residential,30,True,8.692,"LINESTRING (8.2301716 49.996859, 8.2301459 49.9969354)",,Dijonstraße,,,,,,
256062294,262868895,0,24277946,False,,,service,30,False,46.745000000000005,"LINESTRING (8.2301716 49.996859, 8.2300474 49.9968075, 8.2299969 49.9967632, 8.2299336 49.996595, 8.2299266 49.9964977)",,Im Münchfeld,,,,,no,
256062295,1323000024,0,31469495,False,,,residential,30,False,13.59,"LINESTRING (8.2303644 49.9966721, 8.2304844 49.9965773)",,Dijonstraße,,,,,,
256062295,256062294,0,31469495,False,,,residential,30,True,24.937,"LINESTRING (8.2303644 49.9966721, 8.2301716 49.996859)",,Dijonstraße,,,,,,
256062295,7555520154,0,807961786,False,,,service,,True,28.035,"LINESTRING (8.2303644 49.9966721, 8.2306679 49.9968318)",,,,driveway,,,,
