element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,operator,postal_code,ref,website,description,heritage,historic,start_date,building,nodes,building:levels,roof:levels,source,height,roof:shape,end,unimainz:buildingId,name,building:colour,roof:material,source:height,note:3D,roof:colour,image,wikidata,wikipedia,building:material,source:housenumber,source:address,source:position,note,roof:height,construction,roof:direction,roof:orientation,fixme,social_facility,social_facility:for,source_date,source:geometry,phone,survey:date,tourism,building:flats,description:de,nohousenumber,building:architecture,heritage:operator,name:signed,noaddress,ways,type
way,276193298,"POLYGON ((8.2407349 49.9128356, 8.2409123 49.9128411, 8.2409239 49.9126874, 8.2407464 49.9126819, 8.2407349 49.9128356))",Mainz,DE,18,55129,Nieder-Olmer-Straße,,,,,,,,,,,residential,"[2808144155, 2808144156, 2808144118, 2808144117, 2808144155]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193302,"POLYGON ((8.2417655 49.9128556, 8.2419214 49.9128585, 8.2419271 49.9127295, 8.2417712 49.9127267, 8.2417655 49.9128556))",Mainz,DE,1,55129,Zornheimer Straße,,,,,,,,,,,residential,"[2808144165, 2808144166, 2808144130, 2808144128, 2808144165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193304,"POLYGON ((8.2404657 49.912822, 8.240648 49.9128333, 8.2406714 49.9126766, 8.240489 49.9126653, 8.2404657 49.912822))",Mainz,DE,20,55129,Nieder-Olmer-Straße,,,,,,,,,,,residential,"[2808144153, 2808144154, 2808144134, 2808144132, 2808144153]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193307,"POLYGON ((8.2414786 49.9128568, 8.24166 49.9128624, 8.2416717 49.9127059, 8.2414904 49.9127003, 8.2414786 49.9128568))",Mainz,DE,12,55129,Nieder-Olmer-Straße,,,,,,,,,,,residential,"[2808144160, 2808144163, 2808144124, 2808144122, 2808144160]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193308,"POLYGON ((8.2410261 49.9124452, 8.241119 49.9124429, 8.241114 49.9123588, 8.241021 49.9123611, 8.2410261 49.9124452))",Mainz,DE,3,55129,Lorenz-Schneider-Straße,,,,,,,,,,,residential,"[2808143777, 2808143779, 2808143764, 2808143761, 2808143777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193313,"POLYGON ((8.2393905 49.9124473, 8.2395514 49.912461, 8.2395686 49.9123771, 8.2394077 49.9123635, 8.2393905 49.9124473))",Mainz,DE,15,55129,Lorenz-Schneider-Straße,,,,,,,,,,,residential,"[2808143776, 2808143778, 2808143769, 2808143768, 2808143776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193314,"POLYGON ((8.2412526 49.9128568, 8.2414184 49.9128619, 8.2414293 49.9127165, 8.2412635 49.9127114, 8.2412526 49.9128568))",Mainz,DE,14,55129,Nieder-Olmer-Straße,,,,,,,,,,,residential,"[2808144159, 2808144162, 2808144126, 2808144125, 2808144159]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193316,"POLYGON ((8.2405444 49.9125081, 8.2407114 49.9125014, 8.2406994 49.9123746, 8.2405323 49.9123813, 8.2405444 49.9125081))",Mainz,DE,7,55129,Lorenz-Schneider-Straße,,,,,,,,,,,residential,"[2808143786, 2808143788, 2808143771, 2808143770, 2808143786]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193317,"POLYGON ((8.2367259 49.9133198, 8.2368699 49.9133317, 8.2368904 49.9132283, 8.2367465 49.9132165, 8.2367259 49.9133198))",Mainz,DE,8,55129,Sommerflor,,,,,,,,,,,residential,"[2808144327, 2808144328, 2808144324, 2808144323, 2808144327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193324,"POLYGON ((8.2402735 49.9125487, 8.2404705 49.9125457, 8.2404646 49.9123865, 8.2402676 49.9123895, 8.2402735 49.9125487))",Mainz,DE,9,55129,Lorenz-Schneider-Straße,,,,,,,,,,,residential,"[2808143789, 2808143791, 2808143775, 2808143773, 2808143789]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
