element_type,osmid,amenity,authentication,authentication:debit_card,authentication:membership_card,authentication:money_card,authentication:nfc,authentication:none,capacity,capacity:car,motorcar,name,operator,payment:none,geometry,access:conditional,amperage,bicycle,capacity:cars,fee,opening_hours,payment,scooter,socket:schuko,socket:type2,source,truck,voltage,payment:notes,authentication:app,parking:fee,payment:paypal,payment:token,ref,socket:type2:output,operator:wikidata,operator:wikipedia,payment:cash,payment:credit_cards,socket:chademo,socket:chademo:output,socket:type2_combo,socket:type2_combo:output,access,description,payment:mastercard,payment:visa,contact:website,network,payment:cards,brand,brand:wikidata,brand:wikipedia,survey:date,socket:device:USB-A,ref:EU:EVSE,level,covered,check_date:capacity
node,6652942448,charging_station,,,,,,,2,,,,Mainzer Stadtwerke,,POINT (8.2687254 49.9987757),,,,,,,,,,,,,,,,,,,,,Q15848847,de:Mainzer Stadtwerke,,,,,,,,,,,,,,,,,,,,,,
node,6684337744,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2595788 50.0057922),,,,,,24/7,,,,,,,,,,,,,,,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,6724875816,charging_station,,,,,,,2,,,,,,POINT (8.2692627 50.0048203),,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6902404936,charging_station,,,yes,,,,1,,yes,,UrStromMobil,,POINT (8.2527434 50.0105506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,"Dies ist eine nicht-öffentliche Ladesäule für die exklusive Nutzung durch UrStromMobil, e-Carsharing in Bürgerhand.",,,,,,,,,,,,,,
node,7175770313,charging_station,,,,,,,2,,,,Pfalzwerke AG,,POINT (8.2384922 49.9669185),,,,,yes,Mo-Sa 07:00-20:00,,,,1,,,,,,,,,,22kW,,,,,1,50kW,1,50kW,,,,,,,yes,,,,,,,,,
node,8247940116,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2538473 50.0167754),,,,,yes,24/7,,,,,,,,,,,,,BD-5600-6 / BD-5599-8,,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,,,,,,,,,,,,
node,8247986817,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2542718 50.0165572),,,,,yes,24/7,,,,,,,,,,,,,BC-1635-7 / BC-1633-4,,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,,,,,,,,,,,,
node,8375155128,charging_station,,,,,,,,,,ChargePoint,,,POINT (8.1761153 49.9861354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChargePoint,Q5176149,en:ChargePoint,,,,,,
node,8731894518,charging_station,,,,,,,2,,,,Mainzer Stadtwerke,,POINT (8.2645411 49.9862142),,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,yes,,yes,yes,,,,,,,2021-05-14,,,,,
node,9101289478,charging_station,,,yes,,,,1,,yes,,Mainzer Stadtwerke,,POINT (8.2632395 50.0105849),,,,,,24/7,,,,1,,,,,yes,,yes,,DE*ISE*E0005027,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101289479,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2631951 50.0105543),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0004577;DE*ISE*E0004578,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101289480,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.263145 50.0105201),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0005411;DE*ISE*E0005412,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587433,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2636647 50.0106769),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0004603;DE*ISE*E0004604,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587434,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2636159 50.0106399),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0005047;DE*ISE*E0005048,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587435,charging_station,,,yes,,,,1,,yes,,Mainzer Stadtwerke,,POINT (8.2635713 50.0105999),,,,,,24/7,,,,1,,,,,yes,,yes,,DE*ISE*E0005112,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587436,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2634914 50.0107658),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0004981;DE*ISE*E0004982,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587437,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2634414 50.0107318),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0004917;DE*ISE*E0004918,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587438,charging_station,,,yes,,,,1,,yes,,Mainzer Stadtwerke,,POINT (8.2635366 50.0107987),,,,,,24/7,,,,1,,,,,yes,,yes,,DE*ISE*E0004589,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587439,charging_station,,,yes,,,,1,,yes,,Mainzer Stadtwerke,,POINT (8.2633949 50.0106982),,,,,,24/7,,,,1,,,,,yes,,yes,,DE*ISE*E0005028,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101587440,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2633162 50.0106366),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0004697;DE*ISE*E0004698,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9101645121,charging_station,,,,,,,5,,,,Mainzer Stadtwerke,,POINT (8.2632659 50.0106026),,,designated,,no,,,,10,,,,,,,,,,,,Q15848847,de:Mainzer Stadtwerke,,,,,,,,,,,,,,,,,,10,,,,
node,9101987174,charging_station,,,,,,,2,,,,,,POINT (8.2683476 50.0062581),,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,
node,9102025986,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2634059 50.0104944),,,,,,24/7,,,,2,,,,,yes,,yes,,DE*ISE*E0004545;DE*ISE*E0004546,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
node,9102876984,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2569617 50.005598),,,,,yes,24/7,,,,2,,,,,no,,yes,,,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,DE*ISE*E0009723;DE*ISE*E0009724,,,
node,9132086805,charging_station,,,yes,,,,1,,yes,,Mainzer Stadtwerke,,POINT (8.258835 49.9992131),,,,,yes,24/7,,,,1,,,,,no,,yes,,,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,DE*ISE*E0004582,0,,
node,9132086806,charging_station,,,yes,,,,1,,yes,,Mainzer Stadtwerke,,POINT (8.2588504 49.9991743),,,,,yes,24/7,,,,1,,,,,no,,yes,,,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,DE*ISE*E0004581,0,,
node,9547477263,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.260404 50.0043035),,,,,yes,24/7,,,,2,,,,,no,,yes,,DE*ISE*E0013801;DE*ISE*E0013803,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,DE*ISE*E0013801;DE*ISE*E0013803,,,
node,9590230775,charging_station,,,,,,,2,,,,,,POINT (8.2586551 50.0079131),,,,,,,,,,2,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,
