osmid,y,x,street_count,ref,highway,geometry
8168231434,49.441852,7.8106242,1,,,POINT (7.8106242 49.441852)
8168231436,49.4417535,7.8108588,1,,,POINT (7.8108588 49.4417535)
8168231438,49.4418283,7.8111342,1,,,POINT (7.8111342 49.4418283)
8168231443,49.4419277,7.8111492,3,,,POINT (7.8111492 49.4419277)
8168231444,49.4419241,7.810883,3,,,POINT (7.810883 49.4419241)
8251666733,49.4399478,7.7882936,3,,,POINT (7.7882936 49.4399478)
8251666737,49.4399806,7.7867563,1,,,POINT (7.7867563 49.4399806)
8251666738,49.4383366,7.7879361,3,,,POINT (7.7879361 49.4383366)
8251666740,49.4378431,7.7881396,1,,,POINT (7.7881396 49.4378431)
8253756336,49.4444424,7.7052431,3,,,POINT (7.7052431 49.4444424)
8253756343,49.4447299,7.7072879,3,,,POINT (7.7072879 49.4447299)
8253756355,49.4450873,7.7051296,3,,,POINT (7.7051296 49.4450873)
8253756356,49.4450501,7.7056807,3,,,POINT (7.7056807 49.4450501)
8253756357,49.4444932,7.7057654,3,,,POINT (7.7057654 49.4444932)
8253756358,49.444726,7.708144,1,,,POINT (7.708144 49.444726)
8253756359,49.4445064,7.7073977,1,,,POINT (7.7073977 49.4445064)
8253756382,49.4459347,7.7077108,3,,,POINT (7.7077108 49.4459347)
8253756384,49.4463557,7.7079319,3,,,POINT (7.7079319 49.4463557)
8253756408,49.4468056,7.7085486,1,,,POINT (7.7085486 49.4468056)
8253756409,49.4459664,7.7071554,3,,,POINT (7.7071554 49.4459664)
8253764223,49.4460393,7.7065113,3,,,POINT (7.7065113 49.4460393)
8254146850,49.4424325,7.7008041,3,,,POINT (7.7008041 49.4424325)
8254206473,49.4362963,7.773257,3,,,POINT (7.773257 49.4362963)
8254206477,49.436484,7.7740116,1,,,POINT (7.7740116 49.436484)
8256548514,49.4550657,7.7485964,3,,,POINT (7.7485964 49.4550657)
8256574517,49.4545504,7.7475663,1,,,POINT (7.7475663 49.4545504)
8259065229,49.4413457,7.7203352,3,,,POINT (7.7203352 49.4413457)
8259065232,49.4426105,7.7222205,3,,,POINT (7.7222205 49.4426105)
8259065234,49.4422076,7.7222217,1,,,POINT (7.7222217 49.4422076)
8259065235,49.4417922,7.7223686,3,,,POINT (7.7223686 49.4417922)
8259065246,49.4422725,7.7224708,3,,,POINT (7.7224708 49.4422725)
8259759465,49.4329081,7.6811531,3,,,POINT (7.6811531 49.4329081)
8288544084,49.4320572,7.7553767,3,,,POINT (7.7553767 49.4320572)
8288544086,49.4325643,7.754742,1,,,POINT (7.754742 49.4325643)
8288544705,49.460889,7.7948602,1,,,POINT (7.7948602 49.460889)
8292746336,49.4357782,7.7564136,3,,,POINT (7.7564136 49.4357782)
8292746340,49.4361204,7.756675,1,,,POINT (7.756675 49.4361204)
