u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,name,service,junction,access,width,tunnel,area
350637,266361653,0,"[28731005, 261697709, 28731007]",False,2,,tertiary,50,False,294.711,yes,"LINESTRING (7.7387912 49.4323124, 7.7389622 49.432432, 7.7405463 49.4333011, 7.7406744 49.4333912, 7.7407988 49.4335112, 7.7408588 49.4336107, 7.7408929 49.433734, 7.7408942 49.4338092, 7.7408909 49.433888, 7.7408572 49.4340076, 7.7408272 49.4340879, 7.7407459 49.4342508, 7.7406983 49.4343565)",Rauschenweg,,,,,,
350640,2672957752,0,768970225,True,3,L 502,secondary,50,False,33.35,,"LINESTRING (7.7388953 49.4309536, 7.7388612 49.4312527)",,,,,,,
350640,279380874,0,"[168054610, 768970227, 768970228]",False,"['4', '3']",L 502,secondary,50,True,211.18300000000002,,"LINESTRING (7.7388953 49.4309536, 7.7389096 49.4308697, 7.7389429 49.4305732, 7.7390229 49.4300062, 7.7390398 49.4298156, 7.7390553 49.4296569, 7.7390408 49.4294554, 7.7390196 49.4293351, 7.7389846 49.4291846, 7.7389432 49.4290644)",,,,,,,
350644,10381751,0,6016067,False,,,service,,True,18.842,,"LINESTRING (7.7413625 49.4401409, 7.7412652 49.4402981)",,,,,,,
350644,1207161241,0,517180038,True,3,L 395,secondary,50,False,10.052,,"LINESTRING (7.7413625 49.4401409, 7.7412791 49.4401156, 7.7412365 49.4401027)",Pariser Straße,,,,,,
350645,10381750,0,6016062,False,,,service,,False,17.189,,"LINESTRING (7.741859 49.4402878, 7.7417654 49.4404299)",,,,,,,
350645,350644,0,"[4446770, 517180038]",True,"['3', '2']",L 395,secondary,50,False,39.44,,"LINESTRING (7.741859 49.4402878, 7.7416669 49.440231, 7.7413625 49.4401409)",Pariser Straße,,,,,,
350647,350660,0,168054615,False,2,,tertiary,50,False,553.3829999999999,,"LINESTRING (7.7395589 49.4285515, 7.7396422 49.4285596, 7.7398932 49.4286018, 7.7402519 49.4287113, 7.7415666 49.4292511, 7.7421379 49.4294744, 7.7424774 49.4295619, 7.742675 49.4295862, 7.7428865 49.4295961, 7.743127 49.4295751, 7.7433718 49.4295192, 7.7435268 49.4294561, 7.7436399 49.4294023, 7.7437784 49.4293088, 7.7438984 49.4291897, 7.743952 49.4291203, 7.743976 49.4290892, 7.7440472 49.4289312, 7.7440603 49.4287366, 7.7440537 49.4286913, 7.7440445 49.4286276, 7.7439822 49.4284765, 7.7438967 49.4283389, 7.7438483 49.4282609, 7.7436891 49.4280055, 7.7436446 49.4279012, 7.7436056 49.4277628, 7.7436143 49.4276288, 7.743639 49.4275232)",Theodor-Heuss-Straße,,,,,,
350647,1812306840,0,964611599,True,2,,tertiary,50,False,28.279000000000003,,"LINESTRING (7.7395589 49.4285515, 7.7393142 49.4285898, 7.7391848 49.4286234)",Theodor-Heuss-Straße,,,,,,
350660,350647,0,168054615,False,2,,tertiary,50,True,553.3829999999999,,"LINESTRING (7.743639 49.4275232, 7.7436143 49.4276288, 7.7436056 49.4277628, 7.7436446 49.4279012, 7.7436891 49.4280055, 7.7438483 49.4282609, 7.7438967 49.4283389, 7.7439822 49.4284765, 7.7440445 49.4286276, 7.7440537 49.4286913, 7.7440603 49.4287366, 7.7440472 49.4289312, 7.743976 49.4290892, 7.743952 49.4291203, 7.7438984 49.4291897, 7.7437784 49.4293088, 7.7436399 49.4294023, 7.7435268 49.4294561, 7.7433718 49.4295192, 7.743127 49.4295751, 7.7428865 49.4295961, 7.742675 49.4295862, 7.7424774 49.4295619, 7.7421379 49.4294744, 7.7415666 49.4292511, 7.7402519 49.4287113, 7.7398932 49.4286018, 7.7396422 49.4285596, 7.7395589 49.4285515)",Theodor-Heuss-Straße,,,,,,
