element_type,osmid,name,geometry,barrier,bicycle,nodes,fee,leisure,opening_hours,website,wikidata,natural,danger,dogshit,note,wikimedia_commons,wikipedia,source,name:etymology:wikidata,ways,type
way,105146368,Kennedyplatz,"POLYGON ((7.7789338 49.4433041, 7.7790268 49.4432786, 7.7791417 49.4432495, 7.7792754 49.4432231, 7.7794673 49.4431915, 7.7794319 49.4429027, 7.7794303 49.4428893, 7.7797796 49.4428767, 7.7797958 49.4428768, 7.7798009 49.4428049, 7.7798622 49.4428042, 7.7798632 49.4427475, 7.7798466 49.4427225, 7.779804 49.4427151, 7.7797497 49.4427207, 7.7797704 49.4427689, 7.7792231 49.4428684, 7.7792024 49.4428201, 7.7791685 49.4428257, 7.779017 49.4428574, 7.7789686 49.4428701, 7.7789449 49.4428894, 7.7789356 49.4429088, 7.7789301 49.4429285, 7.7790076 49.4429559, 7.7788871 49.443275, 7.7788195 49.443248, 7.7788146 49.4432695, 7.7788205 49.4432887, 7.7788443 49.4433057, 7.7788823 49.4433132, 7.7789338 49.4433041))",,,"[1211836579, 1211836911, 1211836212, 1211835693, 1211837119, 1211836141, 1211837065, 1211837072, 1211837178, 1211837318, 1211836400, 1211836098, 1211835803, 1211837191, 1211837156, 1211837212, 1211837301, 1211837050, 1211835890, 1211836188, 1211837312, 1211835951, 1211837140, 1211836755, 1211836957, 1211837190, 1211836776, 1211837067, 1211836607, 1211836922, 1211836489, 1211836579]",,park,,,,,,,,,,,,,
way,152276915,,"POLYGON ((7.759912 49.4389159, 7.7595167 49.4387435, 7.759628 49.4386356, 7.7600233 49.438808, 7.759912 49.4389159))",,,"[1650951709, 1650951706, 1650951701, 1650951695, 1650951709]",,park,,,,,,,,,,visit,,,
way,338069398,,"POLYGON ((7.7494198 49.4402056, 7.7495118 49.4399926, 7.7485552 49.4398325, 7.7485405 49.4398293, 7.7484777 49.4400845, 7.7494198 49.4402056))",,,"[3451311287, 3451311402, 3451314883, 3451311403, 3451311404, 3451311287]",,park,,,,,,,,,,,,,
way,338071529,,"POLYGON ((7.7489233 49.4394945, 7.7489973 49.4393502, 7.7503219 49.4397141, 7.7507609 49.4398296, 7.7507197 49.4398885, 7.7507314 49.4399365, 7.7507638 49.4399903, 7.7508061 49.4400631, 7.7507962 49.4400746, 7.7505296 49.4399616, 7.7502508 49.4398557, 7.7498224 49.4397246, 7.7489233 49.4394945))",,,"[3451328527, 3451328528, 4966894944, 3451328529, 4966894945, 4966894950, 4966894949, 3451328530, 4966894948, 3451328531, 4966894946, 4966894947, 3451328527]",,park,,,,,,,,,,,,,
way,367125166,Adolph-Kolping-Platz,"POLYGON ((7.7763807 49.4407477, 7.7762671 49.4407216, 7.7761466 49.4407209, 7.7760322 49.4407456, 7.7759365 49.4407932, 7.7758696 49.4408584, 7.775839 49.4409342, 7.7758478 49.4410124, 7.7758953 49.4410844, 7.7759761 49.4411425, 7.7760815 49.4411805, 7.7762002 49.4411941, 7.7763193 49.4411819, 7.7764258 49.4411452, 7.7765082 49.441088, 7.7765576 49.4410165, 7.7765687 49.4409385, 7.7765401 49.4408624, 7.7764751 49.4407964, 7.7763807 49.4407477))",,,"[3710723939, 3710723936, 3710723935, 3710723938, 3710723941, 3710723946, 3710723948, 3710723952, 3710723956, 3710723959, 3710723963, 3710723965, 3710723964, 3710723960, 3710723957, 3710723953, 3710723949, 3710723947, 3710723942, 3710723939]",,park,,,,,,,,,,,Q60619,,
way,477321518,,"POLYGON ((7.7115762 49.4828641, 7.7120215 49.4829669, 7.7117452 49.4833794, 7.7112705 49.483254, 7.7115762 49.4828641))",,,"[4706955050, 4706955049, 4706955048, 4706955047, 4706955050]",,park,,,,,,,,,,,,,
way,486759052,Pfalzgalerie-Park,"POLYGON ((7.7684524 49.4487835, 7.7702244 49.4491811, 7.7703992 49.4488371, 7.7686272 49.4484615, 7.7684524 49.4487835))",,,"[4793204729, 4793204730, 4793204731, 4793204732, 4793204729]",,park,,,,,,,,,,,,,
way,1038808658,,"POLYGON ((7.7766949 49.4505907, 7.7771039 49.450609, 7.777124 49.4506038, 7.7771415 49.4505959, 7.7771482 49.4505811, 7.7771522 49.450568, 7.7771442 49.4505471, 7.7768263 49.4501975, 7.7767995 49.4502472, 7.7768411 49.4502594, 7.7766734 49.450575, 7.7766949 49.4505907))",,,"[9566470084, 9566470083, 9566470082, 9566470081, 9566470080, 9566470079, 9566470078, 9566470077, 9566470076, 9566470075, 9566470074, 9566470084]",,park,,,,,,,,,,,,,
way,1168466170,,"POLYGON ((7.7726798 49.4407453, 7.772705 49.4406197, 7.7727777 49.4405956, 7.7728677 49.4405956, 7.7729232 49.4406154, 7.7729801 49.4407393, 7.7726798 49.4407453))",,,"[10866865027, 10866865028, 10866865029, 10866865030, 10866865031, 10866865032, 10866865027]",,park,,,,,,,,,,,,,
way,1168474247,,"POLYGON ((7.7670266 49.4464491, 7.7671863 49.4464799, 7.7672345 49.4463681, 7.7674603 49.4464094, 7.7675161 49.4462717, 7.7674397 49.446217, 7.7673555 49.4460909, 7.7673959 49.4459545, 7.7674854 49.445829, 7.7674757 49.4457691, 7.7674985 49.4457588, 7.7675012 49.445732, 7.7673529 49.4457457, 7.7671888 49.4458102, 7.7670335 49.4459026, 7.767044 49.4459072, 7.7670435 49.4459119, 7.7670794 49.4462938, 7.7670828 49.4463105, 7.7670604 49.4463105, 7.7670581 49.4463855, 7.7670196 49.4463922, 7.7670266 49.4464491))",,,"[10866892478, 10866892479, 10866892480, 10866892481, 10866892482, 10866892483, 10866892484, 10866892485, 10866892486, 10866892487, 10866892488, 10866892489, 10866892490, 10866892491, 10866892492, 10866892493, 1214664584, 1214664225, 10866892494, 10866892495, 10866892496, 10866892497, 10866892478]",,park,,,,,,,,,,,,,
way,1181186189,,"POLYGON ((7.7716999 49.4356503, 7.7716034 49.4357941, 7.7718298 49.4358486, 7.771875 49.4358416, 7.7719065 49.4358111, 7.7719065 49.4357724, 7.7716999 49.4356503))",,,"[10969600391, 10969600392, 10969600393, 10969600394, 10969600395, 10969600396, 10969600391]",,park,,,,,,,,,,,,,
relation,10685763,Gartenschau Kaiserslautern,"MULTIPOLYGON (((7.7496837 49.4480162, 7.7496274 49.4480442, 7.7489827 49.4482341, 7.7485764 49.4484098, 7.7480915 49.4486546, 7.7476097 49.44911, 7.7474597 49.4494555, 7.7474246 49.4497561, 7.7475218 49.450028, 7.747693 49.4502727, 7.7480023 49.4505121, 7.7488987 49.4510021, 7.7490375 49.4510995, 7.749158 49.4511981, 7.7491999 49.4512401, 7.7492883 49.4513581, 7.7493185 49.451357, 7.749315 49.451225, 7.7496002 49.4512218, 7.7496519 49.4512209, 7.7493405 49.4499157, 7.7492794 49.4494461, 7.7493695 49.4492541, 7.7495697 49.4490979, 7.7499489 49.4489437, 7.7503357 49.4488245, 7.7508951 49.4486931, 7.751422 49.4486064, 7.7520728 49.4485836, 7.7530577 49.4485857, 7.7534782 49.4485629, 7.7537347 49.4485381, 7.7543916 49.448431, 7.7543455 49.448499, 7.754104 49.4487029, 7.7534351 49.4487276, 7.753392 49.4493831, 7.7533458 49.4500129, 7.7535629 49.4504154, 7.7537151 49.4507329, 7.7539144 49.451106, 7.7539873 49.4511007, 7.7540128 49.4511321, 7.7540638 49.4511583, 7.7545573 49.4513047, 7.7546149 49.45131, 7.7548684 49.4513065, 7.7549366 49.451324, 7.7550951 49.451371, 7.7552359 49.4511818, 7.7553445 49.4511687, 7.7553573 49.4511565, 7.7553694 49.4511476, 7.7554011 49.4511292, 7.7556504 49.4510331, 7.7558602 49.4509333, 7.7562323 49.4507038, 7.7564292 49.4504812, 7.7565393 49.450357, 7.7568809 49.4498698, 7.7569307 49.4497489, 7.7570105 49.4495556, 7.75709 49.4493628, 7.7575366 49.4484381, 7.7583388 49.4480522, 7.7582613 49.4478731, 7.7565996 49.447936, 7.7558599 49.4479339, 7.7552159 49.4478691, 7.7549606 49.4478646, 7.7544259 49.4479096, 7.7543746 49.4479231, 7.7541122 49.4479683, 7.7537527 49.4479911, 7.7534798 49.4479827, 7.7522443 49.4480995, 7.7514657 49.4481401, 7.7512249 49.4481324, 7.7510249 49.4481184, 7.750911 49.4481107, 7.7505674 49.4480377, 7.7504073 49.4479847, 7.7503325 49.4479756, 7.7500929 49.4479623, 7.7496837 49.4480162)), ((7.7501347 49.4477315, 7.7501528 49.4477623, 7.7505041 49.4476625, 7.7507325 49.4475659, 7.7510951 49.4474652, 7.751043 49.4473638, 7.7520438 49.4471643, 7.7520248 49.4471286, 7.7519321 49.4469356, 7.7519101 49.4468827, 7.7518696 49.4468123, 7.7519232 49.4467996, 7.7521036 49.4467555, 7.7520867 49.4467263, 7.7521929 49.4467003, 7.7521251 49.446583, 7.7525176 49.4464871, 7.7524351 49.4463445, 7.7515689 49.4465561, 7.7515756 49.4465677, 7.7515235 49.4465804, 7.7515033 49.4465454, 7.7508768 49.4466986, 7.7506499 49.4470033, 7.7503907 49.44719, 7.7501839 49.4473763, 7.7502155 49.4474364, 7.7502833 49.4475907, 7.7500733 49.4476333, 7.7501347 49.4477315)))",,,"[[[302810968, 1103144027, 1145343370, 1103144286, 1881062301, 302810977, 1103144437, 1721713586, 302810979, 302810981, 1881062288, 1881062290, 1881062282, 1881062273, 1812307022, 1145343249, 1145343360, 339011514, 302810983, 302810985, 1103144328, 1182569849, 1145343692, 9999470098, 9999470099, 1145343475, 1145343319, 1145343147, 338991023, 1145343248, 338991018, 5381335633, 7816973902, 1288893366, 5381335632, 5381335631, 5381335630, 5381335629, 5564693946, 5564693945, 5564693942, 5564693944, 5564693943, 5564693947, 1103144333, 1676735462, 1676735461, 1676735460, 1676735458, 1676735454, 1676735452, 1676735445, 1676735444, 1676735446, 1676735447, 1676735449, 1676735448, 1676735450, 1676735451, 1676735453, 1676735455, 1676735456, 1676735457, 1676735459, 338991014, 302810955, 9542695424, 7287927959, 1288892943, 1103144077, 1145343355, 1145343652, 1288893420, 1103143983, 1103144016, 1103144500, 302810959, 1103143922, 302810961, 1103143990, 302810964, 302810966, 1103143927, 1290175828, 302810968], [1290175767, 7192666948, 1290175706, 1290176240, 1145343584, 1145343630, 1145343605, 1145343568, 1145343157, 300067129, 1145343054, 1145343649, 1145343176, 1145343789, 1145343681, 1145343205, 1145343136, 1145343240, 1145343292, 1145343287, 1145343431, 1145343593, 1145343532, 1290176341, 1290175864, 1290176086, 1290175942, 1290176535, 1290176114, 1290175767]]]",,park,,,Q1494681,,,,,,de:Gartenschau Kaiserslautern,,,"[27579393, 770588966]",multipolygon
