element_type,osmid,amenity,parking,geometry,access,fee,layer,name,wheelchair,toilets:wheelchair,surface,created_by,capacity,capacity:disabled,alt_name,lit,maxheight,operator,level,description,source,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,park_ride,nodes,designation,type,building,building:levels,roof:levels,roof:shape,brand,brand:wikidata,brand:wikipedia,building:parts,opening_hours,operator:wikidata,operator:wikipedia,capacity:parent,capacity:women,parking:condition,parking:condition:customers,fixme,hgv,supervised,cables,ref,parking:condition:private,charge,name:etymology:wikidata,parking:lane:right,capacity:long,building:part,area,building:levels:underground,operator:type,orientation,ways
way,99170043,parking,surface,"POLYGON ((7.7532861 49.431669, 7.7533385 49.4316519, 7.7533062 49.4316101, 7.753247 49.4316295, 7.7531429 49.4314947, 7.7530896 49.4314257, 7.753144 49.431408, 7.7531118 49.4313662, 7.7530619 49.4313825, 7.7529574 49.4312472, 7.7529003 49.4311732, 7.7529529 49.431156, 7.7529195 49.4311129, 7.753087 49.4310579, 7.7537473 49.431903, 7.7535777 49.4319572, 7.7535324 49.4318985, 7.7534983 49.4318544, 7.7534432 49.4318724, 7.753343 49.4317426, 7.7532861 49.431669))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1147132200, 1147132063, 1147133838, 1147133600, 3286092395, 1147132746, 1147132537, 1147134522, 1147132546, 3286092389, 1147134545, 1147134300, 346939185, 1147134006, 1147132509, 2969104447, 2969104445, 1298232699, 1147132725, 3286092402, 1147132200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702235,parking,surface,"POLYGON ((7.7629621 49.4333211, 7.7634279 49.4334009, 7.7634077 49.4334509, 7.7635383 49.4334732, 7.7635574 49.4334259, 7.7636259 49.4334376, 7.7636903 49.4332785, 7.7637416 49.4331618, 7.7642709 49.4332683, 7.7644332 49.4334667, 7.7644056 49.4335232, 7.7643732 49.4335868, 7.7644057 49.4335938, 7.7643602 49.4336831, 7.7643944 49.4336905, 7.7643678 49.4337428, 7.764299 49.4337282, 7.7642067 49.4337086, 7.7641624 49.4336992, 7.7641383 49.4337438, 7.7632608 49.4335569, 7.7628934 49.4334949, 7.7629242 49.4334163, 7.7629621 49.4333211))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1152738208, 1152739317, 1152738330, 1152737918, 1152738352, 1152738335, 1152738709, 1152738682, 1152737998, 1152738481, 1152738778, 1152739085, 1152739161, 1152738147, 1152738859, 1152739277, 1152738572, 1152738011, 1152738720, 1152738158, 1152739271, 1152738353, 1152739211, 1152738208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702239,parking,surface,"POLYGON ((7.7663325 49.4366368, 7.7658794 49.4365208, 7.7660561 49.4362348, 7.7662461 49.4359251, 7.7664664 49.4359816, 7.7666854 49.4360383, 7.7666967 49.4360397, 7.7663325 49.4366368))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1152738379, 1152738527, 1152738632, 1152739228, 1152738744, 1152738107, 1152739065, 1152738379]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702242,parking,multi-storey,"POLYGON ((7.7666967 49.4360397, 7.7669157 49.4360962, 7.7665962 49.4366198, 7.7665515 49.4366932, 7.7663325 49.4366368, 7.7666967 49.4360397))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1152739065, 1152739112, 1152738779, 1152738318, 1152738379, 1152739065]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702270,parking,surface,"POLYGON ((7.7715148 49.4375115, 7.7714348 49.4375029, 7.7715194 49.4372129, 7.7715994 49.4372215, 7.7715148 49.4375115))",private,,,Polizeipräsidium,,,,,,,,,,,,,,,,,,,,,"[1152738232, 1152738924, 1152738476, 1152739153, 1152738232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702274,parking,surface,"POLYGON ((7.7681352 49.4348282, 7.768532 49.4349167, 7.7686601 49.4349614, 7.768764 49.4350179, 7.7688668 49.4350993, 7.7687864 49.4351339, 7.7687387 49.4351208, 7.7686923 49.4351421, 7.7685752 49.4351756, 7.768072 49.4350658, 7.7680635 49.4349688, 7.7681352 49.4348282))",customers,yes,,Kurzzeit,,,,,41,,,,,,,,,,,,,,,,"[1152738666, 1152738323, 1152738684, 1721713349, 1152739223, 1152738784, 1152738534, 1152739002, 1152738707, 1152737881, 707095341, 1152738666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702298,parking,surface,"POLYGON ((7.7639364 49.4340837, 7.7635817 49.4340039, 7.7635992 49.433971, 7.763246 49.4338915, 7.7632302 49.4339212, 7.7631441 49.4339019, 7.7630422 49.4340948, 7.7626217 49.4340095, 7.7623327 49.4340009, 7.7623356 49.4339578, 7.7621581 49.4339514, 7.7621207 49.4339332, 7.762087 49.4338996, 7.7620985 49.4337718, 7.7621247 49.4337428, 7.7621664 49.4337267, 7.7622162 49.433729, 7.762219 49.4336825, 7.7627016 49.4336982, 7.7630633 49.4337729, 7.7630814 49.433732, 7.7640179 49.4339298, 7.7639732 49.4340135, 7.7639364 49.4340837))",permissive,,,,yes,,,,,,,,,,,,,,,,,,,,"[1152739017, 1152739123, 1152738187, 1152738892, 1152737813, 1152737939, 1152738965, 1152738592, 1721713266, 1721713263, 1152738830, 1721713260, 1721713255, 1152738377, 1721713234, 1721713230, 1721713232, 1721713223, 1152738933, 1152738477, 1152738755, 1152738234, 1152738648, 1152739017]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702307,parking,multi-storey,"POLYGON ((7.7711413 49.4359212, 7.7711592 49.4358856, 7.7710291 49.4358564, 7.7710403 49.4358347, 7.7709606 49.4358174, 7.7709501 49.4358378, 7.7698202 49.4355917, 7.7698318 49.4355691, 7.7697506 49.4355514, 7.7697393 49.4355734, 7.7693204 49.4354821, 7.769328 49.4354673, 7.7692915 49.4354594, 7.769284 49.435474, 7.7692167 49.4354593, 7.7691845 49.4354523, 7.7691307 49.4355558, 7.7691097 49.4355963, 7.7710862 49.4360272, 7.7711046 49.4359924, 7.7711252 49.4359991, 7.7711407 49.4360135, 7.7711567 49.4360592, 7.7712041 49.4361049, 7.7712733 49.4361327, 7.7713545 49.4361383, 7.7714341 49.4361267, 7.7714972 49.4360928, 7.7715425 49.4360502, 7.7715487 49.435995, 7.7715297 49.4359439, 7.7714787 49.4359022, 7.7714065 49.4358758, 7.7713283 49.4358687, 7.771243 49.4358847, 7.7711856 49.4359142, 7.7711663 49.4359226, 7.7711413 49.4359212))",yes,yes,,Parkhaus Hauptbahnhof,yes,,,,359,4,,,,,,,,Kaiserslautern,,6,67663,Zollamtstraße,,,"[1152738412, 1152738723, 1152738160, 1152738571, 1152739275, 1152738360, 1152739043, 1152738060, 1152738809, 1152738210, 1152738785, 1152738334, 1152738025, 1152738687, 2694950410, 1152738906, 2694950414, 1152737981, 1152738494, 1152739104, 1152738640, 1152739137, 1152738212, 1152738349, 1152739150, 1152738760, 1152738464, 1152739030, 1152737973, 1152738255, 1152738676, 1152738948, 1152738305, 1152739267, 1152738774, 1152737906, 1152738166, 1152738412]",,,,,,,,,,,"Mo-Su,PH 00:00+",,,,,,,,,,,,,,,,,,,,,,
way,99855842,parking,,"POLYGON ((7.7508668 49.4414983, 7.7512796 49.4419168, 7.7514864 49.4418305, 7.7515495 49.4418042, 7.7514792 49.4417329, 7.7514562 49.4417096, 7.7514993 49.4416916, 7.7513623 49.4415527, 7.7512081 49.4413964, 7.7511799 49.4413678, 7.7508668 49.4414983))",,,,,,,,,,,,,,,,,,,,,,,,,"[1154354630, 1154355209, 951494198, 1154355266, 1154354200, 1154355002, 1154354976, 1154354871, 1154354864, 1154354958, 1154354630]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99855895,parking,surface,"POLYGON ((7.7584226 49.4397417, 7.7582069 49.439893, 7.7582369 49.4399148, 7.7583104 49.4399535, 7.7584724 49.4400469, 7.758584 49.4401113, 7.7587341 49.4401979, 7.7588982 49.4402925, 7.7589463 49.4403208, 7.7589999 49.4403507, 7.7591622 49.4404453, 7.7593324 49.4405445, 7.7594118 49.4405878, 7.7595827 49.4406878, 7.7596406 49.4407198, 7.7597061 49.4407561, 7.7598456 49.4406497, 7.759872 49.4406281, 7.759816 49.4405919, 7.7591333 49.4401797, 7.7584626 49.4397653, 7.7584226 49.4397417))",yes,yes,,,,,,,,,,,,,,,,,,,,,,,"[1156282600, 1154354308, 281181578, 1156282674, 1156283346, 1156282611, 1156283150, 1156282802, 281181579, 1156282776, 1156283267, 1156282864, 1156283133, 1156283244, 281181576, 1154355106, 1156283097, 1154355227, 1154354232, 1158939054, 1154354971, 1156282600]",,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
way,99855898,parking,multi-storey,"POLYGON ((7.7504009 49.4411582, 7.7505777 49.4412766, 7.7507018 49.4413616, 7.7508668 49.4414983, 7.7511799 49.4413678, 7.7512759 49.4413246, 7.7510463 49.4411131, 7.7508997 49.4410007, 7.7507602 49.4409062, 7.7504009 49.4411582))",,,,,,,,,,,,,,,,,,Kaiserslautern,DE,,67655,,,,"[1154354764, 1154354379, 1154354615, 1154354630, 1154354958, 1154354364, 1154354507, 1154354123, 1154355133, 1154354764]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99855912,parking,multi-storey,"POLYGON ((7.7548354 49.4415369, 7.7547325 49.4415237, 7.7545772 49.4414422, 7.7545362 49.4414753, 7.7543749 49.441391, 7.7546801 49.4411442, 7.7557138 49.4416846, 7.7556331 49.4417499, 7.7555713 49.4417998, 7.7549267 49.4414629, 7.7548354 49.4415369))",yes,yes,,Parkhaus Westpfalz-Klinikum,,,paving_stones,,,,,yes,,,,,,,,,,,,,"[1154354572, 1154355142, 1154354888, 1154355167, 1154354784, 1154354124, 1154354969, 1154354995, 1154355232, 1154355029, 1154354572]",,,yes,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
way,99950826,parking,surface,"POLYGON ((7.766957 49.4459153, 7.7669928 49.4462973, 7.7670794 49.4462938, 7.7670435 49.4459119, 7.766957 49.4459153))",,yes,,,yes,,,,,,,,,,,,,,,,,,,,"[1155394857, 1214664175, 1214664225, 1214664584, 1155394857]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99994354,parking,surface,"POLYGON ((7.7996755 49.4561931, 7.7997205 49.4562466, 7.7999506 49.4563334, 7.799924 49.4563709, 7.8001114 49.4564415, 7.8000858 49.4564702, 7.8002386 49.4565278, 7.8002186 49.4565503, 7.8002656 49.4565668, 7.8002904 49.456529, 7.8003928 49.4565506, 7.8004181 49.456536, 7.8006428 49.4566217, 7.800573 49.4567, 7.8007122 49.4567499, 7.8007425 49.4567176, 7.800905 49.4567803, 7.8009325 49.4567495, 7.8011237 49.4568216, 7.8011642 49.4567763, 7.8013799 49.4568585, 7.8014697 49.4568764, 7.8016263 49.4567662, 7.8015382 49.4566734, 7.8002401 49.4558365, 7.7996755 49.4561931))",permissive,,,,yes,,,,,,,,,,,,,,,,,,,,"[1156186877, 1738104990, 1738104994, 2889601760, 2889601761, 2889601762, 2889601763, 2889601764, 2889601765, 2889601766, 1738105013, 1738105030, 1132763196, 1132763732, 1132762345, 1132762937, 1132762660, 1132763398, 1132763594, 1132762567, 1132762528, 1738105070, 1156186879, 1738105041, 1156186858, 1156186877]",,,,,,,,,,,,,,,,customers,UCI Kinowelt Kaiserslautern,,,,,,,,,,,,,,,,
way,99994357,parking,surface,"POLYGON ((7.8026372 49.4567274, 7.8025624 49.4567319, 7.8023195 49.4568993, 7.8027838 49.4572139, 7.8029448 49.4571137, 7.8026326 49.4568969, 7.8027027 49.4568588, 7.8026715 49.4568405, 7.8027414 49.4567937, 7.8026372 49.4567274))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1156186865, 1738105046, 1156186861, 1156186872, 1156186852, 1156186867, 1156186876, 1156186850, 1156186856, 1156186865]",,,,,,,,,,,,,,,,customers,Burger King,,,,,,,,,,,,,,,,
way,100008850,parking,surface,"POLYGON ((7.7585436 49.4431353, 7.7590527 49.4431918, 7.7590734 49.443103, 7.7592091 49.4430336, 7.7591842 49.4429846, 7.7590762 49.4429277, 7.7586296 49.4428818, 7.7585436 49.4431353))",,yes,,,yes,,,,,,,,,,,,,,,,,,,,"[1156283154, 1156283028, 281181608, 1156282182, 1851358947, 1156282869, 1156282689, 1156283154]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100008864,parking,,"POLYGON ((7.7599952 49.4401887, 7.7598933 49.4401318, 7.7598067 49.4400835, 7.7598917 49.4400191, 7.760072 49.4398825, 7.760137 49.4399188, 7.7601898 49.4398788, 7.7602114 49.4398909, 7.7603133 49.4399477, 7.7599952 49.4401887))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1156282210, 1156283050, 1156282741, 1156282460, 1156282514, 1156282269, 1156282930, 1156282099, 1156282578, 1156282210]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100009036,parking,,"POLYGON ((7.7575354 49.4401552, 7.757981 49.4398242, 7.7579281 49.4397924, 7.7574798 49.4401303, 7.7575354 49.4401552))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1156283043, 1156282442, 1156283087, 1156282886, 1156283043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100009048,parking,,"POLYGON ((7.7574137 49.4399385, 7.7573287 49.4398893, 7.7572299 49.4398328, 7.7576941 49.4395335, 7.7577829 49.4395865, 7.7577309 49.4396219, 7.7578184 49.4396797, 7.7574137 49.4399385))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1156283263, 1156283120, 1156282318, 1156282970, 1156282811, 1156283277, 1156282370, 1156283263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131054,parking,,"POLYGON ((7.735663 49.4064199, 7.7351663 49.4063097, 7.7349497 49.4062557, 7.7346964 49.4061926, 7.7344505 49.4061263, 7.7344694 49.4060802, 7.735218 49.4062655, 7.7356507 49.406364, 7.735663 49.4064199))",,,,,,,,,,,,,,,,,,,,,,,,,"[1157475815, 2261328080, 2261328068, 1324708488, 1157476204, 1157476078, 2261328071, 1157475941, 1157475815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131056,parking,,"POLYGON ((7.7233593 49.4062622, 7.7231804 49.4063418, 7.7235243 49.4066474, 7.7237428 49.4065329, 7.7237143 49.4065019, 7.7235776 49.4064053, 7.7234864 49.4063763, 7.7233593 49.4062622))",designated,,,,,,,,,,,,,,,,,,,,,,,,"[1157475807, 1157476195, 1157475591, 6395812407, 1157476419, 2231581573, 2231581546, 1157475807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131058,parking,,"POLYGON ((7.7270048 49.4047827, 7.7266586 49.4048939, 7.7265715 49.404798, 7.7263557 49.4045724, 7.7266767 49.4044646, 7.7270048 49.4047827))",,no,,,,,,,,,,,,,,,,,,,,,,,"[1157476325, 1157476187, 2229315822, 1157476064, 1157475928, 1157476325]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131086,parking,street_side,"POLYGON ((7.755852 49.4372354, 7.7566767 49.4380363, 7.7577077 49.4375922, 7.7570326 49.4372274, 7.7570152 49.4372377, 7.7566857 49.437477, 7.7560319 49.4370963, 7.755852 49.4372354))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1157476293, 1157475752, 1120394975, 1157476404, 1157475598, 1157475914, 1157476425, 1157476293]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131107,parking,surface,"POLYGON ((7.7556158 49.4369986, 7.756498 49.4363299, 7.7564344 49.4362952, 7.7560329 49.4360618, 7.7559687 49.4360245, 7.7556997 49.4362193, 7.7557538 49.4362507, 7.755608 49.4363568, 7.7555594 49.4363285, 7.7555281 49.4363513, 7.755307 49.4362228, 7.7552408 49.4361894, 7.7552845 49.4361646, 7.755144 49.4360832, 7.7553737 49.4359155, 7.7552862 49.4358647, 7.7551969 49.4358132, 7.7550046 49.4359541, 7.7550203 49.4359632, 7.7549653 49.4360036, 7.7549083 49.4359707, 7.7549262 49.4359576, 7.7545498 49.4357405, 7.7545021 49.4357712, 7.7544685 49.4357907, 7.7545073 49.4358158, 7.7544233 49.4358706, 7.7544818 49.4359085, 7.7544383 49.4359369, 7.7544121 49.4359523, 7.7550193 49.4364261, 7.7556158 49.4369986))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1157476208, 1157475639, 1157475866, 1157476387, 1157476503, 1157475851, 1157476373, 1157475933, 1157476193, 1157475806, 1157476332, 1157476314, 1157476295, 1157476029, 1157475894, 1157476330, 1157475801, 1157476202, 1157476076, 1157476191, 1157475938, 1157476343, 1157476137, 1157475619, 1157476394, 1157476019, 1157476512, 1157475709, 1157476254, 1885028665, 3087361553, 1157476208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131157,parking,surface,"POLYGON ((7.7558271 49.4372054, 7.7556444 49.4370209, 7.7558102 49.4368915, 7.7558779 49.4369252, 7.7560447 49.4370169, 7.7560681 49.4370282, 7.7558271 49.4372054))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1157475912, 1157476276, 1157476145, 1157475715, 1157475992, 1157475872, 1157475912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131172,parking,surface,"POLYGON ((7.754341 49.4358739, 7.7543274 49.4358843, 7.7538126 49.4354943, 7.7539775 49.4354025, 7.7541246 49.4355121, 7.7545622 49.4352638, 7.7549187 49.43547, 7.7548124 49.435548, 7.7547271 49.4354992, 7.7546028 49.4354319, 7.7542999 49.435654, 7.7544489 49.43574, 7.7545021 49.4357712, 7.7544685 49.4357907, 7.7543845 49.4358455, 7.754341 49.4358739))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1157475879, 1885028663, 1157476255, 1157475660, 1157476089, 1157475990, 1157476361, 1157475651, 1157475917, 1157475873, 1157476248, 1157476462, 1157475619, 1157476394, 2398657224, 1157475879]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100271182,parking,surface,"POLYGON ((7.760695 49.4359659, 7.7605907 49.435916, 7.7604542 49.4358608, 7.7607068 49.4356699, 7.7608507 49.43571, 7.7608279 49.4357563, 7.7607207 49.4359745, 7.760695 49.4359659))",yes,no,,,,,,,,,,,,,,,,,,,,,,,"[1158940251, 1158940138, 1158939394, 1158939846, 1158938883, 1158939655, 1158939493, 1158940251]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100970805,parking,,"POLYGON ((7.7682559 49.4412907, 7.7683453 49.4413451, 7.7685048 49.4414424, 7.7685479 49.4414687, 7.7684689 49.4415177, 7.7684528 49.4415277, 7.7684256 49.4415446, 7.7683583 49.4415863, 7.7683137 49.4415463, 7.7683393 49.4415293, 7.7682128 49.4414499, 7.7681048 49.441382, 7.7682559 49.4412907))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1166352137, 1166352012, 1166351770, 1166351730, 1166351860, 1166351996, 1166351939, 1166351849, 1166351906, 1166352050, 1166351830, 1166352075, 1166352137]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100970816,parking,surface,"POLYGON ((7.7683692 49.4419042, 7.7681315 49.4416856, 7.7682134 49.4416229, 7.7682952 49.4415603, 7.7683137 49.4415463, 7.7683583 49.4415863, 7.7684007 49.4416242, 7.7682969 49.4417016, 7.7684266 49.4418092, 7.7684936 49.4418834, 7.7683692 49.4419042))",private,,,,,,,,,,,,,,,,,,,,,,,,"[1166352044, 1166351783, 1166351898, 1166352093, 1166351906, 1166351849, 1166351858, 1166352450, 1166352265, 1166351975, 1166352044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102209392,parking,surface,"POLYGON ((7.7790388 49.4479313, 7.7788346 49.4477819, 7.7788583 49.4477672, 7.7780723 49.4472098, 7.7779457 49.4472396, 7.7775667 49.4473292, 7.7775123 49.447341, 7.7776153 49.4474129, 7.777515 49.4474736, 7.7775458 49.4474959, 7.7777774 49.4476641, 7.7778735 49.4476082, 7.7777963 49.4475522, 7.7778588 49.4475158, 7.777802 49.4474746, 7.7779584 49.4473836, 7.7784293 49.4477258, 7.7787346 49.4479476, 7.77872 49.4480422, 7.7788664 49.4480517, 7.7790164 49.4480621, 7.7790296 49.4479974, 7.7790388 49.4479313))",customers,no,,,,,,,,,,,,,,,,,,,,,,,"[1179547109, 9187287705, 9187287706, 1179547111, 1179271290, 9187287709, 1179547112, 1205660151, 1204297099, 1204297158, 1204297207, 1204296948, 1204297062, 1204297130, 1204296988, 1204296888, 1205660295, 1205660021, 9187287704, 1205660042, 1179547114, 1179271291, 1179547109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272086,parking,surface,"POLYGON ((7.7122994 49.4416601, 7.7121351 49.4420805, 7.7119582 49.442533, 7.7130076 49.4427064, 7.7129718 49.4427981, 7.7132207 49.4428392, 7.7132806 49.4428491, 7.7132063 49.443023, 7.7127095 49.4429017, 7.7122009 49.4427789, 7.7120952 49.4427521, 7.7119552 49.442691, 7.7117385 49.4425596, 7.7115016 49.4423451, 7.7112705 49.4420805, 7.7111605 49.4418382, 7.7112141 49.4417109, 7.7114512 49.4416183, 7.7115403 49.4415838, 7.7116577 49.4415708, 7.7118897 49.4415835, 7.7122994 49.4416601))",permissive,,,,yes,,,,,,,,,,,,,,,,,,,,"[1179616633, 1180604025, 1179616629, 1180604699, 1180604623, 5044460798, 1180604719, 1180604630, 1180604287, 1180604175, 5044460804, 1180604925, 1180605209, 1180605243, 1180605231, 5044490215, 5044490216, 1180604080, 1180604586, 1180603962, 1180604776, 1179616633]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272112,parking,surface,"POLYGON ((7.713285 49.4409776, 7.7133021 49.4409344, 7.7126524 49.4408426, 7.7125762 49.4410839, 7.7127931 49.4411128, 7.7128538 49.4409167, 7.713285 49.4409776))",customers,no,,,yes,,,,,,,,,,,,,,,,,,,,"[1180605172, 1180604638, 1180605046, 1180605212, 1180603944, 1180605020, 1180605172]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272113,parking,,"POLYGON ((7.7181164 49.4438448, 7.7178639 49.4437782, 7.7180697 49.4434484, 7.7182705 49.4435014, 7.7183223 49.443515, 7.7181164 49.4438448))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1180604341, 1180604124, 1180604372, 1180604552, 1180604720, 1180604341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272130,parking,,"POLYGON ((7.7169614 49.442134, 7.7170516 49.4419318, 7.7171 49.4419399, 7.7173981 49.4419872, 7.7176964 49.4420346, 7.7177184 49.4420385, 7.7176465 49.4422319, 7.7169614 49.442134))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1180605151, 1180604620, 1180604648, 2101282622, 1180604413, 3697650218, 1180604707, 1180605151]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272137,parking,surface,"POLYGON ((7.7160606 49.4419916, 7.715827 49.4419531, 7.7159076 49.4417194, 7.7161189 49.4411615, 7.7161958 49.4411731, 7.7159906 49.4417041, 7.7163121 49.441764, 7.7162633 49.4418911, 7.7167976 49.4419779, 7.7168463 49.4418512, 7.7164434 49.4417857, 7.7164716 49.4417124, 7.7165043 49.4417178, 7.7166426 49.4413579, 7.7167384 49.4411226, 7.7169228 49.4411691, 7.7169893 49.4411971, 7.7170257 49.4412468, 7.7171646 49.4412692, 7.7171918 49.4411992, 7.7172565 49.4412105, 7.7173221 49.4412215, 7.7170516 49.4419318, 7.7169614 49.442134, 7.7168698 49.4421195, 7.7160606 49.4419916))",customers,,,,limited,,,,,,,,,,,,,,,,,,,,"[1180605342, 1180603940, 1180604073, 1292970918, 1292971173, 1292970996, 1180605263, 1180604875, 1180604691, 1180603961, 1180605447, 1180605286, 1180604219, 1180604327, 1180604340, 1292971227, 1180604793, 1180604885, 1292971167, 1292970911, 1292971042, 1180605323, 1180604620, 1180605151, 10314763118, 1180605342]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272139,parking,surface,"POLYGON ((7.7152171 49.4420643, 7.7147365 49.4433914, 7.7143009 49.4433223, 7.7146587 49.4424202, 7.7146593 49.4419648, 7.7152171 49.4420643))",permissive,,,,yes,,,,,,,,,,,,,,,,,,,,"[1180604095, 1180605408, 1180604787, 1180605287, 1180605448, 1180604095]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272169,parking,surface,"POLYGON ((7.7127715 49.441418, 7.713698 49.4415709, 7.7142851 49.4416704, 7.7143517 49.4416728, 7.7144006 49.4416608, 7.7144362 49.4416441, 7.7144544 49.4416271, 7.714522 49.4414478, 7.7145972 49.4414628, 7.7147456 49.4410718, 7.7145951 49.4410476, 7.7144619 49.4413837, 7.7138047 49.4412789, 7.7137466 49.4414376, 7.7136722 49.4414281, 7.7133356 49.4413766, 7.7132819 49.4413489, 7.7130253 49.4413126, 7.7130187 49.4413324, 7.712875 49.4413121, 7.7127931 49.4413601, 7.7127715 49.441418))",customers,no,,,yes,,,,,,,,,,,,,,,,,,,,"[1180604281, 3697650195, 1180604031, 1180604292, 1180604741, 1180604848, 1180605378, 1180604768, 1180605245, 1180605411, 1180604314, 1180605074, 1180604086, 1180604198, 1180604949, 1180605072, 1180605175, 1180604814, 1180605501, 1180604839, 1180604986, 1180604281]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272187,parking,,"POLYGON ((7.7170311 49.4424623, 7.7164774 49.4423745, 7.7165317 49.4422298, 7.7170854 49.4423177, 7.7170311 49.4424623))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[1180605250, 1180604953, 1180604446, 1180605444, 1180605250]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272214,parking,,"POLYGON ((7.7184152 49.4423202, 7.7184262 49.4422062, 7.719118 49.4422344, 7.719107 49.4423484, 7.7184152 49.4423202))",permissive,,,,yes,,,,,,,,,,,,,,,,,,,,"[1180604738, 1180605025, 1180604053, 1180604833, 1180604738]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102355755,parking,,"POLYGON ((7.7678766 49.4469298, 7.7679187 49.44683, 7.7676326 49.4467791, 7.7675885 49.4468836, 7.7674815 49.4468646, 7.767396 49.4470815, 7.7674774 49.4470654, 7.7678306 49.4470516, 7.7681752 49.4470559, 7.7682728 49.4470696, 7.768316 49.446963, 7.7680283 49.4469089, 7.7680077 49.446954, 7.7678766 49.4469298))",restricted,,,,,,,,,,,,,,,,,,,,,,,,"[1821282028, 3326046024, 1179279411, 1291452971, 1291453089, 1179279409, 1291452914, 1291452863, 1291452906, 1181866448, 1291453051, 1821282025, 1821282031, 1821282028]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102369200,parking,,"POLYGON ((7.7685399 49.4469934, 7.7687787 49.4465213, 7.7688604 49.4465373, 7.7686156 49.4470086, 7.7685399 49.4469934))",yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,"[1179279415, 1107512483, 1107512576, 1107512614, 1179279415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
