osmid,y,x,street_count,ref,highway,geometry
4801407413,49.233515,6.9696594,3,,,POINT (6.9696594 49.233515)
4801407414,49.2334099,6.9674639,3,,,POINT (6.9674639 49.2334099)
4801407415,49.2330971,6.9710724,1,,,POINT (6.9710724 49.2330971)
4801407416,49.2332025,6.9699962,3,,,POINT (6.9699962 49.2332025)
4801407422,49.2328402,6.9709066,1,,,POINT (6.9709066 49.2328402)
4801407428,49.2335781,6.9675256,3,,,POINT (6.9675256 49.2335781)
4801407432,49.2332751,6.9674717,3,,,POINT (6.9674717 49.2332751)
4801418683,49.2335187,6.9718141,3,,,POINT (6.9718141 49.2335187)
4801438196,49.2336634,6.9736734,3,,,POINT (6.9736734 49.2336634)
4801438210,49.2336458,6.9730929,3,,,POINT (6.9730929 49.2336458)
4805068696,49.2063293,7.0218545,1,,,POINT (7.0218545 49.2063293)
4805069539,49.2066952,7.0236583,2,,,POINT (7.0236583 49.2066952)
4805069542,49.2056768,7.022766,2,,,POINT (7.022766 49.2056768)
4805072417,49.2073903,7.0232197,1,,,POINT (7.0232197 49.2073903)
4805082031,49.2067969,7.0225129,1,,,POINT (7.0225129 49.2067969)
4810214404,49.2415441,7.0014869,3,,,POINT (7.0014869 49.2415441)
4824739442,49.2127968,6.9512983,3,,,POINT (6.9512983 49.2127968)
4951133283,49.2337774,7.0440147,1,,,POINT (7.0440147 49.2337774)
4951142889,49.2107018,6.9682228,3,,,POINT (6.9682228 49.2107018)
4951142891,49.2113124,6.9661893,3,,,POINT (6.9661893 49.2113124)
4951142893,49.2106523,6.9657396,3,,,POINT (6.9657396 49.2106523)
4951142897,49.2111563,6.9688252,4,,,POINT (6.9688252 49.2111563)
4951142898,49.2115243,6.9663796,3,,,POINT (6.9663796 49.2115243)
4951142899,49.2107613,6.9683008,3,,,POINT (6.9683008 49.2107613)
4951142900,49.2109358,6.9698685,1,,,POINT (6.9698685 49.2109358)
4951142902,49.2114422,6.966623,1,,,POINT (6.966623 49.2114422)
4951142903,49.2110148,6.966253,3,,,POINT (6.966253 49.2110148)
4951142904,49.211246,6.9673096,1,,,POINT (6.9673096 49.211246)
4951142905,49.210277,6.9691684,1,,,POINT (6.9691684 49.210277)
4951170248,49.2108423,6.9639359,3,,,POINT (6.9639359 49.2108423)
4951212117,49.2121201,6.967594,1,,,POINT (6.967594 49.2121201)
4951216021,49.2119217,6.9668711,3,,,POINT (6.9668711 49.2119217)
4951216023,49.212242,6.9672533,3,,,POINT (6.9672533 49.212242)
4951216026,49.2125163,6.9663866,1,,,POINT (6.9663866 49.2125163)
4951216032,49.21167,6.9677331,1,,,POINT (6.9677331 49.21167)
4951216035,49.2119603,6.966769,3,,,POINT (6.966769 49.2119603)
4951216036,49.2117723,6.9672663,1,,,POINT (6.9672663 49.2117723)
4951216881,49.2118767,6.9682186,1,,,POINT (6.9682186 49.2118767)
4951218215,49.2107115,6.9674473,1,C1,,POINT (6.9674473 49.2107115)
4951218217,49.2105731,6.9671806,1,,,POINT (6.9671806 49.2105731)
4951219428,49.2100668,6.9670974,3,,,POINT (6.9670974 49.2100668)
4951219435,49.2104483,6.9678899,3,,,POINT (6.9678899 49.2104483)
4951219438,49.2103566,6.967764,3,,,POINT (6.967764 49.2103566)
4952887248,49.2761086,7.0228484,3,,,POINT (7.0228484 49.2761086)
4952887257,49.2770974,7.0234813,1,,,POINT (7.0234813 49.2770974)
4952887259,49.2768374,7.0196886,3,,,POINT (7.0196886 49.2768374)
4952887264,49.2767845,7.0239795,3,,,POINT (7.0239795 49.2767845)
4952887267,49.2759555,7.0231547,3,,,POINT (7.0231547 49.2759555)
4952887268,49.2758409,7.0227491,1,,,POINT (7.0227491 49.2758409)
4952887270,49.2758952,7.0232185,1,,,POINT (7.0232185 49.2758952)
4952887279,49.2773003,7.0247543,3,,,POINT (7.0247543 49.2773003)
4952887311,49.2776573,7.0201742,1,,,POINT (7.0201742 49.2776573)
4952887315,49.2771236,7.024514,3,,,POINT (7.024514 49.2771236)
4952901565,49.2779338,7.0245113,1,,,POINT (7.0245113 49.2779338)
4952901582,49.2781613,7.0252731,1,,,POINT (7.0252731 49.2781613)
4952901593,49.2776651,7.0251399,3,,,POINT (7.0251399 49.2776651)
4952901612,49.2779455,7.0254181,3,,,POINT (7.0254181 49.2779455)
4952912239,49.277469,7.0239524,1,,,POINT (7.0239524 49.277469)
4952912255,49.2774421,7.024506,1,,,POINT (7.024506 49.2774421)
4959866406,49.2327129,6.9737069,1,,,POINT (6.9737069 49.2327129)
4959866411,49.2323922,6.9729293,3,,,POINT (6.9729293 49.2323922)
4959866412,49.2328874,6.9737073,3,,,POINT (6.9737073 49.2328874)
4983904972,49.2145529,6.9671121,3,,,POINT (6.9671121 49.2145529)
4983904996,49.2168629,6.9814405,3,,,POINT (6.9814405 49.2168629)
4989823527,49.2048154,7.0572081,3,,,POINT (7.0572081 49.2048154)
4989823528,49.2050335,7.0567663,3,,,POINT (7.0567663 49.2050335)
4995222735,49.2550999,6.9593068,3,,,POINT (6.9593068 49.2550999)
4995222736,49.2551334,6.9594629,1,,,POINT (6.9594629 49.2551334)
4996334781,49.2445701,6.9661257,1,,,POINT (6.9661257 49.2445701)
4996334782,49.2445314,6.9656836,3,,,POINT (6.9656836 49.2445314)
4996338286,49.2435949,6.9656847,1,,,POINT (6.9656847 49.2435949)
5000072478,49.2454603,6.9665715,1,,,POINT (6.9665715 49.2454603)
5000072481,49.2452638,6.9661554,3,,,POINT (6.9661554 49.2452638)
5000072487,49.2455309,6.9662975,3,,,POINT (6.9662975 49.2455309)
5000072489,49.2451639,6.9665336,1,,,POINT (6.9665336 49.2451639)
5000086447,49.2461706,6.9639116,3,,,POINT (6.9639116 49.2461706)
5000086449,49.246098,6.9632984,3,,,POINT (6.9632984 49.246098)
5000101190,49.2426858,6.9656237,3,,,POINT (6.9656237 49.2426858)
