element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
way,476056032,,parking_space,,,,"POLYGON ((6.9359535 49.2456287, 6.9359158 49.245628, 6.9359181 49.2455759, 6.9359557 49.2455766, 6.9359535 49.2456287))","[4697119339, 4697119341, 4697119342, 4697119340, 4697119339]",yes,,
way,476056033,,parking_space,,,,"POLYGON ((6.9359158 49.245628, 6.935879 49.2456274, 6.9358813 49.2455751, 6.9359181 49.2455759, 6.9359158 49.245628))","[4697119341, 4697119343, 4697119344, 4697119342, 4697119341]",yes,,
way,476056034,,parking_space,,,,"POLYGON ((6.935879 49.2456274, 6.9358466 49.245627, 6.9358485 49.2455745, 6.9358813 49.2455751, 6.935879 49.2456274))","[4697119343, 4697119345, 4697119346, 4697119344, 4697119343]",yes,,
way,476056035,,parking_space,,,,"POLYGON ((6.9358466 49.245627, 6.9358105 49.2456264, 6.9358124 49.2455739, 6.9358485 49.2455745, 6.9358466 49.245627))","[4697119345, 4697119347, 4697119294, 4697119346, 4697119345]",yes,,
way,1133937054,,parking_space,,,,"POLYGON ((7.001909 49.2340348, 7.0019529 49.2340186, 7.0019181 49.2339787, 7.0018738 49.233995, 7.001909 49.2340348))","[10571713426, 10571713431, 10571713429, 10571713425, 10571713426]",,1,disabled
way,1133937055,,parking_space,,,,"POLYGON ((7.001841 49.23406, 7.001855 49.2340548, 7.0018847 49.2340438, 7.0018875 49.2340428, 7.0018523 49.234003, 7.0018058 49.2340202, 7.001841 49.23406))","[10571684750, 10571713434, 10571713432, 10571713428, 10571713427, 10571713457, 10571684750]",,1,disabled
way,1133937056,,parking_space,,,,"POLYGON ((7.0019529 49.2340186, 7.0019848 49.2340068, 7.00195 49.2339668, 7.0019181 49.2339787, 7.0019529 49.2340186))","[10571713431, 1670936732, 10571713430, 10571713429, 10571713431]",,1,normal
way,1133937057,,parking_space,,,,"POLYGON ((7.0018881 49.2340928, 7.0019173 49.2340819, 7.0018847 49.2340438, 7.001855 49.2340548, 7.0018881 49.2340928))","[10571713435, 10571713433, 10571713432, 10571713434, 10571713435]",,1,normal
way,1133937058,,parking_space,,,,"POLYGON ((7.0018589 49.2341038, 7.0018881 49.2340928, 7.001855 49.2340548, 7.001841 49.23406, 7.0018253 49.2340658, 7.0018589 49.2341038))","[10571713438, 10571713435, 10571713434, 10571684750, 10571713437, 10571713438]",,1,normal
way,1133937059,,parking_space,,,,"POLYGON ((7.0018296 49.2341148, 7.0018589 49.2341038, 7.0018253 49.2340658, 7.0018117 49.2340708, 7.0017983 49.2340757, 7.0017956 49.2340767, 7.0018296 49.2341148))","[10571713439, 10571713438, 10571713437, 10571713458, 10571713460, 10571713436, 10571713439]",,1,normal
way,1133937060,,parking_space,,,,"POLYGON ((7.0017865 49.234131, 7.0018157 49.23412, 7.0017816 49.2340819, 7.001769 49.2340866, 7.0017526 49.2340926, 7.0017865 49.234131))","[10571713443, 10571713441, 10571713440, 10571713462, 10571713442, 10571713443]",,1,normal
