element_type,osmid,geometry,amenity,addr:city,addr:housenumber,addr:postcode,addr:street,operator,nodes,addr:country,addr:suburb,building,building:levels,name,contact:website,roof:levels,roof:shape,height,building:colour,roof:colour,note,alt_name,building:material,opening_hours,phone,roof:orientation,short_name,source,website,building:use,office,old_name,disused:amenity,ruins
way,89058422,"POLYGON ((6.9561436 49.2526383, 6.9562787 49.2526112, 6.956244 49.2525373, 6.9561089 49.2525644, 6.9561436 49.2526383))",,Saarbrücken,26,66113,Moselstraße,,"[1033361612, 1033362174, 1033361882, 1033361649, 1033361612]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058434,"POLYGON ((6.9556946 49.2527492, 6.9558188 49.2527194, 6.9557772 49.2526456, 6.955653 49.2526755, 6.9556946 49.2527492))",,Saarbrücken,30,66113,Moselstraße,,"[1033361626, 1033361509, 1033361913, 1033361617, 1033361626]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89220042,"POLYGON ((7.0378427 49.2527582, 7.0378206 49.2528595, 7.0379708 49.2528734, 7.0379786 49.2528374, 7.0379929 49.2527721, 7.0378427 49.2527582))",,Saarbrücken,B6 4,66123,Campus,,"[10649824073, 1035553016, 1035552837, 6049420399, 10649824072, 10649824073]",,,residential,,,,,,10 m,,,,,,,,,,,,,,,,
way,89838901,"POLYGON ((7.009088 49.2226054, 7.0089077 49.2226902, 7.0086181 49.2228264, 7.008283 49.222984, 7.0081566 49.2230434, 7.0077358 49.2226759, 7.0078484 49.2226126, 7.008163 49.2228846, 7.0089807 49.2225077, 7.009088 49.2226054))",,,,,,,"[1041391759, 7526629229, 7526629213, 7526629215, 1041391656, 1041391709, 1041391776, 1041391827, 1041391626, 1041391759]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,90638890,"POLYGON ((7.0031288 49.2331335, 7.0030411 49.2331502, 7.0029429 49.2329378, 7.002967 49.2329312, 7.0031565 49.2328873, 7.0031805 49.2328818, 7.003222 49.2329715, 7.003238 49.2329683, 7.003245 49.2329834, 7.0032613 49.2330187, 7.0032451 49.2330219, 7.0032817 49.233101, 7.0032015 49.2331171, 7.0032182 49.2331532, 7.0031446 49.2331677, 7.0031288 49.2331335))",,Saarbrücken,4,66111,Kleine Rosenstraße,,"[1051969244, 1051969279, 1051969246, 2027894501, 2027894467, 1051969260, 8680626230, 8680626229, 8680626226, 8680626228, 8680626227, 1051969267, 1051969274, 1051969242, 1051969258, 1051969244]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,91392896,"POLYGON ((6.9726371 49.2312951, 6.9727775 49.2312609, 6.9727214 49.2311606, 6.972581 49.2311949, 6.9726371 49.2312951))",,Saarbrücken,3,66117,Pfählerstraße,,"[1061696291, 1061696418, 2988949553, 2988949554, 1061696291]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92017494,"POLYGON ((7.0068021 49.223824, 7.0067213 49.2238752, 7.0067661 49.2239053, 7.0068143 49.2239377, 7.0068948 49.2238884, 7.0068021 49.223824))",,Saarbrücken,7,66119,Koßmannstraße,,"[2206933393, 1068943627, 7580935130, 1068943236, 2206933394, 2206933393]",,,residential,2,,,1,,,white,black,,,,,,,,,,,,,,
way,92017512,"POLYGON ((7.0053775 49.224111, 7.0054639 49.2241894, 7.0056467 49.2241034, 7.0055603 49.2240251, 7.005471 49.224067, 7.0053775 49.224111))",,Saarbrücken,18,66119,Puccinistraße,,"[1068943186, 1068943383, 1068943660, 1068943731, 7580937193, 1068943186]",,St. Arnual,residential,2,,,1,,,white,red,,,,,,,,,,,,,,
way,92017524,"POLYGON ((7.0058062 49.2240024, 7.0058938 49.2240584, 7.0059659 49.2241046, 7.0060781 49.2240299, 7.0059184 49.2239276, 7.0058062 49.2240024))",,Saarbrücken,2,66119,Koßmannstraße,,"[1068943262, 7580935124, 1068943112, 1068943792, 1068943507, 1068943262]",,St. Arnual,residential,2,,,1,,,,,,,,,,,,,,,,,,
way,92017529,"POLYGON ((7.0052499 49.224007, 7.0053187 49.2240692, 7.0054009 49.2240288, 7.0054822 49.2239888, 7.0054123 49.2239255, 7.0052499 49.224007))",,Saarbrücken,16,66119,Puccinistraße,,"[2286700491, 1068943143, 7580937198, 1068943289, 2286700490, 2286700491]",,St. Arnual,residential,2,,,1,,,white,red,semidetached_house,,,,,,,,,,,,,
way,92017530,"POLYGON ((7.0048678 49.2241605, 7.0048951 49.2241835, 7.0048536 49.2242045, 7.0049126 49.2242541, 7.0050269 49.2241963, 7.0051286 49.2241448, 7.0050409 49.2240708, 7.0048678 49.2241605))",,Saarbrücken,19,66119,Puccinistraße,,"[2282190851, 2282190849, 2282190845, 1068943713, 7580937197, 1068943427, 2282190847, 2282190851]",,St. Arnual,residential,2,,,1,,,,red,semidetached_house,,,,,,,,,,,,,
way,92017539,"POLYGON ((7.006488 49.2240316, 7.0065298 49.2240594, 7.0066156 49.2241164, 7.0067241 49.2240468, 7.0066814 49.2240193, 7.0065966 49.223962, 7.006488 49.2240316))",,Saarbrücken,5,66119,Koßmannstraße,,"[1068943094, 7580935127, 1068943250, 1068943487, 7580935129, 1068943558, 1068943094]",,,residential,3,,,1,,,white,,,,,,,,,,,,,,,
way,92017557,"POLYGON ((7.0055028 49.2242357, 7.0055984 49.2243174, 7.0057706 49.2242304, 7.0056626 49.2241392, 7.0055248 49.2242089, 7.0055313 49.2242142, 7.005537 49.2242188, 7.0055028 49.2242357))",,Saarbrücken,20,66119,Puccinistraße,,"[1068943145, 1068943600, 1068943578, 1068943103, 7580937191, 7580937186, 7580937229, 1068943145]",,St. Arnual,residential,2,,,1,,,white,red,semidetached_house,,,,,,,,,,,,,
way,92213606,"POLYGON ((7.0379041 49.2027822, 7.0377601 49.2027432, 7.0377695 49.2027284, 7.0376179 49.2026873, 7.0376301 49.2026682, 7.0374822 49.2026281, 7.0374048 49.2027502, 7.037548 49.202789, 7.0375382 49.2028045, 7.0376757 49.2028417, 7.0376644 49.2028596, 7.0378271 49.2029037, 7.0378631 49.2028448, 7.0378939 49.2027983, 7.0379041 49.2027822))",,Saarbrücken,16-26,66130,Theodor-Heuss-Straße,,"[1070542908, 9671307820, 9671307819, 9671307818, 9671307817, 1070543436, 1070545486, 9671307813, 9671307814, 9671307815, 9671307816, 1070543079, 9671307805, 9671307806, 1070542908]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92923708,"POLYGON ((7.0048569 49.2164653, 7.0049672 49.2163734, 7.0048471 49.2163119, 7.0047368 49.2164038, 7.0048569 49.2164653))",,Saarbrücken,7,66119,Im Kasental,,"[1077315399, 1077314748, 1077314034, 1077315337, 1077315399]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92923775,"POLYGON ((7.0037515 49.2168677, 7.0039182 49.2168751, 7.0039322 49.2167414, 7.0037654 49.2167339, 7.0037515 49.2168677))",,Saarbrücken,16,66119,Im Kasental,,"[1077314834, 1077314167, 1077316227, 1077315192, 1077314834]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92923801,"POLYGON ((7.0052827 49.216511, 7.0051597 49.2164416, 7.0050653 49.2165133, 7.0051883 49.2165824, 7.0052827 49.216511))",,Saarbrücken,8,66119,Im Kasental,,"[1077315358, 1077314707, 1077314002, 1077316185, 1077315358]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92923863,"POLYGON ((7.0056394 49.2164355, 7.0057424 49.2163614, 7.0056941 49.2163327, 7.005713 49.2163191, 7.0056339 49.2162721, 7.0056151 49.2162857, 7.0055511 49.2162477, 7.0055155 49.2162733, 7.0054973 49.2162624, 7.005466 49.216285, 7.0054842 49.2162958, 7.005444 49.2163247, 7.0055508 49.2163881, 7.0055375 49.2163976, 7.0055723 49.2164183, 7.0055895 49.2164059, 7.0056394 49.2164355))",,,,,,,"[1077314820, 1077314975, 9438212506, 9438212505, 9438212504, 9438212503, 1077315879, 9438212514, 9438212511, 9438212512, 9438212513, 1077314144, 9438212510, 9438212509, 9438212508, 9438212507, 1077314820]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92923973,"POLYGON ((7.0050372 49.2163125, 7.0051196 49.2162496, 7.0050081 49.2161872, 7.0049257 49.2162501, 7.0050372 49.2163125))",,Saarbrücken,5,66119,Im Kasental,,"[1077314391, 1077316238, 1077315201, 1077314541, 1077314391]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92925798,"POLYGON ((7.0046652 49.2234821, 7.0047463 49.2235544, 7.0048531 49.2235033, 7.0049253 49.2234687, 7.0048756 49.2234244, 7.0048218 49.2234502, 7.0047888 49.2234202, 7.0046652 49.2234821))",,Saarbrücken,6,66119,Puccinistraße,,"[2286700486, 1077335740, 7580937233, 1077336305, 2286700484, 2286700489, 2286700485, 2286700486]",,St. Arnual,residential,2,,,1,,,white,red,semidetached_house,,,,,,,,,,,,,
way,93874225,"POLYGON ((7.0202969 49.2369728, 7.0203808 49.2368552, 7.0202309 49.2368111, 7.020144 49.2369272, 7.0202122 49.2369475, 7.0202969 49.2369728))",veterinary,Saarbrücken,44,66123,Kaiserslauterer Straße,,"[1091289120, 1091286950, 1091290564, 1091289106, 7560459834, 1091289120]",,,residential,2,Tierärztliche Klinik für Kleintiere Guido Arz,,1,gabled,,,,,Tierarzt Dr. Arz,stone,"Mo-Fr 08:30-11:30,14:30-18:00; Sa 08:30-11:00",+49 681 33232,along,Dr. Arz,local_knowledge,http://www.tierklinik-arz.de,,,,,
way,93874286,"POLYGON ((7.0196304 49.2378913, 7.0198569 49.2376131, 7.0196834 49.2375536, 7.0196347 49.2376136, 7.019493 49.2377893, 7.019457 49.2378319, 7.0196304 49.2378913))",,,,,,,"[1091289444, 1091290767, 1091289878, 2270487570, 2270487540, 1091287730, 1091289444]",,,residential,3,,,1,gabled,,,,,,,,,,,,,residential,,,,
way,93874402,"POLYGON ((7.0200791 49.2373038, 7.0202272 49.2371003, 7.0200564 49.2370473, 7.0199084 49.2372508, 7.0200791 49.2373038))",,Saarbrücken,42,66123,Kaiserslauterer Straße,,"[1091290511, 1091289664, 1091291097, 1091290139, 1091290511]",,,residential,3,,,1,gabled,,,,,,,,,,,,,,,,,
way,93874563,"POLYGON ((7.019897 49.2375456, 7.0200022 49.2374083, 7.0198308 49.2373523, 7.0197256 49.2374897, 7.019897 49.2375456))",,Saarbrücken,40,66123,Kaiserslauterer Straße,,"[1091287262, 1091290083, 1091289294, 1091287216, 1091287262]",,,residential,3,,,1,gabled,,,,,,,,,,,,,residential,,,,
way,94125285,"POLYGON ((7.0147872 49.2394119, 7.0149293 49.2394757, 7.0150061 49.2394028, 7.0148639 49.239339, 7.0147872 49.2394119))",,Saarbrücken,2,66123,August-Klein-Pfad,,"[1094118709, 1094120358, 1094121942, 1094121289, 1094118709]",DE,,residential,2,,,2,gambrel,,,,,,,,,,,,,,,,,
way,94171283,"POLYGON ((7.0194067 49.2425746, 7.0195143 49.2425839, 7.0196103 49.2425934, 7.0196256 49.2425221, 7.01959 49.2425194, 7.0194216 49.2425038, 7.0194067 49.2425746))",,Saarbrücken,28c,66123,Rotenbühlerweg,,"[1094574793, 9760008787, 1094578731, 1094575992, 9760008801, 1094579804, 1094574793]",DE,,residential,2,,,,,,,,,,,,,,,,,,,,,
way,94171333,"POLYGON ((7.0192843 49.242232, 7.0193065 49.2421718, 7.019328 49.2421115, 7.0191504 49.2420834, 7.0191063 49.2422045, 7.0192719 49.2422306, 7.0192843 49.242232))",,Saarbrücken,126a,66123,Scheidter Straße,,"[1094573498, 9760008816, 1094575326, 1094579245, 1094576430, 5908847523, 1094573498]",DE,,residential,3,,,,,,,,,,,,,,,,,,,,,
way,94171347,"POLYGON ((7.0200302 49.2419866, 7.0199711 49.2420833, 7.0200974 49.2421159, 7.0201075 49.2420992, 7.0201772 49.242117, 7.0202136 49.2420578, 7.0201713 49.2420471, 7.020184 49.2420265, 7.0200302 49.2419866))",,Saarbrücken,132a,66123,Scheidter Straße,,"[1094576815, 1094577789, 9760008813, 1094580429, 9760008812, 9760008814, 1094580564, 9760008815, 1094576815]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,94171348,"POLYGON ((7.0192374 49.2429776, 7.0194138 49.2429624, 7.0194207 49.2430005, 7.019543 49.2429912, 7.0195232 49.2428811, 7.0194299 49.2428883, 7.0194229 49.2428493, 7.0192174 49.2428667, 7.0192374 49.2429776))",,Saarbrücken,28a,66123,Rotenbühlerweg,,"[1094576734, 1094580506, 2259825018, 1094574880, 1094576217, 1094578024, 1094577944, 1094578147, 1094576734]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,94171403,"POLYGON ((7.0198399 49.24208, 7.019921 49.2419823, 7.0197899 49.2419359, 7.0197088 49.2420336, 7.0198399 49.24208))",,Saarbrücken,130,66123,Scheidter Straße,,"[1094576537, 1094580404, 1094577702, 1094575818, 1094576537]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,94573983,"POLYGON ((7.0112427 49.250317, 7.0114413 49.250232, 7.0114563 49.2502439, 7.0114844 49.250231, 7.0115103 49.250219, 7.0114638 49.2501774, 7.0113748 49.2500984, 7.0111285 49.2502024, 7.0112427 49.250317))",,Saarbrücken,50,66123,Krämersweg,,"[1098410385, 1098410511, 1098412518, 10652741888, 1098413195, 10652742016, 1098412876, 1098410026, 1098410385]",,,residential,1,,,,,,,,,,,,,,,,,,,,,
way,94574114,"POLYGON ((7.0056915 49.2484214, 7.005688 49.2485385, 7.0058697 49.2485404, 7.0058716 49.2484727, 7.0058718 49.2484217, 7.0056915 49.2484214))",,Saarbrücken,111,66123,Dudweiler Landstraße,,"[6470857485, 1098410817, 1098414477, 2291762000, 6470855684, 6470857485]",,,residential,4,,,0,,,,,,,,,,,,,,,,,,
way,95359472,"POLYGON ((7.0611603 49.2131376, 7.0612482 49.2132544, 7.0614642 49.2131851, 7.0614113 49.2131148, 7.0613157 49.2131455, 7.0612807 49.213099, 7.0611603 49.2131376))",,Saarbrücken,22,66132,Am Probstbaum,,"[2314428749, 1105897638, 1105898035, 2314428741, 2314428739, 2314428708, 2314428749]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,96856781,"POLYGON ((6.9625406 49.2508166, 6.9624981 49.2508957, 6.9627214 49.2509468, 6.9627295 49.2509359, 6.9627392 49.2509337, 6.9627466 49.2509197, 6.9627395 49.2509129, 6.9627639 49.2508677, 6.9625406 49.2508166))",,Saarbrücken,7,66113,Rastpfuhl,,"[1122339163, 1122339498, 1122339074, 3509957180, 3509957183, 3509957181, 3509957182, 1122339659, 1122339163]",DE,,residential,3,,,,,,,,,,,,,,,,,,,,,
way,96856812,"POLYGON ((6.9577092 49.2492366, 6.9578719 49.2492232, 6.9578886 49.2493098, 6.9577259 49.2493232, 6.9577092 49.2492366))",,Saarbrücken,29,66113,Rastbachweg,,"[1122339561, 1122339692, 1122339407, 1122339219, 1122339561]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,97548838,"POLYGON ((6.9531088 49.2535475, 6.953167 49.2536364, 6.95339 49.2535743, 6.9533318 49.2534854, 6.9531088 49.2535475))",,Saarbrücken,44,66113,Moselstraße,,"[1129407291, 1129407224, 1129407211, 1129407326, 1129407291]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,99861255,"POLYGON ((6.9848423 49.2226155, 6.9847963 49.2225376, 6.9847937 49.2225332, 6.9846594 49.2225668, 6.9847079 49.222649, 6.9848423 49.2226155))",,Saarbrücken,113,66119,Spichererbergstraße,,"[1154424145, 2281925534, 4097752499, 4097752503, 1154424217, 1154424145]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,101253694,"POLYGON ((6.9936018 49.2534556, 6.9936144 49.2533663, 6.9933814 49.2533522, 6.9933688 49.2534415, 6.9936018 49.2534556))",,Saarbrücken,22a,66113,Türkismühler Straße,,"[1168763797, 4489474722, 4489474721, 1168764081, 1168763797]",DE,,residential,,Dr. Breit OHG,,,,,,,,,,Mo-Fr 08:00-16:30,,,,,,,company,,,
