element_type,osmid,amenity,taxi,geometry,access,barrier,traffic_sign,parking,wheelchair,highway,lit,hgv,description,fee,access:conditional,foot,foot:conditional,note,note:access,surveillance,name,bicycle,motorcar,capacity,surface,emergency,maxheight,start_date,website,motor_vehicle,motorcycle,trailer,vehicle,wheelchair:description,opening_hours,level,layer,operator,maxwidth,private,park_ride,supervised,ref,bus,addr:city,addr:housenumber,addr:postcode,addr:street,contact:website,indoor,fixme,addr:country,brand,covered,kiss_ride,maxstay,operator:type,operator:wikidata,capacity:disabled,disabled,markings,nodes,paving_stones:material,orientation,building,brand:wikidata,name:fr,maxweight,smoothness,max_level,min_level,maxstay:conditional,parking:authentication:disc:conditional,access:note,zone,maxstay:monitoring,parking:authentication:disc,source,parking_disc,wikimedia_commons,fee:conditional,building:levels,roof:levels,roof:shape,capacity:parent,capacity:women,parking:orientation,alt_name,contact:phone,charge,old_name,building:use,authentication:disc,denomination,religion,ruins,charge:conditional,location,building:colour,payment:cash,area,building:part,landuse,service,park,parking:restriction:conditional,parking:zone,toilets:wheelchair,phone,restriction:conditional,capacity:tourist_bus,tourist_bus,authentication:disc:conditional,charge:note,building:min_level,wikidata,parking:condition,parking:condition:residents,restriction,skateboard,restriction:taxi,parking:condition:conditional,motorhome,disabled:conditional,capacity:charging,car_sharing,parking:restriction,ways,type
node,617550371,parking,,POINT (7.0290519 49.2095175),,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,829921466,parking,,POINT (6.9531199 49.2401624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,921467482,parking,,POINT (6.9075965 49.2322146),,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,968276420,parking,,POINT (7.0061073 49.2512695),yes,,,surface,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,979367315,parking,,POINT (6.9479089 49.2425665),,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1019910389,parking,,POINT (6.9112128 49.2296079),private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1047741818,parking,,POINT (7.05153 49.1798251),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1266737378,parking,,POINT (7.0327403 49.2012686),,,,street_side,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1425534052,parking,,POINT (7.0097044 49.2633455),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1472541305,parking,,POINT (7.0391543 49.2753151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,KBS GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
