element_type,osmid,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,operator,historic,name,nodes,building,ways,addr:country,architect,architect:wikidata,building:levels,name:fr,opening_hours:signed,roof:shape,start_date,type,website,wikidata,wikimedia_commons,wikipedia
way,129149342,,"POLYGON ((7.0357339 49.2784461, 7.0358741 49.2783018, 7.0360142 49.2781575, 7.0358975 49.2780455, 7.0358794 49.2780491, 7.0358309 49.2781002, 7.0355677 49.2783778, 7.0357339 49.2784461))",,,,,townhall,,,Rathaus,"[1425571309, 9982098844, 1425571296, 2472154176, 2472154178, 2472154192, 1425571306, 1425571309]",yes,,,,,,,,,,,,,,
relation,8271085,limited,"POLYGON ((6.9962185 49.234906, 6.9962675 49.2349362, 6.9962675 49.2349485, 6.9962813 49.2349608, 6.9963028 49.2349671, 6.9963281 49.2349639, 6.9963415 49.2349567, 6.9963531 49.2349517, 6.9966759 49.2348708, 6.9966962 49.2349137, 6.9967043 49.2349295, 6.9966963 49.2349313, 6.9967044 49.2349466, 6.9967258 49.2349417, 6.9967233 49.2349371, 6.9967704 49.234925, 6.9968217 49.2349125, 6.9969502 49.2348811, 6.9969519 49.2348807, 6.9969536 49.2348803, 6.9970726 49.2348518, 6.9970238 49.2347592, 6.9970133 49.23474, 6.9970023 49.2347195, 6.9969988 49.2347132, 6.9969644 49.2347211, 6.9968574 49.2345098, 6.9968524 49.2344999, 6.9968253 49.2344444, 6.996842 49.2344405, 6.9968159 49.23439, 6.9967894 49.2343387, 6.996772 49.2343422, 6.9966559 49.2341024, 6.9966827 49.2340968, 6.9967098 49.2340911, 6.9966441 49.2339549, 6.996619 49.2339603, 6.9965926 49.2339655, 6.9960488 49.2340773, 6.995978 49.2340917, 6.9959914 49.2341214, 6.9959697 49.2341125, 6.9959501 49.2341044, 6.9959259 49.2340941, 6.9958974 49.2340822, 6.9958427 49.2340606, 6.9956103 49.2339638, 6.9955903 49.2339556, 6.9954487 49.2338972, 6.9954256 49.2339208, 6.9953518 49.2339963, 6.9953044 49.2340447, 6.9952606 49.2340895, 6.9954055 49.2341498, 6.9955649 49.2342161, 6.9957085 49.2342771, 6.9955854 49.2344041, 6.9951385 49.2342142, 6.9951083 49.234245, 6.9950678 49.2342864, 6.9950558 49.2342992, 6.9950416 49.2343132, 6.9951817 49.2343718, 6.9954617 49.2344889, 6.9954913 49.2345013, 6.9956248 49.2345571, 6.9956401 49.2345418, 6.9956606 49.2345213, 6.995719 49.2344606, 6.9957543 49.2344245, 6.9958557 49.2343208, 6.9959353 49.2342393, 6.9959641 49.2342098, 6.9959672 49.2342257, 6.9959908 49.2343469, 6.9960207 49.2344357, 6.9960693 49.234561, 6.996179 49.2347641, 6.9961739 49.2348101, 6.9961487 49.2348289, 6.9961235 49.2348476, 6.9962185 49.234906), (6.9963433 49.2348207, 6.9963227 49.2347799, 6.9963768 49.2347852, 6.9961909 49.2344024, 6.9961038 49.2342202, 6.9962787 49.2341829, 6.9962982 49.2342206, 6.9964404 49.2341902, 6.9964251 49.2341609, 6.9964209 49.2341526, 6.9964814 49.2341397, 6.9965265 49.2342274, 6.9965634 49.2343075, 6.9965732 49.2343277, 6.9966103 49.2344057, 6.9967448 49.2346806, 6.9967121 49.2346869, 6.9966892 49.2346922, 6.9965631 49.2347202, 6.9965826 49.2347548, 6.9965682 49.2347536, 6.9965475 49.234758, 6.996533 49.2347686, 6.9965285 49.2347825, 6.9965352 49.234796, 6.9965485 49.2348044, 6.9963565 49.2348469, 6.9963433 49.2348207))",Saarbrücken,1,66111,Rathausplatz,townhall,Landeshauptstadt Saarbrücken,yes,Rathaus St. Johann,"[[[1224171423, 1375683720, 9235724336, 9235724335, 9235724334, 924250503, 8934099979, 9235724333, 1270122769, 5587354566, 6578467339, 5587354550, 5587354553, 5587354552, 5587354551, 5587354549, 1290702989, 5587354544, 5587354546, 6561543913, 7810884293, 924250501, 10103708773, 5541214154, 10103708757, 1394638625, 5587443365, 10103708770, 10103708772, 6124583742, 6124583741, 1290705812, 6124583739, 6124583740, 924250496, 1290705794, 924250493, 924250491, 1290705822, 10103708752, 924250489, 5587240211, 5587240210, 5509779332, 9851610312, 1375683185, 3474501453, 9851610307, 9851610311, 6576902091, 817529096, 7294989912, 817529099, 7294989911, 817529163, 5587204802, 817529155, 5587204807, 817529115, 817529119, 7294989917, 10676742812, 5582938758, 817529091, 6575751668, 6578467335, 6575751674, 817529094, 5582938759, 10676718304, 1411329018, 5497850971, 7080307745, 6575751675, 5248143040, 5597013228, 924250520, 8578964466, 1515619038, 924250523, 5587354561, 5248148868, 1224171423], [1224171424, 5587354556, 5587354555, 5587354554, 5587354559, 5587354558, 5587354557, 1224171421, 1224171417, 1224171418, 8578964460, 8578964461, 1375683186, 8599581526, 9244089751, 8665128226, 924250515, 9244089745, 9244089747, 9244089741, 9244089748, 9244089744, 924250517, 8578964465, 1224171425, 5587354564, 9236379066, 1224171424]]]",public,"[585745388, 113844962]",DE,Georg Hauberisser,Q45399,9,Hôtel de ville St-Jean,no,many,1897..1900,multipolygon,https://www.saarbruecken.de/de/rathaus/rathaus_st_johann,Q2132615,Category:Rathaus Saarbrücken,de:Rathaus St. Johann
