element_type,osmid,surveillance,surveillance:type,geometry,wheelchair,surveillance:zone,level,wheelchair:description,layer,barrier,amenity,operator,colour,material,addr:housenumber,addr:street,name,wikimedia_commons,nodes,addr:city,addr:postcode,addr:suburb,brand,brand:wikidata,brand:wikipedia,building,building:levels,check_date:opening_hours,opening_hours,roof:levels,shop,website,height,contact:facebook,contact:instagram,contact:phone,contact:website,internet_access,internet_access:captive_portal,internet_access:fee,internet_access:ssid,name:fr,toilets:wheelchair,wikidata,wikipedia,branch,addr:country,payment:cash,payment:credit_cards,payment:mastercard,payment:visa,phone,building:levels:underground,roof:shape,payment:girocard,strapline,stroller,architect,building:use,start_date,contact:email,wholesale,changing_table,old_name,toilets,tenant,smoking,diet:gluten_free,diet:lactose_free,diet:vegan,diet:vegetarian,organic,building:roof,post_office,post_office:brand,post_office:brand:wikidata,building:colour,office,operator:wikidata,noaddress,fair_trade,tobacco,opening_hours:signed,fence_type
way,69685165,,,"POLYGON ((6.9992987 49.2319788, 6.999237 49.2318765, 6.9992124 49.2318839, 6.9991488 49.2319022, 6.9990868 49.2319179, 6.9990643 49.2319243, 6.9990146 49.2319383, 6.9990794 49.2320379, 6.9992987 49.2319788))",,,,,,,,,,,4,Mainzer Straße,,,"[833402495, 833402496, 6419999992, 6419999993, 6419999991, 9408395039, 833399634, 1373479867, 833402495]",Saarbrücken,66111,,,,,retail,2,,,1,,,,,,,,,,,,,,,,,DE,,,,,,,gambrel,,,,Balthasar Wilhelm Stengel,residential,1792,,,,,,,,,,,,,,,,,,,,,,,,
way,70175697,,,"POLYGON ((7.0065795 49.2328285, 7.0066088 49.2328856, 7.0067141 49.2330939, 7.0076267 49.2328944, 7.0076174 49.2328755, 7.0075901 49.2328199, 7.0075586 49.2328268, 7.0075289 49.2328333, 7.0075192 49.2328354, 7.0074392 49.2326793, 7.0074067 49.2326867, 7.0073894 49.2326905, 7.0071721 49.2327386, 7.0071605 49.2327412, 7.0071513 49.2327433, 7.0071295 49.2327009, 7.007087 49.232709, 7.006978 49.2327322, 7.0069832 49.2327403, 7.0067421 49.232793, 7.0066575 49.2328115, 7.0065858 49.2328271, 7.0065795 49.2328285))",yes,,,,,,,,,,3,Halbergstraße,,,"[666803040, 7223451412, 666803038, 837986379, 8849405766, 2027810343, 8807410307, 9498757988, 2027810341, 837986381, 7223438950, 10090236528, 10090225010, 9498757991, 2027810358, 7223451415, 6345961996, 7223451414, 7223451416, 6345961991, 7223451410, 7223451409, 666803040]",Saarbrücken,66121,,,,,retail,1,,,0,,,,,,,,,,,,,,,,,DE,,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70175698,,,"POLYGON ((7.008471 49.2327558, 7.0083912 49.2326054, 7.0083226 49.2324761, 7.0082696 49.2323743, 7.008222 49.2323851, 7.0077799 49.2324852, 7.0078613 49.2326398, 7.0078448 49.2326435, 7.0078164 49.2326498, 7.0077712 49.23266, 7.0078945 49.2328929, 7.008471 49.2327558))",yes,,,,,,,,,,5,Halbergstraße,,,"[666803044, 9228775085, 9029320851, 666803012, 9029320847, 837986395, 1082195060, 9498757990, 8807410309, 1082195016, 837986396, 666803044]",Saarbrücken,66121,,,,,retail,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75087821,,,"POLYGON ((7.0056132 49.2151215, 7.0055507 49.215171, 7.0055202 49.2151545, 7.0055145 49.2151517, 7.005497 49.215165, 7.0054776 49.2151802, 7.005484 49.2151835, 7.0055168 49.2152001, 7.0053529 49.2153382, 7.005438 49.2153767, 7.0054695 49.2153498, 7.0055278 49.2153, 7.0055464 49.215309, 7.0055843 49.2152762, 7.0056323 49.2152998, 7.0056483 49.2152611, 7.0056204 49.2152475, 7.0056383 49.2152315, 7.0057196 49.2152681, 7.0057869 49.2152075, 7.0056598 49.2151441, 7.0056132 49.2151215))",,,,,,,,,,,146,Julius-Kiefer-Straße,,,"[10019496710, 10019496678, 10019496705, 10019498326, 4622740874, 10019498327, 10019498336, 10019496702, 2161727009, 2161727011, 7373060988, 2161727006, 2161727017, 2161727013, 2161727012, 2161727016, 4622740871, 4622740870, 2161727020, 10019498337, 10019498344, 10019496710]",Saarbrücken,66119,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,76594538,,,"POLYGON ((6.9402822 49.2366305, 6.9400516 49.2366702, 6.9400626 49.2366974, 6.9395431 49.2367868, 6.9396472 49.2370447, 6.9397947 49.2370193, 6.9398067 49.2370491, 6.9399309 49.2370277, 6.9399494 49.2370735, 6.9401105 49.2370458, 6.940094 49.2370049, 6.9400785 49.2369665, 6.9403958 49.2369119, 6.9403651 49.2368359, 6.9402967 49.2366698, 6.9402822 49.2366305))",yes,,,,,,,,,,10,Hauptstraße,ALDI Süd,,"[902735460, 9396361594, 9396361593, 902735455, 902735454, 8813019888, 8813019887, 8813019886, 8813019885, 902735457, 9795166968, 902735463, 902735459, 9795166961, 9795172817, 902735460]",Saarbrücken,66128,,ALDI Süd,Q41171672,en:Aldi,retail,1,,Mo-Sa 08:00-20:00,0,supermarket,,,,,,,,,,,,,,,,DE,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,79082287,,,"POLYGON ((6.9911354 49.237914, 6.9911601 49.237914, 6.9911857 49.2379076, 6.991204 49.2378969, 6.9912172 49.2378789, 6.9912186 49.2378628, 6.9912077 49.237843, 6.9911909 49.2378312, 6.9911662 49.2378233, 6.9911324 49.2378229, 6.9911095 49.2378291, 6.9910898 49.2378414, 6.9910792 49.2378561, 6.9910782 49.2378777, 6.9910845 49.2378894, 6.9910963 49.2379002, 6.9911161 49.2379098, 6.9911354 49.237914))",,,,,,,,,,,101A,Bahnhofstraße,,,"[924163102, 924163106, 924163113, 924163117, 924163121, 924163127, 924163132, 924163138, 924163144, 924163163, 924163165, 924163168, 924163177, 924163182, 924163186, 924163189, 924163196, 924163102]",Saarbrücken,66111,,,,,retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87260450,indoor,,"POLYGON ((6.9756619 49.2346407, 6.9760415 49.2346518, 6.976061 49.2343641, 6.9760672 49.2342452, 6.9761276 49.2342471, 6.9761332 49.2341783, 6.9758958 49.2341702, 6.9757376 49.2341663, 6.9757356 49.2341884, 6.9757336 49.2341998, 6.9757334 49.2342125, 6.9757147 49.2344628, 6.9757134 49.2344767, 6.9757144 49.2344891, 6.9756682 49.2344881, 6.9756619 49.2346407))",yes,,,,,,,,,,93,Hohenzollernstraße,,,"[1014632913, 2284654415, 383763962, 1014632979, 1014632846, 1014632949, 5792131407, 1014632819, 7474426530, 7474426541, 7474398359, 7474398321, 7474426488, 7474426504, 7474398362, 1014632913]",Saarbrücken,66117,,,,,retail,1,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87260453,indoor,,"POLYGON ((6.9762382 49.2342389, 6.9763133 49.2342426, 6.9766621 49.2342562, 6.9766755 49.2341202, 6.9766862 49.233996, 6.9766915 49.233955, 6.9766954 49.2339251, 6.976698 49.233895, 6.9765925 49.2338909, 6.9762684 49.2338785, 6.9762669 49.2339154, 6.9762614 49.233966, 6.9762596 49.2339811, 6.9762485 49.2341147, 6.9762382 49.2342389))",yes,,,,,,,,,,68,Heuduckstraße,,,"[1014632861, 2284654345, 1014632854, 10700720777, 2284654377, 10700720781, 7430723650, 1014632992, 10700720774, 1014633104, 7430993276, 9172316751, 9172316754, 9172316749, 1014632861]",Saarbrücken,66117,,,,,retail,1,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87332760,,,"POLYGON ((6.9638643 49.2095432, 6.9639041 49.2095728, 6.963949 49.2095456, 6.963949 49.2095026, 6.9639137 49.2094837, 6.9638886 49.2094505, 6.9638915 49.2093703, 6.9638626 49.2093486, 6.9638303 49.2093674, 6.9637725 49.2093254, 6.9636658 49.2093929, 6.9637033 49.2094186, 6.9638643 49.2095432))",,,,,,,,,,,121,Metzer Straße,,,"[1015535418, 1015535414, 1015535463, 1015535300, 1015535342, 1015535368, 1015535338, 1015535403, 1015535423, 1015535468, 1015535304, 1015535358, 1015535418]",Saarbrücken,66117,,,,,retail,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87420819,,,"POLYGON ((6.9016941 49.2273649, 6.9017308 49.227335, 6.9014493 49.2271991, 6.9010474 49.227564, 6.9012784 49.2276718, 6.9014403 49.2277484, 6.9018033 49.2274164, 6.9016941 49.2273649))",,,,,,,,,,,76-82,Kreisstraße,,,"[1017771519, 1016535320, 1016535453, 614393784, 614393785, 614393792, 614393786, 1017771519]",,66127,,,,,retail,1,,,0,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
