element_type,osmid,geometry,image,name,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,email,government,office,opening_hours,phone,ref:bufa,website,wheelchair,addr:country,building:levels,heritage,roof:levels,roof:shape,source:geometry,amenity,check_date:opening_hours,wheelchair:description,wikimedia_commons,architect,building:architecture,roof:colour,start_date,operator,heritage:description,heritage:operator,building:material,roof:material,addr:suburb,source,construction:start_date,wikidata,ways,last_renovation,type
way,108982662,"POLYGON ((8.3978519 49.0119119, 8.3978318 49.0119364, 8.3980491 49.0120129, 8.3981552 49.0118834, 8.3980091 49.0118319, 8.3980049 49.011837, 8.3979771 49.0118272, 8.3979706 49.0118352, 8.3979329 49.0118219, 8.3978519 49.0119119))",,,"[1249024532, 1249024078, 1249024248, 1249023798, 1249024302, 1249023890, 1249024421, 1249023990, 1249024548, 1249024532]",Karlsruhe,6,76133,Akademiestraße,government,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,
way,109123039,"POLYGON ((8.3966426 49.0073347, 8.3966761 49.007323, 8.3967698 49.0072903, 8.3968517 49.0073594, 8.3968637 49.0073695, 8.3968734 49.0073777, 8.3969712 49.0074602, 8.3969485 49.0074718, 8.3968845 49.0075044, 8.3968591 49.0075174, 8.3966426 49.0073347))",,Verwaltung Bundesgerichtshof,"[1250163075, 8043170551, 1250163093, 1676830904, 3822087852, 1676830916, 1250163153, 6223254466, 6223254468, 1250163111, 1250163075]",,,,,government,,,,,,,,,,2,,2,gabled,,,,,,Friedrich Weinbrenner,classicism,,1817,,,,plaster,roof_tiles,,,,,,,
way,109861629,"POLYGON ((8.3869869 49.0121336, 8.3870896 49.0121277, 8.387097 49.012183, 8.3870364 49.0121865, 8.3870533 49.0123132, 8.3870602 49.0123651, 8.3869777 49.0123699, 8.3869551 49.0122205, 8.3869981 49.012218, 8.3869869 49.0121336))",,,"[1256629708, 1256629731, 1256629776, 1256629673, 1256629677, 1256629789, 1256629712, 1256629681, 1256629664, 1256629708]",,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,109861634,"POLYGON ((8.3869451 49.0121542, 8.3869551 49.0122205, 8.3869777 49.0123699, 8.3868193 49.0123802, 8.3867867 49.0121645, 8.3868066 49.0121632, 8.3869451 49.0121542))",,,"[1256629773, 1256629681, 1256629712, 1256629743, 1256629786, 1256629685, 1256629773]",Karlsruhe,1a,76133,Hoffstraße,government,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,
way,117515850,"POLYGON ((8.5053404 49.0313234, 8.5055907 49.0313626, 8.5056493 49.0312016, 8.5053991 49.0311624, 8.5053404 49.0313234))",,,"[1323773195, 1323773197, 1323773190, 1323773189, 1323773195]",,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,117515851,"POLYGON ((8.5055767 49.0311612, 8.5056603 49.0309294, 8.5055866 49.030918, 8.5055921 49.0309026, 8.5055058 49.0308892, 8.5054276 49.0311061, 8.5054608 49.0311113, 8.5054499 49.0311416, 8.5055767 49.0311612))",,,"[1323773188, 1323773175, 1323773174, 1323773172, 1323773171, 1323773183, 1323773184, 1323773185, 1323773188]",Karlsruhe,1,,Im Stalbühl,government,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,Grötzingen,Maps4BW,,,,,
way,151123925,"POLYGON ((8.4958629 49.007197, 8.4958782 49.0070594, 8.4960513 49.0070677, 8.496036 49.0072053, 8.4958629 49.007197))",,,"[26972537, 1639647230, 1639647231, 2299759499, 26972537]",Karlsruhe,2,76229,Rathausplatz,government,,,,,,,,,DE,,,,gabled,,,,,,,,,,,,,,,Grötzingen,LA-KA,,,,,
way,237590816,"POLYGON ((8.3979329 49.0118219, 8.3979528 49.0117974, 8.3977026 49.0117093, 8.3976944 49.0117194, 8.3976141 49.011815, 8.3976073 49.0118258, 8.3978519 49.0119119, 8.3979329 49.0118219))",,,"[1249024548, 1249024092, 1249024649, 1249046136, 1249046108, 1249023981, 1249024532, 1249024548]",Karlsruhe,8,76133,Akademiestraße,government,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,
way,360014942,"POLYGON ((8.4005988 49.0125139, 8.4005127 49.0125781, 8.4003239 49.0124692, 8.4002677 49.012511, 8.4002724 49.0125137, 8.4002571 49.0125251, 8.4002525 49.0125224, 8.4001978 49.0125632, 8.4004815 49.0127268, 8.4005361 49.0126861, 8.4005319 49.0126836, 8.4005472 49.0126722, 8.4005514 49.0126747, 8.4006076 49.0126328, 8.4005416 49.0125947, 8.4006277 49.0125305, 8.4005988 49.0125139))",,,"[282701577, 282701587, 282701591, 7704867190, 7704867188, 7704867189, 7704867191, 282701584, 282701583, 7704867187, 7704867185, 7704832984, 7704867186, 282701590, 282701580, 282701574, 282701577]",,,,,government,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,modern,,2007,,,,,,,,2005,Q58454259,,,
relation,1318129,"POLYGON ((8.401313 49.0122215, 8.4010064 49.0124502, 8.4010729 49.0124885, 8.40104 49.012513, 8.401008 49.0125368, 8.4008527 49.0124472, 8.4009357 49.0123853, 8.4006544 49.0122231, 8.4004103 49.0124051, 8.4005988 49.0125139, 8.4006277 49.0125305, 8.4006916 49.0125674, 8.4008223 49.0124699, 8.4010675 49.0126113, 8.4009648 49.0126879, 8.4008444 49.0126184, 8.4005843 49.0128123, 8.4008814 49.0129837, 8.4011414 49.0127898, 8.4010206 49.0127201, 8.4011233 49.0126435, 8.4014274 49.0128189, 8.4014189 49.0128252, 8.4013642 49.0128661, 8.4013514 49.0128587, 8.4012966 49.0128996, 8.4013094 49.0129069, 8.4012176 49.0129754, 8.4012842 49.0130138, 8.4012965 49.0130046, 8.4013845 49.0130554, 8.4013722 49.0130645, 8.4014476 49.013108, 8.4014599 49.0130989, 8.4016763 49.0132237, 8.4017337 49.0131809, 8.401721 49.0131736, 8.4017547 49.0131485, 8.4017674 49.0131558, 8.4018222 49.0131149, 8.4018095 49.0131076, 8.4018611 49.0130691, 8.4019178 49.0131018, 8.4019807 49.0131381, 8.4019583 49.0131548, 8.4019239 49.0131805, 8.4022084 49.0133445, 8.4022722 49.0132969, 8.4022812 49.0133021, 8.4022742 49.0133074, 8.4023651 49.0133598, 8.4023958 49.0133369, 8.4023049 49.0132845, 8.4023013 49.0132871, 8.4022923 49.0132819, 8.4024892 49.0131351, 8.4022047 49.012971, 8.4020114 49.0131152, 8.4018918 49.0130462, 8.4020447 49.0129322, 8.4019775 49.0128934, 8.4019662 49.0129018, 8.4019274 49.0128794, 8.4019387 49.012871, 8.4018773 49.0128356, 8.401866 49.012844, 8.4017505 49.0127774, 8.4017618 49.012769, 8.4017007 49.0127337, 8.4016894 49.0127421, 8.4015869 49.012683, 8.401529 49.0127262, 8.4015418 49.0127336, 8.4014581 49.0127961, 8.4012415 49.0126711, 8.401306 49.012623, 8.4013593 49.0126537, 8.4016658 49.0124251, 8.401313 49.0122215), (8.4012645 49.012599, 8.4011996 49.0126474, 8.4010513 49.0125618, 8.4011161 49.0125134, 8.4012645 49.012599), (8.4015153 49.01287, 8.4017848 49.0130256, 8.4016807 49.0131032, 8.4014112 49.0129475, 8.4015153 49.01287), (8.4015458 49.0128472, 8.4016189 49.0127928, 8.4018885 49.0129484, 8.4018153 49.0130029, 8.4015458 49.0128472))",,,"[[[5212629016, 5212629020, 5212629221, 5212629222, 5212629223, 5212629017, 10169902136, 256089440, 256089426, 256089423, 256089422, 256089421, 282701577, 282701574, 256089420, 256089419, 256089418, 5212629224, 5212629228, 5212629227, 5212629226, 5212629229, 5212629225, 256089415, 256089414, 10169902054, 1646787755, 1646787754, 1646787760, 1646787761, 256089413, 1646787775, 1646787774, 1646787776, 1646787777, 1646787780, 1646787778, 256089412, 1646787785, 1646787784, 1646787782, 1646787783, 1646787781, 1646787779, 256089411, 10169902053, 256089410, 10169902051, 256089409, 256089404, 1646787796, 3646161986, 3646161987, 1646787799, 1646787798, 3646161984, 3646161985, 1646787786, 256089401, 256089399, 256089397, 256089395, 256089393, 1646787758, 1646787759, 1646787757, 1646787756, 1646787751, 1646787753, 1646787749, 1646787748, 1725438906, 1646787747, 256089391, 1646787735, 1646787736, 256089388, 256089386, 5212629016], [1035539404, 1035539331, 1035539380, 1035539406, 1035539404], [1646787773, 1646787752, 1646787750, 1646787772, 1646787773], [1646787734, 1646787732, 5212629018, 5212629019, 1646787734]]]",Karlsruhe,3,76131,Schlossbezirk,government,,,,,,,,,DE,,yes,,,,,,,,Paul Baumgarten,modern,,1969,,,,,,,,,Q58454259,"[23638639, 89219267, 151834710, 151834709]",2014,multipolygon
relation,1540219,"POLYGON ((8.4054484 49.0081675, 8.4054287 49.0081542, 8.4049787 49.0081729, 8.4049563 49.0081899, 8.4049882 49.0084954, 8.4050265 49.0088415, 8.40533 49.0088275, 8.4054484 49.0081675), (8.4051584 49.0087029, 8.4051608 49.0087314, 8.4051146 49.0087331, 8.4051016 49.0085782, 8.4051577 49.0085761, 8.4051503 49.0084875, 8.4051357 49.0083143, 8.4050705 49.0083167, 8.405066 49.0082631, 8.4051448 49.0082603, 8.4051456 49.0082701, 8.4053182 49.0082638, 8.4052448 49.0086694, 8.4052197 49.0086674, 8.4051584 49.0087029))",,,"[[[1244417245, 1244417257, 1244417246, 1244417271, 1244417261, 1244417260, 1244417253, 1244417241, 2460256585, 1244417258, 1244417243, 1244417239, 1244417262, 1244417255, 1244417245], [1743158440, 2925272337, 2460256588, 2925272338, 2925272339, 2925272340, 1244417242, 1743158440]]]",,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[108459453, 108459454]",,multipolygon
