element_type,osmid,foot,opening_hours,wheelchair,geometry,source,access,name,opening_hours:covid19,description,note,check_date:opening_hours,fee,old_name,start_date,nodes,leisure,layer,addr:city,addr:postcode,wikidata,alt_name,dog,heritage,name:de,name:en,name:fr,name:ru,official_name,operator,operator:type,toilets:wheelchair,tourism,website,wikipedia,old_name:1882-1916,wikimedia_commons,disused:amenity,disused:landuse,name:etymology:wikidata,planned:landuse,planned:name,landuse,amenity,natural,club,source:name,loc_name,area,fuel:charcoal,fuel:electric,fuel:gas,fuel:wood,place,name:sk,notes,addr:housenumber,addr:street,ways,type
way,4058961,,,,"POLYGON ((8.4001191 49.0064871, 8.4001995 49.0065925, 8.4006403 49.0064425, 8.4005399 49.0063654, 8.4000944 49.0057444, 8.4000421 49.0057101, 8.3999934 49.0056877, 8.3999376 49.0056705, 8.3998717 49.0056587, 8.3985756 49.0056484, 8.3984679 49.0056876, 8.3984019 49.0057399, 8.3983703 49.0057994, 8.3983689 49.0058445, 8.398408 49.0058877, 8.399215 49.0069737, 8.3995996 49.0068515, 8.3997249 49.0068444, 8.3995891 49.0066542, 8.4001191 49.0064871))",,,Nymphengarten,,,,,,,,"[21492940, 21492941, 21492942, 8033012151, 1676830504, 1676830478, 21492943, 1676830444, 1676830443, 21492944, 1676830448, 1676830499, 1676830538, 1676830554, 21493612, 21492937, 21492938, 8033012150, 21492939, 21492940]",park,,,,Q15837159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059020,,,,"POLYGON ((8.3939185 48.9973095, 8.3942336 48.9972987, 8.3942684 48.9976292, 8.3939496 48.9976412, 8.3939185 48.9973095))",,,,,,,,,,,"[21493464, 1607072551, 21493466, 21493463, 21493464]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059021,,,,"POLYGON ((8.3935496 48.9973257, 8.3935757 48.9976622, 8.3932748 48.9976732, 8.3932459 48.9973488, 8.3935496 48.9973257))",,,,,,,,,,,"[21493461, 21493462, 21493459, 21493460, 21493461]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059022,,,,"POLYGON ((8.3971008 48.9996497, 8.3971774 48.9996571, 8.3973911 48.9995803, 8.3974395 48.9995135, 8.3974518 48.9991111, 8.3974018 48.9982822, 8.3973213 48.9982848, 8.3973076 48.9981054, 8.3973615 48.9981037, 8.3973442 48.9978279, 8.3972809 48.9978296, 8.3972707 48.9976591, 8.3972457 48.9974635, 8.3972264 48.9973171, 8.3971843 48.9970984, 8.3971511 48.9969563, 8.3972137 48.99695, 8.3971608 48.9966434, 8.3970948 48.9966495, 8.3969766 48.9960951, 8.3970426 48.9960891, 8.3969343 48.9955872, 8.3968751 48.9955923, 8.3967053 48.994744, 8.3967645 48.9947389, 8.3967571 48.9947126, 8.3965825 48.9947346, 8.3965026 48.9948449, 8.3964302 48.994979, 8.3963664 48.9950999, 8.396325 48.9952503, 8.3963044 48.9953587, 8.3962866 48.9954792, 8.3962889 48.9955805, 8.3963304 48.9958204, 8.3963353 48.9959459, 8.3963541 48.9960716, 8.3964036 48.9964114, 8.396453 48.9967689, 8.3965434 48.9974579, 8.3966356 48.9980864, 8.3966494 48.99823, 8.3967277 48.9987972, 8.3967926 48.9991476, 8.3968782 48.9994907, 8.3969779 48.9995814, 8.3971008 48.9996497))",,,Beiertheimer Wäldchen,,,,,,,,"[1932959612, 1607068610, 3800127280, 21493476, 1834958510, 21493475, 1607068575, 3800127267, 3800127266, 1607068550, 1607068552, 1607068549, 3800127259, 3800126954, 3800126951, 1607068530, 1607068528, 1607068522, 1607068524, 3800126945, 21493473, 3800126938, 3800126939, 3800126926, 3800126925, 21493467, 1932959543, 21493468, 3800126929, 1600680435, 1600680443, 3800126933, 21493469, 1600680462, 3800126943, 3800126944, 21493470, 3800126946, 3800126948, 3800127257, 21493474, 3800127268, 3800127273, 3800127276, 21504989, 1932959616, 1932959612]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059023,,,,"POLYGON ((8.3964979 48.9981425, 8.3963166 48.9981512, 8.3962978 48.998073, 8.3963592 48.9980685, 8.3962916 48.9976739, 8.3962302 48.9976784, 8.3962022 48.9976807, 8.3961846 48.9975917, 8.3961568 48.9974025, 8.3961193 48.9971536, 8.3960947 48.9969152, 8.3960593 48.9965214, 8.3960191 48.9961276, 8.3959682 48.9957089, 8.3959536 48.9955785, 8.3959774 48.9954915, 8.3959778 48.9954106, 8.3959245 48.9952422, 8.3959029 48.9951458, 8.3958974 48.9950689, 8.3958328 48.9946738, 8.3958835 48.994669, 8.395913 48.9946436, 8.3962983 48.9946177, 8.3964277 48.9946174, 8.3962885 48.9948399, 8.3962491 48.9949162, 8.3962133 48.9950109, 8.3961687 48.9951428, 8.3961439 48.9952497, 8.3961304 48.9953526, 8.3961412 48.9955265, 8.3962244 48.9961495, 8.3964015 48.9974614, 8.3964979 48.9981425))",,,Beiertheimer Wäldchen,,,,,,,,"[21493480, 1834958432, 1600680509, 1600680508, 1600680501, 1600680502, 3800127263, 3800127261, 3800126955, 3800126952, 3800126949, 3800126947, 21493483, 3800126941, 3800126940, 3800126936, 21493484, 3800126931, 4447472964, 4447472965, 1600680356, 3800126924, 1600680345, 1600680342, 21493487, 1600680411, 3016662956, 21493488, 3016662957, 3016662958, 21493489, 3800126937, 21493490, 3800127258, 21493480]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059071,,,,"POLYGON ((8.3853154 49.0227915, 8.3852086 49.0228022, 8.3851715 49.0228061, 8.3855275 49.0245498, 8.3855789 49.0247008, 8.3859534 49.0264791, 8.3860817 49.0264654, 8.3862696 49.0273729, 8.3861677 49.0273804, 8.386147 49.0274173, 8.3862755 49.028144, 8.3863735 49.0286175, 8.3865494 49.0294533, 8.3866442 49.0299407, 8.386754 49.0303277, 8.3868628 49.0308065, 8.3869888 49.0307919, 8.387201 49.0316992, 8.3872882 49.0316882, 8.3873036 49.0316863, 8.3873073 49.031714, 8.3873228 49.0317616, 8.3873347 49.0317455, 8.3873473 49.0317183, 8.3873525 49.0316803, 8.387295 49.0314028, 8.3872974 49.031296, 8.3871454 49.0305949, 8.3870939 49.0305816, 8.3870795 49.0304713, 8.3870251 49.030232, 8.3869962 49.0300702, 8.3869994 49.0299174, 8.386763 49.0288252, 8.3864274 49.0272609, 8.3854345 49.0226186, 8.3853617 49.0222507, 8.3850602 49.0207692, 8.3850335 49.0204239, 8.384965 49.0204135, 8.3848361 49.0204589, 8.3849329 49.0211255, 8.385033 49.0216253, 8.3850808 49.0217034, 8.3851151 49.0218624, 8.3853154 49.0227915))",,,,,,,,,,,"[1886763921, 1627140202, 21493656, 1886877335, 1886877346, 1886877468, 1886877470, 1886877576, 312281073, 1886877577, 1886877579, 1886877581, 1886877597, 1886877610, 1886877619, 21493652, 1627140214, 21493653, 10788488042, 1926808033, 1926808038, 1926808064, 1926808060, 1926808041, 21493654, 1886877635, 1886877634, 1886877630, 1886877629, 9460694074, 1886877617, 1886877615, 9460694075, 1886877582, 1886877573, 21493655, 1886819579, 21493659, 21493657, 6283510274, 1886780325, 1886780348, 1886780350, 1886780355, 10302471315, 1886763921]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4060671,,,,"POLYGON ((8.3852604 49.017316, 8.3853074 49.0171698, 8.3852363 49.0171878, 8.3853156 49.0168352, 8.3853881 49.0168226, 8.3853961 49.0167867, 8.3853984 49.0167768, 8.3853237 49.0167919, 8.385402 49.0164246, 8.3854849 49.0164069, 8.3855184 49.0162562, 8.3854488 49.0162586, 8.3855057 49.01592, 8.3855987 49.0158988, 8.3856285 49.0157674, 8.3855626 49.0157773, 8.385587 49.0156673, 8.3856609 49.0156478, 8.3857146 49.0153985, 8.38565 49.0154007, 8.3856724 49.0153087, 8.3856886 49.0150587, 8.3857924 49.0150265, 8.3857795 49.0148155, 8.3854665 49.0148225, 8.3854789 49.0149652, 8.3854731 49.0150447, 8.3849306 49.0173714, 8.3852604 49.017316))",,,,,,,,,,,"[21503281, 10728400624, 9241440006, 9241440005, 10728400625, 10728400627, 10728400628, 9241440002, 9241440001, 10728400629, 10728400630, 9241439998, 9241439997, 10728400631, 10728400633, 9241439994, 9241439993, 10728400634, 10728400635, 9241439990, 9241439989, 9241439988, 1631840121, 21503282, 21503283, 1631840120, 1631840122, 21503280, 21503281]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4068185,,,,"POLYGON ((8.3995343 49.0029224, 8.3994862 49.0024726, 8.3987876 49.0025161, 8.3988145 49.0025398, 8.3992449 49.0029297, 8.3995343 49.0029224))",,,,,,,,,,,"[21533407, 21533408, 21533409, 21533410, 21533406, 21533407]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4068413,,,,"POLYGON ((8.3857875 49.0107382, 8.3857476 49.0108023, 8.3855376 49.0110486, 8.3856004 49.0110765, 8.3856836 49.0111133, 8.385699 49.0111202, 8.3857805 49.0111083, 8.3863581 49.0110787, 8.3863964 49.0110608, 8.3865995 49.0110496, 8.3864743 49.0115936, 8.3868464 49.0116327, 8.3868417 49.0118546, 8.3874418 49.0118262, 8.3874705 49.0118241, 8.3873093 49.0107947, 8.3872977 49.0107524, 8.3872748 49.0107097, 8.3872439 49.0106806, 8.3872376 49.0106734, 8.3871941 49.0106445, 8.3871498 49.0106235, 8.3870987 49.0106137, 8.3869169 49.0106208, 8.3868766 49.010657, 8.3866404 49.0106647, 8.3866397 49.0106874, 8.3865869 49.0106891, 8.3865861 49.0106685, 8.3865404 49.0106691, 8.3864987 49.0106358, 8.386475 49.0106358, 8.3863262 49.0106708, 8.3860194 49.0106824, 8.3859485 49.0106863, 8.3858988 49.0106845, 8.3858377 49.0106977, 8.3857875 49.0107382))",,,,,,,,,,,"[21533510, 9458400232, 1637997291, 10769720393, 10769720386, 21533511, 9458400235, 3654909906, 3654909905, 3654909904, 1729161687, 1729161690, 1256629717, 1729161698, 21533508, 1623835199, 1623835194, 1623835176, 1623835171, 1637996793, 1637996776, 21533509, 1637996767, 1637996779, 6564844122, 6564844121, 1708228271, 1637996855, 9458400230, 9458400231, 1637996804, 1637996787, 6564844117, 1637996795, 1637996820, 9458400229, 1637996857, 21533510]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4068415,,,,"POLYGON ((8.383337 49.007861, 8.3836057 49.0092451, 8.3836784 49.0096193, 8.3837637 49.0100589, 8.3838188 49.0103427, 8.3844863 49.010324, 8.384395 49.00988, 8.385182 49.0098188, 8.3849832 49.0089285, 8.3842315 49.0090028, 8.3841582 49.0090098, 8.3838991 49.007843, 8.383337 49.007861))",,,Nottingham-Anlage,,,,,,,,"[21533620, 1708328381, 1708328429, 1708328482, 21533621, 21533614, 21533615, 1732080106, 21533617, 1732080105, 21533618, 21533619, 21533620]",park,,,,,Nottinghamanlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
