element_type,osmid,amenity,capacity:disabled,description,parking_space,wheelchair,geometry,surface,traffic_sign,access,capacity:charging,access:disabled,capacity:short,maxlength,capacity:parent,capacity:women,layer,level,capacity,level:ref,ref,emergency,source,capacity:car_sharing,name,nodes,parking,parking:disabled,building,ref:permit,lit,fee,opening_hours,smoothness,supervised,capacity:disabled:conditional,parking:orientation,fire_service,maxstay:conditional,doctor,start_date,note,hgv,access:description,capacity:trailer,covered,customers,operator,fee:conditional,maxstay,capacity:private,access:conditional,capacity:taxi,taxi,vehicle,disabled,fixme,noref,tourist_bus,capacity:hgv,parking:fee,surface:colour,parking_space:conditional
way,542945672,parking_space,1,,disabled,,"POLYGON ((8.4445568 49.0261838, 8.4446304 49.0261713, 8.4446218 49.0261495, 8.4445482 49.0261619, 8.4445568 49.0261838))",,,,,,,,,,,,1,,,,,,,"[5248942481, 5248942483, 5248942484, 5248942480, 5248942481]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542945674,parking_space,1,,disabled,,"POLYGON ((8.4445654 49.0262056, 8.4446391 49.0261931, 8.4446304 49.0261713, 8.4445568 49.0261838, 8.4445654 49.0262056))",,,,,,,,,,,,1,,,,,,,"[5248942478, 5248942479, 5248942483, 5248942481, 5248942478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542945678,parking_space,,,,,"POLYGON ((8.445247 49.0263282, 8.4452137 49.0263338, 8.4452281 49.0263704, 8.4452613 49.0263648, 8.445247 49.0263282))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943360, 5248943410, 5248943325, 5248943326, 5248943360]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945679,parking_space,,,,,"POLYGON ((8.4452802 49.0263225, 8.445247 49.0263282, 8.4452613 49.0263648, 8.4452946 49.0263592, 8.4452802 49.0263225))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943359, 5248943360, 5248943326, 5248943327, 5248943359]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945680,parking_space,,,,,"POLYGON ((8.4453278 49.0263536, 8.4452946 49.0263592, 8.4452802 49.0263225, 8.4453134 49.0263169, 8.4453278 49.0263536))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943328, 5248943327, 5248943359, 5248943358, 5248943328]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945681,parking_space,,,,,"POLYGON ((8.445361 49.026348, 8.4453278 49.0263536, 8.4453134 49.0263169, 8.4453466 49.0263113, 8.445361 49.026348))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943329, 5248943328, 5248943358, 5248943357, 5248943329]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945682,parking_space,,,,,"POLYGON ((8.4453942 49.0263423, 8.445361 49.026348, 8.4453466 49.0263113, 8.4453799 49.0263057, 8.4453942 49.0263423))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943330, 5248943329, 5248943357, 5248943356, 5248943330]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945683,parking_space,,,,,"POLYGON ((8.4454275 49.0263367, 8.4453942 49.0263423, 8.4453799 49.0263057, 8.4454131 49.0263001, 8.4454275 49.0263367))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943331, 5248943330, 5248943356, 5248943355, 5248943331]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945684,parking_space,,,,,"POLYGON ((8.4454607 49.0263311, 8.4454275 49.0263367, 8.4454131 49.0263001, 8.4454463 49.0262945, 8.4454607 49.0263311))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943332, 5248943331, 5248943355, 5248943354, 5248943332]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945685,parking_space,,,,,"POLYGON ((8.4454939 49.0263255, 8.4454607 49.0263311, 8.4454463 49.0262945, 8.4454795 49.0262889, 8.4454939 49.0263255))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943333, 5248943332, 5248943354, 5248943353, 5248943333]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945686,parking_space,,,,,"POLYGON ((8.4455271 49.0263199, 8.4454939 49.0263255, 8.4454795 49.0262889, 8.4455128 49.0262833, 8.4455271 49.0263199))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943334, 5248943333, 5248943353, 5248943352, 5248943334]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945687,parking_space,,,,,"POLYGON ((8.4455271 49.0263199, 8.4455128 49.0262833, 8.445546 49.0262777, 8.4455604 49.0263143, 8.4455271 49.0263199))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943334, 5248943352, 5248943351, 5248943335, 5248943334]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945688,parking_space,,,,,"POLYGON ((8.4455936 49.0263087, 8.4455604 49.0263143, 8.445546 49.0262777, 8.4455792 49.0262721, 8.4455936 49.0263087))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943336, 5248943335, 5248943351, 5248943350, 5248943336]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945689,parking_space,,,,,"POLYGON ((8.4456268 49.0263031, 8.4455936 49.0263087, 8.4455792 49.0262721, 8.4456124 49.0262665, 8.4456268 49.0263031))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943337, 5248943336, 5248943350, 5248943349, 5248943337]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945691,parking_space,,,,,"POLYGON ((8.44566 49.0262975, 8.4456268 49.0263031, 8.4456124 49.0262665, 8.4456457 49.0262609, 8.44566 49.0262975))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943338, 5248943337, 5248943349, 5248943348, 5248943338]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945692,parking_space,,,,,"POLYGON ((8.4456933 49.0262919, 8.44566 49.0262975, 8.4456457 49.0262609, 8.4456789 49.0262552, 8.4456933 49.0262919))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943339, 5248943338, 5248943348, 5248943347, 5248943339]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945693,parking_space,,,,,"POLYGON ((8.4457265 49.0262863, 8.4456933 49.0262919, 8.4456789 49.0262552, 8.4457121 49.0262496, 8.4457265 49.0262863))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943340, 5248943339, 5248943347, 5248943346, 5248943340]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945694,parking_space,,,charging,,"POLYGON ((8.4457597 49.0262807, 8.4457265 49.0262863, 8.4457121 49.0262496, 8.4457453 49.026244, 8.4457597 49.0262807))",grass_paver,,,1,,,,,,,,1,,,,,,,"[5248943341, 5248943340, 5248943346, 5248943345, 5248943341]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,4 hours,,,,,,,,,,,,,
way,542945696,parking_space,,,charging,,"POLYGON ((8.4457597 49.0262807, 8.4457453 49.026244, 8.4457786 49.0262384, 8.4457929 49.026275, 8.4457597 49.0262807))",grass_paver,,,1,,,,,,,,1,,,,,,,"[5248943341, 5248943345, 5248943344, 5248943342, 5248943341]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,4 hours,,,,,,,,,,,,,
way,542945697,parking_space,,,,,"POLYGON ((8.4457929 49.026275, 8.4457786 49.0262384, 8.4458118 49.0262328, 8.4458262 49.0262694, 8.4457929 49.026275))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943342, 5248943344, 5248943407, 5248943343, 5248943342]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945698,parking_space,,,,,"POLYGON ((8.4458182 49.0263394, 8.4458514 49.0263338, 8.4458355 49.0262934, 8.4458023 49.026299, 8.4458182 49.0263394))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943396, 5248943408, 5248943378, 5248943361, 5248943396]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945699,parking_space,,,,,"POLYGON ((8.445785 49.026345, 8.4458182 49.0263394, 8.4458023 49.026299, 8.4457691 49.0263046, 8.445785 49.026345))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943395, 5248943396, 5248943361, 5248943362, 5248943395]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945700,parking_space,,,,,"POLYGON ((8.4457517 49.0263506, 8.445785 49.026345, 8.4457691 49.0263046, 8.4457359 49.0263102, 8.4457517 49.0263506))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943394, 5248943395, 5248943362, 5248943363, 5248943394]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945701,parking_space,,,,,"POLYGON ((8.4457185 49.0263562, 8.4457517 49.0263506, 8.4457359 49.0263102, 8.4457027 49.0263158, 8.4457185 49.0263562))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943393, 5248943394, 5248943363, 5248943364, 5248943393]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945702,parking_space,,,,,"POLYGON ((8.4456853 49.0263618, 8.4457185 49.0263562, 8.4457027 49.0263158, 8.4456694 49.0263214, 8.4456853 49.0263618))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943392, 5248943393, 5248943364, 5248943365, 5248943392]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945703,parking_space,,,,,"POLYGON ((8.4456853 49.0263618, 8.4456694 49.0263214, 8.4456362 49.026327, 8.4456521 49.0263674, 8.4456853 49.0263618))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943392, 5248943365, 5248943366, 5248943391, 5248943392]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945706,parking_space,,,,,"POLYGON ((8.4456188 49.026373, 8.4456521 49.0263674, 8.4456362 49.026327, 8.445603 49.0263326, 8.4456188 49.026373))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943390, 5248943391, 5248943366, 5248943367, 5248943390]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945708,parking_space,,,,,"POLYGON ((8.4455856 49.0263786, 8.4456188 49.026373, 8.445603 49.0263326, 8.4455698 49.0263382, 8.4455856 49.0263786))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943389, 5248943390, 5248943367, 5248943368, 5248943389]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945711,parking_space,,,,,"POLYGON ((8.4455524 49.0263842, 8.4455856 49.0263786, 8.4455698 49.0263382, 8.4455365 49.0263438, 8.4455524 49.0263842))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943388, 5248943389, 5248943368, 5248943369, 5248943388]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945714,parking_space,,,,,"POLYGON ((8.4455192 49.0263898, 8.4455524 49.0263842, 8.4455365 49.0263438, 8.4455033 49.0263494, 8.4455192 49.0263898))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943387, 5248943388, 5248943369, 5248943370, 5248943387]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945716,parking_space,,,,,"POLYGON ((8.4454859 49.0263954, 8.4455192 49.0263898, 8.4455033 49.0263494, 8.4454701 49.0263551, 8.4454859 49.0263954))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943386, 5248943387, 5248943370, 5248943371, 5248943386]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945719,parking_space,,,,,"POLYGON ((8.4454859 49.0263954, 8.4454701 49.0263551, 8.4454369 49.0263607, 8.4454527 49.0264011, 8.4454859 49.0263954))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943386, 5248943371, 5248943372, 5248943385, 5248943386]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945721,parking_space,,,,,"POLYGON ((8.4454527 49.0264011, 8.4454369 49.0263607, 8.4454036 49.0263663, 8.4454195 49.0264067, 8.4454527 49.0264011))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943385, 5248943372, 5248943373, 5248943384, 5248943385]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945722,parking_space,,,,,"POLYGON ((8.4453863 49.0264123, 8.4454195 49.0264067, 8.4454036 49.0263663, 8.4453704 49.0263719, 8.4453863 49.0264123))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943383, 5248943384, 5248943373, 5248943374, 5248943383]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945723,parking_space,,,,,"POLYGON ((8.445353 49.0264179, 8.4453863 49.0264123, 8.4453704 49.0263719, 8.4453372 49.0263775, 8.445353 49.0264179))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943382, 5248943383, 5248943374, 5248943375, 5248943382]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945724,parking_space,,,,,"POLYGON ((8.4453198 49.0264235, 8.445353 49.0264179, 8.4453372 49.0263775, 8.445304 49.0263831, 8.4453198 49.0264235))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943381, 5248943382, 5248943375, 5248943376, 5248943381]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945725,parking_space,,,,,"POLYGON ((8.4453198 49.0264235, 8.4452866 49.0264291, 8.4452707 49.0263887, 8.445304 49.0263831, 8.4453198 49.0264235))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943381, 5248943380, 5248943377, 5248943376, 5248943381]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945726,parking_space,,,,,"POLYGON ((8.4452866 49.0264291, 8.4452707 49.0263887, 8.4452375 49.0263943, 8.4452534 49.0264347, 8.4452866 49.0264291))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248943380, 5248943377, 5248943379, 5248943409, 5248943380]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945728,parking_space,,,,,"POLYGON ((8.4455065 49.0264898, 8.4455393 49.0264839, 8.4455232 49.0264453, 8.4454904 49.0264512, 8.4455065 49.0264898))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942507, 5248943404, 5248943405, 5248943324, 5248942507]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945729,parking_space,,,,,"POLYGON ((8.4454738 49.0264956, 8.4455065 49.0264898, 8.4454904 49.0264512, 8.4454577 49.026457, 8.4454738 49.0264956))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942508, 5248942507, 5248943324, 5248943323, 5248942508]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945730,parking_space,,,,,"POLYGON ((8.4454411 49.0265015, 8.4454738 49.0264956, 8.4454577 49.026457, 8.4454249 49.0264629, 8.4454411 49.0265015))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942509, 5248942508, 5248943323, 5248943322, 5248942509]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945731,parking_space,,,,,"POLYGON ((8.4454083 49.0265074, 8.4454411 49.0265015, 8.4454249 49.0264629, 8.4453922 49.0264688, 8.4454083 49.0265074))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942510, 5248942509, 5248943322, 5248943321, 5248942510]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945732,parking_space,,,,,"POLYGON ((8.4453756 49.0265133, 8.4454083 49.0265074, 8.4453922 49.0264688, 8.4453595 49.0264747, 8.4453756 49.0265133))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942511, 5248942510, 5248943321, 5248942520, 5248942511]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945733,parking_space,,,,,"POLYGON ((8.4453428 49.0265192, 8.4453756 49.0265133, 8.4453595 49.0264747, 8.4453267 49.0264806, 8.4453428 49.0265192))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942512, 5248942511, 5248942520, 5248942519, 5248942512]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945734,parking_space,,,,,"POLYGON ((8.4453101 49.026525, 8.4453428 49.0265192, 8.4453267 49.0264806, 8.445294 49.0264864, 8.4453101 49.026525))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942513, 5248942512, 5248942519, 5248942518, 5248942513]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945735,parking_space,,,,,"POLYGON ((8.4452774 49.0265309, 8.4453101 49.026525, 8.445294 49.0264864, 8.4452612 49.0264923, 8.4452774 49.0265309))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942514, 5248942513, 5248942518, 5248942517, 5248942514]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945736,parking_space,,,,,"POLYGON ((8.4452446 49.0265368, 8.4452285 49.0264982, 8.4452612 49.0264923, 8.4452774 49.0265309, 8.4452446 49.0265368))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942515, 5248942516, 5248942517, 5248942514, 5248942515]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945737,parking_space,,,,,"POLYGON ((8.4452119 49.0265427, 8.4451958 49.0265041, 8.4452285 49.0264982, 8.4452446 49.0265368, 8.4452119 49.0265427))",grass_paver,,,,,,,,,,,1,,,,,,,"[5248942491, 5248942492, 5248942516, 5248942515, 5248942491]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,,,,,,,,,,,,,
way,542945738,parking_space,,,,,"POLYGON ((8.4450988 49.0264241, 8.4450902 49.0264021, 8.445149 49.0263922, 8.4451533 49.0264032, 8.4451576 49.0264142, 8.4450988 49.0264241))",grass_paver,,private,,,,,,,,,1,,,,,,,"[5248942503, 5248942498, 5248942493, 5590359499, 5248942502, 5248942503]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,1,,,,,,,,,,,,
way,542945739,parking_space,,,,,"POLYGON ((8.4451074 49.026446, 8.4450988 49.0264241, 8.4451576 49.0264142, 8.4451619 49.0264251, 8.4451663 49.0264361, 8.4451074 49.026446))",grass_paver,,private,,,,,,,,,1,,,,,,,"[5248942504, 5248942503, 5248942502, 5590359500, 5248942501, 5248942504]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,1,,,,,,,,,,,,
way,542945740,parking_space,,,,,"POLYGON ((8.4451161 49.026468, 8.4451074 49.026446, 8.4451663 49.0264361, 8.4451706 49.0264471, 8.4451749 49.0264581, 8.4451161 49.026468))",grass_paver,,private,,,,,,,,,1,,,,,,,"[5248942505, 5248942504, 5248942501, 5590359501, 5248942500, 5248942505]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,1,,,,,,,,,,,,
way,542945741,parking_space,,,,,"POLYGON ((8.4451247 49.02649, 8.4451161 49.026468, 8.4451749 49.0264581, 8.4451792 49.026469, 8.4451835 49.02648, 8.4451247 49.02649))",grass_paver,,private,,,,,,,,,1,,,,,,,"[5248942506, 5248942505, 5248942500, 5590359502, 5248942499, 5248942506]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,1,,,,,,,,,,,,
way,542945742,parking_space,,,,,"POLYGON ((8.4451333 49.0265119, 8.4451247 49.02649, 8.4451835 49.02648, 8.4451878 49.026491, 8.4451921 49.026502, 8.4451333 49.0265119))",grass_paver,,private,,,,,,,,,1,,,,,,,"[5248943406, 5248942506, 5248942499, 5590359503, 9106192476, 5248943406]",surface,,,,,,,,,,,,,,2017-11,,,,,,,,,,1,,,,,,,,,,,,
way,542945743,parking_space,,,,,"POLYGON ((8.4450398 49.0263425, 8.4451255 49.0263059, 8.4457242 49.0261979, 8.4457087 49.0261582, 8.4450875 49.0262649, 8.4450142 49.0262923, 8.4450398 49.0263425))",gravel,,,,,,,,,,,20,,,,,,,"[2571977504, 5248943398, 5248943397, 5248943400, 2571977503, 5045058327, 2571977504]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551286441,parking_space,,,charging,,"POLYGON ((8.443258 49.0064554, 8.4432257 49.0064621, 8.4432048 49.006419, 8.4432371 49.0064123, 8.443258 49.0064554))",,,customers,1,,,,,,,,1,,,,,,,"[5324013507, 5324013506, 5324013505, 5324013508, 5324013507]",,,,,,,,,,,,,,,,,,,,,,Graf Hardenberg GmbH,,,,,,,,,,,,,,,
way,551286443,parking_space,,,charging,,"POLYGON ((8.4432903 49.0064486, 8.4432694 49.0064055, 8.4432371 49.0064123, 8.443258 49.0064554, 8.4432903 49.0064486))",,,customers,1,,,,,,,,1,,,,,,,"[5324013510, 5324013509, 5324013508, 5324013507, 5324013510]",,,,,,,,,,,,,,,,,,,,,,Graf Hardenberg GmbH,,,,,,,,,,,,,,,
way,551286446,parking_space,1,,disabled,,"POLYGON ((8.4433561 49.0065881, 8.4433995 49.006579, 8.4433797 49.0065382, 8.4433363 49.0065472, 8.4433561 49.0065881))",,,customers,,,,,,,,,1,,,,,,,"[5324013514, 5324013513, 5324013512, 5324013511, 5324013514]",,,,,,,,,,,,,,,,,,,,,,Graf Hardenberg GmbH,,,,,,,,,,,,,,,
way,554666913,parking_space,,,,,"POLYGON ((8.4421446 49.0413453, 8.4418955 49.0413445, 8.4418951 49.0413933, 8.4421442 49.0413941, 8.4421446 49.0413453))",,,private,,,,,,,,,8,,,,,,,"[5352753979, 5352753982, 5352753981, 5352753980, 5352753979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,558244739,parking_space,,,,,"POLYGON ((8.4375866 49.0140572, 8.4376175 49.014068, 8.4376513 49.0140263, 8.4376091 49.0140117, 8.4375866 49.0140572))",,,customers,,,,,,,,,1,,,,,,,"[5382867397, 5382867394, 5382867377, 5382867395, 5382867397]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244740,parking_space,,,,,"POLYGON ((8.4376175 49.014068, 8.4376485 49.0140788, 8.4376822 49.0140371, 8.4376513 49.0140263, 8.4376175 49.014068))",,,customers,,,,,,,,,1,,,,,,,"[5382867394, 5382867393, 5382867378, 5382867377, 5382867394]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244741,parking_space,,,,,"POLYGON ((8.4376485 49.0140788, 8.4376795 49.0140896, 8.4377132 49.0140479, 8.4376822 49.0140371, 8.4376485 49.0140788))",,,customers,,,,,,,,,1,,,,,,,"[5382867393, 5382867392, 5382867379, 5382867378, 5382867393]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244742,parking_space,,,,,"POLYGON ((8.4376795 49.0140896, 8.4377105 49.0141003, 8.4377442 49.0140587, 8.4377132 49.0140479, 8.4376795 49.0140896))",,,customers,,,,,,,,,1,,,,,,,"[5382867392, 5382867391, 5382867380, 5382867379, 5382867392]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244743,parking_space,,,,,"POLYGON ((8.4377105 49.0141003, 8.4377414 49.0141111, 8.4377752 49.0140695, 8.4377442 49.0140587, 8.4377105 49.0141003))",,,customers,,,,,,,,,1,,,,,,,"[5382867391, 5382867390, 5382867381, 5382867380, 5382867391]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244744,parking_space,,,,,"POLYGON ((8.4377414 49.0141111, 8.4377724 49.0141219, 8.4378061 49.0140802, 8.4377752 49.0140695, 8.4377414 49.0141111))",,,customers,,,,,,,,,1,,,,,,,"[5382867390, 5382867389, 5382867382, 5382867381, 5382867390]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244745,parking_space,,,,,"POLYGON ((8.4377724 49.0141219, 8.4378034 49.0141327, 8.4378371 49.014091, 8.4378061 49.0140802, 8.4377724 49.0141219))",,,customers,,,,,,,,,1,,,,,,,"[5382867389, 5382867388, 5382867383, 5382867382, 5382867389]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244746,parking_space,,,,,"POLYGON ((8.4378034 49.0141327, 8.4378344 49.0141435, 8.4378681 49.0141018, 8.4378371 49.014091, 8.4378034 49.0141327))",,,customers,,,,,,,,,1,,,,,,,"[5382867388, 5382867387, 5382867384, 5382867383, 5382867388]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244747,parking_space,,,,,"POLYGON ((8.4378653 49.0141543, 8.4378344 49.0141435, 8.4378681 49.0141018, 8.4378991 49.0141126, 8.4378653 49.0141543))",,,customers,,,,,,,,,1,,,,,,,"[5382867386, 5382867387, 5382867384, 5382867385, 5382867386]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,558244748,parking_space,,,,,"POLYGON ((8.4378653 49.0141543, 8.4378963 49.014165, 8.43793 49.0141234, 8.4378991 49.0141126, 8.4378653 49.0141543))",,,customers,,,,,,,,,1,,,,,,,"[5382867386, 5382867402, 5382867396, 5382867385, 5382867386]",,,,,,,,,,,,,,,,,,,,,,Seib GmbH,,,,,,,,,,,,,,,
way,560544143,parking_space,1,,disabled,,"POLYGON ((8.4493627 49.0041402, 8.4492916 49.0041524, 8.4493037 49.0041828, 8.4493748 49.0041707, 8.4493627 49.0041402))",,,customers,,,,,,,,,1,,,,,,,"[6430332905, 6430332908, 5405791643, 5405791642, 6430332905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,562090001,parking_space,,,,,"POLYGON ((8.439769 49.0212367, 8.4397537 49.0212158, 8.4398132 49.0211953, 8.4398296 49.0212158, 8.439769 49.0212367))",paving_stones,,,,,,,,,,,,,,,,,,"[5419115239, 4278622501, 4278622494, 5419115241, 5419115239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,562090002,parking_space,,,,,"POLYGON ((8.4397854 49.0212572, 8.4398461 49.0212362, 8.4398296 49.0212158, 8.439769 49.0212367, 8.4397854 49.0212572))",paving_stones,,,,,,,,,,,,,,,,,,"[5419115240, 5419115242, 5419115241, 5419115239, 5419115240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,562090003,parking_space,,,,,"POLYGON ((8.4398018 49.0212776, 8.4398625 49.0212567, 8.4398461 49.0212362, 8.4397854 49.0212572, 8.4398018 49.0212776))",paving_stones,,,,,,,,,,,,,,,,,,"[4278622519, 1643560804, 5419115242, 5419115240, 4278622519]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,562090004,parking_space,,,,,"POLYGON ((8.4397102 49.0212699, 8.4396481 49.0212913, 8.4396234 49.0212605, 8.4396862 49.0212388, 8.4397102 49.0212699))",paving_stones,,,,,,,,,,,,,,,,,,"[5419115244, 5419115245, 4278622516, 4278622508, 5419115244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
