element_type,osmid,amenity,capacity:disabled,description,parking_space,wheelchair,geometry,surface,traffic_sign,access,capacity:charging,access:disabled,capacity:short,maxlength,capacity:parent,capacity:women,layer,level,capacity,level:ref,ref,emergency,source,capacity:car_sharing,name,nodes,parking,parking:disabled,building,ref:permit,lit,fee,opening_hours,smoothness,supervised,capacity:disabled:conditional,parking:orientation,fire_service,maxstay:conditional,doctor,start_date,note,hgv,access:description,capacity:trailer,covered,customers,operator,fee:conditional,maxstay,capacity:private,access:conditional,capacity:taxi,taxi,vehicle,disabled,fixme,noref,tourist_bus,capacity:hgv,parking:fee,surface:colour,parking_space:conditional
node,5761632527,parking_space,,,,,POINT (8.4411741 49.0212349),paving_stones,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632528,parking_space,,,,,POINT (8.4411957 49.0212615),paving_stones,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632529,parking_space,,,,,POINT (8.4412174 49.0212881),paving_stones,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632530,parking_space,,,,,POINT (8.441239 49.0213148),paving_stones,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632531,parking_space,,,,,POINT (8.4412607 49.0213414),paving_stones,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632532,parking_space,,,,,POINT (8.4412823 49.021368),paving_stones,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632533,parking_space,,,,,POINT (8.441304 49.0213947),paving_stones,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632534,parking_space,,,,,POINT (8.4413256 49.0214213),paving_stones,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632535,parking_space,,,,,POINT (8.4413473 49.021448),paving_stones,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632536,parking_space,,,,,POINT (8.4413689 49.0214746),paving_stones,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632537,parking_space,,,,,POINT (8.4413906 49.0215012),paving_stones,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632538,parking_space,,,,,POINT (8.4414122 49.0215279),paving_stones,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632539,parking_space,,,,,POINT (8.4414339 49.0215545),paving_stones,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632540,parking_space,,,,,POINT (8.4414555 49.0215811),paving_stones,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632541,parking_space,,,,,POINT (8.4414772 49.0216078),paving_stones,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632542,parking_space,,,,,POINT (8.4414988 49.0216344),paving_stones,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632543,parking_space,,,,,POINT (8.4415205 49.021661),paving_stones,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632544,parking_space,,,,,POINT (8.4415421 49.0216877),paving_stones,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632545,parking_space,,,,,POINT (8.4415637 49.0217143),paving_stones,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632546,parking_space,,,,,POINT (8.4411496 49.0210594),paving_stones,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632547,parking_space,,,,,POINT (8.4411727 49.0210878),paving_stones,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632548,parking_space,,,,,POINT (8.4411958 49.0211163),paving_stones,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632549,parking_space,,,,,POINT (8.4412189 49.0211447),paving_stones,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632550,parking_space,,,,,POINT (8.4412421 49.0211732),paving_stones,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632551,parking_space,,,,,POINT (8.4412652 49.0212016),paving_stones,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632552,parking_space,,,,,POINT (8.4412883 49.0212301),paving_stones,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632553,parking_space,,,,,POINT (8.4413114 49.0212585),paving_stones,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632554,parking_space,,,,,POINT (8.4413346 49.021287),paving_stones,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
