osmid,y,x,ref,highway,street_count,geometry
8645648157,49.0048257,8.3171063,,,1,POINT (8.3171063 49.0048257)
8645648160,49.0052484,8.3177177,,,3,POINT (8.3177177 49.0052484)
8645721722,49.0334277,8.3553246,,,1,POINT (8.3553246 49.0334277)
8645721723,49.0332596,8.3555831,,,3,POINT (8.3555831 49.0332596)
8645721724,49.0315053,8.3545639,,,1,POINT (8.3545639 49.0315053)
8645721725,49.0309739,8.3541011,,,3,POINT (8.3541011 49.0309739)
8645721726,49.0317512,8.3523489,,,1,POINT (8.3523489 49.0317512)
8645831138,48.9988981,8.3623254,,,3,POINT (8.3623254 48.9988981)
8645831145,48.9986493,8.3631591,,,1,POINT (8.3631591 48.9986493)
8645857563,49.0083059,8.3217993,,,3,POINT (8.3217993 49.0083059)
8645857565,49.0079007,8.3217088,,,1,POINT (8.3217088 49.0079007)
8645857566,49.0083346,8.3216533,,,3,POINT (8.3216533 49.0083346)
8645857568,49.0080331,8.3215698,,,1,POINT (8.3215698 49.0080331)
8645858725,49.0186139,8.353419,,,1,POINT (8.353419 49.0186139)
8646026439,48.9993821,8.3452681,,,3,POINT (8.3452681 48.9993821)
8646026440,48.9996548,8.344668,,turning_circle,1,POINT (8.344668 48.9996548)
8646037353,49.0312531,8.4618015,,,1,POINT (8.4618015 49.0312531)
8646037354,49.0311986,8.4620605,,,3,POINT (8.4620605 49.0311986)
8646037355,49.0290955,8.374806,,,3,POINT (8.374806 49.0290955)
8646037357,49.0288298,8.3750219,,,1,POINT (8.3750219 49.0288298)
8646072784,48.997254,8.4454311,,,3,POINT (8.4454311 48.997254)
8646072789,48.9964708,8.4457006,,,3,POINT (8.4457006 48.9964708)
8646358134,49.0164765,8.4442456,,,3,POINT (8.4442456 49.0164765)
8646358136,49.0166791,8.4446151,,,3,POINT (8.4446151 49.0166791)
8646643495,48.9925987,8.3504634,,,1,POINT (8.3504634 48.9925987)
8646643497,48.9928628,8.3508059,,,3,POINT (8.3508059 48.9928628)
8646761829,49.0272611,8.356255,,,3,POINT (8.356255 49.0272611)
8646836421,48.99283,8.3561228,,,3,POINT (8.3561228 48.99283)
8646836422,48.9928996,8.3562025,,,1,POINT (8.3562025 48.9928996)
8646892969,49.0261354,8.4732593,,,3,POINT (8.4732593 49.0261354)
8646892970,49.0264424,8.4736177,,,1,POINT (8.4736177 49.0264424)
8647327300,49.0176308,8.3695233,,,3,POINT (8.3695233 49.0176308)
8647327304,49.0180052,8.3692953,,,1,POINT (8.3692953 49.0180052)
8650775968,49.0289097,8.3417977,,,3,POINT (8.3417977 49.0289097)
8650775971,49.0286511,8.3413878,,,1,POINT (8.3413878 49.0286511)
8659725473,49.0038949,8.3561229,,,3,POINT (8.3561229 49.0038949)
8659725474,49.0040288,8.3561648,,,1,POINT (8.3561648 49.0040288)
8659725490,49.0045805,8.3553618,,,3,POINT (8.3553618 49.0045805)
8659725491,49.0046724,8.3553899,,,1,POINT (8.3553899 49.0046724)
8659739847,49.0034449,8.3543931,,,3,POINT (8.3543931 49.0034449)
8659739848,49.0035325,8.3544367,,,1,POINT (8.3544367 49.0035325)
8659739877,49.0044183,8.3557542,,,3,POINT (8.3557542 49.0044183)
8659739878,49.0044349,8.3556251,,,1,POINT (8.3556251 49.0044349)
8665051825,49.0375412,8.3089428,,,1,POINT (8.3089428 49.0375412)
8665182424,48.9949772,8.3952804,,,1,POINT (8.3952804 48.9949772)
8665182425,48.9949166,8.3957055,,,3,POINT (8.3957055 48.9949166)
8690104221,49.0130631,8.4099125,,,1,POINT (8.4099125 49.0130631)
8690104222,49.0131024,8.4090805,,,1,POINT (8.4090805 49.0131024)
8690742376,49.0073683,8.4385156,,,1,POINT (8.4385156 49.0073683)
8690742378,49.0071343,8.4382709,,,3,POINT (8.4382709 49.0071343)
8690742380,49.0073931,8.4383845,,,1,POINT (8.4383845 49.0073931)
8694419272,49.0168545,8.3692966,,,3,POINT (8.3692966 49.0168545)
8694419274,49.0167754,8.3692154,,crossing,1,POINT (8.3692154 49.0167754)
8740997477,48.9674379,8.5043815,,,3,POINT (8.5043815 48.9674379)
8740997478,48.9672131,8.5035927,,,1,POINT (8.5035927 48.9672131)
8805486004,49.0367954,8.3437522,,,3,POINT (8.3437522 49.0367954)
8805489468,49.0374996,8.3449411,,,1,POINT (8.3449411 49.0374996)
8805489469,49.038053,8.346064,,,3,POINT (8.346064 49.038053)
8808528910,49.0068776,8.3387256,,,1,POINT (8.3387256 49.0068776)
8809474324,49.0200652,8.4214927,,,1,POINT (8.4214927 49.0200652)
8814249367,49.009291,8.3881889,,,1,POINT (8.3881889 49.009291)
8814249370,49.0093921,8.3878523,,,1,POINT (8.3878523 49.0093921)
8814249371,49.0095038,8.3878604,,,3,POINT (8.3878604 49.0095038)
8814249372,49.0095242,8.3873913,,,3,POINT (8.3873913 49.0095242)
8817289546,49.0030733,8.4742495,,,3,POINT (8.4742495 49.0030733)
8817289547,49.0026593,8.474258,,,1,POINT (8.474258 49.0026593)
8817289548,49.001666,8.4754978,,,1,POINT (8.4754978 49.001666)
8817289549,49.0013954,8.4755401,,,3,POINT (8.4755401 49.0013954)
8825297096,49.0199988,8.3421429,,,3,POINT (8.3421429 49.0199988)
8825297097,49.019417,8.3414992,,,1,POINT (8.3414992 49.019417)
8828435892,48.9908559,8.4914568,,,3,POINT (8.4914568 48.9908559)
8829543409,49.0572383,8.3984323,,,3,POINT (8.3984323 49.0572383)
8829543410,49.0577522,8.3983623,,,3,POINT (8.3983623 49.0577522)
8829543411,49.0572098,8.3979803,,,3,POINT (8.3979803 49.0572098)
8829543413,49.0577258,8.39791,,,3,POINT (8.39791 49.0577258)
8829543414,49.057768,8.3986328,,,1,POINT (8.3986328 49.057768)
8829543415,49.0571364,8.3968177,,,3,POINT (8.3968177 49.0571364)
8829543416,49.0581168,8.3966843,,,1,POINT (8.3966843 49.0581168)
8829549217,49.0571708,8.3973632,,,3,POINT (8.3973632 49.0571708)
8829549218,49.0581171,8.3972345,,,1,POINT (8.3972345 49.0581171)
8846585275,49.0181235,8.4281697,,,1,POINT (8.4281697 49.0181235)
8871126156,48.9983479,8.4759948,,,3,POINT (8.4759948 48.9983479)
8871126157,48.9984502,8.4757995,,,1,POINT (8.4757995 48.9984502)
8892176962,49.0134784,8.4287334,,,3,POINT (8.4287334 49.0134784)
8900689112,49.0304224,8.3545041,,,1,POINT (8.3545041 49.0304224)
8900689113,49.0307313,8.353689,,,3,POINT (8.353689 49.0307313)
8900689114,49.0304638,8.3534401,,,1,POINT (8.3534401 49.0304638)
8900689115,49.0305896,8.3540628,,,3,POINT (8.3540628 49.0305896)
8900689116,49.0303075,8.3538379,,,1,POINT (8.3538379 49.0303075)
8913002169,49.0068463,8.4314757,,,3,POINT (8.4314757 49.0068463)
8930472892,49.006096,8.4186182,,,3,POINT (8.4186182 49.006096)
8930472915,49.005986,8.4184863,,,1,POINT (8.4184863 49.005986)
8930682304,48.9997297,8.4273572,,,1,POINT (8.4273572 48.9997297)
8937759506,49.0006814,8.3333406,,,3,POINT (8.3333406 49.0006814)
8937759508,49.0009695,8.3338442,,,1,POINT (8.3338442 49.0009695)
8944883219,49.0450366,8.4509875,,,1,POINT (8.4509875 49.0450366)
8944883224,49.0451206,8.4474711,,,3,POINT (8.4474711 49.0451206)
8944883225,49.0451201,8.4479143,,,3,POINT (8.4479143 49.0451201)
8944883231,49.0450397,8.4479117,,,1,POINT (8.4479117 49.0450397)
8944883232,49.0450384,8.4474678,,,1,POINT (8.4474678 49.0450384)
8948533529,48.9987742,8.4543805,,,1,POINT (8.4543805 48.9987742)
8952164083,49.0160599,8.3666891,,,3,POINT (8.3666891 49.0160599)
8952978813,48.9555047,8.5074493,,,3,POINT (8.5074493 48.9555047)
8999737635,49.005382,8.3978541,,,3,POINT (8.3978541 49.005382)
9007640226,49.0003495,8.4199094,,,3,POINT (8.4199094 49.0003495)
9019902042,49.0330898,8.3568782,,,3,POINT (8.3568782 49.0330898)
9019902045,49.0335028,8.3575576,,,1,POINT (8.3575576 49.0335028)
9024271078,48.9878623,8.4617035,,,1,POINT (8.4617035 48.9878623)
9028142025,48.9717711,8.4047143,,,3,POINT (8.4047143 48.9717711)
9028142034,48.9715641,8.4051692,,,1,POINT (8.4051692 48.9715641)
9031508785,49.0081394,8.3226478,,,3,POINT (8.3226478 49.0081394)
9031508792,49.0080936,8.3230237,,,3,POINT (8.3230237 49.0080936)
