element_type,osmid,amenity,amperage,authentication:membership_card,bicycle,capacity,fee,motorcar,note,old_ref,opening_hours,operator,payment:enbw_elektronautenkarte,ref,scooter,socket:type2,voltage,geometry,access,authentication:intercharge,operator:wikidata,operator:wikipedia,payment:intercharge,socket:type2:output,description,truck,charging_station:plug,network,socket:schuko,level,socket,lastcheck,authentication:nfc,brand,check_date,payment:app,payment:contactless,short_ref,emergency,fixme,highway,man_made,monitoring:air_quality,monitoring:humidity,monitoring:noise,monitoring:temperature,name,start_date,wifi,layer,capacity:private,not:operator:wikidata,authentication:none,maxstay,parking:fee,manufacturer,model,socket:type2_combo,socket:type2_combo:output,internet_access,internet_access:fee,authentication:website,contact:website,maxheight,maxlength,maxwidth,payment:website,bicycle_parking,covered,motor_vehicle,customers,socket:chademo,email,contact:phone,socket:type2:current,car,socket:chademo:output,motorcycle,payment:cash,reservation,authentication:app,capacity:charging,socket:type2:voltage,socket:type2_combo:current,socket:type2_combo:voltage,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity:wikipedia,brand:wikidata,brand:wikipedia,not:brand:wikidata,short_name,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,website,manufacturer:wikidata,authentication:contactless,charge,payment:chargepoint_card,payment:credit_cards,nodes,orientation,parking:condition,parking:condition:both:maxstay
node,8936144368,charging_station,,,,,no,,,,,ALDI Süd Mühlburg,,,,,,POINT (8.3551981 49.0209735),customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8983116261,charging_station,,,,150,yes,,,,,EnBW Energie Baden-Württemberg AG,,,,,,POINT (8.3522062 49.0375337),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Ladesäulen,,,,,Q644304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
node,9063940334,charging_station,,,,2,yes,yes,,,24/7,Pfalzwerke,,,,1,,POINT (8.3927431 49.0535008),,,Q2082280,,,,,,,,,,,,yes,123energie,,,,,,,,,,,,,,2021,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9074150253,charging_station,,,,16,,,,,,Kaufland,,,,,,POINT (8.3521745 49.0093611),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ladestation 18x AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9272414739,charging_station,,yes,no,2,,yes,,,24/7,Pfalzwerke,,,,1,,POINT (8.4378373 49.0093207),yes,,Q2082280,,,22 kW,,,,,,,,,,123energie,,,,,,,,,,,,,,2021,,,,,,,,ABB,Terra 53 CJT,1,50 kW,,,,,,,,,,,,,1,,,,,50 kW,,,,yes,,,,,,,,,,,,,,,,,,Q52825,,,,,,,,
node,9272414740,charging_station,,yes,,2,yes,yes,,,,ALDI Süd,,,,1,,POINT (8.4395281 49.0090185),yes,,Q41171672,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150 kW,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,"0,39€/kWh",yes,yes,,,,
node,9707466288,charging_station,,,,2,,,,,24/7,Coca-Cola European Partners Deutschland GmbH,,,,,,POINT (8.3723813 49.0669021),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9707466289,charging_station,,,,2,,,,,24/7,Coca-Cola European Partners Deutschland GmbH,,,,,,POINT (8.3723418 49.066849),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9707466290,charging_station,,,,2,,,,,24/7,Coca-Cola European Partners Deutschland GmbH,,,,,,POINT (8.3723089 49.0668046),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9759420091,charging_station,,,,2,,,,,,Jungheinrich Vertrieb Deutschland AG & Co. KG,,,,,,POINT (8.4745659 49.0332701),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9759420092,charging_station,,,,2,,,,,,Jungheinrich Vertrieb Deutschland AG & Co. KG,,,,,,POINT (8.4744516 49.0332268),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9759420093,charging_station,,,,2,,,,,,Jungheinrich Vertrieb Deutschland AG & Co. KG,,,,,,POINT (8.4743906 49.0332037),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
