element_type,osmid,geometry,wheelchair,amenity,name,cuisine,diet:vegetarian,opening_hours,brand,height,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,phone,shop,website,source,level,description,check_date:opening_hours,note,source:addr,check_date,surveillance,ref,nodes,brand:wikidata,brand:wikipedia,building,building:levels,drink:club-mate,toilets:wheelchair,alt_name,max_level,min_level,roof:material,smoking,source:geometry,start_date,toilets,wikidata,wikipedia,addr:suburb,roof:levels,roof:shape,old_name:1974-1978,old_name:1978-1997,old_name:1998-2007,start_date:note,trolley,building:use,indoor_seating,outdoor_seating,unisex,building:part,disused:brand,disused:name,disused:shop,roof:colour,branch,building:colour,building:material,building:levels:underground,heritage,owner,wikimedia_commons,contact:phone,contact:website,information,information:kvv,opening_hours:url,payment:cash,payment:credit_cards,payment:debit_cards,payment:visa,public_transport,tourism,internet_access,internet_access:fee,old_brand,dispensing,addr:housename,capacity,delivery,diet:vegan,email,internet_access:operator,layer,old_name,organic,seating,takeaway,nohousenumber,source:outline,addr:source,lastcheck,heritage:description,heritage:operator,architect,sport,laundry_service,payment:membership_card,self_service,fuel:diesel,fuel:e10,fuel:octane_95,fuel:octane_98,building:architecture,landuse,noaddress,contact:email,contact:fax,opening_hours:kitchen,payment:girocard,female,male,supermarket,dog,payment:contactless,payment:mastercard,roof:direction,roof:height,service:bicycle:pump,building:min_level,ways,type
way,24011628,"POLYGON ((8.3736262 49.0232982, 8.3737726 49.0232943, 8.3737664 49.0231962, 8.3736199 49.0232002, 8.3736262 49.0232982))",,,,,,,,,,Karlsruhe,DE,6,76187,Heinrich-Köhler-Straße,,,,,,,,,,,,,"[260384600, 260384599, 260384593, 260384609, 260384600]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011629,"POLYGON ((8.3737772 49.0227708, 8.3739475 49.0226894, 8.3740354 49.0227685, 8.3739626 49.0228033, 8.3738648 49.0228494, 8.3737772 49.0227708))",,,,,,,,,,Karlsruhe,DE,6,76187,Eugen-Richter-Straße,,,,,,,,,,,,,"[260384592, 260384601, 260384585, 259607688, 260384603, 260384592]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24013291,"POLYGON ((8.3681607 49.0309014, 8.3681621 49.0309586, 8.3681198 49.030959, 8.3681239 49.0310689, 8.3682568 49.0310681, 8.3682539 49.030901, 8.3682046 49.0309015, 8.3681607 49.0309014))",,,,,,,,,,,,2,,Landauer Straße,,,,,,,,,,,,,"[260407744, 260407745, 260407746, 260407747, 260407748, 260407743, 260404837, 260407744]",,,retail,1.5,,,,,,,,,,,,,,,skillion,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24418116,"POLYGON ((8.36558 49.0236652, 8.3655819 49.0236084, 8.3655892 49.023385, 8.365682 49.0233863, 8.3657706 49.0233876, 8.3657614 49.0236678, 8.36558 49.0236652))",,,,,,,,,,Karlsruhe,DE,21,76187,Hertzstraße,,,,,,,,,,,,,"[265143853, 1458224147, 265143844, 1458224143, 265143847, 265143850, 265143853]",,,retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25315190,"POLYGON ((8.3479796 49.0271754, 8.3483008 49.0268376, 8.3486991 49.0270042, 8.3488348 49.026861, 8.3484013 49.0266819, 8.3484963 49.0265813, 8.3483442 49.0265188, 8.3482485 49.0266188, 8.3478168 49.0264405, 8.3476843 49.0265798, 8.3480803 49.0267454, 8.3477589 49.0270861, 8.347357 49.0269236, 8.3472212 49.0270664, 8.3482404 49.0274884, 8.3483826 49.0273383, 8.3479796 49.0271754))",,,54.29,,,,,,,,,,,,,,,,,,,,,,,,"[275776319, 275776312, 275776330, 275776328, 275776318, 275776329, 275776326, 275776321, 275776325, 275776315, 275776311, 275776314, 275776332, 275776324, 275776316, 275776322, 275776319]",,,retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28869646,"POLYGON ((8.3916454 49.0371955, 8.3914968 49.037104, 8.391407 49.0371667, 8.3912904 49.0370949, 8.3919793 49.0366138, 8.3920345 49.0366478, 8.3922763 49.0367966, 8.3919525 49.0370227, 8.3919208 49.0370032, 8.3916454 49.0371955))",yes,,,,,,,,,Karlsruhe,DE,1,76149,Lorbeerweg,,,,,,,,,,,,,"[317368774, 1529821786, 1529821788, 317368775, 25948748, 4248302573, 25948749, 1529821778, 1529821772, 317368774]",,,retail,1,,,,,,,,,,,,,,0,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32686241,"POLYGON ((8.4373835 49.0086749, 8.437259 49.0084038, 8.4371922 49.008417, 8.4371718 49.0083725, 8.4371602 49.0083474, 8.4372284 49.0083339, 8.4372096 49.0082932, 8.4375995 49.0082162, 8.437692 49.0084178, 8.4377574 49.0085603, 8.4377853 49.008621, 8.437723 49.0086333, 8.4374671 49.0086839, 8.4374564 49.0086605, 8.4373835 49.0086749))",yes,,,,,,,,,Karlsruhe,DE,4,76131,Theodor-Rehbock-Straße,,,,,,,,,,,,,"[367818802, 442676952, 442676951, 1831083511, 442676953, 442676954, 367818803, 367818804, 1831083528, 1831083552, 367818805, 3621432871, 442676950, 442676949, 367818802]",,,retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32686615,"POLYGON ((8.3689247 49.0304606, 8.3689191 49.0303977, 8.3690476 49.0303927, 8.3690532 49.0304557, 8.3689247 49.0304606))",yes,ice_cream,Eiscafe Fantasia,,,Mo-Fr 11:00-21:00; Sa-Su 11:00-22:00,,,,Karlsruhe,DE,40,76187,Hambacher Straße,,,http://www.eiscafefantasia.com/,,,,,,,,,,"[367828508, 367828513, 367828517, 367828515, 367828508]",,,retail,1,,,,,,,,,,,,,,,hipped,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32686616,"POLYGON ((8.36918 49.0303876, 8.3691856 49.0304506, 8.3690532 49.0304557, 8.3690476 49.0303927, 8.36918 49.0303876))",no,,Beauty Hair Vildan,,,"""Termine nach Vereinbarung. Montag geschlossen.""",,,,,,40,,Landauer Straße,+49-721-68035532,hairdresser,,,0,,,,,,,,"[367828512, 367828510, 367828515, 367828517, 367828512]",,,retail,1,,,,,,,,,,,,,,,hipped,,,,,,retail,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35146001,"POLYGON ((8.3947916 49.0026731, 8.3947781 49.0026567, 8.3947476 49.0026423, 8.3947196 49.0026391, 8.3946923 49.0026442, 8.3946711 49.0026567, 8.3946603 49.0026739, 8.3946727 49.0028096, 8.3948181 49.0028038, 8.3948102 49.0027246, 8.3947966 49.002725, 8.3947916 49.0026731))",,,,,,,,,,Karlsruhe,DE,61a,76133,Karlstraße,,,,,,,,,,,,,"[3513133306, 412254669, 412254663, 412254666, 412254668, 412254664, 412254665, 412505579, 412505580, 412254667, 412254670, 3513133306]",,,retail,2,,,,,,,,,,,,,,0,flat,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37741808,"POLYGON ((8.4384495 49.0096234, 8.4384276 49.0095707, 8.4383006 49.0092662, 8.4382562 49.0092742, 8.4382476 49.0092536, 8.4380577 49.0092877, 8.4380663 49.0093082, 8.4379626 49.0093268, 8.4380474 49.0095301, 8.4379761 49.0095429, 8.4380208 49.00965, 8.4380367 49.0096883, 8.4380527 49.0097266, 8.4381385 49.0097112, 8.4381512 49.0097416, 8.4381639 49.009772, 8.4381765 49.0098022, 8.4381891 49.0098324, 8.4382051 49.0098708, 8.4385681 49.0098622, 8.4385086 49.0097197, 8.438472 49.0096318, 8.4384495 49.0096234))",limited,,,,,,,,,Karlsruhe,DE,11,76131,Theodor-Rehbock-Straße,,,,,,,,,,,,,"[4220231312, 442676934, 442676935, 442676936, 4220231310, 4220231311, 442676941, 442676943, 442676945, 442676946, 5983271602, 4220231314, 442676947, 442676948, 1371434441, 4220231318, 4238011411, 4238011413, 442676927, 442676928, 442676930, 5983271603, 4220231312]",,,retail,1,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,Oststadt,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38049283,"POLYGON ((8.4659247 49.0189047, 8.4666327 49.0187384, 8.466495 49.0184861, 8.465787 49.0186524, 8.4659247 49.0189047))",,,,,,Mo-Fr 10:00-20:00; Sa 09:00-20:00,,,,Karlsruhe,DE,3,76139,Am Storrenacker,,,,,,,,,,,,,"[447320079, 447320082, 447320085, 447320088, 447320079]",,,retail,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,Hagsfeld,,,,,,,,,,,,,Kölle Zoo,Kölle Zoo,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
