element_type,osmid,geometry,nodes,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,building,building:levels,roof:levels,roof:shape,toilets:wheelchair,wheelchair,ways,alt_name,contact:fax,contact:phone,contact:website,government,name,office,official_name,type
way,125300887,"POLYGON ((6.633859 49.7527274, 6.6339547 49.7527744, 6.6338491 49.752853, 6.6338396 49.75286, 6.63373 49.7528141, 6.633859 49.7527274))","[1027910336, 1392090967, 1392090996, 1392091001, 1392090983, 1027910336]",Trier,DE,19,54290,Karl-Marx-Straße,townhall,yes,3,1,gabled,yes,yes,,,,,,,,,,
relation,1309668,"POLYGON ((6.6330596 49.7520516, 6.633318 49.7521866, 6.6330071 49.7524173, 6.6329964 49.7524256, 6.6329264 49.7524795, 6.6330792 49.7525357, 6.6330829 49.7525322, 6.6330993 49.7525205, 6.6331047 49.7525166, 6.6331117 49.7525116, 6.6332 49.7524483, 6.6333954 49.7525512, 6.6332959 49.7526123, 6.6332923 49.7526142, 6.6335162 49.752725, 6.6337263 49.7528169, 6.63373 49.7528141, 6.633859 49.7527274, 6.6336476 49.7526402, 6.6336426 49.7526391, 6.6336257 49.7526501, 6.6335979 49.7526358, 6.6336102 49.7526285, 6.6335201 49.7525834, 6.6335791 49.7525388, 6.6335458 49.7525208, 6.6338268 49.7523211, 6.6338425 49.7523068, 6.6336067 49.7521877, 6.6335096 49.7521394, 6.6334546 49.752112, 6.6330478 49.751904, 6.633008 49.7518848, 6.6329055 49.7519711, 6.6330596 49.7520516), (6.6334606 49.752252, 6.6336336 49.7523434, 6.6334748 49.752453, 6.6333092 49.7523615, 6.6334606 49.752252))","[[[996210443, 1027910366, 4848241016, 4567293941, 3182541955, 4567293938, 1027910349, 1392090917, 1392090939, 4567359613, 4567359612, 1027910347, 4567293934, 4567293933, 1392090945, 4567359615, 1027910336, 1392090983, 1027910350, 1027910341, 1027910335, 1712822438, 1027910342, 1027910329, 7099537389, 7099537395, 7099509483, 1712822436, 1027910368, 1027910362, 4567553939, 4567553955, 4567553923, 4567553956, 996210443], [1027910357, 1027910338, 1027910345, 1027910359, 1027910357]]]",Trier,,3,54290,Am Augustinerhof,townhall,public,3,2,hipped,,yes,"[88496984, 88496983]",Stadtverwaltung Trier,+49 651 718-4100,+49 651 718-0,http://trier.de,administrative,Rathaus Trier,government,Rathaus der Stadt Trier,multipolygon
