u,v,key,osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,width,access,service,bridge,junction,tunnel
10602539,2153297318,0,"[210831361, 504763890, 550497085, 550497086]",False,"['2', '4', '3']",Paulinstraße,residential,False,274.68899999999996,30,"LINESTRING (6.6506984 49.7637603, 6.6508124 49.7638088, 6.6508386 49.7638205, 6.6511235 49.7639478, 6.6513003 49.7640302, 6.6521214 49.7644053, 6.6533543 49.7649901, 6.6536279 49.7651246, 6.6537109 49.7651693, 6.6537915 49.7652122)",,,,,,,
10602539,272238182,0,264869063,False,,Balthasar-Neumann-Straße,residential,True,57.074,30,"LINESTRING (6.6506984 49.7637603, 6.6507871 49.7636631, 6.6508126 49.7636449, 6.6512026 49.7633659)",,,,,,,
10602539,298123502,0,366234174,False,,Zeughausstraße,residential,True,67.085,30,"LINESTRING (6.6506984 49.7637603, 6.6506496 49.7638175, 6.6506309 49.7638358, 6.6502458 49.7642121, 6.6501903 49.7642663)",,4.5,,,,,
10602539,641253074,0,426327752,False,2,Paulinstraße,residential,True,60.861,30,"LINESTRING (6.6506984 49.7637603, 6.6505242 49.7636787, 6.65049 49.7636633, 6.6504363 49.763639, 6.6500572 49.7634683, 6.6500057 49.7634451)",,,,,,,
10602540,215679941,0,35896822,False,4,Herzogenbuscher Straße,secondary,True,56.434,50,"LINESTRING (6.6542287 49.7655142, 6.6546095 49.765808, 6.6547315 49.7659042)",,,,,,,
10602540,5317051538,0,362090299,False,4,Herzogenbuscher Straße,secondary,False,19.439,50,"LINESTRING (6.6542287 49.7655142, 6.6541596 49.7654612, 6.6540536 49.7653809)",,,,,,,
10602544,1384066168,0,286880045,False,4,Wasserweg,secondary,True,10.453,50,"LINESTRING (6.6570691 49.7635988, 6.6571933 49.7635498)",L 144,,,,,,
10602544,343600057,0,286880046,False,3,Wasserweg,secondary,True,37.283,50,"LINESTRING (6.6570691 49.7635988, 6.6570195 49.763618, 6.6569065 49.763677, 6.6568625 49.7637012, 6.6566591 49.7638039)",,,,,,,
10602544,343600240,0,504763892,True,2,Schöndorfer Straße,secondary,False,29.432,50,"LINESTRING (6.6570691 49.7635988, 6.6569881 49.7635725, 6.6568672 49.7635304, 6.656728 49.7634549)",L 145,,,,,,
10602555,10602558,0,10565112,False,2,In der Reichsabtei,secondary,False,79.252,50,"LINESTRING (6.6530669 49.7604886, 6.6527584 49.7598043)",L 145,,,,,,
10602555,91411742,0,"[10565112, 893966347]",False,2,In der Reichsabtei,secondary,True,26.497,50,"LINESTRING (6.6530669 49.7604886, 6.6531102 49.7605792, 6.6531757 49.7607163)",L 145,,,,,,
