element_type,osmid,barrier,geometry,created_by,amenity,parking,wheelchair,access,name,private,capacity,layer,source,level,maxheight,fee,surface,toilets:wheelchair,check_date,ref,park_ride,supervised,operator,addr:city,addr:housenumber,addr:street,maxstay,lit,opening_hours,smoothness,motorcar,description,capacity:disabled,nodes,building,building:levels,roof:shape,fixme,capacity:tourist_bus,tourist_bus,hgv,operator:type,capacity:women,toilets,toilets:access,addr:country,addr:postcode,fee:conditional,building:material,roof:levels,maxweight,motorcycle,capacity:parent,maxstay:conditional,tunnel,access:conditional,orientation,landuse,check_date:fee,payment:cash,payment:credit_cards,payment:debit_cards,parking:orientation,ways,type
way,27060980,,"POLYGON ((6.6340617 49.7523148, 6.6330919 49.7518202, 6.633067 49.751839, 6.6330462 49.7518552, 6.6330413 49.751859, 6.633008 49.7518848, 6.6329055 49.7519711, 6.6328346 49.7520571, 6.6327252 49.752109, 6.6326396 49.7520499, 6.6325142 49.7518977, 6.6325669 49.7518674, 6.6325189 49.7518383, 6.6322066 49.7519786, 6.632148 49.7519858, 6.6320025 49.7516703, 6.6321522 49.7516284, 6.6322264 49.7516645, 6.6323479 49.7515603, 6.6324163 49.7515927, 6.6326761 49.7517205, 6.6327824 49.7516278, 6.6328805 49.7516737, 6.6329583 49.7516088, 6.6332793 49.751763, 6.6333991 49.7516635, 6.6334593 49.7516925, 6.633628 49.751546, 6.633507 49.7514878, 6.6336391 49.7513825, 6.6337 49.751334, 6.6344933 49.7517413, 6.6346729 49.7515962, 6.6348164 49.7515009, 6.6349499 49.7514569, 6.6350877 49.7514207, 6.635245 49.7515781, 6.6348499 49.7517167, 6.6347185 49.7517825, 6.634587 49.7518976, 6.634186 49.7522158, 6.6340617 49.7523148))",,parking,surface,yes,yes,,,,,,,,yes,,yes,,,,no,,,,,,,,,,,,"[296914531, 344211028, 4567597149, 4567639933, 4848241012, 1027910366, 996210443, 3317653505, 4567553936, 4567553935, 4567553951, 4567553952, 296914533, 296914534, 4567553950, 296914546, 1428884747, 996210468, 1428884742, 1392090810, 296914572, 1392090811, 996210465, 996210463, 296914548, 611739379, 611739381, 611739385, 611739389, 4576048738, 296914589, 344211024, 996210429, 996210430, 4567597150, 344211025, 296914550, 1428909004, 1428909006, 344211023, 296914540, 296914531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27080802,,"POLYGON ((6.6519171 49.7752293, 6.6519853 49.7750867, 6.6515632 49.7750025, 6.651495 49.7751452, 6.6519171 49.7752293))",,parking,surface,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,"[1117392997, 297102591, 297102588, 297102546, 1117392997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28719181,,"POLYGON ((6.6679718 49.755557, 6.6684431 49.7552992, 6.668807 49.7555769, 6.6684551 49.7557693, 6.6681517 49.7559353, 6.6676325 49.7555392, 6.6675201 49.7554534, 6.6677041 49.7553528, 6.6679718 49.755557))",,parking,surface,yes,customers,,,,,,,,no,,,,,,,,,,,,,,,,,,"[315749875, 315749876, 315749877, 4988760889, 4988760890, 626533840, 4976689602, 4976689601, 315749875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28719183,,"POLYGON ((6.688952 49.7465096, 6.6887028 49.7467761, 6.6890595 49.7469154, 6.6894846 49.7464608, 6.6893348 49.7464023, 6.6893907 49.7463425, 6.6892238 49.7462774, 6.689196 49.7463072, 6.6891076 49.7464017, 6.6890675 49.7463861, 6.688952 49.7465096))",,parking,street_side,,private,,,,,,,,,,,,,,,,,,,,,,,,,,"[315749899, 315749900, 315749901, 315749902, 315749903, 315749904, 315749908, 5054772207, 1124632262, 1124632260, 315749899]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28719184,,"POLYGON ((6.6879787 49.7472514, 6.688458 49.7474039, 6.6878371 49.7480458, 6.6873894 49.7478781, 6.6879787 49.7472514))",,parking,surface,,private,,,,,,,,,,,,,,,,,,,,,,,,,,"[315749914, 315749916, 315749917, 315749919, 315749914]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29281558,,"POLYGON ((6.6754886 49.7505531, 6.6763779 49.7509552, 6.6761326 49.7512036, 6.675231 49.750776, 6.6754886 49.7505531))",,parking,surface,yes,yes,,,,,,,,no,paved,,,,,,,,,,,,,,,,,"[292635569, 292635567, 319621280, 292635572, 292635569]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29977499,,"POLYGON ((6.6326688 49.7535947, 6.6326575 49.7535719, 6.6326385 49.7535338, 6.6325539 49.7533635, 6.6320264 49.7534729, 6.6320071 49.7534342, 6.631409 49.7535582, 6.63144 49.7536207, 6.6314504 49.7536416, 6.6315065 49.7537544, 6.631516 49.7537736, 6.6315432 49.7538283, 6.6326688 49.7535947))",,parking,multi-storey,yes,yes,Besucher Mutterhaus Mitte Trier,,,,,,,yes,paved,,,,,yes,,,,,,yes,24/7,,,,,"[7889542743, 7117231202, 7117231201, 330011955, 330011958, 330011960, 330011963, 7889542735, 1413470711, 7889542732, 1413470722, 1323196062, 7889542743]",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31573861,,"POLYGON ((6.6213517 49.7390435, 6.6214545 49.7390918, 6.6215652 49.7391016, 6.6244446 49.7384463, 6.6245112 49.7384106, 6.6245483 49.7383482, 6.6245591 49.7382869, 6.6244299 49.7380811, 6.6243683 49.7380399, 6.6242662 49.7380265, 6.6225019 49.7381957, 6.6211097 49.7385251, 6.6210882 49.7385688, 6.6213517 49.7390435))",,parking,surface,,yes,Moselauen,,,,,,,no,,,,,,,,,,,,,,,,,,"[353295198, 1605372939, 1605372949, 353295201, 1605372890, 1605372889, 1605372888, 1605372886, 1605372883, 353295206, 353295214, 1605372891, 353295211, 353295198]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31574095,,"POLYGON ((6.6231458 49.7391699, 6.6230104 49.7389526, 6.6230912 49.7388686, 6.6240678 49.7386418, 6.6241937 49.7386893, 6.6243287 49.738895, 6.6231458 49.7391699))",,parking,surface,,,Moselauen,,,,,,,,,,,,,,,,,,,,,,,,,"[353296872, 2905556107, 353296874, 353296875, 2905556106, 353296876, 353296872]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31574262,,"POLYGON ((6.6254345 49.7392099, 6.6247441 49.7392196, 6.6247534 49.7389427, 6.6247307 49.7384259, 6.624516 49.7379491, 6.6253663 49.7378982, 6.6254345 49.7392099))",,parking,surface,,,In den Moselauen,,,,,,,,,,,,,,,,,,,,,,,,,"[285605496, 285605480, 353298665, 353298664, 353298667, 353298668, 285605496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
