element_type,osmid,amenity,capacity,check_date,geometry,parking_space,nodes,parking
way,974356880,parking_space,,,"POLYGON ((6.6752905 49.7481655, 6.6752631 49.7481548, 6.675228 49.7481924, 6.6752553 49.7482031, 6.6752905 49.7481655))",,"[9017293099, 9017293097, 9017293096, 9017293098, 9017293099]",
way,974356881,parking_space,,,"POLYGON ((6.6753178 49.7481762, 6.6752905 49.7481655, 6.6752553 49.7482031, 6.6752827 49.7482138, 6.6753178 49.7481762))",,"[9017293101, 9017293099, 9017293098, 9017293100, 9017293101]",
way,974356882,parking_space,,,"POLYGON ((6.6753452 49.7481868, 6.6753178 49.7481762, 6.6752827 49.7482138, 6.6753101 49.7482244, 6.6753452 49.7481868))",,"[9017293103, 9017293101, 9017293100, 9017293102, 9017293103]",
way,974356883,parking_space,,,"POLYGON ((6.6753726 49.7481975, 6.6753452 49.7481868, 6.6753101 49.7482244, 6.6753375 49.7482351, 6.6753726 49.7481975))",,"[9017293107, 9017293103, 9017293102, 9017293106, 9017293107]",
way,974356884,parking_space,,,"POLYGON ((6.6754192 49.7482174, 6.6753894 49.7482057, 6.6753555 49.7482416, 6.6753853 49.7482533, 6.6754192 49.7482174))",,"[9017293109, 9017293116, 9017324117, 9017293108, 9017293109]",
way,974356885,parking_space,,,"POLYGON ((6.675449 49.7482291, 6.6754192 49.7482174, 6.6753853 49.7482533, 6.6754152 49.7482651, 6.675449 49.7482291))",,"[9017293111, 9017293109, 9017293108, 9017293110, 9017293111]",
way,974356886,parking_space,,,"POLYGON ((6.6754788 49.7482408, 6.675449 49.7482291, 6.6754152 49.7482651, 6.675445 49.7482768, 6.6754788 49.7482408))",,"[9017293113, 9017293111, 9017293110, 9017293112, 9017293113]",
way,974356887,parking_space,,,"POLYGON ((6.6755086 49.7482525, 6.6754788 49.7482408, 6.675445 49.7482768, 6.6754748 49.7482885, 6.6755086 49.7482525))",,"[9017293115, 9017293113, 9017293112, 9017293114, 9017293115]",
way,974356888,parking_space,,,"POLYGON ((6.6755385 49.7482643, 6.6755086 49.7482525, 6.6754748 49.7482885, 6.6755046 49.7483002, 6.6755385 49.7482643))",,"[9017324119, 9017293115, 9017293114, 9017324118, 9017324119]",
way,974356897,parking_space,,,"POLYGON ((6.6754305 49.7485363, 6.6753866 49.7485682, 6.6754141 49.748584, 6.675458 49.7485521, 6.6754305 49.7485363))",,"[9017324188, 9017324187, 9017324154, 9017324153, 9017324188]",
way,974356898,parking_space,,,"POLYGON ((6.6749592 49.7482815, 6.6749281 49.7482669, 6.6748895 49.7483015, 6.6749202 49.748316, 6.6749592 49.7482815))",,"[9017324156, 9017324189, 9017324190, 9017324155, 9017324156]",
way,974356899,parking_space,,,"POLYGON ((6.67499 49.7482972, 6.6749592 49.7482815, 6.6749202 49.748316, 6.6749494 49.748331, 6.67499 49.7482972))",,"[9017324158, 9017324156, 9017324155, 9017324157, 9017324158]",
way,974356900,parking_space,,,"POLYGON ((6.6750204 49.7483123, 6.67499 49.7482972, 6.6749494 49.748331, 6.6749795 49.7483461, 6.6750204 49.7483123))",,"[9017324160, 9017324158, 9017324157, 9017324159, 9017324160]",
way,974356901,parking_space,,,"POLYGON ((6.6750509 49.7483275, 6.6750204 49.7483123, 6.6749795 49.7483461, 6.6750097 49.7483611, 6.6750509 49.7483275))",,"[9017324162, 9017324160, 9017324159, 9017324161, 9017324162]",
way,974356902,parking_space,,,"POLYGON ((6.6750813 49.7483426, 6.6750509 49.7483275, 6.6750097 49.7483611, 6.6750398 49.7483762, 6.6750813 49.7483426))",,"[9017324164, 9017324162, 9017324161, 9017324163, 9017324164]",
way,974356903,parking_space,,,"POLYGON ((6.6751118 49.7483577, 6.6750813 49.7483426, 6.6750398 49.7483762, 6.67507 49.7483913, 6.6751118 49.7483577))",,"[9017324166, 9017324164, 9017324163, 9017324165, 9017324166]",
