osmid,y,x,street_count,highway,ref,geometry
380401625,49.7850519,6.7153974,3,,,POINT (6.7153974 49.7850519)
380401626,49.7852322,6.7160132,3,,,POINT (6.7160132 49.7852322)
380401627,49.785331,6.7163193,3,,,POINT (6.7163193 49.785331)
380401630,49.7856261,6.7173441,3,,,POINT (6.7173441 49.7856261)
380401635,49.7873188,6.7172726,4,,,POINT (6.7172726 49.7873188)
380401639,49.7881387,6.7188033,3,,,POINT (6.7188033 49.7881387)
380401640,49.7887872,6.7194543,1,,,POINT (6.7194543 49.7887872)
380401647,49.7865414,6.7171461,3,,,POINT (6.7171461 49.7865414)
380401649,49.7844725,6.7122225,3,,,POINT (6.7122225 49.7844725)
380401652,49.7850318,6.713328,1,,,POINT (6.713328 49.7850318)
380401654,49.7848937,6.7115244,1,turning_circle,,POINT (6.7115244 49.7848937)
380401657,49.7865535,6.713453,3,,,POINT (6.713453 49.7865535)
380401665,49.7869245,6.7146165,3,,,POINT (6.7146165 49.7869245)
380401672,49.7835043,6.7138341,4,,,POINT (6.7138341 49.7835043)
380401673,49.7832068,6.7131582,3,,,POINT (6.7131582 49.7832068)
380401674,49.7840113,6.7134953,1,,,POINT (6.7134953 49.7840113)
380401676,49.7827468,6.7141707,1,turning_circle,,POINT (6.7141707 49.7827468)
380403207,49.7765756,6.7200381,3,,,POINT (6.7200381 49.7765756)
380403208,49.776066,6.7204645,1,turning_circle,,POINT (6.7204645 49.776066)
387629972,49.8093369,6.6885109,4,,,POINT (6.6885109 49.8093369)
387629974,49.8091656,6.6902237,3,,,POINT (6.6902237 49.8091656)
387629982,49.8102944,6.689178,3,,,POINT (6.689178 49.8102944)
387629988,49.8104825,6.6897738,3,,,POINT (6.6897738 49.8104825)
387629993,49.8118278,6.6913671,3,,,POINT (6.6913671 49.8118278)
387629996,49.8130587,6.6928461,3,,,POINT (6.6928461 49.8130587)
387629997,49.8110715,6.6905849,3,,,POINT (6.6905849 49.8110715)
387629998,49.8114285,6.6899484,3,,,POINT (6.6899484 49.8114285)
387629999,49.8095755,6.6914465,3,,,POINT (6.6914465 49.8095755)
387630007,49.8134822,6.6918319,3,,,POINT (6.6918319 49.8134822)
387630020,49.8168061,6.698876,3,,,POINT (6.698876 49.8168061)
387630022,49.8149758,6.6952954,1,turning_circle,,POINT (6.6952954 49.8149758)
387630024,49.8163161,6.6961727,3,,,POINT (6.6961727 49.8163161)
387630026,49.8158086,6.6977897,4,,,POINT (6.6977897 49.8158086)
387630029,49.816846,6.7012535,1,turning_circle,,POINT (6.7012535 49.816846)
387630035,49.8170393,6.6985287,3,,,POINT (6.6985287 49.8170393)
387630036,49.819292,6.7004495,3,,,POINT (6.7004495 49.819292)
387630050,49.8228583,6.7032589,3,,,POINT (6.7032589 49.8228583)
390891701,49.7280113,6.6588502,1,,,POINT (6.6588502 49.7280113)
390891722,49.7285815,6.6591536,3,,,POINT (6.6591536 49.7285815)
390891723,49.7288006,6.659088,1,,,POINT (6.659088 49.7288006)
390891776,49.7302929,6.6611514,1,turning_circle,,POINT (6.6611514 49.7302929)
390892130,49.7343776,6.6581146,1,turning_circle,,POINT (6.6581146 49.7343776)
390892193,49.7314232,6.6566049,3,,,POINT (6.6566049 49.7314232)
393391157,49.7421207,6.6989624,1,,,POINT (6.6989624 49.7421207)
393391346,49.7871339,6.7199137,3,,,POINT (6.7199137 49.7871339)
393391347,49.7865882,6.7201377,3,,,POINT (6.7201377 49.7865882)
393391351,49.7859843,6.7188607,3,,,POINT (6.7188607 49.7859843)
393391354,49.7854737,6.7193947,1,,,POINT (6.7193947 49.7854737)
393391355,49.7856646,6.7186304,1,turning_circle,,POINT (6.7186304 49.7856646)
393391364,49.7863513,6.7228242,1,turning_circle,,POINT (6.7228242 49.7863513)
393391376,49.7862594,6.7214994,1,,,POINT (6.7214994 49.7862594)
393391378,49.7865297,6.7227879,3,,,POINT (6.7227879 49.7865297)
393391380,49.7870776,6.7243024,1,,,POINT (6.7243024 49.7870776)
406509887,49.7379651,6.6357714,3,,,POINT (6.6357714 49.7379651)
410630921,49.7043946,6.6300757,1,,,POINT (6.6300757 49.7043946)
410630928,49.704255,6.6290494,3,,,POINT (6.6290494 49.704255)
410630936,49.7129292,6.6270086,1,,,POINT (6.6270086 49.7129292)
415250939,49.734754,6.6126181,1,,,POINT (6.6126181 49.734754)
415392082,49.7496101,6.6341515,1,,,POINT (6.6341515 49.7496101)
421480171,49.7374158,6.614154,3,,,POINT (6.614154 49.7374158)
440616384,49.7156626,6.573303,1,,,POINT (6.573303 49.7156626)
442442987,49.7612091,6.6245503,3,,,POINT (6.6245503 49.7612091)
442604561,49.736274,6.6899998,1,,,POINT (6.6899998 49.736274)
444539715,49.7504536,6.6844647,3,,,POINT (6.6844647 49.7504536)
444539724,49.750516,6.6843524,1,,,POINT (6.6843524 49.750516)
456315585,49.7283023,6.6207882,1,,,POINT (6.6207882 49.7283023)
456315591,49.7274145,6.6198117,1,,,POINT (6.6198117 49.7274145)
458278387,49.7384689,6.6286167,6,,,POINT (6.6286167 49.7384689)
458278462,49.7419765,6.620204,3,,,POINT (6.620204 49.7419765)
458973780,49.7599007,6.6252628,3,,,POINT (6.6252628 49.7599007)
459825142,49.7745252,6.7167928,3,,,POINT (6.7167928 49.7745252)
459825147,49.7748934,6.7169479,1,,,POINT (6.7169479 49.7748934)
459825148,49.7818852,6.7109955,3,,,POINT (6.7109955 49.7818852)
459906142,49.7786197,6.6745691,3,,,POINT (6.6745691 49.7786197)
459906206,49.7827246,6.6811469,1,turning_circle,,POINT (6.6811469 49.7827246)
459906223,49.7817025,6.683447,1,,,POINT (6.683447 49.7817025)
459906236,49.7813136,6.6834412,1,,,POINT (6.6834412 49.7813136)
459906295,49.7837403,6.6887145,3,,,POINT (6.6887145 49.7837403)
459906300,49.7845079,6.687926,3,,,POINT (6.687926 49.7845079)
459906367,49.786797,6.6854773,1,,,POINT (6.6854773 49.786797)
459906375,49.7837521,6.6867429,3,,,POINT (6.6867429 49.7837521)
459906379,49.783092,6.686473,3,,,POINT (6.686473 49.783092)
459906383,49.7835606,6.687807,3,,,POINT (6.687807 49.7835606)
459906394,49.782812,6.6881797,4,,,POINT (6.6881797 49.782812)
459967457,49.7823242,6.6899936,4,,,POINT (6.6899936 49.7823242)
459967458,49.7827212,6.6913297,3,,,POINT (6.6913297 49.7827212)
459967475,49.7806683,6.69295,3,,,POINT (6.69295 49.7806683)
459967476,49.7806872,6.6930031,3,,,POINT (6.6930031 49.7806872)
459967480,49.780913,6.6939311,3,,,POINT (6.6939311 49.780913)
459967482,49.7807517,6.693245,3,,,POINT (6.693245 49.7807517)
459967483,49.7804542,6.6942884,1,,,POINT (6.6942884 49.7804542)
459967491,49.779621,6.6919938,3,,,POINT (6.6919938 49.779621)
459967493,49.7798246,6.690425,3,,,POINT (6.690425 49.7798246)
459967495,49.7802076,6.6891474,3,,,POINT (6.6891474 49.7802076)
459967497,49.7795431,6.6895864,3,,,POINT (6.6895864 49.7795431)
459967501,49.779265,6.6871916,1,,,POINT (6.6871916 49.779265)
459967505,49.7801838,6.6911088,1,,,POINT (6.6911088 49.7801838)
459984641,49.7804234,6.6921112,3,,,POINT (6.6921112 49.7804234)
459984642,49.7801417,6.6924503,3,,,POINT (6.6924503 49.7801417)
459984644,49.7796484,6.6930141,3,,,POINT (6.6930141 49.7796484)
459984647,49.7803055,6.6948773,1,,,POINT (6.6948773 49.7803055)
459984653,49.7803689,6.6962112,3,,,POINT (6.6962112 49.7803689)
459984657,49.7841744,6.6900929,3,,,POINT (6.6900929 49.7841744)
459984658,49.7840652,6.6894366,3,,,POINT (6.6894366 49.7840652)
459984660,49.784669,6.6882365,1,,,POINT (6.6882365 49.784669)
459984663,49.7855139,6.6914622,3,,,POINT (6.6914622 49.7855139)
459984664,49.786101,6.6912853,3,,,POINT (6.6912853 49.786101)
459984665,49.7860184,6.6902734,1,turning_circle,,POINT (6.6902734 49.7860184)
459984666,49.7858789,6.6948807,3,,,POINT (6.6948807 49.7858789)
459984668,49.7856824,6.696592,3,,,POINT (6.696592 49.7856824)
459984669,49.7851896,6.6932734,3,,,POINT (6.6932734 49.7851896)
459984670,49.7848201,6.6903893,1,,,POINT (6.6903893 49.7848201)
459984672,49.783508,6.6918057,1,,,POINT (6.6918057 49.783508)
459984673,49.7841614,6.6911005,1,,,POINT (6.6911005 49.7841614)
459984674,49.7845368,6.6934482,3,,,POINT (6.6934482 49.7845368)
459984677,49.7838655,6.693625,3,,,POINT (6.693625 49.7838655)
459984683,49.7842689,6.6935162,3,,,POINT (6.6935162 49.7842689)
459984686,49.7843248,6.6958465,3,,,POINT (6.6958465 49.7843248)
459984687,49.7849575,6.6933396,3,,,POINT (6.6933396 49.7849575)
459984689,49.7849679,6.69621,3,,,POINT (6.69621 49.7849679)
459984692,49.7799826,6.6876201,3,,,POINT (6.6876201 49.7799826)
462591284,49.7440138,6.6109441,1,,,POINT (6.6109441 49.7440138)
462591288,49.7443614,6.6100453,3,,,POINT (6.6100453 49.7443614)
462591290,49.7443958,6.6097522,3,,,POINT (6.6097522 49.7443958)
462591298,49.7463353,6.6125337,3,,,POINT (6.6125337 49.7463353)
462591305,49.7471552,6.6130947,3,,,POINT (6.6130947 49.7471552)
462591308,49.7467475,6.6128297,3,,,POINT (6.6128297 49.7467475)
462591310,49.7460144,6.6122998,1,,,POINT (6.6122998 49.7460144)
462591314,49.7463747,6.6123792,3,,,POINT (6.6123792 49.7463747)
462591333,49.747794,6.6136242,3,,,POINT (6.6136242 49.747794)
462591335,49.7483153,6.6140449,3,,,POINT (6.6140449 49.7483153)
462591336,49.7472804,6.616963,3,,,POINT (6.616963 49.7472804)
462591338,49.7478395,6.6152735,3,,,POINT (6.6152735 49.7478395)
462591339,49.7484888,6.6135893,3,,,POINT (6.6135893 49.7484888)
462591340,49.7488268,6.61268,3,,,POINT (6.61268 49.7488268)
462591343,49.7463819,6.6140828,3,,,POINT (6.6140828 49.7463819)
462591345,49.7456456,6.6135945,1,,,POINT (6.6135945 49.7456456)
462591347,49.7457923,6.6154904,3,,,POINT (6.6154904 49.7457923)
462591353,49.7444112,6.6100743,1,,,POINT (6.6100743 49.7444112)
462591392,49.750622,6.6067162,1,,,POINT (6.6067162 49.750622)
462591473,49.7467337,6.6111507,3,,,POINT (6.6111507 49.7467337)
469788268,49.7645519,6.6302831,3,,,POINT (6.6302831 49.7645519)
469788338,49.7815602,6.6627551,3,,,POINT (6.6627551 49.7815602)
471775849,49.7829058,6.6718617,3,,,POINT (6.6718617 49.7829058)
474386477,49.7423538,6.6222302,1,,,POINT (6.6222302 49.7423538)
475304996,49.7194899,6.7049482,3,,,POINT (6.7049482 49.7194899)
476921222,49.7570324,6.6369027,3,,,POINT (6.6369027 49.7570324)
478929724,49.7904077,6.6757053,3,,,POINT (6.6757053 49.7904077)
478929767,49.7903578,6.6783234,3,,,POINT (6.6783234 49.7903578)
478935648,49.7908886,6.6775866,3,,,POINT (6.6775866 49.7908886)
478935752,49.7904191,6.6773229,3,,,POINT (6.6773229 49.7904191)
482373525,49.7429116,6.6851669,3,,,POINT (6.6851669 49.7429116)
482391687,49.7311722,6.70421,3,,,POINT (6.70421 49.7311722)
484263984,49.7158176,6.5754093,3,,,POINT (6.5754093 49.7158176)
484263985,49.7155381,6.5760261,1,,,POINT (6.5760261 49.7155381)
502873546,49.750181,6.6340918,3,,,POINT (6.6340918 49.750181)
502873547,49.749807,6.6339176,1,,,POINT (6.6339176 49.749807)
502885060,49.7488687,6.6325429,1,,,POINT (6.6325429 49.7488687)
510035727,49.7499082,6.6310876,3,,,POINT (6.6310876 49.7499082)
510035732,49.7495662,6.6323351,1,,,POINT (6.6323351 49.7495662)
510618451,49.8020237,6.6742686,1,,,POINT (6.6742686 49.8020237)
510618493,49.8045685,6.6813597,3,,,POINT (6.6813597 49.8045685)
510618509,49.8042829,6.6837709,3,,,POINT (6.6837709 49.8042829)
510618536,49.8035033,6.6853486,3,,,POINT (6.6853486 49.8035033)
524453883,49.7632237,6.6628751,3,,,POINT (6.6628751 49.7632237)
524453901,49.7889891,6.7119319,3,,,POINT (6.7119319 49.7889891)
524453910,49.7905674,6.7117239,1,,,POINT (6.7117239 49.7905674)
536362319,49.7893925,6.6965358,3,,,POINT (6.6965358 49.7893925)
536362323,49.7891682,6.6965632,3,,,POINT (6.6965632 49.7891682)
536362338,49.7891479,6.6999272,1,,,POINT (6.6999272 49.7891479)
536362341,49.7895715,6.6995342,4,,,POINT (6.6995342 49.7895715)
